s,o,h,l,c,v,t
ok,335.0,335.0,301.5,301.5,19161,1684195200
ok,295.5,295.5,271.4,277.6,62750,1684281600
ok,276.0,302.7,274.0,290.5,18197,1684368000
ok,286.0,291.5,280.4,282.0,18536,1684627200
ok,277.0,285.0,275.3,280.0,11239,1684713600
ok,280.0,292.5,279.0,290.0,22386,1684800000
ok,290.0,290.0,281.0,286.0,14243,1684886400
ok,282.1,300.0,282.1,289.0,31924,1685232000
ok,283.3,294.0,280.0,280.0,13559,1685404800
ok,274.5,298.0,274.5,298.0,21106,1685491200
ok,293.0,294.0,278.0,286.1,8660,1685577600
ok,281.0,302.0,281.0,298.8,23880,1685836800
ok,295.0,301.0,290.0,297.0,13685,1685923200
ok,291.1,307.0,286.6,301.0,16342,1686009600
ok,300.0,315.0,299.0,302.0,22039,1686096000
ok,300.0,312.0,296.2,301.5,23283,1686182400
ok,300.0,309.0,300.0,308.0,29780,1686441600
ok,308.0,316.0,304.0,311.0,21326,1686528000
ok,316.9,322.3,305.1,318.9,35067,1686614400
ok,318.9,328.4,308.0,321.9,24239,1686700800
ok,315.6,321.8,307.1,311.0,14323,1686787200
ok,310.0,321.0,309.0,315.9,14045,1687046400
ok,310.0,318.2,306.0,306.0,16070,1687132800
ok,302.0,310.0,296.1,300.0,8614,1687219200
ok,296.0,312.0,288.0,288.0,30703,1687305600
ok,282.3,293.6,282.3,289.8,13803,1687392000
ok,289.7,306.0,281.0,304.0,25280,1687651200
ok,301.0,315.9,301.0,314.0,28071,1687737600
ok,317.29,317.29,302.5,315.0,28615,1687824000
ok,309.0,312.2,300.0,312.2,32403,1687910400
ok,306.0,306.0,296.0,305.0,11702,1688256000
ok,299.8,299.8,292.0,296.0,11590,1688342400
ok,301.9,301.9,285.6,289.9,7290,1688428800
ok,294.9,294.9,282.3,282.3,5650,1688515200
ok,282.0,287.9,277.0,280.0,7850,1688601600
ok,275.0,294.7,270.1,277.4,6625,1688860800
ok,282.9,282.9,272.2,276.0,6594,1688947200
ok,271.0,276.4,268.1,274.0,3535,1689033600
ok,269.1,289.8,269.0,287.0,15456,1689120000
ok,290.0,294.0,282.4,285.4,16341,1689206400
ok,281.0,286.6,276.0,276.1,5695,1689465600
