s,o,h,l,c,v,t
ok,182.45,182.45,182.45,182.45,10,1632268800
ok,182.45,189.78,182.45,189.78,43,1632355200
ok,193.5,201.23,193.5,201.23,40,1632614400
ok,205.24,221.29,205.24,221.29,70,1632700800
ok,221.29,243.39,221.29,243.39,61,1632787200
ok,248.19,263.16,248.19,263.16,50,1632873600
ok,268.34,289.47,268.34,289.47,80,1632960000
ok,295.24,318.33,295.24,318.33,237,1633219200
ok,318.33,350.12,318.33,350.12,1960,1633305600
ok,357.07,385.05,357.07,385.05,490,1633392000
ok,392.68,423.49,392.68,423.49,9919,1633478400
ok,431.91,465.76,391.02,465.76,19643,1633824000
ok,474.46,489.14,430.44,450.0,12360,1633910400
ok,458.81,459.79,411.85,434.35,4210,1634428800
ok,434.35,434.35,396.2,408.43,4363,1634515200
ok,408.43,408.43,371.74,375.66,6370,1634601600
ok,375.66,413.22,375.66,413.22,2071,1634688000
ok,420.66,420.66,393.27,402.17,2307,1634774400
ok,409.9,414.79,379.57,402.07,3868,1635033600
ok,409.9,442.18,395.32,416.74,5561,1635120000
ok,425.06,458.42,424.57,454.9,10535,1635206400
ok,463.99,488.94,437.29,467.61,8020,1635292800
ok,467.61,488.94,442.18,488.16,5225,1635379200
ok,481.31,529.44,455.87,498.92,9397,1635638400
ok,504.79,505.77,479.35,479.35,5305,1635724800
ok,479.35,487.18,459.79,479.35,4051,1635811200
ok,488.16,488.16,461.84,473.48,5963,1635897600
ok,473.48,489.14,461.74,470.55,4543,1636329600
ok,461.74,466.64,446.29,459.79,6167,1636416000
ok,450.59,450.59,432.4,440.22,3812,1636588800
ok,449.03,449.03,406.96,427.5,2889,1636848000
ok,427.5,469.47,419.68,468.59,10219,1636934400
ok,470.55,515.45,459.79,515.45,20389,1637020800
ok,523.38,566.91,523.38,564.46,18598,1637107200
ok,575.22,585.01,528.27,536.09,13900,1637193600
ok,525.43,547.83,515.06,518.48,9353,1637452800
ok,518.48,523.38,510.66,516.63,4575,1637539200
ok,506.74,518.88,502.93,504.89,5314,1637625600
ok,495.01,555.36,479.35,552.72,19047,1637712000
ok,541.67,584.71,541.67,544.9,9960,1637798400
ok,555.76,577.18,515.55,542.84,11767,1638057600
ok,533.16,552.72,523.47,547.83,7635,1638144000
ok,536.88,560.55,527.29,557.61,8778,1638230400
ok,552.72,567.4,542.94,550.77,7020,1638316800
ok,542.94,544.11,513.59,513.59,4706,1638403200
ok,503.91,533.16,486.2,533.16,7328,1638662400
ok,542.94,542.94,484.24,533.16,6478,1638748800
ok,533.16,542.94,500.48,516.53,7356,1638835200
ok,506.26,526.31,489.14,526.31,5559,1638921600
ok,515.84,518.48,495.98,508.7,3576,1639008000
ok,498.53,498.53,459.89,495.01,6650,1639267200
ok,485.12,485.12,448.05,466.64,5768,1639353600
ok,474.46,507.23,448.24,507.23,9465,1639440000
ok,507.72,517.31,479.45,507.72,14255,1639526400
ok,497.65,497.65,469.57,469.57,4875,1639612800
ok,460.18,460.96,431.52,442.18,7119,1639958400
ok,447.07,449.03,426.92,433.37,8661,1640044800
ok,441.98,459.79,434.35,437.29,4255,1640131200
ok,445.11,457.83,435.23,438.27,6635,1640217600
ok,446.09,452.94,432.49,436.21,4808,1640476800
ok,444.04,444.04,407.45,420.66,4649,1640563200
ok,424.57,424.57,400.11,400.11,5055,1640649600
ok,408.04,420.66,400.11,407.74,4132,1640736000
ok,415.77,415.77,401.09,410.87,1877,1641081600
ok,402.66,426.53,402.66,414.1,2710,1641168000
ok,412.83,418.7,406.08,418.7,3112,1641254400
ok,418.7,452.65,418.5,435.33,10708,1641340800
ok,435.33,463.99,418.7,463.99,7956,1641427200
ok,464.68,492.85,455.97,492.76,12336,1641686400
ok,482.97,513.59,473.48,507.53,4536,1641772800
ok,498.92,513.59,487.18,508.7,5392,1641859200
ok,518.88,530.22,479.35,530.22,23881,1641945600
ok,520.44,531.2,501.85,525.82,7312,1642032000
ok,525.82,536.09,495.98,513.59,12772,1642291200
ok,522.4,522.4,493.05,503.81,11898,1642377600
ok,494.22,513.89,493.73,496.96,9041,1642464000
ok,489.14,503.81,481.31,489.14,8909,1642550400
ok,480.33,538.05,480.33,538.05,35756,1642636800
ok,548.81,591.85,548.81,590.39,45858,1642896000
ok,582.07,585.01,552.72,566.42,24873,1642982400
ok,555.66,578.75,544.9,567.4,17310,1643068800
ok,556.05,578.55,537.07,578.55,13347,1643155200
ok,567.01,589.9,544.9,568.38,10652,1643241600
ok,579.14,582.07,557.61,567.4,34550,1643500800
ok,567.4,567.4,548.81,567.4,12351,1643587200
ok,567.4,615.33,561.53,598.7,33991,1643673600
ok,596.75,624.14,596.75,624.14,39284,1643846400
ok,635.88,635.88,598.7,600.66,26400,1644105600
ok,589.9,601.64,579.04,596.75,12574,1644192000
ok,608.68,608.68,573.36,583.05,16099,1644278400
ok,571.51,593.81,564.56,593.81,8222,1644364800
ok,582.07,592.83,572.29,586.96,5681,1644451200
ok,575.22,585.01,543.92,585.01,9207,1644710400
ok,573.36,573.36,562.51,562.51,2653,1644796800
ok,562.51,593.81,557.71,586.96,4530,1644883200
ok,586.96,596.75,553.7,557.61,4397,1644969600
ok,547.83,584.03,547.83,576.98,12852,1645056000
ok,566.52,608.48,557.61,585.98,17470,1645315200
ok,576.2,609.56,576.2,606.53,13753,1645401600
ok,596.75,667.18,596.75,667.18,32055,1645488000
ok,680.49,717.95,654.07,704.36,22703,1645574400
ok,690.27,698.49,651.53,677.94,19410,1645660800
ok,664.44,704.36,651.43,663.27,12600,1645920000
ok,676.47,676.47,607.51,618.27,12871,1646006400
ok,618.27,626.09,582.95,601.64,9396,1646179200
ok,609.07,648.59,583.05,648.59,19794,1646524800
ok,661.51,661.51,630.01,650.55,14258,1646611200
ok,660.33,660.33,601.64,631.96,9292,1646784000
ok,626.09,675.01,620.22,670.12,17914,1646870400
ok,675.01,694.57,658.38,694.57,19098,1647129600
ok,680.88,692.62,666.3,670.41,1516,1647216000
ok,683.81,683.81,635.88,637.83,7993,1647302400
ok,650.55,689.68,626.09,676.96,6260,1647388800
ok,663.46,663.46,641.84,651.53,8085,1647734400
ok,651.53,671.09,629.13,671.09,8311,1647820800
ok,679.9,679.9,638.52,655.34,5634,1647907200
ok,660.33,660.33,626.09,648.59,9565,1647993600
ok,635.68,638.81,621.2,622.18,5868,1648080000
ok,609.76,640.77,602.03,606.53,7005,1648339200
ok,596.75,623.16,596.75,615.33,8742,1648425600
ok,627.07,627.07,578.16,598.8,3728,1648512000
ok,610.44,618.27,587.06,618.17,4237,1648598400
ok,607.51,623.65,599.68,606.53,5482,1648684800
ok,594.79,601.64,584.03,598.7,3313,1648944000
ok,587.06,611.42,586.96,588.92,6209,1649030400
ok,577.18,590.88,567.4,571.31,6418,1649116800
ok,560.55,581.09,560.55,579.14,2085,1649203200
ok,569.35,593.71,569.35,575.22,2870,1649289600
ok,567.4,590.29,547.83,548.03,4160,1649635200
ok,538.05,538.05,518.48,528.27,2151,1649721600
ok,521.42,548.81,519.46,525.33,2875,1649808000
ok,518.48,533.16,496.67,505.77,4869,1650153600
ok,495.98,496.28,473.48,482.87,3300,1650240000
ok,473.29,501.85,446.39,488.16,3608,1650326400
ok,478.47,480.33,467.61,478.37,1385,1650412800
ok,469.57,505.77,451.08,495.01,732,1650499200
ok,486.2,538.05,486.2,536.09,2665,1650758400
ok,525.43,539.91,504.79,517.51,6836,1650844800
ok,507.72,527.19,500.88,518.48,280,1650931200
ok,508.11,518.48,490.11,518.29,9465,1651017600
ok,508.02,528.46,495.01,517.51,4477,1651104000
ok,526.31,527.29,486.59,494.03,3426,1651449600
ok,484.24,488.94,469.77,488.16,1119,1651622400
ok,496.96,496.96,443.16,454.9,950,1651708800
ok,446.09,474.46,441.2,474.46,1140,1651968000
ok,464.97,498.92,455.87,498.92,1320,1652054400
ok,488.94,535.6,470.55,528.85,4332,1652140800
ok,518.48,548.81,508.11,538.05,5052,1652227200
ok,528.27,541.86,508.7,526.7,8062,1652313600
ok,516.23,516.23,489.14,493.05,2435,1652745600
ok,483.46,498.92,465.95,498.92,2876,1652832000
ok,489.14,516.53,479.45,513.59,5206,1652918400
ok,503.32,512.61,473.48,501.85,1630,1653004800
ok,491.87,494.03,464.68,485.71,3220,1653264000
ok,485.71,489.14,477.4,488.94,2216,1653350400
ok,479.35,527.29,470.55,517.51,1936,1653436800
ok,507.72,514.47,488.16,513.59,660,1653523200
ok,503.32,523.38,485.32,523.38,1940,1653609600
ok,512.91,512.91,480.33,494.91,2792,1653868800
ok,485.03,503.13,469.57,469.57,2170,1653955200
ok,460.28,516.53,460.28,516.53,3676,1654041600
ok,506.45,506.45,476.81,498.82,3000,1654128000
ok,489.14,489.14,460.77,486.69,3370,1654214400
ok,477.01,489.14,467.52,478.37,2670,1654473600
ok,468.98,496.86,459.69,459.79,1680,1654560000
ok,467.61,484.24,450.59,478.37,418,1654646400
ok,484.24,491.09,462.72,474.46,2439,1654732800
ok,465.66,468.59,450.0,458.81,3139,1654819200
ok,450.0,467.91,450.0,453.92,220,1655078400
ok,445.11,445.21,428.48,440.22,3596,1655164800
ok,431.42,449.03,407.84,425.45,2280,1655251200
ok,417.72,433.37,402.07,424.08,1455,1655337600
ok,415.77,420.66,407.94,420.66,690,1655424000
ok,412.83,412.83,397.28,397.28,1320,1655596800
ok,389.35,396.2,371.84,396.2,1260,1655683200
ok,396.2,403.05,391.31,403.05,790,1655769600
ok,404.03,404.12,380.65,404.12,734,1655856000
ok,412.15,412.15,365.38,395.03,870,1655942400
ok,387.2,396.1,364.5,391.31,1954,1656028800
ok,384.46,423.59,384.46,419.68,4023,1656201600
ok,411.36,445.02,396.0,420.66,4648,1656288000
ok,412.24,412.24,389.65,409.9,2105,1656374400
ok,402.07,417.92,388.47,402.07,4014,1656460800
ok,409.9,442.28,404.03,442.28,8912,1656547200
ok,435.53,470.55,404.12,469.57,4738,1656633600
ok,460.18,497.94,441.98,478.37,6794,1656806400
ok,468.98,484.24,448.73,450.0,11813,1656892800
ok,450.0,459.01,431.52,443.06,4730,1656979200
ok,434.35,453.92,420.66,453.92,2627,1657065600
ok,453.92,453.92,428.48,451.96,4310,1657152000
ok,442.96,445.02,428.48,445.02,640,1657238400
ok,436.21,436.21,403.05,411.85,2471,1657497600
ok,404.03,419.58,403.05,411.75,2830,1657584000
ok,405.98,428.97,405.98,428.97,3763,1657670400
ok,426.53,450.98,415.86,450.98,6530,1657756800
ok,454.9,481.9,433.47,481.9,2882,1657843200
ok,472.51,481.31,447.17,464.68,4499,1658016000
ok,455.87,466.64,447.17,466.54,2577,1658102400
ok,457.83,480.33,457.83,462.72,12295,1658188800
