s,o,h,l,c,v,t
ok,288.4,299.9,259.6,259.6,31379,1700438400
ok,254.5,254.5,233.7,233.8,27890,1700524800
ok,229.2,257.1,225.0,257.0,22578,1700611200
ok,252.0,270.0,247.0,258.5,20520,1700697600
ok,254.0,263.0,244.1,254.9,30077,1700956800
ok,254.9,275.0,250.1,274.0,41342,1701043200
ok,269.0,284.0,267.7,284.0,25969,1701129600
ok,284.0,286.0,275.9,280.0,21359,1701216000
ok,275.0,281.0,266.3,279.0,19130,1701302400
ok,282.5,282.5,267.3,275.5,11169,1701561600
ok,271.0,282.5,271.0,280.0,27938,1701648000
ok,276.2,285.0,276.2,281.0,11359,1701734400
ok,275.5,280.0,275.5,279.9,6695,1701820800
ok,274.4,280.8,270.4,273.9,10464,1701907200
ok,278.0,300.0,278.0,300.0,1090,1702166400
ok,306.0,306.0,283.0,293.0,22849,1702252800
ok,288.0,306.0,283.1,296.9,19737,1702339200
ok,292.0,305.1,292.0,300.0,24639,1702425600
ok,294.0,330.0,291.4,328.0,25585,1702512000
ok,321.5,350.0,308.9,342.0,18918,1702771200
ok,335.2,348.8,325.7,347.0,19375,1702857600
ok,340.1,340.1,320.1,330.0,22170,1702944000
ok,330.0,330.0,314.2,318.0,29531,1703030400
ok,320.0,339.0,311.8,328.0,30996,1703116800
ok,333.0,360.8,331.7,355.0,66828,1703376000
ok,351.0,390.0,351.0,366.5,30497,1703635200
ok,366.0,369.0,354.0,361.8,18434,1703721600
ok,360.0,365.0,339.0,340.0,29543,1704067200
ok,335.0,339.0,323.2,329.5,21885,1704153600
ok,325.0,343.0,323.4,343.0,11460,1704240000
ok,340.0,369.0,340.0,350.0,21250,1704326400
ok,344.4,385.0,344.2,384.0,46818,1704585600
ok,376.4,407.9,357.0,394.0,19742,1704672000
ok,394.0,408.9,375.6,377.0,16245,1704758400
ok,377.0,399.0,366.0,397.0,21558,1704844800
ok,389.1,420.0,373.1,401.0,30667,1704931200
ok,401.0,441.1,400.0,441.1,61268,1705190400
ok,449.9,459.0,431.4,437.0,19810,1705363200
ok,429.0,453.0,408.5,408.5,30483,1705449600
ok,400.4,432.0,400.4,427.3,37921,1705536000
ok,421.0,427.0,408.0,411.0,19183,1705795200
ok,403.0,425.0,395.0,410.9,17159,1705881600
ok,410.0,421.0,403.0,413.0,26890,1705968000
ok,406.0,415.0,398.0,402.0,6915,1706054400
ok,394.1,417.0,390.2,401.0,8605,1706140800
ok,409.0,441.1,409.0,441.1,81541,1706400000
ok,441.1,449.9,433.0,436.0,22351,1706486400
ok,435.0,450.0,428.1,440.0,20153,1706572800
ok,435.0,439.0,416.0,420.0,22973,1706659200
ok,420.0,428.0,401.1,418.0,18809,1706745600
ok,409.7,423.3,400.0,423.3,17280,1707004800
ok,415.0,423.5,412.1,422.0,7486,1707091200
ok,414.0,428.0,414.0,426.9,23078,1707177600
ok,425.0,430.0,419.2,430.0,12460,1707264000
ok,425.0,436.0,420.0,430.0,13447,1707350400
ok,424.0,448.0,414.6,427.0,17958,1707609600
ok,421.3,450.0,421.3,439.9,30821,1707696000
ok,432.0,468.1,424.1,442.0,81555,1707782400
ok,450.0,456.8,434.0,454.9,28005,1707868800
ok,463.6,478.0,441.1,462.0,46244,1707955200
ok,471.0,471.0,434.6,444.5,43249,1708214400
ok,435.7,445.0,433.1,440.0,15476,1708387200
ok,446.8,455.0,425.0,438.0,17745,1708473600
ok,429.4,438.8,410.2,436.0,15858,1708560000
ok,436.0,438.8,414.0,424.0,13360,1708819200
ok,415.6,430.0,408.1,426.0,10588,1708905600
ok,419.0,434.0,414.4,433.0,25385,1708992000
ok,425.0,433.1,410.7,420.0,6795,1709078400
ok,413.0,420.0,395.0,420.0,12946,1709164800
ok,411.6,425.0,391.0,398.0,13813,1709424000
ok,405.0,437.0,405.0,437.0,1160,1709510400
ok,445.7,445.7,411.3,416.9,31612,1709596800
ok,408.6,425.0,402.5,413.0,8897,1709683200
ok,410.0,421.0,407.4,416.6,12520,1709769600
ok,423.9,423.9,411.7,419.0,3514,1710028800
ok,415.0,423.9,414.2,421.0,10380,1710201600
ok,414.0,432.0,412.7,424.5,21098,1710288000
ok,420.1,436.4,420.1,429.0,48521,1710374400
ok,430.0,447.7,430.0,440.0,66905,1710633600
ok,448.7,448.7,434.0,441.0,31609,1710720000
ok,449.8,449.8,432.3,432.5,20748,1710806400
ok,430.0,436.4,422.0,427.0,22734,1710892800
ok,428.0,428.0,419.0,419.5,12615,1710979200
ok,419.5,419.5,407.0,414.9,14117,1711324800
ok,408.1,428.5,408.1,422.0,21705,1711411200
ok,420.0,428.5,415.1,416.7,6270,1711497600
ok,409.5,428.3,409.5,420.0,14045,1711584000
ok,415.0,428.0,411.0,420.0,8830,1711843200
ok,415.0,425.0,415.0,425.0,7932,1711929600
ok,426.5,426.5,416.1,419.9,3078,1712016000
ok,412.1,426.0,410.3,414.0,9006,1712102400
ok,408.3,420.0,408.3,417.8,8564,1712188800
ok,426.1,426.1,395.0,413.8,4515,1712448000
ok,406.0,420.2,403.0,408.0,21845,1712620800
ok,404.2,418.0,404.2,410.0,25176,1712707200
ok,401.8,419.0,401.8,407.0,7565,1713052800
ok,405.8,412.9,403.0,403.0,13207,1713139200
ok,402.8,410.0,399.4,410.0,7315,1713225600
ok,408.0,418.0,403.0,416.0,7777,1713398400
ok,407.7,418.5,401.1,416.0,7380,1713657600
ok,424.3,428.4,408.0,414.6,26553,1713744000
ok,406.4,426.9,406.4,418.0,8010,1713916800
ok,411.0,426.0,411.0,417.0,7799,1714003200
ok,409.0,418.2,407.0,418.2,12822,1714262400
ok,409.9,420.0,409.9,418.9,13183,1714348800
ok,411.3,426.0,405.1,419.8,17977,1714435200
ok,428.1,428.1,410.0,417.0,13665,1714608000
ok,409.0,419.2,406.3,416.9,20313,1714867200
ok,408.6,414.0,408.1,410.5,4995,1714953600
ok,404.1,415.9,404.1,410.0,7825,1715040000
ok,405.9,439.0,405.9,439.0,39839,1715126400
ok,430.3,457.8,430.3,456.9,48791,1715212800
ok,456.9,459.0,428.0,449.0,64009,1715472000
ok,454.0,454.0,438.0,448.9,22150,1715558400
ok,440.0,457.0,432.0,450.0,28256,1715644800
ok,459.0,459.0,435.0,447.0,14692,1715731200
ok,453.9,453.9,429.6,438.0,12070,1715817600
ok,440.0,446.7,427.1,432.2,14735,1716076800
ok,432.2,464.0,432.2,440.0,21128,1716163200
ok,448.1,450.0,431.3,446.8,36388,1716249600
ok,440.0,450.0,430.0,438.6,9170,1716336000
ok,447.3,447.3,421.7,426.0,8495,1716681600
ok,426.0,440.0,425.9,434.6,3858,1716768000
ok,443.0,443.2,414.0,434.9,8686,1716940800
ok,427.0,440.0,418.0,426.9,12898,1717027200
ok,421.5,446.0,421.5,437.0,28150,1717286400
ok,445.0,447.0,437.1,439.2,29675,1717372800
ok,445.0,475.0,445.0,470.0,128790,1717459200
