s,o,h,l,c,v,t
ok,300.0,330.0,300.0,330.0,14178,1697068800
ok,336.6,363.0,297.0,300.1,52207,1697414400
ok,294.2,315.0,294.2,305.1,18476,1697500800
ok,300.0,333.5,300.0,333.5,7823,1697587200
ok,327.0,328.4,315.0,320.0,11866,1697673600
ok,313.6,316.1,307.1,308.4,12158,1698537600
ok,305.0,321.8,299.0,318.0,11557,1698624000
ok,312.2,324.0,312.2,324.0,7370,1698710400
ok,318.1,329.0,318.0,325.0,9290,1698796800
ok,319.0,323.0,316.0,316.8,4440,1698883200
ok,311.0,316.0,307.1,316.0,2000,1699142400
ok,309.7,326.0,309.7,326.0,6766,1699228800
ok,330.0,330.0,318.3,320.7,8533,1699315200
ok,315.2,336.0,315.2,335.0,13354,1699401600
ok,340.0,340.0,322.1,326.1,3680,1699488000
ok,320.0,337.0,320.0,330.0,6868,1700438400
ok,324.1,336.6,323.8,331.8,9730,1700524800
ok,325.2,343.0,318.7,343.0,4150,1700611200
ok,336.2,354.0,325.1,353.0,7041,1700697600
ok,346.0,375.0,339.1,375.0,10751,1700956800
ok,367.5,382.0,359.0,379.3,14845,1701043200
ok,379.3,394.5,353.6,361.3,14462,1701129600
ok,361.3,358.0,340.0,357.0,10227,1701216000
ok,353.0,355.0,342.0,354.9,2796,1701302400
ok,355.0,355.0,342.0,344.1,4270,1701561600
ok,337.5,357.0,337.5,349.9,5885,1701648000
ok,343.0,345.0,339.0,342.0,2860,1701734400
ok,336.0,340.0,336.0,336.7,2510,1701820800
ok,331.2,353.5,331.2,344.0,5330,1701907200
ok,350.0,370.0,350.0,370.0,2230,1702166400
ok,377.4,377.4,349.0,364.1,27060,1702252800
ok,366.0,390.0,351.1,382.0,22129,1702339200
ok,380.0,387.0,365.1,373.9,19821,1702425600
ok,371.0,411.2,368.0,411.2,46523,1702512000
ok,403.0,436.0,390.1,409.0,25470,1702771200
ok,417.1,449.9,410.0,444.0,51612,1702857600
ok,440.0,488.4,440.0,488.4,16147,1702944000
ok,479.0,537.2,465.1,537.2,37328,1703030400
ok,547.9,590.9,545.0,587.0,34980,1703116800
ok,598.7,645.7,534.0,579.0,37227,1703376000
ok,567.5,567.5,521.1,550.0,37104,1703635200
ok,539.0,560.0,495.0,521.0,27772,1703721600
ok,531.4,549.5,501.0,530.0,12985,1704067200
ok,520.0,520.0,499.5,507.0,5827,1704153600
ok,517.0,554.0,499.0,511.1,17189,1704240000
ok,515.0,541.0,507.0,507.0,11620,1704326400
ok,497.0,528.4,497.0,501.2,6514,1704585600
ok,500.0,520.0,492.2,510.0,14257,1704672000
ok,520.0,550.0,495.0,521.8,30693,1704758400
ok,512.0,521.8,503.8,510.0,3100,1704844800
ok,502.0,561.0,502.0,561.0,42995,1704931200
ok,572.2,583.6,539.1,563.1,14941,1705190400
ok,556.0,569.0,535.1,541.0,11748,1705363200
ok,530.2,550.0,511.1,511.1,9982,1705449600
ok,500.9,520.8,500.9,510.1,8329,1705536000
ok,520.0,561.1,505.0,560.0,13125,1705795200
ok,550.0,615.0,527.1,613.0,42579,1705881600
ok,600.8,600.8,568.0,575.0,5516,1705968000
ok,575.0,632.5,571.2,632.5,41502,1706054400
ok,632.5,695.7,630.1,688.1,32523,1706140800
ok,701.8,756.9,648.0,756.9,38613,1706400000
ok,772.0,832.5,712.9,832.5,16110,1706486400
ok,815.9,815.9,749.3,763.0,36797,1706572800
ok,748.0,759.0,705.0,759.0,22719,1706659200
ok,743.9,743.9,701.2,706.8,7307,1706745600
ok,702.0,714.0,690.0,693.0,5581,1707004800
ok,700.0,702.0,678.0,699.9,9139,1707091200
ok,690.0,709.0,672.3,685.0,7036,1707177600
ok,672.1,703.8,672.0,689.0,11721,1707264000
ok,701.0,714.8,677.1,695.0,8927,1707350400
ok,700.0,752.1,695.0,724.0,21254,1707609600
ok,735.0,735.0,700.7,701.0,21577,1707696000
ok,715.0,758.6,700.0,703.0,10984,1707782400
ok,691.1,715.0,685.0,699.9,7341,1707868800
ok,686.0,702.3,675.0,687.0,5360,1707955200
ok,673.4,687.0,660.0,660.0,7668,1708214400
ok,647.0,673.0,647.0,668.0,6325,1708387200
ok,655.0,680.0,642.1,654.5,6900,1708473600
ok,650.0,655.0,625.0,639.0,5975,1708560000
ok,626.3,655.0,614.0,617.1,2721,1708819200
ok,606.2,640.0,598.0,639.0,9132,1708905600
ok,639.0,650.0,607.9,650.0,1109,1708992000
ok,637.0,637.0,616.0,616.0,4000,1709078400
ok,615.0,616.0,606.0,606.0,1039,1709164800
ok,596.0,605.0,582.1,591.0,2940,1709424000
ok,602.8,627.0,602.8,627.0,30,1709510400
ok,639.5,639.5,579.3,596.0,5876,1709596800
ok,607.9,620.0,562.0,600.0,10914,1709683200
ok,600.0,612.0,594.3,601.0,1572,1709769600
ok,610.0,637.5,602.0,619.9,1836,1710028800
ok,625.0,633.1,617.7,633.1,1762,1710201600
ok,625.0,630.0,612.0,630.0,2390,1710288000
ok,618.2,654.0,618.2,625.0,2806,1710374400
ok,615.0,630.0,613.59,630.0,3843,1710633600
ok,620.1,675.0,619.0,675.0,10321,1710720000
ok,680.0,683.0,649.9,654.0,7294,1710806400
ok,665.0,665.0,638.7,640.0,1920,1710892800
