s,o,h,l,c,v,t
ok,115.06,115.06,115.06,115.06,200,1473206400
ok,115.72,118.61,115.72,118.61,70,1473811200
ok,119.4,120.19,119.4,120.19,40,1474156800
ok,120.98,124.27,120.98,124.27,744,1474329600
ok,125.06,125.98,125.06,125.98,33,1474416000
ok,126.9,126.9,126.9,126.9,10,1474502400
ok,126.9,126.9,126.9,126.9,10,1474761600
ok,132.68,136.89,132.68,136.89,2100,1474848000
ok,137.94,142.68,132.16,132.55,15383,1474934400
ok,132.55,136.5,131.9,136.5,4662,1475020800
ok,136.76,142.28,136.76,140.18,7258,1475107200
ok,139.0,139.0,134.13,135.31,1282,1475366400
ok,135.71,137.81,135.45,136.5,1968,1475452800
ok,135.45,136.63,135.45,135.84,732,1475539200
ok,135.84,135.84,135.31,135.45,520,1475625600
ok,134.39,137.55,134.39,136.5,511,1475712000
ok,136.5,136.5,134.53,134.92,339,1476576000
ok,133.87,135.18,133.6,134.0,1075,1476662400
ok,134.0,134.0,132.29,132.29,1064,1476748800
ok,132.55,136.1,131.5,132.68,2962,1476835200
ok,132.95,135.84,132.95,135.18,2743,1476921600
ok,135.18,135.18,132.42,133.6,7497,1477180800
ok,133.87,133.87,130.97,132.03,3821,1477267200
ok,132.16,133.21,130.45,131.9,2395,1477353600
ok,132.95,132.95,130.19,130.19,6824,1477440000
ok,131.11,132.03,129.92,131.24,2172,1477526400
ok,131.11,131.11,129.27,129.27,160,1478131200
ok,129.27,129.27,128.61,129.0,842,1478476800
ok,129.27,129.27,126.11,126.11,1597,1478563200
ok,126.64,126.64,123.08,123.35,1216,1478649600
ok,123.35,124.14,121.77,124.14,160,1478736000
ok,124.14,124.66,123.08,123.61,633,1478995200
ok,123.61,124.01,123.35,123.87,1271,1479081600
ok,123.35,123.48,122.69,122.82,1645,1479168000
ok,122.69,122.69,121.38,121.38,218,1479254400
ok,121.9,121.9,120.72,121.9,310,1479340800
ok,121.38,121.38,119.4,119.4,234,1479600000
ok,118.75,118.75,117.3,118.61,1703,1479686400
ok,118.61,118.61,117.3,117.3,817,1479772800
ok,116.77,117.96,116.64,116.9,1426,1479859200
ok,116.9,117.83,116.9,117.83,102,1479945600
ok,117.83,117.83,116.77,117.56,215,1480204800
ok,116.9,118.09,116.9,118.09,103,1480291200
ok,118.35,121.24,118.35,121.11,305,1480377600
ok,121.38,122.82,121.38,121.38,420,1480464000
ok,121.38,122.16,118.75,118.75,2042,1480550400
ok,118.75,118.75,118.09,118.09,1090,1480809600
ok,118.09,118.61,116.9,117.83,226,1480896000
ok,117.17,118.88,117.17,118.22,1290,1480982400
ok,118.22,118.75,116.9,117.04,525,1481068800
ok,117.04,117.69,116.38,116.38,1389,1481155200
ok,115.85,115.98,115.2,115.98,462,1481414400
ok,116.64,116.64,114.8,114.8,240,1481500800
ok,114.8,115.46,113.49,115.46,338,1481673600
ok,116.12,116.12,115.46,115.46,40,1481760000
ok,115.46,115.46,114.8,114.8,306,1482019200
ok,114.8,114.8,113.88,113.88,699,1482105600
ok,114.54,114.54,112.96,113.22,359,1482192000
ok,112.57,112.57,110.46,111.64,161,1482278400
ok,110.99,112.7,110.99,112.7,262,1482364800
ok,112.04,112.7,112.04,112.3,600,1482710400
ok,111.64,112.43,111.64,112.43,122,1482796800
ok,112.17,113.09,112.17,112.43,251,1482883200
ok,112.43,113.09,112.43,113.09,1218,1482969600
ok,113.75,116.12,113.62,115.06,193,1483228800
ok,115.46,116.12,115.46,116.12,1337,1483315200
ok,115.46,116.12,115.46,115.46,130,1483401600
ok,115.46,116.77,115.46,116.25,126,1483488000
ok,116.25,118.48,116.25,118.48,670,1483574400
ok,118.48,119.27,117.69,117.96,670,1483833600
ok,118.09,117.96,115.06,115.72,1009,1483920000
ok,116.38,117.43,116.38,117.43,90,1484006400
ok,117.43,117.43,116.9,116.9,140,1484092800
ok,116.38,117.56,116.38,117.56,1030,1484179200
ok,117.69,117.69,117.04,117.3,290,1484438400
ok,117.43,116.77,116.64,116.77,22,1484524800
ok,116.77,117.69,116.77,117.69,1803,1484611200
ok,117.04,117.3,117.04,117.3,237,1484697600
ok,116.64,116.77,115.98,116.25,92,1484784000
ok,115.59,115.85,115.06,115.72,670,1485043200
ok,116.12,116.12,114.67,114.93,379,1485129600
ok,114.8,114.93,114.41,114.8,130,1485216000
ok,114.8,114.8,112.83,112.83,115,1485302400
ok,112.43,112.43,111.78,112.3,527,1485388800
ok,111.64,111.64,110.99,110.99,80,1485734400
ok,111.51,112.17,111.51,112.17,317,1485820800
ok,111.51,115.06,111.51,115.06,1300,1485907200
ok,114.93,115.59,114.14,114.27,282,1485993600
ok,114.27,114.27,113.35,113.35,324,1486252800
ok,113.35,113.49,112.83,113.09,162,1486339200
ok,113.22,113.49,112.83,113.49,1540,1486425600
ok,113.49,114.27,111.64,114.27,1131,1486512000
ok,114.01,114.01,112.83,112.83,370,1486598400
ok,112.17,112.17,110.86,110.86,441,1486857600
ok,110.33,110.33,109.8,109.94,89,1486944000
ok,110.46,111.25,110.46,111.25,717,1487030400
ok,110.86,111.38,110.86,111.38,183,1487116800
ok,111.91,114.14,111.91,114.14,520,1487203200
ok,113.49,113.75,113.09,113.09,160,1487462400
ok,113.09,115.2,113.09,114.54,362,1487548800
ok,115.06,115.06,113.75,113.75,270,1487635200
ok,113.09,113.35,112.57,113.35,428,1487721600
ok,113.35,113.49,112.83,112.83,80,1487808000
ok,113.22,113.49,111.12,111.91,1210,1488067200
ok,111.91,111.91,111.25,111.51,120,1488240000
ok,111.51,111.91,110.72,111.91,709,1488326400
ok,111.25,111.64,110.99,111.51,3810,1488412800
ok,112.17,112.7,112.17,112.57,228,1488672000
ok,112.57,112.57,111.25,111.78,281,1488758400
ok,111.78,112.17,111.51,111.51,207,1488844800
ok,110.86,112.04,110.07,111.64,408,1489017600
ok,111.25,111.91,110.99,111.78,200,1489363200
ok,112.17,112.17,111.51,112.04,100,1489449600
ok,111.64,111.64,111.51,111.51,30,1489536000
ok,111.51,113.49,111.51,113.49,1503,1489622400
ok,113.49,113.09,112.17,112.83,168,1489881600
ok,112.96,114.27,112.96,114.27,141,1489968000
ok,114.93,115.46,114.27,115.46,320,1490054400
ok,114.93,116.12,114.93,115.59,675,1490140800
ok,114.93,116.25,114.01,114.93,1576,1490227200
ok,114.27,117.43,112.96,116.25,2073,1490486400
ok,116.25,118.09,116.77,118.09,520,1490659200
ok,118.09,119.67,117.43,117.43,2252,1490745600
ok,117.43,118.22,116.38,116.77,616,1490832000
ok,116.77,117.43,116.77,117.43,5785,1491091200
ok,118.09,118.09,116.12,116.12,599,1491177600
ok,116.12,117.43,115.46,116.9,701,1491264000
ok,116.9,118.35,116.9,118.22,7059,1491436800
ok,118.22,120.59,118.22,120.19,1189,1491696000
ok,120.06,121.9,120.06,121.9,1182,1491782400
ok,122.43,122.82,120.46,122.82,2441,1491868800
ok,122.03,122.03,120.72,120.85,626,1491955200
ok,120.06,121.64,120.06,121.11,1332,1492041600
ok,120.32,120.72,120.32,120.46,110,1492300800
ok,120.72,120.72,119.93,120.46,977,1492473600
ok,120.46,121.24,119.93,120.72,866,1492560000
ok,121.38,121.77,120.59,120.98,2458,1492646400
ok,120.72,121.51,119.93,119.93,684,1492905600
ok,119.27,119.67,119.14,119.27,1148,1492992000
ok,119.4,120.06,119.27,119.53,496,1493078400
ok,119.53,119.67,118.75,119.4,1689,1493164800
ok,118.61,119.53,117.56,119.53,893,1493251200
ok,118.75,118.75,117.96,118.61,240,1493510400
ok,117.83,119.4,117.83,118.61,609,1493683200
ok,118.22,122.3,118.09,122.3,1063,1493769600
ok,122.16,122.16,120.72,120.72,664,1493856000
ok,120.06,120.19,120.06,120.19,140,1494115200
ok,119.4,119.53,119.4,119.53,192,1494201600
ok,119.53,120.59,118.75,120.59,1126,1494288000
ok,120.85,124.66,120.85,122.43,2467,1494460800
ok,122.43,122.43,120.85,121.51,679,1494806400
ok,120.72,121.38,119.27,120.72,680,1494892800
