s,o,h,l,c,v,t
ok,178.83,196.24,178.83,196.24,980,1510617600
ok,199.59,215.66,199.59,215.66,2490,1510704000
ok,219.68,219.68,194.23,204.95,16351,1510790400
ok,204.95,200.93,184.85,186.19,5206,1511049600
ok,184.18,184.18,168.11,169.45,1770,1511136000
ok,167.44,168.78,165.43,168.11,1680,1511222400
ok,171.46,176.82,170.12,170.12,580,1511308800
ok,170.12,173.47,168.11,168.78,420,1511395200
ok,168.78,185.52,168.11,177.49,1430,1511654400
ok,174.14,181.51,170.12,177.49,2928,1511740800
ok,174.14,177.49,174.14,177.49,376,1511827200
ok,174.14,180.84,174.14,174.14,1820,1511913600
ok,174.14,176.82,173.47,174.81,2930,1512000000
ok,174.81,174.81,168.78,170.79,600,1512345600
ok,168.78,170.12,168.11,169.45,420,1512432000
ok,167.44,170.79,166.77,170.79,430,1512518400
ok,168.11,168.11,167.44,167.44,2287,1512864000
ok,164.09,166.77,164.09,164.09,240,1512950400
ok,164.09,169.45,161.41,169.45,160,1513036800
ok,170.79,170.79,162.08,164.76,843,1513123200
ok,162.08,162.08,160.74,160.74,50,1513209600
ok,160.07,162.08,158.06,160.74,220,1513468800
ok,161.41,161.41,157.39,157.39,110,1513555200
ok,158.06,158.06,155.39,155.39,210,1513641600
ok,154.05,155.39,152.71,153.38,500,1513728000
ok,153.38,153.38,151.37,151.37,240,1513814400
ok,148.69,152.04,146.01,148.02,1195,1514073600
ok,145.34,145.34,142.66,144.0,1570,1514246400
ok,141.32,141.32,135.96,138.64,100,1514332800
ok,135.96,138.64,135.96,137.97,280,1514419200
ok,137.97,144.0,133.95,141.32,940,1514678400
ok,141.32,145.34,141.32,145.34,80,1514764800
ok,142.66,148.02,142.66,146.01,130,1514851200
ok,143.33,144.67,143.33,144.67,40,1514937600
ok,141.99,145.34,141.99,145.34,50,1515024000
ok,147.35,147.35,144.67,147.35,160,1515283200
ok,147.35,153.38,147.35,153.38,270,1515369600
ok,153.38,153.38,152.04,153.38,110,1515456000
ok,150.7,153.38,148.02,153.38,90,1515542400
ok,154.05,154.05,148.69,148.69,90,1515888000
ok,146.01,146.01,144.0,144.0,90,1516060800
ok,144.0,146.68,142.66,144.67,423,1516147200
ok,141.99,146.01,141.99,144.0,220,1516492800
ok,141.32,146.01,141.32,144.67,120,1516579200
ok,141.99,143.33,141.99,142.66,110,1516665600
ok,145.34,147.35,143.33,147.35,340,1516752000
ok,147.35,147.35,144.67,144.67,90,1516838400
ok,141.99,144.0,141.99,144.0,100,1517097600
ok,142.66,146.01,142.66,144.0,250,1517184000
ok,142.66,142.66,139.31,140.65,160,1517356800
ok,137.97,138.64,137.97,138.64,70,1517443200
ok,138.64,139.98,138.64,138.64,300,1517702400
ok,137.97,137.97,136.63,136.63,70,1517788800
ok,136.63,136.63,136.63,136.63,40,1517875200
ok,136.63,139.31,136.63,138.64,880,1517961600
ok,135.96,139.98,135.29,138.64,70,1518048000
ok,139.31,141.32,139.31,141.32,140,1518307200
ok,139.31,139.31,139.31,139.31,30,1518393600
ok,139.31,144.0,133.95,144.0,330,1518566400
ok,144.67,148.69,144.67,146.01,190,1518652800
ok,146.01,148.69,141.32,141.32,520,1518912000
ok,140.65,143.33,140.65,141.99,130,1519084800
ok,139.31,143.33,139.31,143.33,100,1519171200
ok,140.65,143.33,140.65,142.66,540,1519257600
ok,140.65,140.65,135.96,140.65,160,1519516800
ok,142.66,142.66,137.3,137.97,50,1519603200
ok,137.97,137.97,137.97,137.97,10,1519689600
ok,135.29,137.3,135.29,135.96,70,1519776000
ok,133.28,133.28,131.27,131.27,170,1520121600
ok,133.28,133.28,125.25,127.26,220,1520294400
ok,125.25,131.27,123.24,131.27,70,1520380800
ok,131.27,131.94,129.93,129.93,1866,1520726400
ok,129.93,132.61,129.93,132.61,130,1520812800
ok,133.28,133.28,133.28,133.28,10,1520899200
ok,133.28,133.28,133.28,133.28,10,1520985600
ok,131.27,131.27,130.6,130.6,40,1521072000
ok,128.59,131.27,126.59,126.59,110,1521331200
ok,124.58,125.25,124.58,124.58,80,1521417600
ok,122.57,123.24,120.56,120.56,80,1521504000
ok,120.56,120.56,118.55,120.56,80,1521590400
ok,118.55,120.56,118.55,120.56,70,1521676800
ok,120.56,120.56,118.55,118.55,30,1522022400
ok,118.55,120.56,116.54,120.56,70,1522108800
ok,120.56,120.56,120.56,120.56,30,1522195200
ok,120.56,122.57,120.56,122.57,170,1522281600
ok,122.57,128.59,122.57,126.59,280,1522540800
ok,124.58,126.59,123.91,126.59,70,1522627200
ok,128.59,128.59,127.26,127.26,160,1522713600
ok,130.6,130.6,128.59,130.6,60,1522800000
ok,128.59,131.27,126.59,127.92,150,1522886400
ok,125.92,129.26,125.92,129.26,180,1523145600
ok,128.59,132.61,126.59,127.92,710,1523232000
ok,124.58,127.26,123.24,127.26,280,1523318400
