s,o,h,l,c,v,t
ok,61.46,61.46,60.89,61.46,6400,1325376000
ok,61.46,61.46,61.46,61.46,1500,1325462400
ok,61.46,62.02,61.46,62.02,3110,1325548800
ok,62.02,61.46,60.33,60.33,3000,1325635200
ok,60.33,60.89,60.33,60.89,403500,1325980800
ok,60.89,61.46,59.77,61.46,648225,1326067200
ok,61.46,62.02,61.46,62.02,8000,1326153600
ok,62.02,63.14,62.58,63.14,70,1326240000
ok,63.14,62.58,62.58,62.58,500,1326326400
ok,62.58,62.02,62.02,62.02,1000,1326672000
ok,62.02,62.02,61.46,61.46,3000,1326758400
ok,61.46,62.02,61.46,61.46,2000,1327190400
ok,61.46,60.89,60.89,60.89,2000,1327536000
ok,60.89,60.89,60.33,60.89,6000,1327795200
ok,60.89,60.33,60.33,60.33,1200,1328054400
ok,60.33,59.77,59.21,59.21,2000,1328400000
ok,59.21,59.77,59.21,59.21,2500,1328572800
ok,59.21,59.21,58.64,58.64,1860,1328659200
ok,58.64,60.89,59.21,60.89,1050,1328745600
ok,60.89,60.33,60.33,60.33,1000,1329004800
ok,60.33,62.02,60.33,62.02,781,1329091200
ok,62.02,61.46,61.46,61.46,190,1329350400
ok,61.46,61.46,61.46,61.46,1000,1329782400
ok,61.46,60.89,60.89,60.89,250,1330214400
ok,60.89,60.89,60.89,60.89,60,1330387200
ok,60.89,61.46,61.46,61.46,100,1330905600
ok,61.46,60.89,60.33,60.33,300,1331424000
ok,60.33,59.77,59.77,59.77,300,1331510400
ok,59.77,59.77,59.77,59.77,400,1331596800
ok,59.77,59.77,59.77,59.77,100,1332115200
ok,59.77,59.21,58.64,58.64,2300,1332979200
ok,58.64,58.08,56.39,56.39,12800,1333238400
ok,56.39,56.39,55.27,56.39,20100,1333324800
ok,56.39,57.52,55.83,57.52,5400,1333411200
ok,57.52,58.08,56.39,56.96,9000,1333497600
ok,56.96,56.96,56.39,56.39,4000,1333584000
ok,56.39,56.39,55.83,55.83,25000,1333843200
ok,55.83,56.96,55.83,56.96,15000,1333929600
ok,56.96,58.64,57.52,58.08,6200,1334016000
ok,58.08,59.21,56.96,56.96,5600,1334102400
ok,56.96,58.08,56.39,58.08,4400,1334188800
ok,58.08,60.33,58.64,59.77,29800,1334448000
ok,59.77,60.33,60.33,60.33,100,1334534400
ok,60.33,61.46,60.89,60.89,11600,1334620800
ok,60.89,63.14,60.33,63.14,10505,1334707200
ok,63.14,64.83,62.02,63.14,24800,1334793600
ok,63.14,65.96,63.71,65.39,63050,1335052800
ok,65.39,67.64,65.96,67.64,1800,1335225600
ok,67.64,69.33,68.21,69.33,34020,1335312000
ok,69.33,72.71,69.33,72.71,84660,1335398400
ok,72.71,76.64,73.27,76.64,23280,1335657600
ok,76.64,81.14,77.21,80.02,64618,1335744000
ok,80.02,84.52,75.52,75.52,55215,1335916800
ok,75.52,76.64,76.08,76.64,150,1336003200
ok,76.64,80.58,78.33,80.58,14380,1336348800
ok,80.58,83.96,81.14,83.39,13110,1336435200
ok,83.39,83.96,80.58,81.14,3750,1336521600
ok,81.14,80.58,76.64,76.64,56480,1336608000
ok,76.64,76.64,76.08,76.08,420,1336867200
ok,76.08,75.52,73.83,73.83,1050,1336953600
ok,73.83,77.77,74.39,77.21,18400,1337040000
ok,77.21,79.46,77.21,79.46,9250,1337126400
ok,79.46,80.58,77.77,78.89,15090,1337212800
ok,78.89,78.33,74.39,74.39,24110,1337472000
ok,74.39,74.96,72.14,72.71,35630,1337558400
ok,72.71,76.08,71.58,75.52,10210,1337644800
ok,75.52,76.08,76.08,76.08,520,1337817600
ok,76.08,76.64,76.08,76.08,70,1338076800
ok,76.08,75.52,72.14,72.14,430,1338422400
ok,72.14,71.58,68.77,68.77,17950,1338681600
ok,68.77,68.21,65.96,65.96,14600,1338768000
ok,65.96,65.96,63.14,64.27,7730,1338854400
ok,64.27,65.96,63.71,65.96,13350,1338940800
ok,65.96,68.77,65.96,66.52,32500,1339027200
ok,66.52,67.64,66.52,67.08,17770,1339286400
ok,67.08,67.08,66.52,66.52,3000,1339372800
ok,66.52,66.52,64.83,64.83,5900,1339459200
ok,64.83,67.08,65.39,65.39,8010,1339545600
ok,65.39,66.52,65.39,66.52,1860,1339632000
ok,66.52,66.52,64.83,65.39,4400,1339891200
ok,65.39,65.39,64.83,64.83,7000,1339977600
ok,64.83,64.27,64.27,64.27,2000,1340064000
ok,64.27,67.08,64.83,67.08,9736,1340150400
ok,67.08,69.33,67.64,68.21,34000,1340236800
ok,68.21,68.77,67.08,67.08,7983,1340582400
ok,67.08,66.52,65.39,65.96,5500,1340668800
ok,65.96,68.77,66.52,68.21,20615,1340755200
ok,68.21,69.33,67.08,67.64,24710,1340841600
ok,67.64,67.08,66.52,67.08,16400,1341100800
ok,67.08,66.52,63.71,63.71,64750,1341187200
ok,63.71,63.14,61.46,63.14,20970,1341273600
ok,63.14,63.14,62.02,63.14,33200,1341360000
ok,63.14,63.71,62.58,62.58,22000,1341446400
ok,62.58,63.14,62.02,62.02,18100,1341705600
ok,62.02,62.58,61.46,62.58,61400,1341792000
ok,62.58,64.27,63.14,64.27,2700,1341878400
ok,64.27,64.83,64.27,64.27,2200,1341964800
ok,64.27,64.83,61.46,61.46,67100,1342051200
ok,61.46,64.27,62.02,64.27,3125,1342310400
ok,64.27,63.71,63.14,63.14,7050,1342396800
ok,63.14,64.27,63.71,64.27,4760,1342483200
ok,64.27,64.83,64.27,64.27,5050,1342569600
ok,64.27,64.27,63.14,63.14,19800,1342656000
ok,63.14,64.83,63.71,64.27,14367,1342915200
ok,64.27,65.39,63.71,63.71,23090,1343001600
ok,63.71,64.27,63.14,64.27,8715,1343088000
ok,64.27,64.27,63.71,63.71,4500,1343174400
ok,63.71,64.27,64.27,64.27,25000,1366156800
ok,64.27,65.39,64.83,65.39,20,1366243200
ok,65.39,68.21,65.96,68.21,50,1366502400
ok,68.21,71.58,68.77,71.58,1060,1366588800
ok,71.58,74.96,72.14,74.96,3060,1366675200
ok,74.96,78.89,75.52,76.64,104705,1366848000
ok,76.64,78.33,72.71,72.71,173321,1367107200
ok,72.71,73.27,69.89,72.71,21350,1367193600
ok,72.71,72.14,70.46,71.02,18000,1367280000
ok,71.02,70.46,67.64,67.64,19780,1367452800
ok,67.64,67.08,64.27,64.27,11420,1367712000
ok,64.27,63.71,61.46,62.02,10600,1367798400
ok,62.02,63.71,62.58,63.71,30,1367971200
ok,63.71,64.27,64.27,64.27,10,1368057600
ok,64.27,67.08,64.83,67.08,12060,1368403200
ok,67.08,70.46,67.64,70.46,39880,1368489600
ok,70.46,71.02,67.08,67.08,11620,1372118400
ok,67.08,66.52,64.83,64.83,17680,1372204800
ok,64.83,65.96,64.27,65.96,6910,1372291200
ok,65.96,65.39,64.27,64.27,14167,1372550400
ok,64.27,65.96,63.71,65.96,2850,1372636800
ok,65.96,67.08,65.39,66.52,17470,1372723200
ok,66.52,66.52,65.39,65.39,8000,1372809600
ok,65.39,67.64,64.83,67.64,70360,1372896000
ok,67.64,67.08,67.08,67.08,1000,1373155200
ok,67.08,66.52,66.52,66.52,120,1373241600
ok,66.52,65.96,64.83,65.39,5500,1373328000
ok,65.39,65.39,64.27,64.27,16110,1373414400
ok,64.27,66.52,64.83,66.52,24280,1373500800
ok,66.52,68.77,67.08,68.77,160,1373760000
ok,68.77,68.21,66.52,66.52,510,1373932800
ok,66.52,67.08,67.08,67.08,100,1374019200
ok,67.08,66.52,64.83,64.83,7900,1374105600
ok,64.83,65.96,64.83,65.96,4410,1374364800
ok,65.96,65.39,64.83,64.83,3500,1374451200
ok,64.83,65.39,64.83,64.83,7340,1374537600
ok,64.83,64.83,64.27,64.27,9000,1374624000
ok,64.27,64.83,64.27,64.27,1100,1374710400
ok,64.27,64.83,63.71,64.27,22560,1374969600
ok,64.27,64.83,64.27,64.27,11000,1375056000
ok,64.27,64.27,64.27,64.27,3000,1375142400
ok,64.27,64.27,64.27,64.27,200,1375228800
ok,64.27,65.39,63.71,63.71,8010,1375315200
