s,o,h,l,c,v,t
ok,282.3,310.5,282.3,310.5,194,1638144000
ok,316.7,341.5,316.7,341.5,171,1638230400
ok,348.3,375.6,348.3,375.6,150,1638316800
ok,375.6,413.1,375.6,413.1,390,1638403200
ok,421.3,454.4,421.3,454.4,1533,1638662400
ok,463.4,499.8,409.0,433.0,81212,1638748800
ok,441.0,459.0,414.0,416.0,30287,1638835200
ok,408.0,410.0,400.0,408.0,10795,1638921600
ok,399.9,404.0,385.0,393.0,12424,1639008000
ok,387.0,392.0,364.0,365.0,17386,1639267200
ok,358.0,386.0,332.0,347.0,10591,1639353600
ok,350.0,381.7,350.0,381.7,4849,1639440000
ok,389.3,412.0,363.0,372.0,17495,1639526400
ok,365.0,385.5,360.0,363.0,5854,1639612800
ok,362.0,362.0,343.0,347.0,4850,1639958400
ok,349.0,356.9,344.0,356.9,5216,1640044800
ok,357.0,378.0,357.0,378.0,7385,1640131200
ok,378.1,380.0,365.1,371.0,8049,1640217600
ok,370.1,377.0,362.6,375.0,8054,1640476800
ok,375.0,375.0,358.0,360.0,11881,1640563200
ok,355.0,362.4,351.0,358.0,4065,1640649600
ok,351.2,372.0,351.2,364.0,4050,1640736000
ok,356.8,386.1,353.0,383.0,11390,1641081600
ok,375.4,390.0,362.0,379.0,13813,1641168000
ok,371.5,388.0,367.1,384.0,7729,1641254400
ok,384.0,397.8,371.0,382.0,14924,1641340800
ok,375.0,393.0,369.1,393.0,11525,1641427200
ok,390.1,432.3,390.1,430.0,24892,1641686400
ok,430.0,439.9,420.0,439.0,20907,1641772800
ok,431.0,482.0,431.0,482.0,31728,1641859200
ok,482.0,486.0,460.0,482.0,25627,1641945600
ok,472.4,485.0,463.0,481.0,20163,1642032000
ok,481.0,489.6,469.0,470.1,32274,1642291200
ok,463.0,492.0,460.0,492.0,28599,1642377600
ok,492.0,505.0,490.0,499.0,30733,1642464000
ok,499.0,499.0,481.0,484.1,13433,1642550400
ok,475.0,529.0,474.6,527.0,34689,1642636800
ok,530.0,545.0,510.0,517.0,31446,1642896000
ok,517.0,520.0,480.0,492.0,37075,1642982400
ok,486.0,503.0,472.0,485.1,18223,1643068800
ok,477.0,485.0,463.0,473.0,11451,1643155200
ok,473.0,481.0,465.0,475.0,9620,1643241600
ok,484.5,510.0,484.5,505.0,25004,1643500800
ok,505.0,505.0,488.0,489.0,9895,1643587200
ok,495.0,524.0,481.0,509.0,21831,1643673600
ok,509.0,530.2,503.0,530.0,56373,1643846400
ok,527.0,527.0,503.0,515.0,34028,1644105600
ok,504.8,515.0,499.1,509.0,11704,1644192000
ok,509.0,529.2,495.1,498.0,18203,1644278400
ok,490.0,500.0,480.2,489.9,13550,1644364800
ok,480.2,499.8,475.0,478.0,13357,1644451200
ok,468.5,469.0,448.0,451.0,21099,1644710400
ok,451.0,459.0,444.0,445.0,7201,1644796800
ok,445.0,489.5,437.0,489.5,11328,1644883200
ok,490.0,490.0,457.7,475.0,17166,1644969600
ok,465.5,483.0,460.0,483.0,7677,1645056000
ok,473.4,507.0,464.0,491.6,30263,1645315200
ok,482.0,516.0,482.0,511.0,28319,1645401600
ok,520.0,555.0,512.0,535.0,68842,1645488000
ok,545.7,566.0,530.0,550.0,44722,1645574400
ok,550.0,550.8,518.0,520.0,37596,1645660800
ok,520.0,535.0,510.0,525.0,30184,1645920000
ok,535.0,545.0,490.0,490.0,25258,1646006400
ok,481.0,490.0,472.6,475.0,11964,1646179200
ok,484.5,488.0,470.0,488.0,16335,1646524800
ok,497.5,497.5,478.3,486.0,8970,1646611200
ok,494.7,494.7,464.0,470.0,10317,1646784000
ok,470.0,517.0,447.0,503.0,16084,1646870400
ok,513.0,517.0,491.1,505.0,27030,1647129600
ok,495.0,504.9,486.1,490.4,6148,1647216000
ok,483.2,499.7,467.0,476.0,19314,1647302400
ok,485.5,489.2,470.5,483.5,8788,1647388800
ok,475.0,493.1,475.0,484.0,6100,1647734400
ok,490.0,496.0,475.1,489.0,9304,1647820800
ok,498.6,498.6,478.0,484.0,7378,1647907200
ok,483.0,483.0,470.0,471.0,12633,1647993600
ok,471.0,475.0,467.0,469.0,7182,1648080000
ok,459.7,470.0,447.0,453.0,13798,1648339200
ok,460.0,469.1,442.0,444.0,5974,1648425600
ok,436.0,459.0,436.0,449.7,9089,1648512000
ok,440.8,464.2,440.8,463.0,7335,1648598400
ok,458.0,470.0,451.1,451.1,8375,1648684800
ok,442.2,454.9,442.0,454.9,4216,1648944000
ok,445.9,450.0,439.0,450.0,4533,1649030400
ok,441.0,441.0,425.0,438.0,10520,1649116800
ok,429.3,441.0,419.9,436.0,6185,1649203200
ok,444.0,444.0,425.0,429.1,10979,1649289600
ok,435.0,443.7,421.5,427.0,11615,1649635200
ok,420.0,422.0,397.1,401.1,9734,1649721600
ok,394.0,411.9,394.0,410.0,5670,1649808000
ok,410.0,417.0,397.0,400.0,4681,1650153600
ok,392.0,400.0,381.0,381.0,4772,1650240000
ok,380.0,390.0,361.2,387.0,7350,1650326400
ok,382.0,401.0,368.0,375.0,5304,1650412800
ok,370.0,399.8,360.0,390.0,5538,1650499200
ok,395.0,419.8,374.6,419.8,12837,1650758400
ok,412.0,424.3,398.0,400.0,11852,1650844800
ok,392.1,408.0,390.3,396.0,5881,1650931200
ok,389.0,403.9,386.1,395.0,3525,1651017600
ok,387.1,402.9,387.1,393.3,8301,1651104000
ok,386.0,393.0,374.1,375.0,5895,1651449600
ok,368.0,380.0,361.0,363.0,4666,1651622400
ok,363.0,363.0,344.2,353.0,7144,1651708800
ok,348.0,360.0,336.0,354.4,7743,1651968000
ok,349.0,362.0,349.0,351.0,4450,1652054400
ok,346.0,367.2,346.0,366.0,5366,1652140800
ok,373.1,388.0,360.0,384.0,11876,1652227200
ok,391.6,401.8,377.0,389.7,15321,1652313600
ok,382.0,382.0,365.6,369.0,5725,1652745600
ok,370.0,384.0,351.3,380.0,4429,1652832000
ok,372.5,381.0,366.1,366.1,3372,1652918400
ok,358.8,373.4,352.3,361.5,2658,1653004800
