s,o,h,l,c,v,t
ok,300.0,300.0,270.0,270.0,13121,1670976000
ok,264.6,264.6,243.0,243.0,6205,1671062400
ok,238.2,238.2,218.7,218.7,6609,1671321600
ok,214.4,214.4,196.9,205.5,163559,1671408000
ok,201.4,209.2,198.5,205.8,55571,1671494400
ok,202.0,205.5,200.5,204.9,29210,1671580800
ok,204.0,204.0,197.1,199.0,38684,1671667200
ok,202.9,210.1,197.0,205.0,48390,1672012800
ok,202.0,215.0,202.0,210.0,70046,1672099200
ok,207.0,213.9,203.5,208.0,37641,1672185600
ok,208.0,219.0,205.1,214.1,33748,1672272000
ok,214.1,225.4,213.9,218.0,89702,1672531200
ok,213.8,229.9,213.7,228.0,74947,1672617600
ok,228.0,239.3,225.0,234.0,43536,1672704000
ok,229.4,252.9,229.4,250.0,69470,1672790400
ok,250.0,258.0,238.1,249.0,68130,1672876800
ok,253.9,268.0,240.3,253.8,90591,1673136000
ok,249.0,279.1,249.0,279.1,94077,1673222400
ok,281.0,300.0,267.0,275.0,83862,1673308800
ok,277.0,288.0,270.0,270.0,78962,1673481600
ok,270.0,297.0,270.0,297.0,83296,1673913600
ok,302.0,326.7,302.0,326.7,53835,1674000000
ok,333.2,359.3,316.0,345.0,301371,1674086400
ok,345.0,379.5,339.0,374.5,127279,1674432000
ok,370.0,402.0,353.0,390.0,76695,1674518400
ok,391.6,405.0,372.5,377.0,157234,1674604800
ok,372.0,384.4,365.0,370.0,94783,1674691200
ok,362.6,374.0,355.4,361.8,57465,1674950400
ok,357.2,394.0,357.2,380.0,252453,1675036800
ok,378.0,416.1,376.1,397.6,116340,1675123200
ok,397.0,405.0,385.0,399.0,98335,1675209600
ok,392.0,403.9,377.3,383.0,82932,1675296000
ok,376.0,400.0,370.2,377.0,58573,1675555200
ok,376.0,384.5,371.2,379.9,47053,1675641600
ok,380.0,398.4,375.0,390.5,94538,1675728000
ok,383.0,399.0,383.0,384.9,52431,1675814400
ok,384.0,397.5,380.0,394.8,53795,1675900800
ok,387.0,387.0,371.8,375.0,94119,1676160000
ok,368.0,375.0,362.0,375.0,30264,1676332800
ok,368.0,377.0,362.0,370.0,36445,1676419200
ok,362.7,373.0,359.0,364.0,22780,1676505600
ok,360.0,363.0,353.0,356.0,35845,1676851200
ok,356.0,376.9,355.0,367.1,34212,1677024000
ok,360.0,367.0,354.1,362.0,29931,1677110400
ok,354.8,366.0,342.7,364.9,48860,1677369600
ok,358.0,365.1,343.0,360.0,36146,1677456000
ok,355.0,374.0,355.0,368.0,42240,1677542400
ok,368.0,368.0,357.0,358.1,11233,1677628800
ok,351.0,355.0,350.0,350.1,25310,1677715200
ok,345.5,350.5,335.1,337.5,26048,1677974400
ok,334.0,349.0,334.0,343.0,18887,1678147200
ok,336.5,377.0,336.5,364.1,39404,1678320000
ok,365.0,371.3,359.0,360.1,39279,1678579200
ok,360.0,369.9,353.0,363.1,32231,1678665600
ok,356.3,378.4,356.3,365.1,55495,1678752000
ok,365.0,367.9,358.1,362.9,18737,1678838400
ok,356.1,370.0,356.1,359.1,45526,1678924800
ok,353.0,386.0,353.0,362.7,32157,1679184000
ok,357.0,370.0,357.0,364.3,19240,1679270400
ok,364.0,371.0,359.0,359.0,21200,1679443200
ok,352.1,357.0,349.0,351.3,25563,1679529600
ok,346.0,355.9,346.0,350.0,33085,1679788800
ok,344.0,361.0,338.0,361.0,18085,1679875200
ok,356.0,369.8,356.0,362.0,19252,1679961600
ok,355.1,365.1,355.1,361.2,19680,1680048000
ok,360.0,367.0,353.2,354.0,18861,1680134400
ok,354.0,361.0,343.0,344.9,20169,1680393600
ok,338.2,347.0,335.3,336.4,25781,1680480000
ok,343.1,343.6,331.1,338.0,20110,1680566400
ok,332.0,343.0,331.5,339.9,11411,1680652800
ok,339.0,342.0,334.4,340.0,16620,1680739200
ok,333.2,335.0,322.0,329.9,19004,1680998400
ok,323.4,343.0,321.1,323.1,12360,1681084800
ok,320.0,332.0,318.1,320.0,15360,1681171200
ok,320.0,345.0,320.0,344.6,25405,1681257600
ok,345.0,351.0,331.1,336.9,15668,1681344000
ok,332.0,337.0,328.0,334.0,12230,1681603200
ok,330.0,340.0,325.5,325.5,10926,1681689600
ok,319.0,336.0,319.0,330.0,9668,1681776000
ok,325.5,337.0,325.5,335.0,9720,1681862400
ok,330.0,332.0,324.5,325.0,7891,1681948800
ok,320.0,323.0,319.3,319.6,9302,1682208000
ok,315.3,324.9,315.3,323.0,6783,1682294400
ok,316.7,340.0,316.7,326.0,14073,1682380800
ok,319.5,332.0,319.5,322.1,7355,1682467200
ok,317.0,328.0,317.0,319.1,12176,1682553600
ok,315.0,320.0,312.0,312.0,14630,1682812800
ok,306.0,312.0,303.8,308.0,12775,1682985600
ok,302.2,306.0,299.0,301.1,12139,1683072000
ok,295.1,319.0,295.1,310.0,12865,1683158400
ok,310.0,321.0,304.0,319.0,19105,1683417600
ok,312.7,318.0,305.0,309.0,7445,1683504000
ok,310.0,315.0,304.0,312.0,9600,1683590400
ok,315.0,315.0,303.3,310.0,5424,1683676800
ok,304.2,315.0,300.3,306.0,9505,1683763200
ok,305.0,313.0,298.0,300.0,16150,1684022400
ok,294.0,306.0,289.1,297.7,8289,1684108800
ok,293.4,309.0,293.1,309.0,7545,1684195200
ok,302.9,315.0,297.0,312.0,12720,1684281600
ok,312.0,321.5,305.8,319.0,25293,1684368000
ok,317.0,323.0,312.6,317.0,12428,1684627200
ok,311.0,322.5,311.0,321.0,10860,1684713600
ok,320.0,341.0,317.3,340.0,76038,1684800000
ok,340.0,340.0,324.0,335.0,29595,1684886400
ok,336.0,339.7,326.7,326.7,33390,1685232000
ok,320.2,323.0,312.5,320.0,16702,1685404800
ok,313.6,325.0,301.9,307.0,30000,1685491200
ok,309.0,317.0,302.1,312.1,27730,1685577600
ok,318.0,330.0,312.1,325.0,20539,1685836800
ok,327.0,332.5,316.1,316.1,42313,1685923200
ok,315.0,330.0,315.0,327.0,16572,1686009600
ok,322.2,340.0,322.2,335.0,34304,1686096000
ok,329.0,337.6,325.3,334.5,36986,1686182400
ok,335.0,354.0,329.1,350.0,74695,1686441600
ok,353.0,361.0,350.0,358.0,56929,1686528000
ok,350.9,369.0,348.0,365.0,60221,1686614400
ok,365.0,372.3,351.9,359.0,66126,1686700800
ok,360.0,373.4,346.2,355.1,30189,1686787200
ok,348.0,368.0,348.0,367.0,39235,1687046400
ok,367.0,381.0,356.3,370.0,23323,1687132800
ok,363.0,377.0,351.3,359.0,34232,1687219200
ok,352.0,365.0,350.0,356.0,63081,1687305600
ok,354.0,361.0,343.0,345.0,61789,1687392000
ok,350.0,364.0,338.2,350.0,42614,1687651200
ok,345.0,365.0,344.2,344.6,32625,1687737600
ok,350.0,359.9,340.0,347.0,17168,1687824000
ok,341.0,355.0,341.0,346.0,30357,1687910400
ok,342.0,359.0,337.0,337.0,32641,1688256000
ok,335.0,350.0,335.0,338.0,21146,1688342400
ok,335.5,360.0,330.2,353.9,27167,1688428800
ok,360.9,360.9,328.5,333.0,32821,1688515200
ok,339.5,339.5,324.1,333.8,17340,1688601600
ok,327.2,349.0,327.0,330.0,21065,1688860800
ok,325.1,330.0,321.1,324.0,12916,1688947200
ok,330.0,330.0,315.0,325.5,16266,1689033600
ok,319.0,340.0,319.0,339.0,15388,1689120000
ok,333.0,345.0,318.0,318.5,73744,1689206400
ok,319.0,345.7,316.1,335.0,13150,1689465600
ok,328.3,329.9,321.8,325.0,17220,1689552000
ok,331.5,331.5,322.0,329.4,12679,1689638400
ok,324.0,331.5,320.0,331.5,8340,1689724800
ok,324.9,338.1,319.1,333.0,18730,1689811200
ok,329.0,339.5,322.5,329.0,11127,1690070400
ok,325.0,341.2,325.0,332.8,22221,1690156800
ok,327.0,345.0,325.0,326.0,9285,1690243200
ok,326.0,330.0,322.0,324.0,10030,1690329600
ok,321.3,326.0,318.1,326.0,7589,1690416000
ok,332.5,332.5,313.7,313.7,8101,1690675200
ok,319.4,326.2,308.0,314.0,10900,1690761600
ok,308.1,320.0,307.0,307.0,6130,1690848000
ok,302.5,308.0,300.1,302.1,12140,1690934400
ok,297.1,308.0,297.0,300.0,20059,1691020800
ok,294.0,312.0,294.0,297.2,12350,1691280000
ok,293.0,312.0,288.0,299.0,11490,1691366400
ok,295.0,304.9,290.0,294.5,16130,1691452800
ok,288.8,300.0,285.0,300.0,10406,1691539200
ok,306.0,306.0,288.3,290.0,9529,1691625600
ok,286.0,299.9,282.3,287.0,13041,1691884800
ok,281.3,292.7,281.3,288.0,9014,1691971200
ok,282.3,283.0,275.0,279.9,10334,1692057600
ok,274.4,282.0,266.6,274.0,13959,1692144000
ok,268.7,283.0,266.0,280.0,29151,1692230400
ok,274.4,275.4,263.8,266.9,9767,1692489600
ok,266.0,270.0,255.2,255.3,7750,1692576000
ok,252.3,270.0,252.3,265.0,7827,1692662400
ok,270.0,270.3,255.0,269.9,9061,1692748800
ok,265.0,275.0,255.0,258.0,9035,1692835200
ok,253.0,263.1,247.0,252.0,12800,1693094400
ok,247.0,262.0,243.2,245.1,6280,1693180800
ok,242.5,246.0,241.2,245.0,7326,1693267200
ok,249.8,254.7,237.2,245.0,9340,1693353600
ok,240.1,240.1,235.1,236.0,5350,1693699200
ok,233.0,254.6,231.0,254.5,9923,1693785600
ok,249.5,250.0,237.1,249.4,6706,1693872000
ok,244.5,244.5,232.0,232.1,10700,1694044800
ok,233.0,245.0,230.0,235.0,6060,1694304000
ok,230.3,255.0,230.3,250.0,16105,1694390400
ok,245.0,255.0,240.4,245.0,4655,1694476800
ok,240.1,263.0,236.0,263.0,9240,1694563200
ok,257.8,257.8,240.0,248.8,24259,1694908800
ok,250.0,255.0,238.0,251.0,9446,1694995200
ok,256.0,276.1,246.1,275.0,32728,1695081600
ok,276.0,300.0,272.0,290.0,41134,1695254400
ok,284.2,285.2,270.6,275.0,30936,1695513600
ok,269.6,292.8,266.1,285.0,27388,1695600000
ok,289.0,313.0,284.0,300.0,44104,1695686400
ok,300.0,305.9,278.5,280.0,25370,1695772800
ok,275.0,303.0,263.0,297.0,25658,1696118400
ok,291.1,291.1,268.7,281.3,24873,1696204800
ok,275.7,290.0,270.0,284.0,15566,1696291200
ok,278.4,282.0,270.5,279.0,19809,1696377600
ok,273.6,295.9,272.0,275.5,14725,1696464000
ok,271.1,271.1,264.8,264.9,17375,1696723200
ok,269.9,270.0,253.0,258.2,8108,1696809600
ok,255.0,259.0,251.0,257.0,10281,1696896000
ok,252.0,265.0,247.2,265.0,9629,1696982400
ok,259.7,259.7,246.0,254.0,4899,1697068800
ok,250.0,250.0,240.2,242.0,15679,1697414400
ok,240.0,250.9,239.3,240.0,8180,1697500800
ok,240.0,249.9,236.5,249.9,6811,1697587200
ok,249.0,250.0,238.7,246.8,7799,1697673600
ok,245.1,245.1,236.1,237.0,7530,1698537600
ok,234.0,242.7,234.0,239.1,4570,1698624000
ok,234.4,238.0,230.2,233.5,6960,1698710400
ok,230.0,238.0,230.0,234.0,4755,1698796800
ok,230.0,232.0,226.1,229.0,6626,1698883200
ok,225.5,226.0,218.1,220.0,12343,1699142400
ok,217.0,233.3,217.0,228.9,8094,1699228800
ok,225.0,248.8,225.0,236.5,14240,1699315200
ok,232.0,255.9,232.0,254.0,20148,1699401600
ok,254.9,254.9,241.3,244.0,7296,1699488000
ok,244.0,245.0,230.0,231.0,10584,1700438400
ok,227.0,230.5,217.2,220.0,16128,1700524800
ok,216.0,240.7,216.0,240.7,6720,1700611200
ok,235.9,242.0,222.1,234.5,9185,1700697600
ok,235.0,244.8,231.1,243.0,18249,1700956800
ok,239.0,246.7,235.0,239.9,8715,1701043200
ok,238.0,249.0,227.4,239.7,12190,1701129600
ok,239.7,236.0,231.1,231.1,15030,1701216000
ok,230.0,235.6,227.0,228.1,9034,1701302400
ok,224.0,230.2,222.1,228.5,3890,1701561600
ok,224.1,236.6,224.1,230.0,5770,1701648000
ok,227.0,234.6,225.1,228.0,5875,1701734400
ok,224.0,232.0,221.3,230.0,11750,1701820800
ok,225.4,234.7,222.5,234.0,6418,1701907200
ok,238.6,252.0,238.0,247.5,1390,1702166400
ok,252.0,267.3,233.0,262.0,40057,1702252800
ok,256.8,270.0,243.0,268.0,47145,1702339200
ok,263.1,279.0,256.0,257.0,42860,1702425600
ok,252.0,276.0,252.0,273.0,39108,1702512000
ok,264.0,296.2,262.0,295.8,70099,1702771200
ok,290.2,308.1,290.2,297.0,68958,1702857600
ok,297.0,300.0,276.0,294.0,26033,1702944000
ok,289.0,321.4,289.0,309.0,71232,1703030400
ok,303.0,306.0,292.1,297.0,31474,1703116800
ok,292.0,323.9,292.0,305.0,68883,1703376000
ok,300.0,312.0,296.0,302.0,26155,1703635200
ok,296.0,308.0,290.0,298.0,37986,1703721600
ok,293.1,321.4,293.1,299.9,63615,1704067200
ok,300.0,322.5,297.0,302.0,65546,1704153600
ok,296.2,332.2,295.1,332.2,102531,1704240000
ok,338.8,339.0,321.5,328.0,119807,1704326400
ok,328.0,360.8,312.0,312.0,96281,1704585600
ok,318.2,336.2,318.2,335.0,86549,1704672000
ok,328.3,341.7,319.0,320.0,100603,1704758400
ok,316.0,327.0,311.0,315.0,53593,1704844800
ok,315.0,330.0,315.0,325.0,70422,1704931200
ok,330.0,350.0,326.0,339.9,74807,1705190400
ok,335.0,348.5,330.0,342.0,92824,1705363200
ok,338.0,341.1,315.1,319.0,92922,1705449600
ok,312.7,328.0,312.7,318.0,89948,1705536000
ok,317.0,346.0,317.0,324.1,111719,1705795200
ok,325.0,333.5,319.0,321.0,67784,1705881600
ok,321.0,328.0,316.7,317.3,59469,1705968000
ok,323.6,331.1,317.5,320.0,59600,1706054400
ok,316.0,323.5,316.0,317.0,27788,1706140800
ok,318.0,326.4,317.0,322.9,41853,1706400000
ok,320.0,332.5,320.0,325.5,42105,1706486400
ok,322.2,334.5,322.1,328.0,55364,1706572800
ok,333.0,357.0,330.0,344.1,199276,1706659200
ok,350.9,350.9,324.0,324.0,67370,1706745600
ok,320.0,327.7,317.0,317.9,41965,1707004800
ok,320.0,325.0,315.5,316.0,31357,1707091200
ok,317.0,327.0,317.0,323.8,25100,1707177600
ok,323.0,345.0,320.2,324.3,28031,1707264000
ok,321.0,338.6,320.0,331.0,70858,1707350400
ok,331.0,338.0,322.0,322.5,55104,1707609600
ok,320.2,332.0,318.3,329.0,43380,1707696000
ok,323.0,343.9,322.0,339.0,135278,1707782400
ok,335.0,360.0,333.3,356.5,260877,1707868800
ok,357.0,369.9,345.0,348.0,195335,1707955200
ok,343.1,369.1,332.0,349.9,112429,1708214400
ok,344.0,377.6,334.0,377.6,133943,1708387200
ok,370.1,370.1,340.0,348.0,172273,1708473600
ok,341.1,342.0,323.4,326.2,95869,1708560000
ok,320.0,330.0,316.0,316.1,63698,1708819200
ok,316.0,328.9,316.0,324.0,42957,1708905600
ok,326.0,345.8,319.0,320.1,19919,1708992000
ok,325.0,325.0,315.0,315.0,23455,1709078400
ok,315.0,316.0,298.0,298.0,53193,1709164800
ok,294.0,303.9,291.2,295.0,35095,1709424000
ok,300.9,323.9,300.9,320.0,6225,1709510400
ok,320.0,323.0,307.0,311.0,51229,1709596800
ok,311.0,321.9,305.6,318.0,45813,1709683200
ok,324.3,349.8,318.5,349.8,70585,1709769600
ok,356.7,356.7,325.5,325.5,81572,1710028800
ok,325.0,338.5,325.0,327.0,57993,1710201600
ok,327.0,337.7,324.5,333.0,49181,1710288000
ok,327.1,336.0,321.1,322.2,37573,1710374400
ok,320.0,328.0,316.0,318.4,18210,1710633600
ok,315.5,350.2,315.5,350.2,37842,1710720000
ok,343.2,343.2,324.0,326.0,144620,1710806400
ok,322.0,338.0,320.3,335.0,127971,1710892800
ok,328.3,350.0,324.0,337.0,169521,1710979200
ok,332.1,335.0,319.0,323.8,34387,1711324800
ok,319.1,340.9,318.0,329.0,96081,1711411200
ok,322.5,348.9,322.5,330.9,148298,1711497600
ok,324.3,344.0,323.4,324.0,61269,1711584000
ok,320.2,330.0,318.0,318.0,57988,1711843200
ok,317.0,324.0,316.0,317.8,32263,1711929600
ok,322.5,324.0,316.0,316.0,18139,1712016000
ok,314.5,321.0,310.0,313.8,27432,1712102400
ok,309.1,315.0,307.5,307.5,24588,1712188800
ok,304.0,313.0,304.0,310.0,22077,1712448000
ok,310.2,321.0,310.0,314.0,28257,1712620800
ok,312.0,318.0,310.0,312.0,29704,1712707200
ok,310.1,319.2,307.5,313.0,15675,1713052800
ok,308.5,315.0,307.9,308.0,25053,1713139200
ok,302.3,310.0,302.1,302.1,18211,1713225600
ok,309.9,309.9,293.9,294.0,23715,1713398400
ok,289.3,303.0,289.3,299.0,22310,1713657600
ok,296.0,308.7,296.0,299.0,24306,1713744000
ok,294.3,304.9,294.1,299.0,24462,1713916800
ok,295.0,301.0,294.3,295.1,12226,1714003200
ok,290.0,298.0,290.0,291.2,14951,1714262400
ok,290.0,299.0,290.0,293.5,8445,1714348800
ok,298.0,306.5,290.0,297.0,23134,1714435200
ok,294.0,302.9,294.0,295.0,16225,1714608000
ok,290.3,296.0,288.1,288.1,16867,1714867200
ok,289.1,292.7,284.0,287.9,15119,1714953600
ok,283.0,290.0,279.0,279.6,21936,1715040000
ok,275.1,307.0,275.1,282.0,4972,1715126400
ok,278.1,285.0,278.1,284.9,9664,1715212800
ok,280.3,293.5,280.1,284.2,10642,1715472000
ok,280.0,295.0,280.0,287.0,13268,1715558400
ok,284.0,299.0,284.0,298.0,26791,1715644800
ok,292.1,303.0,292.1,292.5,13980,1715731200
ok,287.0,295.0,287.0,287.3,12161,1715817600
ok,293.0,299.8,285.3,291.0,11101,1716076800
ok,293.0,304.8,291.4,294.0,30525,1716163200
ok,298.0,308.0,293.1,307.0,31008,1716249600
ok,307.0,307.0,297.4,300.0,19067,1716336000
ok,300.0,300.0,290.1,290.1,14137,1716681600
ok,290.0,295.9,286.3,289.1,8078,1716768000
ok,293.0,298.8,289.0,292.0,18380,1716940800
ok,287.0,300.0,287.0,295.0,27310,1717027200
ok,290.1,305.0,290.1,305.0,28670,1717286400
ok,300.0,314.8,300.0,307.0,54088,1717372800
ok,313.1,313.1,306.9,310.0,32981,1717459200
ok,313.0,313.0,302.0,305.6,24910,1717545600
ok,301.0,309.4,297.0,300.9,28707,1717632000
ok,300.0,306.0,299.0,300.1,22531,1717891200
ok,298.0,310.9,297.2,300.2,30719,1717977600
ok,306.2,325.0,303.0,320.0,124025,1718064000
ok,320.0,332.4,315.0,320.0,68019,1718150400
ok,320.0,332.0,317.2,331.0,82329,1718236800
ok,325.0,339.0,320.0,323.8,71461,1718496000
ok,318.0,324.0,313.0,318.9,82731,1718668800
ok,325.2,329.4,312.7,324.0,56091,1718755200
ok,317.6,336.9,317.6,326.0,62270,1718841600
ok,320.1,330.0,316.2,321.1,22928,1719100800
ok,314.7,339.0,314.7,319.0,42554,1719187200
ok,319.0,324.9,313.0,313.1,35042,1719273600
ok,312.0,332.0,310.0,314.0,31758,1719360000
ok,313.0,318.0,304.0,305.0,41990,1719446400
ok,305.0,312.0,302.0,308.0,18625,1719705600
ok,303.2,312.0,303.2,305.0,22215,1719792000
ok,311.1,324.6,305.0,312.0,37507,1719878400
ok,306.1,312.3,306.0,307.5,20632,1719964800
ok,303.0,318.0,303.0,310.0,31979,1720051200
ok,308.0,314.0,307.8,308.0,34829,1720310400
ok,301.9,320.0,301.9,306.0,20223,1720396800
ok,302.3,310.0,302.3,306.0,19289,1720483200
ok,306.2,311.7,306.2,308.0,37076,1720569600
ok,310.0,318.9,308.0,316.9,65892,1720656000
ok,323.2,328.0,316.0,321.0,38727,1720915200
ok,327.4,333.5,316.0,319.9,38656,1721001600
ok,317.6,351.8,317.4,343.5,107164,1721088000
ok,346.0,351.8,335.2,349.0,139239,1721174400
ok,349.8,374.0,335.3,355.0,171154,1721260800
ok,351.0,379.4,342.3,366.0,256616,1721520000
ok,370.0,397.5,366.0,390.0,248448,1721606400
ok,390.0,426.0,385.1,424.0,156823,1721692800
ok,424.1,432.0,406.0,409.0,142666,1721779200
ok,417.0,417.0,397.0,408.0,192600,1721865600
ok,416.1,424.3,400.0,424.3,142550,1722124800
ok,420.0,449.0,417.2,440.0,176854,1722211200
ok,431.4,468.0,431.4,455.0,161103,1722297600
ok,460.0,489.0,435.0,474.3,244030,1722384000
ok,464.9,464.9,430.0,431.0,225272,1722470400
ok,422.4,449.4,411.7,440.0,187907,1722816000
ok,435.0,441.1,397.0,403.0,113008,1722902400
ok,401.0,430.0,397.0,430.0,89165,1722988800
ok,430.0,437.0,420.1,428.0,174682,1723075200
ok,428.0,454.9,422.0,442.1,139257,1723334400
ok,442.0,445.0,428.0,429.0,173203,1723420800
ok,428.0,443.0,425.0,430.0,254385,1723507200
ok,430.0,444.0,426.0,442.6,155896,1723593600
ok,433.8,452.0,433.8,441.0,248668,1723680000
ok,449.0,449.0,410.0,414.1,158353,1723939200
ok,420.0,424.0,406.0,424.0,95121,1724198400
ok,424.0,432.4,414.1,425.0,81857,1724284800
ok,433.0,433.0,398.0,398.0,82278,1724544000
ok,398.0,413.0,371.6,385.0,55697,1724716800
ok,390.1,423.0,375.0,420.0,70765,1724803200
ok,412.0,452.0,385.2,452.0,207934,1724889600
ok,443.0,443.0,406.8,406.8,107581,1725148800
ok,399.8,423.0,384.2,402.0,129703,1725235200
ok,394.1,410.0,390.0,394.0,50898,1725321600
ok,400.0,400.0,373.0,375.0,75341,1725408000
ok,382.0,382.0,365.4,370.0,51681,1725494400
ok,377.0,384.4,367.0,373.0,40692,1725753600
ok,366.5,373.0,357.0,363.0,37260,1725840000
ok,360.0,370.0,347.0,348.0,51490,1725926400
ok,354.9,360.0,338.1,352.1,49420,1726012800
ok,348.0,363.0,345.0,362.0,33551,1726099200
ok,362.0,380.0,350.1,353.0,46975,1726358400
ok,346.2,355.0,337.2,337.2,24606,1726444800
ok,335.0,347.0,334.4,339.1,28505,1726617600
ok,345.8,359.0,338.0,338.1,20635,1726963200
ok,342.0,350.0,327.1,330.0,27053,1727049600
ok,329.0,335.0,317.1,317.1,26591,1727136000
ok,320.0,329.0,311.2,321.1,18335,1727222400
ok,326.8,330.0,317.0,327.0,27292,1727308800
ok,320.5,332.0,310.0,317.0,15692,1727568000
ok,323.3,326.0,314.0,324.5,12090,1727654400
ok,325.0,351.0,320.1,350.0,38392,1727740800
ok,352.0,355.0,333.5,350.0,32822,1727827200
ok,351.0,366.8,342.1,365.0,42178,1728172800
ok,361.0,395.8,361.0,392.7,81600,1728259200
ok,400.0,400.0,379.0,390.0,92330,1728345600
ok,395.0,422.2,393.0,415.3,202777,1728432000
ok,423.6,423.6,408.8,410.7,18190,1728950400
ok,410.7,420.0,408.8,414.9,43293,1729036800
ok,417.9,433.5,411.0,426.0,151384,1729123200
ok,430.0,451.0,409.0,434.0,313431,1729382400
ok,434.0,477.0,434.0,455.0,306236,1729468800
ok,464.1,488.0,460.0,475.0,233669,1729555200
ok,484.5,484.5,460.1,470.9,127697,1729641600
ok,470.0,515.0,455.1,508.0,506092,1729728000
ok,518.0,558.0,499.0,548.0,274133,1729987200
ok,537.1,537.1,511.0,515.0,310421,1730073600
ok,505.0,566.0,505.0,544.0,317852,1730160000
ok,550.0,594.0,531.0,548.1,215953,1730246400
ok,545.0,564.0,541.0,557.2,182575,1730764800
ok,557.0,612.0,547.0,608.0,422588,1730851200
ok,595.9,599.0,585.0,597.2,306349,1731196800
ok,590.1,633.0,576.4,595.2,271876,1731283200
ok,588.0,625.0,588.0,615.0,319827,1731369600
ok,610.0,664.0,606.0,664.0,295475,1731456000
ok,650.8,650.8,618.0,623.6,312969,1731542400
ok,612.0,670.0,602.1,632.0,318516,1731801600
ok,620.0,623.1,579.9,590.0,402032,1731974400
ok,579.0,584.0,569.0,584.0,230378,1732060800
ok,584.0,619.0,560.0,562.0,126388,1732147200
ok,573.0,573.0,545.0,549.9,318427,1732406400
ok,560.8,560.8,542.5,544.9,114319,1732492800
ok,555.7,560.0,544.0,554.0,101595,1732579200
ok,565.0,581.4,550.3,579.0,431451,1732665600
ok,580.0,589.0,553.0,561.0,134052,1732752000
ok,550.0,559.0,539.0,546.1,95526,1733011200
ok,536.0,575.0,536.0,570.1,254142,1733097600
ok,581.5,594.4,571.0,589.9,211860,1733184000
ok,601.6,601.6,570.3,573.0,161421,1733270400
ok,580.0,580.0,559.2,570.0,132577,1733356800
ok,563.3,574.0,558.3,559.1,74544,1733616000
ok,553.2,574.0,551.0,553.3,66183,1733702400
