s,o,h,l,c,v,t
ok,302.43,157.62,141.86,141.86,11220,1539129600
ok,139.88,139.88,128.06,133.97,13060,1539216000
ok,132.0,132.0,121.16,125.1,7190,1539475200
ok,123.13,128.06,121.16,125.1,4604,1539561600
ok,126.09,128.06,120.18,123.14,5393,1540080000
ok,121.17,121.17,117.23,119.2,7341,1540166400
ok,121.16,121.16,117.22,118.21,7130,1540252800
ok,117.22,125.1,116.23,125.1,5841,1540339200
ok,125.1,128.06,119.19,123.13,4410,1540425600
ok,125.1,127.07,119.19,123.13,3490,1540684800
ok,121.16,125.1,119.19,121.16,2490,1540771200
ok,119.2,126.09,119.2,124.12,3030,1540857600
ok,122.15,124.12,121.16,122.15,1630,1540944000
ok,120.18,128.06,118.21,126.09,2740,1541030400
ok,124.13,124.13,120.19,122.16,1060,1541289600
ok,120.19,122.16,120.19,122.16,1340,1541376000
ok,122.15,123.14,118.21,121.17,930,1542153600
ok,121.17,123.14,119.2,121.17,1410,1542240000
ok,121.17,125.11,119.2,124.13,3140,1542499200
ok,124.13,125.12,122.14,123.13,3160,1542585600
ok,123.13,125.12,117.17,123.13,2610,1542672000
ok,123.13,125.11,121.14,125.11,1971,1542758400
ok,125.12,125.12,121.14,122.14,900,1542844800
ok,122.14,124.12,119.16,122.14,2281,1543104000
ok,122.13,124.12,122.13,123.13,1260,1543190400
ok,123.12,125.11,122.13,122.13,1440,1543276800
ok,122.13,122.13,121.14,122.13,810,1543363200
ok,122.13,124.12,121.14,122.13,680,1543449600
ok,122.13,122.13,118.16,119.15,1000,1543708800
ok,119.15,120.14,116.17,119.15,1260,1543795200
ok,119.15,123.12,119.15,120.14,1130,1543881600
ok,120.13,122.17,119.11,122.17,750,1544054400
ok,122.16,122.16,120.13,120.13,250,1544313600
ok,120.13,124.2,120.13,124.2,610,1544400000
ok,124.2,124.2,119.11,119.11,540,1544486400
ok,119.1,122.16,115.03,122.16,420,1544572800
ok,122.16,124.2,118.09,118.09,670,1544659200
ok,118.09,122.16,118.09,122.16,390,1544918400
ok,122.16,122.16,119.11,120.12,160,1545004800
ok,120.12,122.16,118.09,120.12,1350,1545091200
ok,120.13,121.15,118.09,118.09,1411,1545177600
ok,118.1,119.11,115.04,117.08,1010,1545264000
ok,117.08,121.15,116.06,117.08,1440,1545523200
ok,117.08,117.08,111.99,115.04,2140,1545609600
ok,115.05,115.05,110.97,111.99,590,1545696000
ok,112.0,117.09,112.0,116.07,1680,1545782400
ok,116.07,116.07,113.02,114.04,740,1545868800
ok,114.04,114.04,110.98,114.04,440,1546128000
ok,114.03,117.09,114.03,115.05,510,1546214400
ok,115.05,117.08,114.03,116.07,550,1546300800
ok,116.07,117.08,115.05,116.07,200,1546387200
ok,116.06,118.1,114.02,118.1,430,1546473600
ok,118.1,118.1,116.06,117.08,360,1546732800
ok,117.08,120.13,115.04,117.08,460,1546819200
ok,117.08,119.12,116.06,117.08,590,1546905600
ok,117.08,121.15,115.05,120.14,1010,1546992000
ok,120.14,120.14,116.07,117.08,480,1547078400
ok,117.08,117.08,110.98,115.05,1740,1547337600
ok,115.04,118.1,113.01,118.1,130,1547424000
ok,118.09,120.13,115.04,120.13,894,1547510400
ok,120.13,122.17,117.08,117.08,1110,1547596800
ok,117.08,118.09,113.0,115.04,1370,1547683200
ok,115.04,115.04,109.95,111.99,830,1547942400
ok,111.99,111.99,107.92,109.95,1450,1548028800
ok,109.95,114.02,107.92,109.95,1290,1548115200
ok,109.96,111.99,105.88,105.88,2960,1548201600
ok,105.88,110.97,105.88,106.9,2010,1548288000
ok,106.9,110.97,104.86,106.9,1560,1548547200
ok,106.9,108.94,104.86,106.9,2600,1548633600
ok,106.9,108.93,105.88,107.92,1240,1548720000
ok,107.92,111.99,106.9,110.97,1720,1548806400
ok,110.98,111.99,106.9,108.94,1020,1548892800
ok,106.9,110.98,106.9,110.98,950,1549152000
ok,108.94,110.97,104.87,109.96,2042,1549238400
ok,107.92,109.96,107.92,107.92,3550,1549324800
ok,106.91,110.98,106.91,109.96,3210,1549411200
ok,107.93,110.98,105.89,110.98,2390,1549497600
ok,108.95,110.99,107.93,108.95,960,1549756800
ok,107.93,110.98,107.93,109.97,1590,1549843200
ok,109.97,110.98,108.95,109.97,860,1549929600
ok,108.95,110.98,108.95,109.97,1070,1550016000
ok,107.93,109.96,105.89,106.91,3110,1550102400
ok,106.91,110.98,106.91,110.98,11090,1550361600
ok,109.97,110.98,105.93,107.95,770,1550448000
ok,106.94,108.96,105.93,107.95,5120,1550534400
ok,105.94,108.97,105.94,106.95,550,1550620800
ok,105.94,108.97,105.94,106.95,800,1550707200
ok,105.94,107.96,105.94,105.94,1080,1550966400
ok,105.94,107.96,105.94,106.95,3340,1551052800
ok,105.94,109.98,105.94,108.97,550,1551139200
ok,107.96,109.98,107.96,107.96,310,1551225600
ok,106.94,109.97,106.94,108.96,1150,1551571200
ok,106.94,109.97,106.94,108.96,457,1551744000
ok,107.95,110.98,107.95,110.98,4420,1551830400
ok,108.96,115.02,108.96,113.0,1270,1551916800
ok,110.98,113.0,109.97,109.97,380,1552089600
ok,108.0,109.97,107.02,107.02,380,1552176000
ok,107.02,109.96,107.02,108.98,1250,1552262400
ok,108.98,111.92,108.98,109.96,770,1552348800
ok,108.0,109.96,108.0,109.96,451,1552435200
ok,108.97,111.94,108.97,110.95,610,1552521600
ok,109.96,114.92,109.96,112.94,520,1552780800
ok,110.95,114.91,110.95,111.94,2010,1552867200
ok,111.95,111.95,109.97,110.96,390,1552953600
ok,108.98,111.95,108.98,110.96,560,1553126400
ok,110.96,112.94,109.97,110.96,1730,1553385600
ok,108.98,111.95,108.98,110.96,1150,1553472000
ok,109.96,111.95,109.96,111.95,1520,1553558400
ok,111.95,113.93,109.96,111.95,1130,1553644800
ok,111.95,113.93,110.95,111.95,1070,1553731200
ok,109.96,110.95,108.97,109.96,1100,1553990400
ok,108.97,111.95,107.98,109.96,1160,1554076800
ok,108.97,110.96,107.98,108.97,1250,1554163200
ok,109.97,109.97,106.99,109.97,700,1554249600
ok,107.99,110.96,106.99,108.98,850,1554336000
ok,106.99,108.98,105.01,108.98,1510,1554595200
ok,108.97,114.92,106.99,114.92,1460,1554681600
ok,112.94,112.94,107.0,107.99,360,1554768000
ok,107.98,111.95,107.98,110.96,600,1554854400
ok,108.98,110.96,107.0,109.97,1330,1554940800
ok,108.98,109.97,107.99,107.99,810,1555286400
ok,107.98,111.95,107.98,109.96,770,1555372800
ok,109.96,110.96,108.97,109.96,570,1555459200
ok,108.98,110.96,108.98,108.98,530,1555545600
ok,106.99,111.95,106.99,109.97,1120,1555804800
ok,108.98,111.95,108.98,109.97,6531,1555891200
