s,o,h,l,c,v,t
ok,251.59,251.59,246.75,246.75,40,1557014400
ok,235.15,235.15,231.28,231.28,40,1557100800
ok,220.64,220.64,209.03,209.03,60,1557187200
ok,199.35,199.35,199.35,199.35,10,1557273600
ok,189.67,189.67,183.86,183.86,50,1558310400
ok,175.15,175.15,175.15,175.15,20,1558569600
ok,166.45,166.45,157.74,157.74,210,1559174400
ok,149.99,149.99,142.25,142.25,2120,1559433600
ok,135.48,135.48,128.71,128.71,460,1559520000
ok,122.9,132.58,116.13,132.58,64549,1559606400
ok,126.77,126.77,120.0,125.81,13400,1559779200
ok,120.0,124.83,118.06,121.93,17740,1560124800
ok,121.93,133.54,119.02,133.54,69329,1560211200
ok,135.47,139.34,129.66,134.5,19848,1560297600
ok,132.56,136.44,128.69,134.5,16450,1560384000
ok,132.56,135.47,127.72,131.59,9209,1560643200
ok,129.66,135.47,128.69,131.59,11109,1560729600
ok,129.66,135.47,128.69,131.59,4539,1560816000
ok,131.59,135.46,131.59,133.53,6140,1560902400
ok,131.6,143.21,129.66,141.27,9421,1560988800
ok,139.35,139.35,131.6,134.51,3204,1561248000
ok,132.57,136.44,131.61,136.44,1110,1561334400
ok,134.51,136.44,131.6,134.51,2865,1561420800
ok,132.56,143.21,131.6,143.21,8790,1561507200
ok,141.27,141.27,133.53,136.44,9420,1561593600
ok,130.63,143.21,130.63,137.4,2270,1561852800
ok,135.47,135.47,132.57,132.57,880,1561939200
ok,132.57,135.47,131.6,135.47,5050,1562025600
ok,134.5,138.37,133.53,138.37,3190,1562112000
ok,139.33,139.33,133.53,133.53,2150,1562198400
ok,134.5,135.46,133.53,135.46,3770,1562457600
ok,133.53,133.53,131.6,132.56,4150,1562544000
ok,130.63,134.5,130.63,134.5,1130,1562630400
ok,132.56,133.53,130.63,131.59,2269,1562716800
ok,130.63,132.56,130.63,131.59,1010,1562803200
ok,129.66,133.53,129.66,131.59,980,1563062400
ok,129.66,132.57,129.66,132.57,1730,1563148800
