s,o,h,l,c,v,t
ok,182.67,194.87,179.53,190.0,21228,1641081600
ok,222.73,237.2,203.8,203.8,23578,1665878400
ok,204.0,204.0,186.8,186.8,7417,1665964800
ok,183.73,183.73,171.53,175.33,46633,1666137600
ok,172.53,183.33,170.0,178.0,14121,1666224000
ok,175.33,178.53,171.4,177.33,7780,1666483200
ok,175.33,176.6,172.67,173.33,11450,1667174400
ok,170.53,180.8,169.4,180.53,20105,1667260800
ok,183.47,183.47,175.33,179.87,19520,1667347200
ok,177.0,180.67,174.33,175.33,8393,1667433600
ok,173.33,179.33,173.33,178.33,7350,1667692800
ok,180.67,181.73,175.33,175.33,27195,1667779200
ok,172.53,177.67,172.53,175.33,5581,1667865600
ok,175.33,176.67,171.33,171.33,7623,1667952000
ok,171.33,172.67,168.0,168.67,12388,1668038400
ok,168.67,168.67,166.53,168.67,5337,1668297600
ok,168.07,171.33,166.67,171.27,4600,1668384000
ok,168.67,171.0,166.67,168.0,7171,1668470400
ok,168.0,172.67,167.27,168.67,8432,1668556800
ok,168.67,175.2,168.67,170.67,11306,1668643200
ok,168.07,174.0,168.07,169.47,6585,1669075200
ok,167.53,176.33,167.53,176.27,7472,1669161600
ok,174.0,176.67,170.0,174.0,7005,1669248000
ok,171.33,176.8,171.33,174.67,7568,1669507200
ok,172.0,177.47,172.0,174.53,6509,1669593600
ok,171.87,174.67,170.13,173.33,7070,1669680000
ok,173.33,176.0,170.67,172.0,6690,1669766400
ok,170.0,174.0,169.87,173.93,7934,1669852800
ok,173.33,178.93,172.67,172.73,8006,1670112000
ok,172.67,174.07,168.27,169.33,12794,1670198400
ok,167.33,173.33,167.33,169.67,6755,1670284800
ok,167.2,170.0,167.2,167.67,6620,1670371200
ok,167.73,167.73,165.33,165.33,6901,1670716800
ok,167.93,169.0,163.33,168.0,3095,1670803200
ok,165.47,170.67,165.47,169.93,3333,1670889600
ok,172.6,172.6,166.6,169.33,4530,1670976000
ok,169.33,171.33,164.13,166.67,6335,1671062400
ok,165.33,169.33,163.33,165.33,6260,1671321600
ok,162.8,169.13,162.8,163.2,13969,1671408000
ok,165.73,166.67,160.87,166.0,8085,1671494400
ok,163.4,166.67,160.8,161.67,4160,1671580800
ok,160.0,164.0,160.0,164.0,3556,1671667200
ok,161.4,168.53,160.0,168.53,14025,1672012800
ok,171.2,174.0,168.0,172.0,27582,1672099200
ok,171.33,177.4,166.67,171.8,22102,1672185600
ok,174.0,180.2,169.8,179.0,37682,1672272000
ok,180.0,192.4,178.0,185.33,47259,1672531200
ok,182.67,194.87,179.53,190.0,21228,1672617600
ok,190.0,190.0,182.53,184.67,20579,1672704000
ok,181.87,199.8,181.87,199.8,35940,1672790400
ok,203.07,213.33,194.0,208.0,36189,1672876800
ok,207.87,220.6,201.13,217.33,45378,1673136000
ok,213.67,233.33,211.33,233.33,40746,1673222400
ok,233.33,253.33,223.33,239.33,51316,1673308800
ok,243.33,251.33,223.47,226.87,45777,1673481600
ok,223.33,238.67,216.27,236.0,45945,1673913600
ok,240.0,252.67,236.67,246.0,52661,1674000000
ok,246.0,247.33,241.8,242.67,30434,1674086400
ok,242.67,243.33,232.07,233.33,38368,1674432000
ok,230.67,237.33,223.33,236.67,33130,1674518400
ok,232.67,257.0,232.67,250.6,48616,1674604800
ok,250.0,257.33,246.67,250.0,34141,1674691200
ok,250.0,252.0,239.33,243.4,25826,1674950400
ok,239.33,247.27,236.67,238.67,23432,1675036800
ok,234.67,249.33,231.33,239.33,24716,1675123200
ok,235.27,241.4,233.4,240.67,12770,1675209600
ok,236.8,240.0,233.93,233.93,14552,1675296000
ok,233.33,237.33,228.0,233.07,11615,1675555200
ok,229.33,234.0,229.33,231.33,6129,1675641600
ok,228.0,243.33,225.33,241.33,22755,1675728000
ok,245.33,246.0,238.0,241.33,20980,1675814400
ok,237.27,244.0,235.73,244.0,11633,1675900800
ok,248.2,248.2,232.0,234.0,16765,1676160000
ok,230.73,238.8,230.73,234.13,12895,1676332800
ok,232.0,235.93,228.27,233.27,15080,1676419200
ok,230.07,236.6,226.73,231.33,14620,1676505600
ok,227.67,234.67,224.0,229.33,16366,1676851200
ok,227.0,246.67,227.0,245.8,46670,1677024000
ok,242.0,242.0,236.0,238.73,35382,1677110400
