s,o,h,l,c,v,t
ok,83.28,86.41,82.84,86.41,3860,1522022400
ok,87.08,89.76,87.08,89.76,2710,1522108800
ok,90.43,93.56,90.43,93.56,1120,1522195200
ok,94.23,97.58,94.23,97.58,3190,1522281600
ok,98.47,102.05,93.56,95.79,21750,1522540800
ok,96.24,96.46,92.67,93.56,6180,1522627200
ok,93.11,95.12,92.44,93.78,2090,1522713600
ok,94.23,95.12,92.89,95.12,850,1522800000
ok,95.12,97.36,93.34,97.36,3630,1522886400
ok,98.25,98.25,94.45,95.79,4070,1523145600
ok,95.35,96.46,94.68,96.46,3250,1523232000
ok,95.57,98.25,94.23,98.25,2540,1523318400
ok,98.7,98.7,95.35,96.24,1560,1523404800
ok,96.46,96.91,94.45,95.57,6020,1523491200
ok,95.57,97.58,95.12,97.58,2980,1523750400
ok,96.69,99.15,95.57,96.02,5310,1523836800
ok,96.02,97.36,95.57,96.24,1635,1523923200
ok,95.57,100.49,95.57,100.49,5500,1524009600
ok,100.49,102.27,98.7,98.7,6566,1524096000
ok,98.7,101.83,98.03,101.83,10737,1524355200
ok,100.93,100.93,97.58,98.47,2670,1524441600
ok,98.47,99.82,96.69,99.37,2230,1524528000
ok,100.26,100.26,96.69,98.25,560,1524614400
ok,97.36,97.58,97.13,97.13,1230,1524700800
ok,96.24,98.03,96.24,97.13,4020,1524960000
ok,97.13,98.7,96.46,98.7,6655,1525219200
ok,99.59,99.59,97.58,98.03,1380,1525305600
ok,97.8,100.49,97.13,99.82,5045,1525564800
ok,100.49,101.38,98.7,99.15,2940,1525651200
ok,99.37,99.59,98.25,98.47,2105,1525737600
ok,98.47,99.59,97.58,98.47,4020,1525824000
ok,98.47,98.7,98.03,98.03,2990,1525910400
ok,98.92,100.26,98.03,98.25,3780,1526256000
ok,97.58,101.38,97.58,99.37,5948,1526342400
ok,99.82,101.83,99.82,101.16,3720,1526428800
ok,101.16,103.84,100.93,102.94,8242,1526515200
ok,103.84,104.28,102.05,104.06,3590,1526774400
ok,104.28,106.07,103.17,104.06,5050,1526860800
ok,104.95,104.95,103.17,103.61,1120,1526947200
ok,102.72,104.95,102.27,102.5,1720,1527033600
ok,102.5,103.84,102.05,103.84,3990,1527120000
ok,103.17,103.39,101.38,103.17,3288,1527379200
ok,103.17,104.73,101.6,103.84,1020,1527465600
ok,102.94,104.51,102.94,103.84,1910,1527552000
ok,102.94,104.28,102.72,104.28,1512,1527638400
ok,104.95,104.95,102.05,103.39,1080,1527724800
ok,103.17,103.17,101.83,102.05,2715,1527984000
ok,101.16,102.27,101.16,101.83,780,1528070400
ok,102.72,103.84,101.83,102.72,2640,1528243200
ok,102.72,103.84,101.83,102.72,2640,1528329600
ok,101.83,102.72,101.83,101.83,2600,1528588800
ok,101.16,102.27,100.93,102.05,1040,1528675200
ok,102.05,105.62,101.38,105.62,6212,1528761600
ok,104.95,110.99,103.39,110.76,7795,1528848000
ok,111.66,116.57,110.32,116.57,11583,1528934400
ok,116.13,123.05,115.9,123.05,17041,1529193600
ok,121.71,121.71,116.13,116.13,8600,1529280000
ok,116.17,114.94,111.5,113.22,1830,1529366400
ok,112.24,112.24,110.03,110.76,630,1529452800
ok,109.78,109.78,108.31,108.8,510,1529539200
ok,107.81,108.8,105.85,107.81,940,1529798400
ok,107.08,108.31,106.09,107.32,3021,1529884800
ok,107.32,107.81,106.34,107.08,3310,1529971200
ok,105.85,106.83,105.85,106.59,167,1530057600
ok,107.08,107.57,107.08,107.08,410,1530144000
ok,106.09,107.32,105.11,107.08,410,1530403200
ok,108.06,109.04,107.08,108.31,210,1530403200
ok,108.55,108.8,106.83,106.83,280,1530489600
ok,106.09,106.59,105.11,105.36,899,1530489600
ok,106.34,106.34,104.37,105.11,340,1530576000
ok,104.62,105.36,103.64,105.11,230,1530662400
ok,105.6,108.55,105.6,108.55,420,1530748800
ok,109.53,111.5,107.57,108.55,2710,1531008000
ok,108.06,108.31,106.34,108.31,240,1531094400
ok,108.31,108.31,105.85,107.08,1060,1531180800
ok,107.08,108.8,106.34,108.8,300,1531267200
ok,109.78,109.78,104.62,105.6,3970,1531353600
ok,104.62,106.34,104.13,105.85,690,1531612800
ok,105.85,106.34,105.36,105.85,260,1531699200
ok,105.36,106.09,105.36,105.36,234,1531785600
ok,105.85,106.59,105.36,106.59,240,1531872000
ok,106.34,106.59,105.85,106.59,350,1531958400
ok,105.85,108.8,105.85,108.8,550,1532217600
ok,108.31,109.78,107.57,108.8,840,1532304000
ok,108.8,108.8,107.32,107.81,726,1532390400
ok,107.08,109.29,107.08,107.81,709,1532476800
ok,107.81,108.31,107.81,108.31,380,1532563200
ok,107.32,109.29,107.32,109.29,180,1532822400
ok,108.31,109.29,108.06,108.8,530,1532908800
ok,108.06,109.04,108.06,109.04,1320,1532995200
ok,108.06,109.04,107.08,108.31,210,1533081600
ok,108.55,108.8,106.83,106.83,280,1533168000
ok,107.08,107.32,106.59,106.83,190,1533427200
ok,107.57,108.31,106.83,108.31,1650,1533513600
ok,108.55,108.55,106.83,106.83,400,1533600000
ok,105.85,106.83,105.85,106.34,200,1533686400
ok,106.34,106.83,105.6,105.85,1490,1533772800
ok,105.11,105.85,105.11,105.85,200,1534032000
ok,105.85,106.83,105.11,106.09,200,1534118400
ok,105.85,106.83,105.85,106.34,310,1534204800
ok,106.34,107.32,105.6,106.59,190,1534291200
ok,106.34,107.08,106.09,106.59,568,1534377600
ok,105.6,106.59,105.6,105.85,200,1534636800
ok,105.36,106.34,105.11,106.09,180,1534723200
ok,105.36,107.08,104.37,106.09,630,1534809600
ok,105.11,105.85,105.11,105.85,170,1534896000
ok,105.11,106.83,105.11,106.83,350,1534982400
ok,105.85,107.08,105.11,107.08,380,1535241600
ok,106.09,106.09,105.11,105.85,130,1535414400
ok,104.86,105.85,104.86,105.85,1010,1535500800
ok,105.11,106.09,105.11,105.11,240,1535587200
ok,104.86,106.83,104.86,106.83,200,1535846400
ok,105.85,106.09,105.36,106.09,110,1535932800
ok,105.11,106.09,105.11,105.85,160,1536019200
ok,105.11,107.57,105.11,107.57,380,1536105600
ok,108.55,108.55,106.09,107.57,380,1536192000
ok,107.81,108.06,106.09,106.59,370,1536451200
ok,105.6,106.59,105.6,106.34,110,1536537600
ok,105.85,107.08,105.36,105.6,960,1536624000
ok,104.86,105.85,104.86,104.86,70,1536710400
ok,104.13,105.11,104.13,104.62,130,1536796800
ok,103.88,106.83,103.88,105.85,220,1537056000
ok,104.86,105.6,104.86,105.6,190,1537142400
ok,104.62,106.83,104.62,106.83,300,1537228800
ok,105.85,105.85,104.37,105.85,260,1537401600
ok,104.86,106.34,103.88,106.34,1514,1537660800
ok,105.36,105.36,105.36,105.36,183,1537833600
ok,104.62,104.86,103.64,104.86,253,1537920000
ok,103.88,104.62,103.88,104.62,302,1538006400
ok,103.88,103.88,102.65,103.88,512,1538265600
ok,102.9,104.37,102.9,104.37,371,1538352000
ok,103.39,104.13,103.39,104.13,502,1538438400
ok,104.13,104.13,103.14,103.64,255,1538524800
ok,102.65,102.9,102.16,102.65,611,1538611200
ok,101.92,101.92,100.93,101.42,634,1538870400
ok,102.16,102.16,100.93,101.18,560,1538956800
ok,101.92,103.39,100.44,100.69,611,1539043200
ok,99.95,100.69,99.95,100.44,339,1539129600
ok,99.7,100.44,99.46,100.44,242,1539216000
ok,99.95,99.95,99.7,99.7,240,1539475200
ok,100.44,102.16,99.95,99.95,208,1539561600
ok,99.46,99.46,98.47,98.47,599,1540080000
ok,97.98,99.21,97.98,98.23,1455,1540166400
ok,97.49,98.23,97.0,97.98,323,1540252800
ok,97.25,97.74,97.0,97.25,397,1540339200
ok,97.25,97.25,96.75,97.25,123,1540425600
ok,96.75,97.49,96.51,96.75,504,1540684800
ok,96.26,96.75,95.53,95.53,340,1540771200
ok,95.03,96.02,95.03,95.77,484,1540857600
ok,95.77,96.26,95.53,96.02,535,1540944000
ok,95.28,96.02,95.03,96.02,76,1541030400
ok,95.28,96.51,95.28,96.02,98,1541289600
ok,95.53,97.25,95.53,97.25,354,1541376000
ok,96.02,96.75,95.53,96.02,376,1542153600
ok,96.02,96.75,96.02,96.26,349,1542240000
ok,96.26,96.26,92.82,93.81,170,1542499200
ok,93.81,93.81,93.07,93.31,296,1542585600
ok,93.31,93.56,92.82,93.07,182,1542672000
ok,93.07,93.81,91.84,93.07,294,1542758400
ok,93.07,93.56,91.59,92.33,217,1542844800
ok,92.33,92.82,91.59,92.82,1534,1543104000
ok,92.82,92.82,92.33,92.33,249,1543190400
ok,92.33,92.58,91.84,92.33,263,1543276800
ok,92.33,93.07,91.84,92.58,176,1543363200
ok,92.58,93.56,92.08,92.82,866,1543449600
ok,92.82,93.31,92.08,92.08,1020,1543708800
ok,92.08,93.31,91.35,93.07,614,1543795200
ok,93.07,94.54,92.58,94.54,1376,1543881600
ok,91.59,92.33,90.36,90.36,5895,1544054400
ok,90.36,90.86,89.63,90.12,573,1544313600
ok,90.12,90.86,90.12,90.61,165,1544400000
ok,90.61,92.33,90.61,91.59,1698,1544486400
ok,91.59,91.59,90.86,91.1,43,1544572800
ok,91.1,92.58,90.36,92.33,2147,1544659200
ok,92.33,94.3,92.33,92.33,693,1544918400
ok,92.33,93.07,92.33,93.07,55,1545004800
ok,93.07,93.07,93.07,93.07,77,1545091200
ok,93.07,94.05,92.58,93.31,2721,1545177600
ok,93.31,93.56,91.59,93.07,88,1545264000
ok,93.07,93.07,92.58,93.07,141,1545523200
ok,93.07,93.07,92.33,92.58,171,1545609600
ok,92.58,93.31,92.08,93.31,1321,1545696000
ok,93.31,94.3,92.82,94.3,453,1545782400
ok,94.3,95.53,93.56,95.53,88,1545868800
ok,95.53,95.53,93.56,94.79,1575,1546128000
ok,94.79,94.79,92.58,93.07,1510,1546214400
ok,93.07,93.07,92.08,92.08,132,1546300800
ok,92.08,92.08,91.35,91.59,209,1546387200
ok,91.59,92.82,91.59,92.33,165,1546473600
ok,92.33,92.33,91.59,91.59,143,1546732800
ok,91.59,92.33,91.59,92.33,34,1546819200
ok,92.33,92.58,90.86,92.58,232,1546905600
ok,92.58,92.82,92.08,92.82,199,1546992000
ok,92.82,93.07,92.08,92.33,77,1547078400
ok,92.33,92.33,91.1,91.84,130,1547337600
ok,91.84,92.82,91.84,92.08,164,1547424000
ok,92.08,93.31,92.08,92.58,398,1547510400
ok,92.58,94.05,92.58,93.56,921,1547596800
ok,93.56,94.3,93.07,93.56,420,1547683200
ok,93.56,93.56,92.82,92.82,75,1547942400
ok,92.82,93.07,92.08,92.08,661,1548028800
ok,92.08,93.07,91.84,92.58,550,1548115200
ok,92.58,93.07,91.84,92.33,1083,1548201600
ok,92.33,92.58,91.84,92.33,691,1548288000
ok,92.33,92.82,91.84,92.08,812,1548547200
ok,92.08,92.58,91.84,92.08,561,1548633600
ok,92.08,92.33,91.35,91.84,297,1548720000
ok,91.84,92.33,91.1,91.84,340,1548806400
ok,91.84,92.08,91.35,92.08,232,1548892800
ok,91.35,92.08,91.35,91.59,799,1549152000
ok,90.86,91.59,89.87,90.61,1065,1549238400
ok,89.87,92.82,89.87,92.82,436,1549324800
ok,92.08,92.82,91.35,91.35,308,1549411200
ok,90.61,91.35,89.14,91.1,364,1549497600
ok,90.36,91.1,90.12,91.1,792,1549756800
ok,90.36,91.35,90.36,91.35,407,1549843200
ok,91.35,91.35,90.12,90.12,182,1549929600
ok,90.12,90.36,89.63,89.87,849,1550016000
ok,89.14,90.36,89.14,89.38,915,1550102400
ok,89.38,89.87,88.89,88.89,203,1550361600
ok,88.89,89.87,88.89,89.38,397,1550448000
ok,88.89,90.12,88.89,90.12,186,1550534400
ok,89.87,90.12,89.63,89.87,78,1550620800
ok,89.38,89.87,89.38,89.38,417,1550707200
ok,88.89,90.12,88.89,90.12,388,1550966400
ok,89.38,91.1,88.89,91.1,372,1551052800
ok,91.84,93.31,90.36,90.36,731,1551139200
ok,91.1,92.58,90.36,90.61,544,1551225600
ok,89.87,90.61,89.87,90.36,253,1551571200
ok,89.63,91.1,89.14,90.61,1730,1551744000
ok,89.87,90.61,89.63,90.36,664,1551830400
ok,91.1,93.81,90.36,93.81,1732,1551916800
ok,93.07,94.54,93.07,93.56,204,1552089600
ok,93.07,94.54,93.07,93.56,204,1552176000
ok,92.33,93.56,91.35,93.07,213,1552262400
ok,93.07,95.28,93.07,94.54,394,1552348800
ok,94.54,95.28,94.05,94.05,510,1552435200
ok,93.31,93.31,91.84,92.58,114,1552521600
ok,93.31,95.77,92.58,95.77,151,1552780800
ok,95.03,95.03,94.3,94.54,687,1552867200
ok,93.81,93.81,93.81,93.81,100,1552953600
ok,93.07,94.05,93.07,93.56,320,1553126400
ok,92.82,94.3,92.08,94.3,427,1553385600
ok,93.56,93.56,92.82,93.31,244,1553472000
ok,93.07,93.07,92.33,92.82,631,1553558400
ok,92.82,94.05,92.08,94.05,431,1553644800
ok,93.31,95.53,92.82,95.53,485,1553731200
ok,94.79,94.79,93.07,93.07,509,1553990400
ok,92.58,93.07,91.84,92.08,352,1554076800
ok,91.84,93.56,91.84,93.56,687,1554163200
ok,92.82,93.07,92.33,93.07,210,1554249600
ok,92.33,94.3,92.33,94.3,552,1554336000
ok,95.03,95.03,93.56,94.79,434,1554595200
ok,94.79,94.79,92.58,92.82,978,1554681600
ok,93.07,94.54,92.33,93.07,1359,1554768000
ok,92.33,93.07,92.08,93.07,833,1554854400
ok,92.33,92.82,91.59,92.58,868,1554940800
ok,91.84,92.33,91.84,92.08,509,1555286400
ok,91.84,92.58,91.84,92.58,153,1555372800
