s,o,h,l,c,v,t
ok,249.3,274.2,249.3,274.2,1610,1688515200
ok,279.6,301.6,279.6,301.6,24638,1688601600
ok,307.6,331.7,307.6,331.7,16525,1688860800
ok,338.3,364.8,332.5,364.8,32047,1688947200
ok,372.0,401.2,365.0,401.2,10100,1689033600
ok,401.0,415.0,361.1,361.1,38727,1689120000
ok,360.0,363.0,333.2,357.0,18418,1689206400
ok,357.0,364.0,350.1,353.2,11229,1689465600
ok,346.2,358.0,346.2,354.0,8094,1689552000
ok,361.0,361.0,351.0,355.9,6348,1689638400
ok,351.0,360.0,345.1,356.0,9470,1689724800
ok,349.0,373.0,348.9,370.0,8862,1689811200
ok,377.4,394.0,364.0,393.0,19522,1690070400
ok,394.0,410.0,387.0,387.1,14517,1690156800
ok,387.1,396.7,382.5,392.0,7470,1690243200
ok,388.1,414.0,385.1,399.1,28481,1690329600
ok,393.0,407.0,393.0,399.0,8170,1690416000
ok,393.0,399.0,375.0,379.0,11435,1690675200
ok,379.0,389.6,370.0,370.0,7720,1690761600
ok,364.2,377.4,363.0,369.0,6236,1690848000
ok,370.0,376.0,356.0,368.9,4650,1690934400
ok,366.0,387.0,363.0,364.0,6635,1691020800
ok,370.0,370.0,348.6,360.0,12912,1691280000
ok,352.8,369.0,352.8,363.8,6726,1691366400
ok,363.0,367.0,352.0,357.7,6007,1691452800
ok,350.6,361.9,342.1,360.0,4207,1691539200
ok,353.0,360.0,346.2,355.0,6112,1691625600
ok,348.0,357.0,348.0,357.0,8525,1691884800
ok,351.0,355.0,345.2,348.0,2112,1691971200
ok,345.0,350.8,331.0,336.0,5590,1692057600
ok,330.1,345.0,330.0,339.0,5525,1692144000
ok,332.4,345.7,332.4,344.0,2902,1692230400
ok,337.2,340.0,326.0,327.1,4500,1692489600
ok,322.0,328.0,316.2,322.0,5200,1692576000
ok,315.6,326.4,310.2,325.0,3427,1692662400
ok,318.5,336.0,312.2,336.0,2529,1692748800
ok,334.0,340.0,307.4,310.0,11928,1692835200
ok,304.1,316.2,296.2,316.2,9355,1693094400
ok,310.0,326.0,297.8,315.0,2010,1693180800
ok,308.7,321.0,303.5,310.0,1425,1693267200
ok,315.0,315.0,298.0,300.0,3166,1693353600
ok,300.0,310.0,290.3,305.0,1730,1693699200
ok,299.0,308.0,295.0,308.0,4992,1693785600
ok,301.9,306.0,296.1,306.0,1680,1693872000
ok,299.9,301.0,294.1,298.2,630,1694044800
ok,298.2,312.0,295.1,305.0,1616,1694304000
ok,305.0,316.2,303.5,312.3,4324,1694390400
ok,312.2,314.2,302.0,310.0,1729,1694476800
ok,303.8,324.0,303.8,324.0,4234,1694563200
ok,317.6,319.0,306.0,312.0,4946,1694908800
ok,305.9,318.4,305.9,317.9,1830,1694995200
ok,324.0,333.0,308.3,329.9,2855,1695081600
ok,336.4,358.0,324.0,344.9,6367,1695254400
ok,345.0,364.0,332.1,349.0,9444,1695513600
ok,342.1,371.0,338.0,367.0,12733,1695600000
ok,374.0,380.0,360.4,374.8,9825,1695686400
ok,372.0,378.0,347.2,365.0,5521,1695772800
ok,365.0,371.9,342.0,349.0,8086,1696118400
ok,342.2,360.0,330.1,356.0,6471,1696204800
ok,354.0,379.0,343.0,369.9,17451,1696291200
ok,366.0,386.9,366.0,384.6,15114,1696377600
ok,391.9,392.2,372.9,375.0,4215,1696464000
ok,382.0,382.0,358.0,360.0,7913,1696723200
ok,353.2,371.7,353.2,363.0,7701,1696809600
ok,370.0,376.9,342.4,343.1,11406,1696896000
ok,344.0,357.5,336.5,350.0,6690,1696982400
ok,357.0,363.8,335.0,339.0,5980,1697068800
ok,332.3,338.6,329.3,335.0,6140,1697414400
ok,335.0,345.9,330.0,334.2,2881,1697500800
ok,328.1,349.7,328.1,345.8,5332,1697587200
ok,338.9,344.4,332.1,344.4,2481,1697673600
ok,337.6,340.0,328.0,337.9,2080,1698537600
ok,332.0,339.0,326.6,333.0,1600,1698624000
ok,326.4,331.5,321.0,329.0,1071,1698710400
ok,324.0,353.9,316.6,353.9,4590,1698796800
ok,346.9,346.9,322.2,327.5,3210,1698883200
ok,324.0,327.0,318.2,327.0,1105,1699142400
ok,333.0,333.9,321.0,333.9,1835,1699228800
ok,340.5,340.5,324.1,333.0,783,1699315200
ok,336.0,336.0,324.0,332.9,1240,1699401600
ok,339.0,339.0,325.7,334.5,2161,1699488000
ok,334.5,339.8,325.0,334.3,2256,1700438400
ok,340.0,340.0,320.0,334.4,1210,1700524800
ok,340.0,340.0,322.2,332.0,2760,1700611200
ok,325.4,356.7,319.0,344.0,3996,1700697600
ok,337.2,378.0,331.0,378.0,26925,1700956800
ok,378.0,407.0,370.6,399.0,35925,1701043200
ok,395.0,402.9,387.3,398.0,13436,1701129600
ok,398.0,392.0,378.0,380.0,19349,1701216000
ok,372.5,377.0,365.0,374.9,7610,1701302400
ok,367.5,379.4,360.6,368.7,4501,1701561600
ok,361.5,398.0,361.5,373.1,6351,1701648000
ok,365.7,381.0,365.7,376.3,5843,1701734400
ok,382.9,382.9,364.1,372.0,5845,1701820800
ok,379.0,379.0,364.8,374.5,7573,1701907200
ok,381.9,390.0,381.9,389.5,4305,1702166400
ok,397.2,397.2,370.1,379.5,17255,1702252800
ok,372.0,390.0,367.3,385.9,9167,1702339200
ok,378.2,399.3,375.0,389.0,12626,1702425600
ok,382.0,395.7,376.3,389.0,8472,1702512000
ok,382.0,427.9,382.0,427.9,37980,1702771200
ok,427.9,442.0,410.0,428.0,11160,1702857600
ok,425.0,436.5,409.9,436.5,12154,1702944000
ok,430.1,440.0,414.2,440.0,20746,1703030400
ok,431.2,436.0,415.0,415.0,11895,1703116800
ok,407.1,432.0,407.1,427.0,14471,1703376000
ok,435.5,435.5,415.1,420.0,14062,1703635200
ok,417.1,427.5,412.1,420.1,9398,1703721600
ok,420.0,435.0,411.8,411.8,16251,1704067200
ok,411.8,416.0,399.9,403.0,12673,1704153600
ok,403.0,414.0,403.0,414.0,5683,1704240000
ok,422.0,454.0,414.1,439.0,31533,1704326400
ok,447.7,450.8,416.5,422.0,40592,1704585600
ok,415.0,446.0,415.0,442.9,20506,1704672000
ok,435.0,477.9,435.0,459.0,41854,1704758400
ok,451.0,468.1,446.0,450.0,10877,1704844800
