s,o,h,l,c,v,t
ok,263.9,290.2,263.9,290.2,60760,1655337600
ok,296.0,301.9,270.0,273.0,52534,1655424000
ok,267.6,267.6,245.8,246.9,19420,1655596800
ok,250.0,250.0,222.3,224.1,31226,1655683200
ok,224.0,246.5,211.3,244.0,20128,1655769600
ok,248.8,253.7,227.0,233.5,6830,1655856000
ok,238.1,238.1,212.0,216.0,11649,1655942400
ok,211.7,228.0,200.0,213.0,9612,1656028800
ok,215.0,227.0,212.0,227.0,14916,1656201600
ok,231.5,231.5,216.6,224.7,13680,1656288000
ok,224.0,224.0,212.0,216.9,9230,1656374400
ok,213.0,227.0,213.0,225.0,10181,1656460800
ok,225.0,235.0,214.1,229.0,24919,1656547200
ok,226.0,233.0,222.5,226.0,8939,1656633600
ok,221.5,244.0,218.2,242.0,18191,1656806400
ok,242.0,260.0,225.4,231.0,33149,1656892800
ok,228.0,240.0,221.0,223.0,12329,1656979200
ok,223.0,234.0,218.7,225.0,9290,1657065600
ok,225.0,234.6,218.2,224.0,13889,1657152000
ok,219.6,220.0,214.0,215.0,7726,1657238400
ok,211.0,214.0,201.0,203.1,14254,1657497600
ok,202.0,211.0,200.0,203.8,8467,1657584000
ok,207.0,220.3,205.0,219.0,9792,1657670400
ok,216.0,233.3,213.0,233.0,17479,1657756800
ok,237.6,237.6,220.0,222.0,9792,1657843200
ok,218.0,225.4,215.0,222.0,8151,1658016000
ok,226.4,226.4,213.3,226.4,11432,1658102400
ok,222.0,231.0,218.1,223.0,12170,1658188800
ok,220.0,225.8,219.5,221.0,7531,1658275200
ok,217.2,223.0,215.0,218.0,10772,1658361600
ok,214.0,221.0,210.0,212.0,6494,1658448000
ok,215.0,233.1,212.0,231.5,25996,1658620800
ok,231.5,244.8,223.5,237.2,23825,1658707200
ok,232.5,241.0,223.0,223.0,19600,1658793600
ok,223.0,242.0,223.0,239.0,56227,1658880000
ok,240.0,262.9,240.0,258.0,53624,1658966400
ok,263.0,269.0,254.8,264.0,17567,1659052800
ok,258.8,267.0,253.7,260.5,28364,1659225600
ok,260.0,270.3,246.1,258.0,41098,1659312000
ok,258.0,282.0,255.3,280.0,36730,1659398400
ok,278.0,308.0,274.1,299.0,60118,1659484800
ok,304.0,320.0,284.0,315.0,69198,1659571200
ok,310.0,321.0,304.0,307.0,37903,1659657600
ok,305.0,313.0,299.0,308.0,40781,1659830400
ok,310.0,325.0,307.0,314.0,34766,1659916800
ok,317.0,317.0,297.0,299.1,23544,1660003200
ok,293.2,298.0,284.1,290.0,19990,1660089600
ok,295.8,297.0,285.0,288.6,17515,1660176000
ok,282.9,293.0,277.0,277.2,13651,1660435200
ok,273.0,304.9,273.0,304.9,15715,1660521600
ok,310.9,317.1,290.0,291.9,39575,1660608000
ok,292.0,308.9,286.2,298.0,13259,1660694400
ok,302.0,312.0,297.0,308.0,37341,1660780800
ok,306.0,314.0,290.0,292.0,16872,1661040000
ok,293.0,308.0,288.0,295.0,22188,1661126400
ok,296.0,303.0,293.1,294.4,10840,1661212800
