s,o,h,l,c,v,t
ok,163.0,167.8,160.5,167.8,13861,1641081600
ok,209.5,225.45,209.5,211.05,97653,1661904000
ok,211.0,211.0,199.05,204.0,31303,1661990400
ok,204.0,206.5,199.2,204.45,8910,1662076800
ok,205.0,211.0,201.35,205.0,15867,1662249600
ok,202.55,206.0,202.0,203.5,13743,1662336000
ok,201.5,203.5,199.5,199.5,12826,1662422400
ok,196.6,198.0,193.65,198.0,9955,1662508800
ok,198.0,205.0,193.5,201.5,13203,1662595200
ok,198.5,204.5,196.5,199.0,8300,1662854400
ok,198.5,198.5,192.1,195.5,11426,1662940800
ok,195.5,199.9,192.5,197.55,6500,1663027200
ok,194.6,202.0,194.6,200.0,14405,1663113600
ok,197.0,201.05,189.5,192.0,16379,1663200000
ok,189.2,189.2,181.85,187.0,10641,1663286400
ok,184.3,189.0,174.95,177.0,22806,1663459200
ok,174.5,174.5,167.5,169.95,8516,1663632000
ok,172.3,172.3,166.2,166.2,5731,1663718400
ok,166.2,166.25,162.6,165.0,8612,1663804800
ok,162.7,162.7,158.5,162.0,6236,1664064000
ok,162.0,171.0,158.35,165.5,4490,1664236800
ok,163.2,170.15,154.5,158.5,5269,1664323200
ok,157.55,162.85,157.55,160.45,1820,1664409600
ok,160.0,164.5,158.0,163.0,3347,1665273600
ok,160.75,162.5,158.0,158.05,5525,1665360000
ok,158.0,162.0,156.05,162.0,2855,1665446400
ok,159.8,162.0,154.5,160.25,3706,1665532800
ok,158.05,162.0,156.4,157.6,4501,1665619200
ok,156.0,161.0,156.0,161.0,5782,1665878400
ok,159.0,161.15,157.0,159.0,3480,1665964800
ok,156.85,158.0,155.0,155.2,5745,1666137600
ok,153.1,157.0,151.55,155.0,4795,1666224000
ok,153.0,155.55,152.0,155.0,2980,1666483200
ok,153.0,155.55,153.0,153.5,3090,1667174400
ok,151.65,159.95,151.65,158.55,7940,1667260800
ok,157.5,160.7,155.75,160.0,4035,1667347200
ok,160.0,163.8,157.5,159.5,9907,1667433600
ok,161.5,163.5,155.5,163.5,6887,1667692800
ok,161.25,167.0,159.5,161.5,13987,1667779200
ok,160.0,161.95,159.0,161.5,5053,1667865600
ok,160.0,160.0,155.9,156.5,3187,1667952000
ok,155.0,155.25,152.5,153.0,5084,1668038400
ok,153.0,155.0,151.55,153.0,3170,1668297600
ok,151.0,157.45,151.0,157.45,4634,1668384000
ok,155.35,156.5,150.0,153.5,12238,1668470400
ok,152.5,157.5,151.5,157.0,4122,1668556800
ok,155.0,159.0,155.0,158.5,7249,1668643200
ok,156.5,160.5,152.5,157.0,11898,1669075200
ok,154.9,155.0,153.0,154.95,1615,1669161600
ok,153.0,156.0,153.0,154.5,2511,1669248000
ok,152.55,157.6,152.55,156.5,11132,1669507200
ok,156.0,158.6,153.65,156.5,5350,1669593600
ok,154.4,155.95,154.0,155.9,4270,1669680000
ok,153.85,156.5,153.85,156.0,2200,1669766400
ok,158.1,158.6,154.15,155.5,6485,1669852800
ok,155.0,158.5,154.05,157.0,11536,1670112000
ok,155.0,158.95,154.0,155.9,4759,1670198400
ok,155.0,156.45,153.85,156.45,5597,1670284800
ok,158.55,158.55,153.1,154.0,2910,1670371200
