s,o,h,l,c,v,t
ok,291.22,291.22,262.09,262.29,6040,1565049600
ok,249.32,249.32,236.35,236.35,1720,1565136000
ok,247.34,247.34,213.43,213.43,450161,1565222400
ok,209.44,218.41,206.45,213.43,217982,1565481600
ok,211.44,215.43,209.45,211.44,120516,1565568000
ok,211.45,214.44,209.45,210.45,67725,1565654400
ok,208.46,211.45,206.46,207.46,75889,1565740800
ok,203.47,211.45,203.47,209.45,42895,1565827200
ok,209.45,210.45,204.47,204.47,82602,1566086400
ok,204.47,207.46,199.48,205.47,105338,1566172800
ok,205.48,206.48,199.49,206.48,81600,1566259200
ok,202.49,203.49,199.5,199.5,47080,1566345600
ok,199.5,202.49,199.5,199.5,31447,1566432000
ok,199.5,201.49,191.52,194.51,55104,1566691200
ok,194.51,194.51,186.53,186.53,45230,1566777600
ok,186.54,194.52,184.54,190.53,27836,1566864000
ok,187.54,189.53,183.55,184.54,15595,1566950400
ok,181.55,186.54,181.55,184.54,31482,1567036800
ok,184.54,184.54,173.56,173.56,39290,1567296000
ok,171.58,173.57,169.58,172.57,32525,1567382400
ok,172.58,178.56,166.59,178.56,31313,1567468800
ok,180.55,180.55,171.57,176.56,25040,1567555200
ok,176.56,176.56,170.58,172.57,31245,1567641600
ok,172.57,175.56,167.58,167.58,19940,1567900800
ok,169.58,169.58,165.59,165.59,22735,1567987200
ok,165.59,169.58,159.61,160.61,45858,1568073600
ok,160.61,163.6,159.61,160.61,20610,1568160000
ok,157.62,161.61,157.62,157.62,28131,1568246400
ok,157.62,158.62,151.64,153.63,56655,1568505600
ok,151.64,158.62,150.64,154.63,38818,1568592000
ok,154.63,169.59,152.63,166.6,73396,1568678400
ok,167.6,171.59,161.61,168.6,78420,1568764800
ok,167.6,168.6,162.61,162.61,41800,1568851200
ok,162.61,162.61,154.63,154.63,32550,1569110400
ok,154.62,160.61,152.62,153.62,27512,1569196800
ok,152.63,155.62,152.63,154.62,14940,1569283200
ok,152.65,158.56,152.65,154.62,29355,1569456000
ok,152.65,158.56,152.65,153.63,25010,1569715200
ok,153.63,158.55,153.63,157.56,10185,1569801600
ok,157.57,158.56,155.6,156.59,14012,1569888000
ok,156.59,159.54,154.62,155.6,14100,1569974400
ok,158.56,158.56,155.61,157.58,18535,1570060800
ok,155.6,159.54,155.6,158.55,5720,1570665600
ok,160.53,160.53,155.61,155.61,6600,1571011200
ok,157.57,158.56,156.59,156.59,8600,1571097600
ok,156.59,160.53,156.59,158.56,15173,1571184000
ok,158.56,164.47,155.61,164.47,17962,1571270400
ok,164.47,164.47,158.56,163.49,20430,1571529600
ok,163.49,163.49,160.54,162.5,12250,1571616000
ok,162.5,171.36,160.53,166.44,22444,1571702400
ok,166.44,177.27,164.47,171.36,26193,1571788800
ok,172.35,179.25,169.4,177.28,63175,1571875200
ok,178.26,181.21,169.39,172.35,22420,1572480000
ok,172.34,174.31,167.42,168.4,23491,1572739200
ok,168.39,171.35,166.42,169.38,14780,1572825600
