s,o,h,l,c,v,t
ok,364.05,364.05,337.05,337.05,9881,1660521600
ok,331.0,347.1,309.52,332.38,658249,1660608000
ok,326.43,347.14,326.43,340.0,286860,1660694400
ok,342.86,342.86,332.86,334.29,163459,1660780800
ok,334.29,334.29,324.29,324.76,199022,1661040000
ok,324.76,328.05,320.48,323.71,139622,1661126400
ok,319.05,330.95,319.05,326.19,124029,1661212800
ok,323.81,333.33,323.81,326.67,91124,1661299200
ok,326.67,329.52,317.14,319.05,155520,1661385600
ok,316.19,318.9,312.86,314.76,99335,1661472000
ok,313.33,318.1,307.19,307.19,102012,1661644800
ok,301.71,311.43,301.71,308.95,61415,1661731200
ok,303.48,314.05,303.48,307.14,51489,1661817600
ok,305.71,309.52,299.52,309.05,113471,1661904000
ok,304.76,310.0,302.95,309.05,72644,1661990400
ok,304.76,310.0,300.95,301.9,39637,1662076800
ok,307.1,318.05,303.81,313.33,152736,1662249600
ok,314.81,325.71,314.81,322.38,164610,1662336000
ok,328.1,328.1,310.0,311.43,152914,1662422400
ok,316.95,316.95,306.19,306.43,52789,1662508800
ok,310.43,312.1,304.76,307.62,76993,1662595200
ok,313.1,313.1,301.43,302.86,48347,1662854400
ok,308.24,308.24,299.05,300.19,49812,1662940800
ok,303.33,308.1,300.0,301.9,99180,1663027200
ok,307.24,309.52,302.86,308.1,64873,1663113600
ok,303.81,308.0,292.38,295.24,209781,1663200000
ok,290.0,290.52,282.0,289.05,79516,1663286400
ok,286.19,290.95,278.57,279.05,70375,1663459200
ok,278.57,278.57,273.81,274.29,105117,1663632000
ok,274.29,280.0,273.81,275.76,47176,1663718400
ok,275.71,278.1,271.33,271.9,31428,1663804800
ok,271.43,271.43,263.81,263.81,71307,1664064000
ok,268.1,270.48,262.71,264.76,58438,1664236800
ok,266.67,269.38,260.95,262.33,42076,1664323200
ok,260.0,269.05,260.0,261.86,45853,1664409600
ok,266.19,266.19,261.9,265.24,23702,1665273600
ok,266.67,269.52,257.86,259.38,33002,1665360000
ok,259.05,259.05,252.62,253.33,44518,1665446400
