s,o,h,l,c,v,t
ok,255.84,275.96,255.84,275.96,50,1620000000
ok,280.99,303.27,280.99,303.27,1759,1620086400
ok,309.02,326.27,309.02,326.27,40,1620172800
ok,332.73,358.61,332.73,358.61,300,1620259200
ok,375.85,393.82,375.85,393.82,800,1620518400
ok,413.22,432.63,413.22,432.63,1040,1620604800
ok,454.19,475.75,454.19,475.75,2386,1620691200
ok,499.46,523.18,499.46,523.18,1100,1620777600
ok,549.05,574.92,549.05,574.92,2030,1620864000
ok,603.67,632.41,603.67,632.41,4169,1621123200
ok,664.03,695.65,664.03,695.65,9826,1621209600
ok,730.15,764.64,730.15,764.64,7325,1621296000
ok,802.73,840.82,802.73,840.82,3350,1621382400
ok,882.5,924.9,756.74,808.48,44213,1621468800
ok,847.29,847.29,740.21,778.3,10376,1621728000
ok,778.3,791.23,750.99,763.21,12738,1621814400
ok,763.21,784.05,756.02,771.11,5907,1621900800
ok,754.58,779.73,754.58,779.73,4868,1622073600
ok,789.8,790.51,754.58,756.02,5325,1622332800
ok,754.58,768.95,726.55,730.15,8268,1622419200
ok,718.65,729.43,718.65,717.93,6065,1622505600
ok,740.93,740.93,695.65,740.21,2625,1622592000
ok,725.84,753.14,714.34,727.27,1684,1622678400
ok,718.65,733.74,713.62,715.77,3992,1622937600
ok,700.68,742.36,700.68,711.46,3880,1623024000
ok,719.37,733.74,705.71,710.03,3180,1623110400
ok,707.87,718.65,707.87,718.65,1821,1623196800
ok,718.65,718.65,718.65,695.65,11978,1623283200
ok,718.65,721.52,699.25,697.09,5710,1623542400
ok,704.28,717.93,687.03,699.96,3620,1623628800
ok,694.21,694.21,677.69,682.72,4493,1623715200
ok,661.88,692.06,636.0,656.85,3420,1623801600
ok,647.5,685.59,638.88,682.72,4414,1623888000
ok,669.78,718.65,664.75,704.28,8256,1624147200
ok,704.28,704.28,673.37,685.59,3410,1624233600
ok,686.31,712.18,672.66,683.44,3954,1624320000
ok,683.44,689.9,670.5,672.66,1115,1624406400
ok,661.16,693.5,661.16,689.9,2380,1624492800
ok,724.4,724.4,669.06,692.78,3500,1624752000
ok,692.78,697.09,670.5,682.72,710,1624838400
ok,675.53,675.53,657.56,664.75,1330,1624924800
ok,661.88,677.69,651.81,666.19,1608,1625011200
ok,653.25,675.53,640.32,672.66,4440,1625097600
ok,659.72,661.16,647.5,656.13,1629,1625356800
ok,645.35,653.97,643.19,650.38,1966,1625443200
ok,650.38,679.12,641.03,653.97,1340,1625529600
ok,641.75,651.81,641.75,651.81,600,1625616000
ok,651.81,664.75,643.91,648.22,2672,1625702400
ok,647.5,668.34,646.78,653.25,2120,1625961600
ok,657.56,661.16,648.22,648.94,2670,1626048000
ok,648.94,653.97,646.78,653.97,771,1626134400
ok,646.78,666.91,646.78,657.56,1305,1626220800
ok,650.38,668.34,646.78,651.1,4000,1626307200
ok,664.1,675.53,646.78,674.81,2851,1626566400
ok,668.34,668.34,655.41,661.16,1119,1626652800
ok,648.94,673.37,648.94,668.34,1060,1626739200
ok,679.12,718.65,676.25,694.93,16210,1626912000
ok,708.59,708.59,680.56,694.93,5781,1627171200
ok,686.31,697.09,682.72,682.79,2890,1627257600
ok,675.53,725.84,675.53,701.47,5827,1627344000
ok,715.06,736.62,700.68,720.09,6938,1627430400
ok,706.43,718.36,693.5,717.93,4385,1627516800
ok,717.93,722.24,690.62,710.74,5907,1627776000
ok,722.24,722.24,700.68,704.28,2335,1627862400
ok,718.36,774.7,716.49,774.7,17893,1627948800
ok,790.15,852.17,790.15,828.31,14963,1628035200
ok,827.88,835.64,779.81,790.51,12292,1628121600
ok,775.42,804.89,761.77,790.51,6768,1628380800
ok,775.78,808.48,775.78,797.7,5454,1628467200
ok,801.29,822.06,779.73,790.51,8160,1628553600
ok,776.14,869.57,776.14,869.57,19474,1628640000
ok,886.96,956.52,886.81,956.52,14822,1628726400
ok,973.77,1006.11,892.56,1004.67,23547,1628985600
ok,1005.39,1105.14,946.1,1099.53,15796,1629072000
ok,1121.52,1209.49,1121.52,1209.49,11943,1629158400
ok,1209.49,1272.01,1104.35,1272.01,20233,1629244800
ok,1297.16,1328.93,1144.81,1302.91,24376,1629331200
ok,1276.9,1276.9,1172.62,1172.62,4658,1629763200
ok,1149.19,1149.19,1055.41,1113.91,26750,1629849600
ok,1117.5,1194.39,1007.55,1194.39,20481,1629936000
ok,1170.54,1170.54,1074.96,1074.96,22376,1630195200
ok,1053.47,1062.88,967.52,967.52,14913,1630368000
ok,948.62,1062.88,934.24,1040.6,6391,1630454400
ok,1060.73,1060.73,962.27,1038.45,6272,1630540800
ok,1017.68,1017.68,934.6,934.6,8156,1630800000
ok,934.24,1013.3,920.59,1004.67,3706,1630886400
ok,1009.7,1009.7,919.08,934.24,7207,1630972800
ok,937.84,970.89,919.87,937.84,4575,1631059200
ok,955.8,956.52,919.87,941.43,4705,1631145600
ok,960.11,998.92,952.21,991.74,7991,1631404800
ok,1006.11,1011.14,972.33,988.14,2965,1631491200
ok,991.74,991.74,963.06,991.02,1520,1631577600
ok,988.14,1002.52,909.09,942.87,4869,1631664000
ok,924.18,937.84,919.87,919.87,4861,1631750400
ok,934.24,934.24,830.04,833.63,4631,1632096000
ok,816.96,881.78,764.14,881.78,4787,1632182400
ok,898.31,968.02,883.94,953.65,6324,1632268800
ok,953.36,980.24,924.9,932.89,3958,1632355200
ok,917.0,917.0,853.75,874.31,2429,1632614400
ok,874.31,874.31,788.85,841.9,3031,1632700800
ok,830.04,841.82,767.59,770.75,3578,1632787200
ok,771.54,847.83,758.89,834.78,2109,1632873600
ok,851.38,885.3,784.19,885.3,2644,1632960000
ok,884.58,902.77,830.04,845.06,2525,1633219200
ok,861.9,861.9,782.61,845.85,1575,1633305600
ok,828.93,862.77,798.42,861.66,1260,1633392000
ok,869.57,939.92,822.13,869.57,1803,1633478400
ok,886.96,886.96,830.04,845.85,2424,1633824000
ok,862.45,862.45,813.44,830.04,2058,1633910400
ok,846.64,897.23,813.44,826.09,700,1634428800
ok,809.57,809.57,778.74,781.74,830,1634515200
ok,766.8,766.8,735.18,766.8,1805,1634601600
ok,781.82,843.48,740.63,810.28,1120,1634688000
ok,794.47,802.37,729.25,801.58,2135,1634774400
ok,806.32,806.32,754.94,782.61,1071,1635033600
ok,782.61,810.28,782.61,810.28,2477,1635120000
ok,810.28,886.96,810.28,840.32,2095,1635206400
ok,856.92,869.57,821.34,860.08,5118,1635292800
ok,877.23,877.23,828.93,852.96,2670,1635379200
ok,861.66,936.13,836.68,920.16,7583,1635638400
ok,920.16,1003.32,902.77,902.77,3601,1635724800
ok,920.16,958.1,884.03,909.09,1950,1635811200
ok,927.27,927.27,890.99,909.09,1682,1635897600
ok,909.09,909.09,873.52,873.52,1512,1636329600
ok,856.13,856.13,815.02,816.6,3240,1636416000
ok,800.79,851.3,800.0,830.04,2227,1636588800
ok,830.04,841.9,804.82,807.11,3813,1636848000
ok,807.11,839.37,807.11,810.36,2451,1636934400
ok,826.56,859.84,809.57,837.94,1890,1637020800
ok,830.04,862.77,830.04,846.64,2261,1637107200
ok,831.62,863.24,821.19,830.04,1852,1637193600
ok,837.94,846.64,816.6,818.18,1163,1637452800
ok,806.32,837.94,806.32,811.07,1061,1637539200
ok,811.07,818.18,798.42,814.23,1797,1637625600
ok,797.94,818.18,790.51,818.18,970,1637712000
ok,833.99,833.99,806.32,811.07,806,1637798400
ok,811.07,811.07,786.56,790.51,3064,1638057600
ok,790.51,795.26,778.66,778.66,1463,1638144000
ok,794.23,794.23,767.59,782.61,1816,1638230400
ok,782.61,806.32,781.03,781.03,1314,1638316800
ok,776.28,785.77,766.8,766.8,1051,1638403200
ok,766.8,766.8,727.27,735.18,1899,1638662400
ok,735.18,748.62,706.09,748.62,3009,1638748800
