s,o,h,l,c,v,t
ok,375.28,412.78,375.28,412.78,667,1635638400
ok,412.78,453.98,412.78,453.98,957,1635724800
ok,462.96,499.35,462.96,499.35,2891,1635811200
ok,509.26,549.26,509.26,549.26,7962,1635897600
ok,560.19,604.17,560.19,604.17,28872,1636329600
ok,616.2,664.54,615.74,664.54,369134,1636416000
ok,677.78,730.93,630.56,715.28,124511,1636588800
ok,715.28,715.28,644.91,652.78,186015,1636848000
ok,652.78,678.7,639.91,661.11,84049,1636934400
ok,661.11,708.33,648.61,705.56,106613,1637020800
ok,705.56,722.22,691.67,696.3,111965,1637107200
ok,685.19,696.3,671.3,672.22,79612,1637193600
ok,659.26,693.15,659.26,659.26,57348,1637452800
ok,649.07,678.7,649.07,669.44,61413,1637539200
ok,669.44,671.3,652.78,657.41,61860,1637625600
ok,648.15,671.39,645.37,662.96,40398,1637712000
ok,662.96,675.93,652.78,653.7,36247,1637798400
ok,640.74,651.85,628.7,631.48,61690,1638057600
ok,625.0,632.41,606.48,609.26,59294,1638144000
ok,606.48,628.06,592.59,600.93,42982,1638230400
ok,588.98,617.22,588.98,600.93,24083,1638316800
ok,600.0,604.63,570.93,574.07,38173,1638403200
ok,562.96,572.22,548.15,555.56,41265,1638662400
ok,547.22,600.93,532.41,600.93,55590,1638748800
ok,612.04,623.98,570.56,587.96,59575,1638835200
ok,576.2,587.04,550.0,550.93,31289,1638921600
ok,550.93,573.15,529.63,537.96,44125,1639008000
ok,527.87,541.3,504.63,504.63,39265,1639267200
ok,495.37,501.85,462.96,475.0,38196,1639353600
ok,467.59,522.22,467.59,521.3,14615,1639440000
ok,524.07,555.56,504.63,507.41,30603,1639526400
ok,507.41,527.78,484.26,500.0,36059,1639612800
ok,490.74,504.81,475.93,485.65,18596,1639958400
ok,476.02,500.0,476.02,493.7,23307,1640044800
ok,483.89,518.52,483.89,517.5,25566,1640131200
ok,523.15,529.17,500.19,510.19,41614,1640217600
ok,510.19,529.63,501.94,515.74,27500,1640476800
ok,513.89,522.22,490.74,493.7,50149,1640563200
ok,484.26,500.0,476.85,497.22,21213,1640649600
ok,497.22,507.41,490.74,504.63,16170,1640736000
ok,500.0,523.15,494.63,508.33,15457,1641081600
ok,504.63,517.59,499.07,503.7,46593,1641168000
ok,500.93,525.93,496.3,524.07,27443,1641254400
ok,523.15,562.96,519.07,537.04,69522,1641340800
ok,527.78,562.96,526.85,562.04,67178,1641427200
ok,564.81,607.22,564.81,579.63,70612,1641686400
ok,579.63,604.44,572.31,593.52,98654,1641772800
ok,591.67,611.02,581.48,592.59,55114,1641859200
ok,592.59,629.63,583.33,586.11,69261,1641945600
ok,583.33,612.96,583.33,602.78,49360,1642032000
ok,602.78,625.0,597.22,600.0,73826,1642291200
ok,600.0,611.11,589.81,602.78,50062,1642377600
ok,601.85,613.89,588.89,597.22,39260,1642464000
ok,587.96,601.85,575.19,578.7,39319,1642550400
ok,569.54,588.89,569.54,585.65,44219,1642636800
ok,592.59,601.85,577.78,577.78,28508,1642896000
ok,583.33,587.04,541.67,551.85,61455,1642982400
ok,546.3,559.26,540.74,540.74,45434,1643068800
ok,540.74,552.78,527.78,532.69,37192,1643155200
ok,541.67,549.07,525.46,536.11,19650,1643241600
ok,546.3,574.07,546.3,574.07,54130,1643500800
ok,585.19,585.19,565.09,579.54,40002,1643587200
ok,579.63,615.65,569.44,611.11,99983,1643673600
ok,623.33,672.22,623.33,648.15,243194,1643846400
ok,646.3,679.63,629.63,666.67,169085,1644105600
ok,680.0,680.0,648.15,649.07,101453,1644192000
ok,661.11,679.63,631.57,637.96,81890,1644278400
ok,638.89,648.15,625.93,637.96,50041,1644364800
ok,637.96,641.67,621.3,623.52,51427,1644451200
ok,611.11,612.04,578.7,583.33,95498,1644710400
ok,582.41,600.0,582.41,592.31,37280,1644796800
ok,587.96,627.78,587.96,625.0,31341,1644883200
ok,625.0,633.33,602.78,611.11,39735,1644969600
ok,600.09,625.0,600.09,611.11,29969,1645056000
ok,600.0,630.56,578.7,602.04,69901,1645315200
ok,590.74,643.52,590.74,638.89,88463,1645401600
ok,651.67,662.04,638.89,640.74,103869,1645488000
ok,638.89,648.15,630.56,635.19,37756,1645574400
ok,623.15,638.89,611.11,615.93,66226,1645660800
ok,624.07,634.26,603.61,621.3,44118,1645920000
ok,633.33,642.59,592.69,592.78,64135,1646006400
ok,601.85,601.85,574.07,578.7,58139,1646179200
ok,567.13,587.04,558.33,569.44,42341,1646524800
ok,580.56,580.56,562.96,564.81,22758,1646611200
ok,564.81,571.3,550.93,550.93,30491,1646784000
ok,550.0,583.33,547.22,581.48,36156,1646870400
ok,592.5,601.85,578.7,600.0,37429,1647129600
ok,601.85,601.85,585.65,590.0,12016,1647216000
ok,589.81,594.44,579.63,580.83,29790,1647302400
ok,580.83,590.74,569.44,569.44,34061,1647388800
ok,574.07,578.7,562.96,564.81,23212,1647734400
ok,555.56,593.52,555.56,587.04,33593,1647820800
ok,575.46,607.41,575.46,597.22,51779,1647907200
ok,585.28,594.44,585.28,590.74,15415,1647993600
ok,580.56,592.59,580.09,580.56,18812,1648080000
ok,569.54,582.41,562.96,563.24,31294,1648339200
ok,562.04,574.07,555.74,564.81,29475,1648425600
ok,564.81,573.15,555.65,563.06,17194,1648512000
ok,560.19,577.78,560.19,574.07,15281,1648598400
ok,574.07,585.19,564.91,564.91,18745,1648684800
ok,557.41,569.44,557.41,564.81,13321,1648944000
ok,557.41,567.59,557.41,559.26,18906,1649030400
ok,550.0,557.41,543.61,549.17,35236,1649116800
ok,550.0,560.09,539.81,549.17,13404,1649203200
ok,539.81,564.81,539.81,550.93,30004,1649289600
ok,561.94,569.44,541.67,541.67,30470,1649635200
ok,532.41,541.67,528.7,529.63,17615,1649721600
ok,529.63,549.07,523.15,548.15,19205,1649808000
ok,550.93,550.93,525.0,525.19,33719,1650153600
ok,525.19,532.41,509.26,509.26,17393,1650240000
ok,509.26,524.07,500.93,508.33,10862,1650326400
ok,500.0,512.04,488.89,490.74,16860,1650412800
ok,481.48,500.0,474.07,493.61,13030,1650499200
ok,493.52,532.41,493.52,526.85,19968,1650758400
ok,532.41,532.41,508.15,512.04,30096,1650844800
ok,501.85,522.22,495.46,506.48,7800,1650931200
ok,499.07,523.15,499.07,520.37,27402,1651017600
ok,513.89,537.04,513.89,515.65,24675,1651104000
ok,505.37,513.89,482.5,483.33,20430,1651449600
ok,474.17,490.74,472.22,473.15,20203,1651622400
ok,467.59,483.33,464.81,469.44,16838,1651708800
ok,467.69,500.0,464.81,500.0,11497,1651968000
ok,500.0,507.31,486.11,490.74,22692,1652054400
ok,500.46,518.52,490.74,511.94,31755,1652140800
ok,501.94,537.04,501.94,534.26,38507,1652227200
ok,544.44,544.44,509.26,518.52,25258,1652313600
ok,508.15,514.72,488.89,488.89,14159,1652745600
ok,480.56,513.89,476.85,500.0,15437,1652832000
ok,490.0,520.09,490.0,494.54,12079,1652918400
ok,486.11,509.07,486.11,497.31,10827,1653004800
ok,497.22,497.22,481.02,483.7,23700,1653264000
ok,476.02,498.15,476.02,492.59,9659,1653350400
ok,492.69,500.0,486.11,490.93,7417,1653436800
ok,488.06,496.57,484.44,486.11,16506,1653523200
ok,481.57,490.83,481.57,488.89,10194,1653609600
ok,488.89,498.15,477.78,481.48,8374,1653868800
ok,472.22,489.81,470.37,477.69,14851,1653955200
ok,476.85,485.19,473.24,476.76,8769,1654041600
ok,471.3,481.48,471.3,476.85,12056,1654128000
ok,471.3,476.85,468.52,476.85,8865,1654214400
ok,467.59,485.0,467.59,473.33,7546,1654473600
ok,466.02,474.07,463.06,464.72,12724,1654560000
ok,462.96,482.41,456.57,479.63,13812,1654646400
ok,475.93,484.91,462.96,462.96,18034,1654732800
ok,462.96,472.22,462.96,462.96,19203,1654819200
ok,463.89,470.28,456.48,462.96,8877,1655078400
ok,456.48,456.94,439.81,440.74,27671,1655164800
ok,436.11,436.11,423.15,428.7,14752,1655251200
ok,420.19,438.8,412.22,421.39,14587,1655337600
ok,416.67,433.24,416.67,424.07,3683,1655424000
ok,415.65,425.0,407.41,410.19,8801,1655596800
ok,402.04,411.11,385.19,386.11,24343,1655683200
ok,379.63,403.7,379.63,402.69,9096,1655769600
ok,394.81,402.59,388.61,388.98,5325,1655856000
ok,384.26,384.26,350.09,363.89,35568,1655942400
ok,356.67,386.94,349.54,373.15,19957,1656028800
ok,380.56,406.11,379.63,402.78,24252,1656201600
ok,410.83,412.04,385.19,387.96,24566,1656288000
ok,380.28,383.33,375.0,379.63,9438,1656374400
ok,387.22,403.7,375.0,402.69,18030,1656460800
ok,410.65,426.85,405.56,426.85,25142,1656547200
ok,435.28,438.06,414.81,435.19,14412,1656633600
ok,435.19,462.96,425.93,459.26,30995,1656806400
