s,o,h,l,c,v,t
ok,309.8,309.8,286.0,298.1,14403,1641081600
ok,269.0,295.9,269.0,295.9,562,1660694400
ok,301.8,325.4,301.8,325.4,5350,1660780800
ok,331.9,357.0,331.9,337.0,78676,1661040000
ok,343.7,349.0,320.1,323.0,53198,1661126400
ok,318.0,323.5,315.0,320.0,28437,1661212800
ok,318.0,344.5,318.0,332.0,30418,1661299200
ok,332.0,334.0,322.6,323.0,13083,1661385600
ok,318.0,320.0,313.1,319.0,11130,1661472000
ok,312.9,315.0,300.0,301.0,20529,1661644800
ok,295.0,307.0,295.0,305.0,9421,1661731200
ok,311.1,311.1,298.0,299.9,6385,1661817600
ok,299.0,303.0,283.6,286.0,11413,1661904000
ok,280.3,291.7,276.2,284.0,16566,1661990400
ok,279.0,297.0,279.0,279.1,4222,1662076800
ok,274.0,297.0,274.0,295.0,18356,1662249600
ok,295.0,300.0,290.1,290.1,7987,1662336000
ok,287.0,290.0,283.0,284.1,9180,1662422400
ok,278.8,293.0,278.8,283.2,8490,1662508800
ok,280.0,296.0,277.8,287.0,9217,1662595200
ok,282.0,292.7,282.0,284.0,7985,1662854400
ok,279.2,285.0,279.2,281.0,4077,1662940800
ok,276.0,291.7,276.0,284.0,7565,1663027200
ok,284.0,293.9,281.0,288.3,13757,1663113600
ok,288.3,290.0,267.7,268.0,14365,1663200000
ok,262.7,264.0,255.1,260.1,4250,1663286400
ok,256.0,258.0,247.5,248.1,9285,1663459200
ok,243.2,243.2,227.1,240.0,9268,1663632000
ok,235.2,244.8,235.2,242.0,2930,1663718400
ok,237.2,237.5,227.2,230.0,9938,1663804800
ok,225.5,226.0,219.2,223.0,3253,1664064000
ok,223.0,228.5,217.2,224.0,2722,1664236800
ok,220.0,230.0,220.0,224.0,1154,1664323200
ok,219.8,225.0,219.8,224.0,1314,1664409600
ok,220.1,230.9,220.1,230.9,1409,1665273600
ok,235.0,235.0,217.4,223.0,6291,1665360000
ok,219.0,232.0,215.0,232.0,3733,1665446400
ok,228.5,232.5,216.1,230.5,5657,1665532800
ok,225.9,233.0,221.4,225.0,3305,1665619200
ok,221.0,225.0,215.1,219.0,2550,1665878400
ok,215.0,223.3,213.1,219.0,4480,1665964800
ok,215.0,216.0,209.0,210.0,2680,1666137600
ok,205.8,214.0,202.1,207.7,2070,1666224000
ok,207.0,220.3,207.0,208.1,1763,1666483200
ok,206.0,216.2,206.0,209.1,1200,1667174400
ok,206.0,221.0,206.0,218.0,10036,1667260800
ok,222.2,227.4,215.0,223.0,4784,1667347200
ok,218.6,221.0,214.4,216.4,3892,1667433600
ok,212.2,238.0,212.1,237.0,7544,1667692800
ok,235.0,251.0,228.5,230.0,19667,1667779200
ok,229.0,238.6,221.6,238.0,8702,1667865600
ok,235.0,235.0,221.5,225.0,16241,1667952000
ok,221.4,229.0,216.6,216.7,6541,1668038400
ok,216.7,219.8,212.7,214.0,3710,1668297600
ok,210.0,225.4,210.0,221.0,3292,1668384000
ok,216.6,224.0,209.8,220.0,6590,1668470400
ok,215.6,224.0,211.3,223.0,3970,1668556800
ok,224.0,233.0,223.8,231.9,6860,1668643200
ok,227.3,232.5,223.6,227.0,3598,1669075200
ok,222.6,227.4,220.9,222.1,3525,1669161600
ok,219.0,226.4,214.9,220.0,4508,1669248000
ok,216.0,235.0,216.0,233.0,20338,1669507200
