s,o,h,l,c,v,t
ok,203.0,215.0,203.0,215.0,640,1619568000
ok,220.0,231.5,220.0,231.5,4940,1619654400
ok,240.5,249.5,240.5,249.5,21284,1619913600
ok,259.0,269.0,245.0,269.0,136670,1620000000
ok,279.5,290.5,279.5,290.5,36080,1620086400
ok,302.5,314.5,281.5,314.5,85216,1620172800
ok,325.0,327.0,290.0,290.5,93184,1620259200
ok,290.5,290.5,267.0,267.5,53499,1620518400
ok,263.5,263.5,255.5,262.5,26609,1620604800
ok,260.0,278.0,260.0,269.5,15867,1620691200
ok,259.0,274.0,259.0,267.5,15950,1620777600
ok,278.0,278.0,263.0,271.0,21340,1620864000
ok,267.5,275.0,267.0,267.5,21949,1621123200
ok,261.0,279.5,261.0,275.0,26542,1621209600
ok,275.0,283.5,266.5,280.0,26109,1621296000
ok,285.0,285.0,269.0,270.5,22776,1621382400
ok,270.5,270.5,265.0,267.0,14994,1621468800
ok,270.0,272.5,262.5,267.0,21879,1621728000
ok,277.5,277.5,265.0,268.0,13437,1621814400
ok,265.5,272.5,264.5,267.5,21162,1621900800
ok,266.5,280.5,266.5,275.5,44400,1622073600
ok,280.0,284.5,269.0,269.5,27028,1622332800
ok,269.0,270.0,264.0,264.0,21638,1622419200
ok,274.5,274.5,256.5,262.5,10310,1622505600
ok,262.5,267.5,259.5,265.0,7663,1622592000
ok,264.0,265.0,260.0,260.5,13264,1622678400
ok,264.5,264.5,255.0,258.5,13649,1622937600
ok,258.5,272.5,256.0,267.5,41967,1623024000
ok,267.5,278.5,266.5,268.5,14905,1623110400
ok,270.0,274.0,262.5,265.0,9963,1623196800
ok,269.0,269.0,261.0,264.5,20270,1623283200
ok,267.5,282.5,266.0,281.0,75141,1623542400
ok,285.5,290.0,274.5,275.5,37947,1623628800
ok,271.0,272.5,267.5,272.0,18723,1623715200
ok,261.0,270.0,261.0,263.0,15064,1623801600
ok,259.0,262.5,256.5,260.0,16264,1623888000
ok,258.0,263.0,250.5,254.5,18676,1624147200
ok,251.0,257.5,246.0,246.5,14863,1624233600
ok,250.0,261.0,245.0,259.0,9441,1624320000
ok,269.0,269.0,250.0,251.5,7935,1624406400
ok,251.5,254.0,245.0,250.5,8296,1624492800
ok,250.5,263.5,250.0,260.0,24965,1624752000
ok,260.0,267.0,256.0,256.5,8425,1624838400
ok,252.5,264.5,250.0,253.0,4944,1624924800
ok,253.0,253.0,246.0,249.5,12801,1625011200
ok,247.0,261.0,247.0,255.0,14215,1625097600
ok,252.5,260.0,252.5,253.0,8739,1625356800
ok,249.0,255.0,249.0,252.0,4652,1625443200
ok,248.5,256.5,248.0,249.5,5470,1625529600
ok,246.5,252.5,246.0,247.0,4523,1625616000
ok,237.5,252.0,237.5,248.5,9432,1625702400
ok,248.5,252.5,248.5,252.0,7190,1625961600
ok,252.5,253.0,247.5,248.5,9515,1626048000
ok,245.0,252.0,245.0,250.0,4997,1626134400
ok,246.5,263.0,246.5,259.0,12501,1626220800
ok,262.5,267.5,249.5,266.5,26859,1626307200
ok,270.5,288.15,270.5,288.15,98402,1626566400
ok,292.9,311.9,284.25,285.5,45751,1626652800
ok,285.5,298.6,280.5,294.0,45188,1626739200
ok,294.0,294.0,288.0,292.5,46306,1626912000
ok,291.0,302.0,291.0,300.5,73930,1627171200
ok,302.5,325.55,297.0,319.5,130141,1627257600
ok,319.5,337.5,311.0,331.0,79099,1627344000
ok,330.0,331.0,316.0,317.0,45672,1627430400
ok,317.5,318.5,306.5,315.5,65651,1627516800
ok,310.5,325.5,310.5,320.0,73164,1627776000
ok,318.0,328.0,314.75,314.8,38670,1627862400
ok,312.5,325.4,310.2,318.5,44582,1627948800
ok,323.85,333.0,319.0,324.0,82786,1628035200
ok,329.45,340.5,317.5,318.35,28131,1628121600
ok,315.0,333.0,312.5,322.5,57893,1628380800
ok,317.5,332.5,317.5,328.05,59620,1628467200
ok,324.0,330.0,316.0,317.5,46120,1628553600
ok,322.5,335.0,317.6,335.0,63402,1628640000
ok,340.5,352.5,330.0,340.5,132334,1628726400
ok,342.5,342.5,319.05,329.0,64077,1628985600
ok,323.5,340.0,323.0,327.0,39476,1629072000
ok,327.0,354.7,327.0,347.5,139577,1629158400
ok,353.45,375.0,353.45,365.1,159551,1629244800
ok,365.1,365.1,350.0,356.0,70972,1629331200
ok,349.9,356.0,325.4,356.0,76180,1629763200
ok,349.9,349.9,326.85,346.0,44850,1629849600
ok,345.0,361.0,333.5,349.5,48765,1629936000
ok,355.45,374.1,325.4,327.5,41821,1630195200
ok,333.05,333.05,319.5,320.5,22519,1630368000
ok,320.5,338.5,310.5,321.5,21790,1630454400
ok,316.1,325.9,307.5,310.5,15939,1630540800
ok,305.5,305.5,284.45,289.0,26640,1630800000
ok,284.25,312.9,281.0,312.0,17708,1630886400
ok,317.0,324.0,302.0,305.0,15199,1630972800
ok,300.0,305.5,296.0,297.5,9300,1631059200
ok,302.45,307.5,297.0,303.65,12143,1631145600
ok,308.7,327.5,308.0,321.5,23451,1631404800
ok,325.5,327.5,312.5,315.0,10740,1631491200
ok,312.5,333.0,305.6,324.0,51946,1631577600
ok,318.55,324.85,313.2,314.5,9235,1631664000
ok,314.5,319.5,290.0,299.75,40792,1631750400
ok,295.5,296.5,274.8,274.8,19620,1632096000
ok,274.5,287.5,254.85,272.0,16330,1632182400
ok,276.4,288.0,276.4,284.5,14211,1632268800
ok,289.0,293.65,276.05,281.0,11519,1632355200
ok,276.5,281.0,263.5,264.5,14280,1632614400
ok,260.25,277.0,256.05,257.5,13437,1632700800
ok,257.5,261.65,247.5,248.5,17168,1632787200
ok,246.0,259.0,246.0,257.5,15680,1632873600
ok,259.0,262.5,253.5,254.0,5454,1632960000
ok,249.95,251.0,241.1,241.1,9809,1633219200
ok,237.5,249.5,235.0,239.0,7416,1633305600
ok,239.0,254.25,239.0,254.0,6453,1633392000
ok,257.5,263.5,251.0,263.5,7565,1633478400
ok,267.5,270.0,256.5,260.5,7116,1633824000
ok,256.5,257.0,249.75,251.0,3510,1633910400
ok,255.0,259.1,243.1,253.5,810,1634428800
ok,250.0,250.0,240.0,249.0,6255,1634515200
ok,245.05,248.95,232.5,241.0,8130,1634601600
ok,244.8,252.0,238.5,248.0,7022,1634688000
ok,244.3,250.0,244.3,246.0,1175,1634774400
ok,242.1,250.0,242.1,248.0,4560,1635033600
ok,248.0,264.2,244.5,264.0,12351,1635120000
ok,266.5,283.0,266.5,276.0,14562,1635206400
ok,280.5,280.5,269.05,269.5,14060,1635292800
ok,272.5,274.4,260.0,267.75,19911,1635379200
ok,265.0,287.0,265.0,281.55,20185,1635638400
ok,284.0,286.5,273.0,277.5,16138,1635724800
ok,282.0,282.05,270.0,279.4,4173,1635811200
ok,280.0,284.95,277.55,282.45,10415,1635897600
ok,281.5,286.0,274.0,278.5,8750,1636329600
ok,273.95,275.0,263.0,267.5,13181,1636416000
ok,263.15,267.25,257.0,257.0,8724,1636588800
ok,252.9,269.55,252.9,256.5,6000,1636848000
ok,260.6,268.0,257.5,260.55,8803,1636934400
ok,260.5,275.0,260.0,275.0,18025,1637020800
ok,278.0,291.85,278.0,282.5,34230,1637107200
ok,282.5,297.5,275.0,282.5,28254,1637193600
ok,277.85,285.0,274.0,280.5,8596,1637452800
ok,282.5,282.5,275.95,280.0,6355,1637539200
ok,275.5,279.5,268.0,269.0,9927,1637625600
ok,265.0,275.0,258.5,270.0,7549,1637712000
ok,270.0,278.5,267.5,272.0,14327,1637798400
ok,268.0,270.0,260.0,261.0,10572,1638057600
ok,260.0,266.0,258.0,262.5,7529,1638144000
ok,261.0,265.0,257.5,262.5,4382,1638230400
ok,266.75,269.0,259.0,262.45,5988,1638316800
ok,259.0,262.0,254.85,256.0,11833,1638403200
ok,252.0,255.5,248.5,250.0,6992,1638662400
ok,246.0,259.0,237.5,257.0,12784,1638748800
