s,o,h,l,c,v,t
ok,350.5,364.6,315.5,321.0,59590,1668470400
ok,327.4,353.1,327.4,353.1,23650,1668556800
ok,360.1,388.4,360.1,388.4,3150,1668643200
ok,360.1,388.4,360.1,388.4,3150,1668643200
ok,396.1,396.1,355.1,371.0,49629,1669075200
ok,365.0,371.0,365.0,369.0,17258,1669161600
ok,364.0,370.0,357.1,369.0,17640,1669248000
ok,369.0,372.0,362.1,368.7,15542,1669507200
ok,365.0,376.4,365.0,365.0,9213,1669593600
ok,362.6,366.8,362.6,365.0,7570,1669680000
ok,362.6,369.0,358.0,360.0,5590,1669766400
ok,360.0,360.3,354.0,360.3,6355,1669852800
ok,361.0,382.0,361.0,373.3,14335,1670112000
ok,366.0,382.0,366.0,370.1,20311,1670198400
ok,364.0,372.0,361.3,365.0,7995,1670284800
ok,360.1,372.3,359.0,365.0,12303,1670371200
ok,359.1,370.9,358.0,364.0,17457,1670716800
ok,357.0,373.0,357.0,373.0,12190,1670803200
ok,370.0,379.9,370.0,378.0,12480,1670889600
ok,370.5,380.0,370.5,379.0,16964,1670976000
ok,375.0,382.0,373.4,374.3,6711,1671062400
ok,367.0,370.2,359.8,370.0,6700,1671321600
ok,364.0,370.0,360.1,370.0,5916,1671408000
ok,363.0,375.0,363.0,371.9,5703,1671494400
ok,364.5,369.0,364.5,366.0,2070,1671580800
ok,361.0,368.0,361.0,367.0,5740,1671667200
ok,362.1,380.0,362.1,376.0,5965,1672012800
ok,376.0,388.5,371.4,376.7,16396,1672099200
ok,371.2,384.2,371.2,378.0,6903,1672185600
ok,385.0,403.9,377.3,402.8,16547,1672272000
ok,408.0,441.0,402.0,425.0,22426,1672531200
ok,416.5,445.0,410.0,437.0,11666,1672617600
ok,429.0,445.0,423.1,427.0,13939,1672704000
ok,420.6,448.0,420.6,441.0,13464,1672790400
ok,433.0,460.0,426.3,452.0,28337,1672876800
ok,449.9,469.0,437.0,452.0,13318,1673136000
ok,445.0,470.2,445.0,460.0,23073,1673222400
ok,460.0,477.0,436.1,452.8,42009,1673308800
ok,451.0,470.0,424.4,432.0,24949,1673481600
ok,430.0,472.0,427.0,462.0,15610,1673913600
ok,455.0,490.0,455.0,467.0,47699,1674000000
ok,461.0,477.0,458.0,467.0,18355,1674086400
ok,460.0,476.3,450.2,457.0,21511,1674432000
ok,447.9,454.0,443.0,451.0,8111,1674518400
ok,450.0,479.0,450.0,471.0,27636,1674604800
ok,480.4,487.0,465.0,485.0,21385,1674691200
ok,477.0,487.5,460.9,487.0,20670,1674950400
ok,477.3,485.0,465.9,470.0,17465,1675036800
ok,461.0,479.0,456.1,470.0,16515,1675123200
ok,461.1,473.0,461.1,471.0,5070,1675209600
ok,462.0,469.0,454.0,457.0,11991,1675296000
ok,457.0,473.0,450.0,472.0,8906,1675555200
ok,463.0,472.0,460.0,470.0,6869,1675641600
ok,470.0,488.0,465.0,487.9,19816,1675728000
ok,490.0,497.5,470.4,483.0,18135,1675814400
ok,475.0,510.0,475.0,490.0,16536,1675900800
ok,481.0,492.0,471.4,487.0,23278,1676160000
ok,477.3,490.0,472.1,488.0,8432,1676332800
ok,480.0,494.7,477.0,486.7,8350,1676419200
ok,480.0,488.0,471.1,477.0,6490,1676505600
ok,475.0,480.0,468.1,474.0,7250,1676851200
ok,470.0,488.0,470.0,488.0,5385,1677024000
ok,478.3,478.3,461.6,478.0,3110,1677110400
ok,473.0,477.0,460.0,473.3,7476,1677369600
ok,470.0,474.0,458.0,466.0,4238,1677456000
ok,461.0,476.0,461.0,471.0,2112,1677542400
ok,480.0,480.0,455.5,465.0,9806,1677628800
ok,456.0,466.0,452.0,466.0,1490,1677715200
ok,465.0,465.0,446.6,450.0,2160,1677974400
ok,446.0,459.9,446.0,459.9,1555,1678147200
ok,459.0,468.0,452.1,467.1,2970,1678320000
ok,465.5,470.0,452.0,467.4,1650,1678579200
ok,458.2,460.0,450.0,460.0,3125,1678665600
ok,469.2,469.2,450.0,456.0,2282,1678752000
ok,465.1,465.1,447.1,449.0,1371,1678838400
ok,445.0,460.0,444.0,459.0,2680,1678924800
ok,450.0,459.0,443.0,459.0,2520,1679184000
ok,456.5,469.0,455.0,469.0,3752,1679270400
ok,462.0,478.1,460.3,475.0,4520,1679443200
ok,465.5,481.0,460.0,465.9,2945,1679529600
ok,456.6,467.0,456.0,456.0,5150,1679788800
