s,o,h,l,c,v,t
ok,307.17,312.48,276.45,277.41,11686,1565049600
ok,263.59,263.59,249.78,249.78,2070,1565136000
ok,245.53,262.53,225.33,238.09,226165,1565222400
ok,233.84,247.66,231.72,247.66,124216,1565481600
ok,247.65,247.65,241.27,242.33,64760,1565568000
ok,240.2,244.45,239.14,239.14,42565,1565654400
ok,238.08,241.27,235.95,235.95,44230,1565740800
ok,233.83,240.21,233.83,235.95,23050,1565827200
ok,237.02,239.15,230.65,230.65,42847,1566086400
ok,230.64,242.33,226.39,235.95,37300,1566172800
ok,235.96,235.96,229.58,230.64,34270,1566259200
ok,231.7,235.96,229.58,230.64,20900,1566345600
ok,229.58,232.77,229.58,230.64,19505,1566432000
ok,230.65,230.65,223.21,227.46,29840,1566691200
ok,224.27,226.39,218.95,218.95,32565,1566777600
ok,218.96,227.46,213.65,222.15,18681,1566864000
ok,221.08,224.26,217.89,218.95,12359,1566950400
ok,218.94,221.07,215.75,215.75,16538,1567036800
ok,215.76,215.76,200.88,201.94,34280,1567296000
ok,199.82,204.08,196.64,199.82,24421,1567382400
ok,201.96,206.21,191.33,203.02,31610,1567468800
ok,206.2,206.2,198.76,204.08,22253,1567555200
ok,204.08,208.33,199.83,201.96,21245,1567641600
ok,201.95,203.01,195.57,195.57,10870,1567900800
ok,197.7,200.89,191.32,192.39,16670,1567987200
ok,192.39,193.45,183.88,188.13,26971,1568073600
ok,188.13,191.32,186.01,188.13,11801,1568160000
ok,188.13,188.13,183.88,183.88,13435,1568246400
ok,183.88,184.95,173.25,178.57,30110,1568505600
ok,175.37,181.75,173.24,177.5,16910,1568592000
ok,177.5,189.19,174.31,189.19,48995,1568678400
ok,189.2,194.51,183.88,193.45,47604,1568764800
ok,194.51,194.51,184.94,186.0,26918,1568851200
ok,186.01,187.07,175.38,176.44,21650,1569110400
ok,176.45,180.7,174.32,174.32,11060,1569196800
ok,174.33,176.45,173.26,176.45,7500,1569283200
ok,174.3,178.6,174.3,176.45,14685,1569456000
ok,174.3,180.75,174.3,175.37,11170,1569715200
ok,175.37,185.06,173.22,185.06,7190,1569801600
ok,177.65,180.82,175.53,179.76,9170,1569888000
ok,181.87,181.87,175.53,178.7,4870,1569974400
ok,180.82,180.82,177.65,178.7,10135,1570060800
ok,178.7,179.76,176.58,179.76,1190,1570665600
ok,176.58,179.75,176.58,177.64,4210,1571011200
ok,177.63,179.75,175.52,179.75,3010,1571097600
ok,179.75,180.8,177.63,178.69,7550,1571184000
ok,178.69,179.74,177.63,179.74,5016,1571270400
ok,179.74,179.74,175.51,179.74,6485,1571529600
ok,180.81,180.81,175.52,176.58,5490,1571616000
ok,176.59,186.1,174.47,179.76,11250,1571702400
ok,179.76,188.22,177.64,186.1,9410,1571788800
ok,187.16,190.33,181.87,186.1,13375,1571875200
ok,185.05,188.22,181.88,181.88,5557,1572480000
ok,182.93,182.93,176.59,176.59,8860,1572739200
ok,178.71,180.82,176.59,180.82,7155,1572825600
ok,177.66,179.78,176.6,177.66,5800,1572912000
ok,175.55,177.66,175.55,177.66,7960,1572998400
ok,177.65,177.65,174.48,174.48,6310,1573084800
ok,179.76,179.76,170.25,176.59,27650,1573344000
ok,176.59,179.77,171.31,177.65,14090,1573430400
ok,174.48,179.77,171.31,173.42,5830,1573516800
ok,172.37,175.54,171.31,173.42,9030,1573603200
ok,173.42,174.48,171.31,174.48,9490,1573689600
ok,174.49,174.49,169.2,170.26,25505,1573948800
ok,169.21,169.21,166.04,166.04,12501,1574035200
ok,169.21,169.21,166.04,166.04,10900,1574121600
ok,166.04,171.32,164.98,166.04,14129,1574208000
ok,166.03,168.15,161.8,164.97,11525,1574294400
ok,166.03,166.03,161.8,163.92,4198,1574553600
ok,162.86,170.26,160.75,161.8,8200,1574640000
ok,161.8,167.09,161.8,161.8,3290,1574726400
ok,161.8,167.08,160.74,162.85,7536,1574812800
ok,163.91,164.97,161.8,161.8,4560,1574899200
ok,162.85,163.9,160.74,160.74,4560,1574899200
ok,160.75,163.9,159.7,159.7,4670,1575158400
ok,161.81,162.86,159.71,161.81,6855,1575244800
ok,162.86,166.01,159.71,163.91,17288,1575331200
ok,163.91,168.11,161.81,166.01,15530,1575417600
ok,166.0,167.05,164.95,167.05,6396,1575504000
ok,167.05,167.05,162.85,166.0,4675,1575763200
ok,164.95,173.35,163.9,167.05,18532,1575849600
ok,170.2,172.3,166.0,167.05,9841,1575936000
ok,166.0,172.3,166.0,169.15,7739,1576022400
ok,169.15,180.7,168.1,172.3,17220,1576108800
ok,170.2,174.4,169.15,170.2,3740,1576368000
ok,167.03,171.26,167.03,168.09,7002,1576454400
ok,165.97,170.2,165.97,168.09,7050,1576540800
ok,169.14,169.14,165.97,168.09,3970,1576627200
ok,168.09,169.14,165.97,168.09,7430,1576713600
ok,171.25,171.25,164.91,165.97,3441,1576972800
ok,167.03,170.2,167.03,170.2,12075,1577059200
ok,171.26,171.26,168.09,168.09,7450,1577145600
ok,168.09,169.15,163.86,167.03,17919,1577232000
ok,163.85,167.02,163.85,164.91,4210,1577318400
ok,165.97,165.97,163.85,163.85,7130,1577577600
ok,164.91,164.91,162.8,163.85,4390,1577664000
ok,163.85,165.97,163.85,163.85,5275,1577750400
ok,163.85,167.03,163.85,163.85,5750,1577836800
ok,163.85,167.02,162.79,162.79,7730,1577923200
ok,161.73,167.02,161.73,164.91,13555,1578182400
ok,164.9,169.13,164.9,165.96,8065,1578268800
ok,169.14,172.31,165.97,170.19,30351,1578355200
ok,163.85,174.42,163.85,169.14,8622,1578441600
ok,163.85,171.25,163.85,171.25,11165,1578528000
ok,168.09,174.43,168.09,172.31,14376,1578787200
ok,175.5,187.2,172.31,178.69,52225,1578873600
ok,181.88,181.88,174.44,174.44,14062,1578960000
ok,175.5,179.76,173.37,175.5,15530,1579046400
ok,175.51,179.76,175.51,176.57,19150,1579132800
ok,177.64,186.15,176.57,180.83,33706,1579392000
ok,179.76,184.02,174.44,174.44,16290,1579478400
ok,173.38,177.63,172.32,173.38,12648,1579564800
ok,173.38,174.44,170.19,170.19,11250,1579651200
ok,169.13,170.2,164.88,164.88,17300,1579737600
ok,168.08,168.08,162.76,165.95,4880,1579996800
ok,164.9,171.16,161.77,171.16,4780,1580083200
ok,168.03,171.16,163.85,165.94,8022,1580169600
ok,163.85,168.03,163.85,163.85,9312,1580256000
ok,161.76,165.94,161.76,163.85,10140,1580342400
ok,163.85,164.89,161.76,162.8,11565,1580601600
ok,162.81,173.24,162.81,169.07,24065,1580688000
ok,168.03,175.34,164.9,166.99,22661,1580774400
ok,164.91,168.04,164.91,165.96,5790,1580860800
ok,163.87,168.04,163.87,165.96,5660,1580947200
ok,167.01,167.01,160.74,160.74,18586,1581206400
ok,162.83,163.88,161.79,162.83,17834,1581292800
ok,161.79,168.05,161.79,165.96,9244,1581379200
ok,165.95,167.0,162.82,162.82,13725,1581465600
ok,161.78,164.91,161.78,161.78,8976,1581552000
ok,160.74,163.87,160.74,163.87,6805,1581811200
ok,162.82,168.04,162.82,165.95,12580,1581897600
ok,164.9,166.99,163.86,164.9,9270,1581984000
ok,162.81,165.95,160.73,161.77,11525,1582070400
ok,164.84,167.91,159.72,161.77,29445,1582416000
ok,161.77,168.94,162.8,164.84,18885,1582502400
ok,161.77,168.93,161.77,168.93,25630,1582588800
ok,170.99,172.01,166.89,169.96,32051,1582675200
ok,169.97,172.02,164.85,167.92,11284,1582761600
ok,167.92,168.95,161.78,162.8,17030,1583020800
ok,159.72,163.82,158.7,158.7,6115,1583107200
ok,158.71,161.78,155.64,159.73,16114,1583193600
ok,156.66,162.8,156.66,159.73,21815,1583280000
ok,159.74,159.74,155.64,156.66,10223,1583366400
ok,155.64,156.66,146.42,151.54,6260,1583798400
ok,153.59,158.71,150.52,156.66,17032,1583884800
ok,153.59,156.66,150.52,151.54,13645,1583971200
ok,145.39,152.56,145.39,150.51,10170,1584230400
ok,144.37,153.58,144.37,152.56,10865,1584316800
ok,150.5,150.5,146.41,146.41,11763,1584403200
ok,144.36,146.41,142.31,144.36,7581,1584489600
ok,144.36,147.43,142.31,143.33,4420,1584576000
ok,145.38,145.38,144.35,144.35,500,1584835200
ok,142.3,142.3,140.25,140.25,230,1589241600
ok,136.03,136.03,125.95,127.97,3241,1593388800
ok,126.96,130.99,125.95,130.99,840,1593475200
ok,133.01,135.02,130.99,135.02,470,1593561600
ok,136.03,139.05,133.01,133.01,4980,1593648000
ok,131.0,134.02,128.98,129.99,3852,1593907200
ok,127.97,135.03,125.96,132.0,6770,1593993600
ok,129.99,141.07,129.99,141.07,8776,1594080000
ok,139.06,140.07,135.03,140.07,9740,1594166400
ok,138.06,140.07,132.01,140.07,7620,1594252800
ok,138.05,142.09,136.04,138.05,9304,1594512000
ok,136.04,141.08,135.03,139.06,11200,1594598400
ok,141.08,141.08,133.02,136.04,19700,1594684800
ok,134.03,138.06,134.03,135.04,4140,1594771200
ok,134.04,141.09,134.04,136.05,6300,1594857600
ok,138.06,140.08,138.06,140.08,20,1595116800
ok,146.13,153.18,135.04,142.09,11292,1595203200
ok,140.07,141.08,134.03,137.05,9370,1595289600
ok,143.09,143.09,134.02,136.04,9078,1595376000
ok,135.02,141.07,134.02,141.07,15700,1595462400
ok,139.06,141.07,135.03,138.05,7620,1595721600
ok,140.07,140.07,135.03,135.03,9970,1595808000
ok,133.04,137.01,130.06,133.04,15850,1595894400
ok,131.05,136.02,131.05,135.02,9720,1595980800
ok,133.03,140.98,132.04,134.03,14710,1596067200
ok,132.04,138.99,132.04,132.04,21435,1596326400
ok,130.05,135.02,130.05,134.02,7389,1596412800
ok,132.04,136.01,130.05,136.01,6175,1596585600
ok,136.0,137.0,132.0,135.0,8410,1596672000
ok,133.0,138.0,132.0,136.0,13020,1596931200
ok,134.0,140.0,133.0,139.0,10534,1597017600
ok,137.0,141.0,134.0,139.0,10865,1597104000
