s,o,h,l,c,v,t
ok,365.42,401.96,365.42,401.96,1220,1679875200
ok,410.0,442.15,410.0,442.15,1120,1679961600
ok,448.6,486.36,448.6,486.36,2500,1680048000
ok,496.07,534.95,496.07,534.95,5950,1680134400
ok,534.95,588.41,541.12,546.73,37769,1680393600
ok,537.38,538.32,514.21,523.46,26213,1680480000
ok,513.08,571.03,512.99,539.25,8930,1680566400
ok,534.58,562.15,532.71,559.72,8391,1680652800
ok,551.5,559.81,544.86,548.5,5259,1680739200
ok,540.19,542.06,523.36,523.36,11750,1680998400
ok,523.36,539.25,523.36,532.71,3660,1681084800
ok,523.55,542.06,523.55,541.96,2983,1681171200
ok,532.8,559.81,532.8,549.53,4623,1681257600
ok,549.53,550.0,532.8,532.8,5773,1681344000
ok,532.8,549.07,532.62,536.45,5025,1681603200
ok,526.26,542.06,526.26,537.38,8530,1681689600
ok,546.73,548.13,523.36,532.52,6700,1681776000
ok,530.84,533.55,523.36,526.17,1830,1681862400
ok,515.98,533.64,515.98,532.62,8395,1681948800
ok,522.52,531.68,514.11,531.68,7820,1682208000
ok,521.12,528.97,514.21,523.46,2552,1682294400
ok,515.89,532.52,506.82,532.52,4498,1682380800
ok,540.65,540.65,518.69,523.46,6570,1682467200
ok,513.27,526.17,513.27,526.17,2935,1682553600
ok,518.69,521.5,509.53,509.53,3883,1682812800
ok,504.77,512.43,504.77,512.43,810,1682985600
ok,502.8,509.35,502.8,503.18,670,1683072000
ok,493.55,513.08,493.55,513.08,1195,1683158400
ok,502.9,514.02,476.64,514.02,2250,1683417600
ok,503.74,504.21,485.98,504.21,1560,1683504000
ok,509.35,509.35,495.33,498.41,1620,1683590400
ok,497.2,514.02,492.52,514.02,4170,1683676800
ok,503.74,517.76,495.51,517.76,3180,1683763200
ok,517.76,523.18,500.93,509.35,6839,1684022400
ok,500.0,505.23,492.62,505.23,910,1684108800
ok,497.2,504.67,495.33,504.67,1030,1684195200
ok,500.0,512.15,500.0,512.15,5148,1684281600
ok,501.96,518.6,501.96,515.89,2710,1684368000
ok,506.54,523.36,505.61,514.02,5816,1684627200
ok,505.61,511.21,502.9,507.76,1250,1684713600
ok,504.77,524.49,504.77,521.59,4290,1684800000
ok,511.21,527.85,511.21,520.56,2520,1684886400
ok,514.02,522.34,511.5,515.89,3481,1685232000
ok,506.54,514.02,493.46,494.39,5280,1685404800
ok,494.39,495.33,462.99,476.64,5126,1685491200
ok,468.41,481.12,467.29,477.57,3598,1685577600
ok,487.1,495.33,477.57,494.86,3305,1685836800
ok,495.33,495.33,476.92,485.89,3968,1685923200
ok,477.57,494.67,477.57,494.67,3585,1686009600
ok,499.91,504.67,488.88,492.62,7176,1686096000
ok,495.51,514.02,495.33,513.08,5379,1686182400
ok,502.9,528.97,502.9,528.97,5797,1686441600
ok,539.25,539.25,509.35,521.5,5035,1686528000
ok,511.12,536.45,511.12,528.88,4985,1686614400
ok,539.25,539.25,518.69,530.84,6380,1686700800
ok,541.12,541.12,517.38,523.46,4776,1686787200
ok,531.78,536.45,519.35,530.84,1650,1687046400
ok,541.4,541.4,522.43,528.04,3537,1687132800
ok,517.66,561.68,517.66,530.0,8620,1687219200
ok,530.0,537.38,518.69,520.56,5015,1687305600
ok,514.11,532.71,514.11,530.84,1620,1687392000
