s,o,h,l,c,v,t
ok,284.76,313.24,284.76,313.24,6650,1677974400
ok,319.43,344.48,319.43,344.48,14850,1678147200
ok,351.33,372.38,338.1,362.86,68817,1678320000
ok,362.86,363.81,345.81,346.86,63702,1678579200
ok,346.67,346.67,328.57,337.14,29842,1678665600
ok,332.38,370.86,332.38,368.57,45140,1678752000
ok,361.24,369.62,357.81,368.76,33952,1678838400
ok,361.43,387.43,361.43,381.9,46216,1678924800
ok,383.81,387.14,370.48,380.0,31720,1679184000
ok,376.19,385.9,373.43,381.9,26018,1679270400
ok,389.52,405.14,383.81,383.9,39330,1679443200
ok,391.43,391.43,372.38,372.86,25112,1679529600
ok,380.29,380.95,365.71,371.43,22001,1679788800
ok,378.1,378.1,359.05,373.52,17065,1679875200
ok,380.95,383.81,368.67,373.33,26098,1679961600
ok,380.0,380.0,365.05,376.0,28707,1680048000
ok,376.1,379.05,368.86,376.19,16967,1680134400
ok,376.19,376.19,361.81,366.67,20541,1680393600
ok,359.33,364.76,352.38,356.29,15636,1680480000
ok,349.52,379.05,349.52,361.9,14200,1680566400
ok,357.14,364.76,352.57,361.9,12324,1680652800
ok,354.95,364.76,354.95,361.9,7990,1680739200
ok,354.76,356.19,349.81,354.29,8500,1680998400
ok,347.62,356.19,347.62,356.19,9000,1681084800
ok,350.48,370.48,350.48,363.33,5901,1681171200
ok,361.9,387.62,360.0,380.0,18844,1681257600
ok,372.57,400.0,366.76,371.43,23436,1681344000
ok,364.76,380.0,357.52,366.76,7015,1681603200
ok,359.52,366.67,358.19,363.81,8880,1681689600
ok,357.14,368.48,357.14,368.48,6982,1681776000
ok,361.14,398.1,355.24,380.86,6363,1681862400
ok,376.19,388.57,371.43,376.19,19178,1681948800
ok,382.86,391.33,365.05,367.05,6750,1682208000
ok,361.9,373.33,361.9,367.62,5580,1682294400
ok,360.29,378.1,360.29,371.52,8116,1682380800
ok,365.33,379.14,364.95,364.95,7257,1682467200
ok,362.86,379.9,362.86,379.9,13885,1682553600
ok,372.38,378.57,368.29,372.29,5170,1682812800
ok,365.24,367.62,361.9,366.67,4990,1682985600
ok,366.67,366.67,355.52,362.86,6413,1683072000
ok,355.62,371.43,355.24,371.43,6909,1683158400
ok,364.76,371.43,359.05,363.81,3090,1683417600
ok,357.24,366.67,357.24,364.67,9604,1683504000
ok,357.62,384.67,357.62,366.67,10698,1683590400
ok,371.43,371.43,361.9,370.48,9321,1683676800
ok,363.14,371.43,356.19,368.48,2010,1683763200
ok,375.24,375.24,350.57,361.9,4027,1684022400
ok,354.67,363.81,348.86,360.0,2990,1684108800
ok,360.0,365.71,350.48,362.86,8090,1684195200
ok,355.81,370.1,355.81,364.76,12538,1684281600
ok,371.43,379.81,357.24,379.81,13750,1684368000
ok,372.29,392.38,367.62,390.48,20687,1684627200
ok,390.48,395.24,369.62,381.81,13701,1684713600
ok,381.81,402.86,368.67,400.0,17798,1684800000
ok,407.62,407.62,381.52,386.38,12552,1684886400
ok,388.57,401.9,378.1,389.52,32173,1685232000
ok,381.81,404.76,368.0,396.67,20239,1685404800
ok,401.9,401.9,367.9,374.29,21835,1685491200
ok,366.95,380.76,362.86,376.19,17637,1685577600
ok,380.95,403.81,374.29,395.24,22813,1685836800
ok,400.0,400.0,388.67,394.29,29996,1685923200
ok,386.48,411.81,382.38,411.81,27546,1686009600
ok,412.38,440.0,405.14,422.86,24563,1686096000
ok,427.62,440.95,406.76,432.29,15135,1686182400
ok,438.1,446.67,423.81,438.1,34598,1686441600
ok,429.33,438.1,415.24,421.62,30141,1686528000
ok,414.29,447.05,406.0,420.95,29174,1686614400
ok,414.29,439.05,414.29,423.81,45410,1686700800
ok,428.57,438.95,420.0,438.1,36005,1686787200
ok,438.1,481.9,429.43,481.9,28766,1687046400
ok,472.29,472.29,444.57,460.0,20197,1687132800
ok,466.67,466.67,433.33,440.95,17933,1687219200
ok,432.38,447.62,420.0,423.81,20231,1687305600
ok,419.05,447.62,414.29,432.95,26027,1687392000
ok,441.52,450.29,407.62,450.29,35861,1687651200
ok,441.33,441.33,413.33,419.05,29943,1687737600
ok,419.05,423.81,409.9,414.29,28113,1687824000
ok,419.05,439.52,400.0,400.0,19920,1687910400
ok,395.24,408.0,395.24,399.05,14396,1688256000
ok,406.95,406.95,381.05,402.86,15987,1688342400
ok,402.86,408.57,389.43,405.71,6311,1688428800
ok,397.62,397.62,384.38,387.52,10659,1688515200
ok,380.0,398.1,380.0,398.1,8502,1688601600
ok,405.62,405.62,373.9,394.29,11000,1688860800
ok,386.48,400.86,374.29,374.29,12419,1688947200
ok,366.86,378.1,366.86,371.9,9365,1689033600
ok,365.71,406.19,365.71,389.52,4669,1689120000
ok,389.52,413.24,380.0,380.0,6190,1689206400
ok,373.33,401.9,359.52,401.9,6252,1689465600
ok,393.9,393.9,371.43,392.38,5015,1689552000
ok,384.57,399.05,376.95,391.43,9023,1689638400
ok,395.71,397.14,374.0,378.1,9247,1689724800
ok,371.52,386.76,371.43,385.52,5060,1689811200
ok,388.57,407.62,377.14,395.24,7116,1690070400
ok,403.14,403.14,379.05,382.95,5608,1690156800
ok,375.43,382.86,372.38,376.29,2900,1690243200
ok,370.48,379.05,370.48,374.76,2823,1690329600
ok,367.62,374.29,367.62,367.71,4748,1690416000
ok,367.81,374.29,361.24,363.81,5193,1690675200
ok,371.05,386.57,350.29,362.38,3020,1690761600
ok,362.38,379.05,357.14,379.05,3209,1690848000
ok,371.52,371.52,356.86,363.71,2880,1690934400
ok,357.14,384.76,354.38,354.38,4350,1691020800
ok,348.57,366.67,335.24,366.67,7054,1691280000
ok,359.33,366.67,331.62,357.52,3200,1691366400
ok,350.38,350.38,338.1,341.9,2969,1691452800
ok,335.33,375.24,331.43,375.24,6763,1691539200
ok,371.43,371.43,343.33,353.33,3912,1691625600
ok,347.62,374.48,341.05,345.81,4380,1691884800
ok,345.71,352.38,336.19,342.76,3600,1691971200
ok,336.19,337.14,333.33,334.29,2480,1692057600
ok,328.57,354.29,324.0,330.48,6273,1692144000
ok,324.1,350.57,317.81,343.62,7830,1692230400
ok,336.76,336.76,318.1,323.81,3177,1692489600
ok,318.1,336.19,314.48,336.19,3260,1692576000
ok,329.52,341.43,314.48,341.43,3600,1692662400
ok,340.48,342.86,328.57,340.95,8359,1692748800
ok,334.29,348.57,326.95,328.57,8426,1692835200
ok,322.1,328.67,319.05,319.14,2666,1693094400
ok,314.29,321.05,312.38,318.1,2335,1693180800
ok,324.29,337.33,312.38,316.19,2590,1693267200
ok,322.48,328.57,315.71,316.29,2210,1693353600
ok,322.57,335.52,304.0,305.71,3250,1693699200
ok,305.71,317.14,301.9,312.38,4360,1693785600
ok,306.19,318.0,300.95,317.14,1210,1693872000
