s,o,h,l,c,v,t
ok,318.85,350.74,315.04,324.58,92899,1681344000
ok,329.36,330.31,299.38,302.63,84870,1681603200
ok,305.49,317.8,291.17,294.22,35248,1681689600
ok,291.17,296.9,285.44,293.27,45046,1681776000
ok,292.12,299.76,289.36,296.9,28467,1681862400
ok,302.82,302.82,291.17,291.17,23322,1681948800
ok,286.4,289.07,279.05,281.53,32757,1682208000
ok,277.8,283.53,273.13,273.51,30945,1682294400
ok,268.07,284.39,262.24,283.34,47220,1682380800
ok,277.8,282.1,272.08,274.75,20429,1682467200
ok,273.99,276.85,265.97,270.93,21190,1682553600
ok,269.21,270.17,261.67,261.67,27513,1682812800
ok,266.83,268.26,252.03,254.8,16688,1682985600
ok,250.21,254.89,244.49,245.44,28671,1683072000
ok,241.53,252.79,241.53,251.07,21956,1683158400
ok,246.3,251.07,239.62,240.57,24149,1683417600
ok,238.57,241.53,230.07,233.79,20007,1683504000
ok,229.4,242.48,227.4,239.62,18494,1683590400
ok,239.52,240.48,232.17,234.37,16126,1683676800
ok,233.89,239.62,231.31,233.89,12747,1683763200
ok,233.89,236.75,229.4,229.4,15690,1684022400
ok,226.35,234.65,222.63,229.12,19225,1684108800
ok,224.92,233.79,224.92,233.79,18675,1684195200
ok,230.07,241.53,230.07,241.53,22184,1684281600
ok,241.53,254.89,236.75,252.89,21462,1684368000
ok,248.21,257.18,243.72,244.49,38296,1684627200
ok,240.57,251.07,239.62,246.3,19748,1684713600
ok,246.3,263.87,245.35,258.71,37038,1684800000
ok,258.71,263.01,251.46,263.01,28270,1684886400
ok,263.01,266.35,251.07,252.22,40282,1685232000
ok,247.35,253.94,240.57,241.53,33105,1685404800
ok,236.75,246.3,233.89,237.14,20305,1685491200
ok,236.75,248.21,233.13,242.0,24047,1685577600
ok,237.23,260.62,237.23,256.52,24815,1685836800
ok,252.03,266.35,248.21,252.98,39737,1685923200
ok,248.31,260.62,248.31,258.71,20467,1686009600
ok,258.71,281.62,257.76,272.08,136728,1686096000
ok,266.83,280.67,264.92,270.17,50257,1686182400
ok,274.94,287.35,268.26,286.4,54509,1686441600
ok,286.4,287.35,273.99,275.23,40081,1686528000
ok,274.94,284.49,270.17,279.71,30956,1686614400
ok,279.71,289.26,267.3,273.99,69090,1686700800
ok,269.31,282.58,269.31,272.08,38097,1686787200
ok,276.85,292.12,273.13,288.31,55954,1687046400
ok,282.58,294.03,278.09,278.09,62490,1687132800
ok,277.8,283.72,265.39,265.39,32279,1687219200
ok,269.21,273.03,259.67,260.81,29525,1687305600
ok,262.53,265.39,253.94,254.13,21498,1687392000
ok,250.12,263.48,249.26,260.62,48904,1687651200
ok,260.62,274.94,257.76,257.95,27404,1687737600
ok,257.76,264.44,253.94,263.48,25457,1687824000
ok,262.63,264.44,253.94,255.75,25080,1687910400
ok,255.85,257.57,244.58,244.58,20566,1688256000
ok,240.57,257.76,240.57,241.05,30917,1688342400
ok,240.57,249.64,238.66,244.58,18428,1688428800
ok,244.39,250.31,236.75,238.76,24050,1688515200
ok,238.66,243.44,233.99,240.57,24770,1688601600
ok,238.66,248.5,238.66,242.48,14293,1688860800
ok,238.95,246.78,236.75,240.57,20082,1688947200
ok,245.35,245.35,233.99,236.28,10294,1689033600
ok,234.84,256.8,233.89,250.98,16747,1689120000
ok,248.21,251.07,242.48,242.67,24484,1689206400
ok,238.85,243.44,236.85,238.66,11297,1689465600
ok,242.48,245.44,235.8,242.48,13214,1689552000
ok,242.48,247.26,238.85,243.44,13685,1689638400
ok,238.76,241.62,235.8,236.85,15846,1689724800
ok,233.89,245.35,233.89,240.86,16464,1689811200
ok,238.66,248.31,238.66,244.39,18978,1690070400
ok,244.39,250.5,241.62,242.0,23672,1690156800
ok,238.76,245.35,238.76,242.0,11580,1690243200
ok,238.66,245.35,238.66,242.58,10848,1690329600
ok,243.44,243.44,236.75,238.47,11700,1690416000
ok,242.48,242.48,231.03,231.03,20384,1690675200
ok,231.03,236.75,230.26,232.94,13070,1690761600
ok,230.17,235.8,225.97,229.12,20344,1690848000
ok,225.97,231.03,225.97,230.07,9455,1690934400
ok,231.03,235.13,228.16,234.84,17443,1691020800
ok,230.17,233.89,224.44,227.11,10648,1691280000
ok,223.87,236.75,223.58,225.3,14558,1691366400
ok,225.3,229.12,221.48,221.58,9965,1691452800
ok,220.53,234.84,216.13,234.75,18460,1691539200
ok,231.03,238.85,228.16,238.85,10519,1691625600
ok,234.18,247.26,230.26,247.26,27771,1691884800
ok,242.48,242.48,233.03,239.52,17267,1691971200
ok,234.75,235.8,228.16,231.98,19300,1692057600
ok,227.4,228.16,219.67,223.39,15292,1692144000
ok,221.58,236.28,221.58,236.28,15355,1692230400
ok,236.28,236.28,222.53,224.15,13373,1692489600
ok,228.54,232.74,217.66,222.91,19960,1692576000
ok,218.52,225.39,216.52,225.39,18815,1692662400
ok,221.58,233.89,221.58,231.98,11875,1692748800
ok,229.12,229.12,223.48,227.02,7647,1692835200
ok,222.53,222.53,217.76,219.57,9791,1693094400
ok,219.57,228.35,215.27,220.53,9555,1693180800
ok,216.13,221.96,216.13,219.57,4655,1693267200
ok,216.71,221.0,215.94,218.62,5560,1693353600
ok,214.8,214.89,210.21,212.89,9809,1693699200
ok,208.88,215.75,206.21,215.75,12833,1693785600
ok,211.46,215.66,208.31,210.5,7685,1693872000
ok,207.16,210.79,205.35,209.07,6925,1694044800
ok,205.25,213.84,205.25,211.93,6995,1694304000
ok,211.93,231.69,208.11,229.12,35855,1694390400
ok,233.7,233.7,215.75,219.57,19860,1694476800
ok,220.43,233.6,218.71,230.07,27214,1694563200
ok,226.25,228.74,218.14,220.43,19540,1694908800
ok,216.04,224.63,212.22,223.87,9687,1694995200
ok,219.57,233.51,219.57,231.98,28565,1695081600
ok,236.56,255.08,229.12,252.03,65254,1695254400
ok,248.21,254.89,240.67,247.73,54290,1695513600
ok,242.86,251.07,239.62,248.02,44824,1695600000
ok,248.21,256.32,245.35,255.56,54799,1695686400
ok,258.71,258.71,240.86,247.26,47585,1695772800
ok,242.39,248.21,235.23,243.44,67721,1696118400
ok,243.44,252.98,237.71,252.89,42105,1696204800
ok,248.21,257.76,243.72,249.16,33025,1696291200
ok,253.94,253.94,244.39,250.98,39140,1696377600
ok,247.26,252.98,246.59,248.97,22951,1696464000
ok,244.49,248.21,230.36,234.56,36159,1696723200
ok,230.26,239.24,228.35,232.94,21591,1696809600
ok,229.12,231.98,227.4,231.03,14667,1696896000
ok,231.03,235.61,227.21,229.12,18754,1696982400
ok,229.12,233.7,221.1,228.74,18149,1697068800
ok,224.44,226.25,220.53,226.25,15721,1697414400
ok,221.96,230.07,221.96,227.11,8740,1697500800
ok,223.01,243.44,223.01,243.44,49227,1697587200
ok,247.26,247.26,229.12,239.81,9133,1697673600
ok,237.71,237.71,224.44,232.94,9276,1698537600
ok,228.35,234.18,220.62,234.18,7265,1698624000
ok,229.5,231.03,221.58,231.03,9561,1698710400
ok,226.44,242.48,222.43,230.55,5562,1698796800
ok,233.89,235.13,221.48,228.83,10595,1698883200
ok,224.34,224.34,219.57,222.43,3925,1699142400
ok,219.19,228.16,215.27,228.16,7972,1699228800
ok,223.68,227.59,221.48,227.21,43450,1699315200
ok,224.82,227.97,222.91,227.97,12610,1699401600
ok,227.97,236.75,227.97,231.03,26374,1699488000
ok,230.17,236.56,225.87,231.89,10070,1700438400
ok,227.3,229.31,222.82,229.12,5577,1700524800
ok,225.3,236.66,220.91,236.66,13898,1700611200
ok,236.66,250.12,220.53,248.21,25521,1700697600
ok,252.98,253.94,241.53,253.94,74635,1700956800
ok,249.16,254.13,244.2,248.97,21603,1701043200
ok,248.97,262.53,244.39,250.12,18782,1701129600
ok,250.12,257.76,241.53,245.35,36302,1701216000
ok,240.67,246.3,233.89,238.66,23280,1701302400
ok,233.89,240.57,231.12,235.8,11138,1701561600
ok,238.66,243.44,231.12,240.57,18925,1701648000
ok,245.35,245.35,227.4,240.57,8560,1701734400
ok,235.8,238.66,231.31,234.27,8440,1701820800
ok,230.07,243.44,230.07,237.71,26876,1701907200
ok,237.71,261.19,237.71,251.07,680,1702166400
ok,255.85,256.04,242.39,248.21,88957,1702252800
ok,253.17,261.58,243.44,256.8,106252,1702339200
ok,257.66,271.03,257.66,265.39,90321,1702425600
ok,262.53,276.66,260.62,273.99,93227,1702512000
ok,272.08,301.38,263.2,301.38,216299,1702771200
ok,307.4,313.13,292.12,297.85,156986,1702857600
ok,295.94,309.31,283.53,309.31,134993,1702944000
ok,314.08,314.08,298.81,302.24,112850,1703030400
ok,296.9,320.76,296.9,308.35,173251,1703116800
ok,304.53,331.26,303.58,319.9,266890,1703376000
ok,319.81,348.54,319.81,336.04,214353,1703635200
ok,342.72,343.58,330.31,330.31,121678,1703721600
ok,330.31,339.86,311.12,314.08,95296,1704067200
ok,314.08,327.73,310.26,320.1,121837,1704153600
ok,319.81,348.07,319.81,348.07,200902,1704240000
ok,354.18,376.13,340.81,351.31,207377,1704326400
ok,353.22,361.81,339.86,355.13,241432,1704585600
ok,356.09,369.45,352.36,358.47,161435,1704672000
ok,358.0,384.73,346.54,354.18,203031,1704758400
ok,354.18,361.24,348.45,353.22,94034,1704844800
ok,360.29,360.29,347.49,355.13,73469,1704931200
ok,355.13,381.86,355.13,365.63,144943,1705190400
ok,367.54,375.18,360.38,362.77,175558,1705363200
ok,364.68,369.45,343.68,344.63,129822,1705449600
ok,338.9,372.12,335.18,350.36,88676,1705536000
ok,357.04,363.72,346.54,352.17,103028,1705795200
ok,351.31,355.42,337.28,341.77,56837,1705881600
ok,336.99,345.68,331.26,336.99,55503,1705968000
ok,330.41,345.58,327.45,329.36,43287,1706054400
ok,325.63,336.99,325.63,325.63,27874,1706140800
ok,320.48,342.72,320.48,337.85,56161,1706400000
ok,337.95,357.04,337.95,349.4,105218,1706486400
ok,350.36,360.38,345.68,355.13,124598,1706572800
ok,362.2,370.98,353.22,358.95,180392,1706659200
ok,360.86,360.86,343.68,345.58,67941,1706745600
ok,339.0,351.22,338.9,340.14,53948,1707004800
ok,339.86,348.45,339.86,343.68,32460,1707091200
ok,348.45,350.55,340.81,347.02,34708,1707177600
ok,347.02,357.33,343.68,349.88,65900,1707264000
ok,346.54,367.54,346.54,362.86,116328,1707350400
ok,363.72,377.09,363.72,367.54,188874,1707609600
ok,369.45,379.0,369.45,372.32,136493,1707696000
ok,372.32,388.54,358.38,374.22,234654,1707782400
ok,372.32,398.09,372.32,397.14,247589,1707868800
ok,400.95,428.64,400.95,410.5,267626,1707955200
ok,410.5,413.08,385.78,389.4,222325,1708214400
ok,391.41,397.14,377.09,379.95,121661,1708387200
ok,379.95,395.23,378.23,392.36,144150,1708473600
ok,386.63,394.27,372.41,380.91,101403,1708560000
ok,373.37,387.49,368.5,369.45,125213,1708819200
ok,371.84,396.18,368.5,375.85,55732,1708905600
ok,381.86,390.45,365.82,368.5,74084,1708992000
ok,374.22,379.0,363.15,363.15,76055,1709078400
ok,362.77,370.41,346.25,346.25,99789,1709164800
ok,352.27,357.33,337.09,348.45,59649,1709424000
ok,355.42,382.82,355.42,380.91,22498,1709510400
ok,381.86,381.86,360.1,363.72,87646,1709596800
ok,359.05,375.18,353.22,364.58,76241,1709683200
