s,o,h,l,c,v,t
ok,296.3,320.5,296.3,320.5,57,1637798400
ok,326.9,346.8,326.9,346.8,71,1638057600
ok,346.8,381.4,346.8,381.4,67,1638144000
ok,389.0,419.5,389.0,419.5,70,1638230400
ok,427.8,461.4,427.8,461.4,160,1638316800
ok,470.6,507.5,470.6,507.5,700,1638403200
ok,517.0,558.2,471.0,500.0,33698,1638662400
ok,510.0,510.0,455.0,500.0,10801,1638748800
ok,510.0,519.0,471.6,475.0,6274,1638835200
ok,467.0,467.0,427.5,441.0,8150,1638921600
ok,432.3,440.0,418.5,425.0,5381,1639008000
ok,415.0,420.0,393.0,393.0,5492,1639267200
ok,386.0,386.0,354.0,367.0,2565,1639353600
ok,369.0,403.7,369.0,403.7,2640,1639440000
ok,411.7,444.0,406.8,444.0,9896,1639526400
ok,452.8,478.0,413.0,433.2,4185,1639612800
ok,431.0,433.0,403.0,426.8,3300,1639958400
ok,420.0,434.0,416.0,425.0,2925,1640044800
ok,425.0,458.0,425.0,458.0,2975,1640131200
ok,448.9,483.9,432.0,436.0,3053,1640217600
ok,428.0,469.2,425.0,469.2,7185,1640476800
ok,460.0,500.0,437.0,497.0,6118,1640563200
ok,488.0,488.0,452.0,467.0,1750,1640649600
ok,457.7,457.7,442.0,457.0,2218,1640736000
ok,448.0,456.0,436.1,450.0,5566,1641081600
ok,444.0,452.8,431.2,444.0,2658,1641168000
ok,440.0,450.0,438.1,440.0,2795,1641254400
ok,433.0,461.0,433.0,449.0,6134,1641340800
ok,441.0,460.0,433.2,460.0,4320,1641427200
ok,460.1,478.0,459.0,477.0,6378,1641686400
ok,478.0,487.5,460.6,482.5,5537,1641772800
ok,483.0,494.0,473.0,490.0,4209,1641859200
ok,490.0,529.0,481.3,516.0,15164,1641945600
ok,522.9,530.0,506.0,526.0,6682,1642032000
ok,526.0,560.0,526.0,554.0,12203,1642291200
ok,545.0,593.0,545.0,593.0,16925,1642377600
ok,590.0,649.3,584.0,649.3,18009,1642464000
ok,640.0,714.0,615.0,714.0,17399,1642550400
ok,700.0,745.0,672.3,732.0,20034,1642636800
ok,735.0,735.0,670.0,683.0,30393,1642896000
ok,669.4,669.4,625.0,636.0,14888,1642982400
ok,624.0,661.6,613.0,661.6,6585,1643068800
ok,648.4,663.0,632.3,663.0,6553,1643155200
ok,649.8,703.0,640.0,660.0,10443,1643241600
ok,673.2,694.0,661.0,693.0,8330,1643500800
ok,690.0,690.0,670.0,679.0,3110,1643587200
ok,679.0,684.0,665.5,679.0,5765,1643673600
ok,669.0,692.0,669.0,676.0,11682,1643846400
ok,663.0,682.0,655.1,678.9,5574,1644105600
ok,665.4,689.9,652.2,670.0,5667,1644192000
ok,670.0,694.0,644.1,655.0,5065,1644278400
ok,642.1,655.0,631.0,637.1,2489,1644364800
ok,635.0,687.0,613.0,630.0,3603,1644451200
ok,617.4,618.0,586.1,586.1,3636,1644710400
ok,586.1,606.0,581.0,586.1,2282,1644796800
ok,575.0,624.0,575.0,617.0,2043,1644883200
ok,611.0,633.4,586.9,630.0,3125,1644969600
ok,617.4,672.0,601.0,656.0,15457,1645056000
ok,642.9,707.9,618.4,699.0,32617,1645315200
ok,705.0,757.0,672.3,728.0,23773,1645401600
