s,o,h,l,c,v,t
ok,168.72,175.66,168.72,175.66,40,1494892800
ok,178.51,186.66,178.51,186.66,40,1494979200
ok,186.66,201.7,194.18,201.7,45,1495065600
ok,204.59,218.48,204.59,218.48,490,1495324800
ok,221.95,236.99,221.95,236.99,3075,1495411200
ok,241.04,257.24,228.31,228.89,60115,1495497600
ok,228.89,227.16,216.16,223.69,20312,1495584000
ok,220.21,220.21,215.01,216.16,8829,1495929600
ok,218.48,220.79,202.28,206.33,24367,1496102400
ok,206.33,212.69,200.54,212.69,14943,1496188800
ok,209.22,212.11,203.44,205.75,5541,1496275200
ok,206.33,206.33,198.81,205.17,4147,1496534400
ok,206.91,208.06,199.96,201.7,6799,1496620800
ok,201.12,204.59,195.34,202.28,18296,1496707200
ok,199.96,201.7,194.18,198.81,18642,1496793600
ok,195.34,198.23,190.71,195.91,7726,1496880000
ok,199.39,199.39,188.97,190.71,3025,1497139200
ok,189.55,193.6,186.08,189.55,3103,1497225600
ok,187.81,190.71,182.61,185.5,5396,1497312000
ok,181.45,192.44,179.71,192.44,5417,1497398400
ok,189.55,192.44,187.24,187.24,5306,1497484800
ok,187.24,186.66,181.45,183.76,2859,1497744000
ok,181.45,187.81,176.24,180.87,6232,1497830400
ok,177.98,183.76,175.08,182.03,2615,1497916800
ok,180.87,186.66,177.4,186.66,2045,1498003200
ok,189.55,189.55,180.87,187.81,1747,1498089600
ok,189.55,189.55,179.71,182.61,3245,1498348800
ok,179.71,183.76,177.4,180.87,2025,1498521600
ok,177.98,181.45,177.98,179.71,1953,1498608000
ok,177.4,177.98,173.35,175.66,3408,1498953600
ok,177.98,177.98,172.77,173.35,4484,1499040000
ok,175.08,175.08,171.03,172.19,1526,1499126400
ok,171.03,175.66,169.88,173.35,1250,1499212800
ok,171.03,180.87,171.03,180.87,1462,1499299200
ok,180.87,183.76,177.98,183.76,4474,1499558400
ok,183.76,183.76,176.82,177.98,7216,1499644800
ok,180.87,180.87,175.66,177.98,2555,1499731200
ok,175.66,177.98,175.08,177.98,1985,1499817600
ok,175.08,177.98,171.03,173.93,3924,1499904000
ok,171.61,174.51,171.61,172.77,359,1500163200
ok,175.08,182.03,171.03,181.45,3747,1500249600
ok,179.14,190.71,172.77,190.71,2191,1500336000
ok,187.81,187.81,176.82,180.29,7991,1500508800
ok,177.4,177.4,173.93,175.66,1556,1500768000
ok,175.08,177.98,173.35,176.82,5596,1500854400
ok,176.24,175.08,168.14,172.19,8800,1500940800
ok,173.35,179.14,172.19,172.19,2062,1501027200
ok,169.88,174.51,168.72,172.19,1427,1501113600
ok,169.88,176.24,167.56,173.93,3011,1501372800
ok,171.61,171.61,166.98,169.3,767,1501459200
ok,166.98,172.77,166.98,170.46,1307,1501545600
ok,169.3,175.08,166.98,173.35,2560,1501632000
ok,175.08,175.08,166.98,175.08,3579,1501718400
ok,177.4,172.77,165.83,165.83,5604,1501977600
ok,164.67,164.67,161.2,162.93,5932,1502064000
ok,160.62,162.36,156.57,157.15,4429,1502236800
ok,154.83,156.57,154.26,155.99,4095,1502323200
ok,153.68,154.83,150.21,153.1,720,1502582400
ok,153.1,153.1,148.47,149.05,4253,1502755200
ok,148.47,151.36,148.47,150.78,5058,1502841600
ok,149.05,149.05,145.0,145.0,3813,1502928000
ok,144.42,146.16,143.26,145.0,3083,1503187200
ok,146.73,146.73,143.84,145.0,1275,1503273600
ok,143.26,149.05,140.37,146.16,3573,1503360000
ok,145.58,147.89,143.84,147.31,7952,1503446400
ok,147.89,146.16,143.26,143.26,1818,1503532800
ok,143.26,148.47,141.53,148.47,2071,1503792000
ok,146.73,146.73,141.53,143.26,1846,1503878400
ok,143.26,146.16,140.95,141.53,906,1504051200
ok,141.53,141.53,135.74,136.32,1179,1504137600
ok,136.32,136.32,128.22,130.53,2177,1504483200
ok,131.69,133.43,128.22,129.96,2252,1504656000
ok,128.22,131.69,127.64,128.8,1202,1504742400
ok,127.06,127.06,120.12,123.59,10680,1505001600
ok,122.43,125.91,122.43,124.75,1232,1505088000
ok,124.75,128.8,124.17,128.8,1873,1505174400
