s,o,h,l,c,v,t
ok,194.8,214.2,194.8,214.2,950,1665964800
ok,218.4,235.6,218.4,235.6,4133,1666137600
ok,240.3,259.1,240.3,259.1,4194,1666224000
ok,264.2,285.0,264.2,285.0,1430,1666483200
ok,290.7,313.5,290.7,313.5,9267,1667174400
ok,319.7,326.0,284.2,312.0,25937,1667260800
ok,318.2,324.0,301.0,314.9,8948,1667347200
ok,313.0,314.0,302.0,310.0,2800,1667433600
ok,303.8,316.0,300.0,314.9,3509,1667692800
ok,309.0,320.5,307.3,310.8,3785,1667779200
ok,304.7,310.0,301.3,310.0,4134,1667865600
ok,304.1,307.5,296.1,305.0,2350,1667952000
ok,299.0,305.0,296.0,302.9,2710,1668038400
ok,296.9,305.0,291.1,299.9,1750,1668297600
ok,294.0,306.5,290.3,300.1,1270,1668384000
ok,300.0,312.1,290.2,306.1,6202,1668470400
ok,312.2,316.2,300.9,316.2,5400,1668556800
ok,322.0,347.8,316.0,347.8,7612,1668643200
ok,354.7,382.5,341.0,361.0,12334,1669075200
ok,362.0,365.0,347.6,365.0,9855,1669161600
ok,365.0,375.3,357.0,375.3,3276,1669248000
ok,367.8,376.0,362.0,376.0,3780,1669507200
ok,381.0,381.0,362.6,363.0,2909,1669593600
ok,356.0,370.0,356.0,367.0,1330,1669680000
ok,360.0,364.0,355.0,364.0,1890,1669766400
ok,364.0,371.2,355.0,355.0,4035,1669852800
ok,350.0,378.7,350.0,353.0,5590,1670112000
ok,347.1,365.0,347.1,364.0,2589,1670198400
ok,360.0,362.0,354.0,356.0,1340,1670284800
ok,350.6,359.1,350.6,359.0,3060,1670371200
ok,351.9,362.0,346.0,350.0,2720,1670716800
ok,343.0,357.0,343.0,352.0,1600,1670803200
ok,345.1,352.0,345.1,350.0,780,1670889600
ok,345.0,362.0,345.0,358.0,2642,1670976000
ok,358.0,361.0,344.3,350.0,3790,1671062400
ok,343.1,350.0,335.0,349.0,2320,1671321600
ok,342.1,347.0,335.3,347.0,1725,1671408000
ok,340.1,350.0,336.0,349.9,1365,1671494400
ok,353.9,353.9,335.0,339.9,2510,1671580800
ok,333.6,373.8,333.6,358.0,3110,1671667200
ok,350.9,365.0,346.0,364.0,3049,1672012800
ok,370.0,371.2,350.2,365.0,9845,1672099200
ok,365.0,365.0,350.0,359.0,3060,1672185600
ok,352.0,373.0,345.0,372.0,5102,1672272000
ok,371.0,390.0,360.0,369.0,7760,1672531200
ok,361.7,383.5,360.0,375.0,2160,1672617600
ok,382.5,385.0,366.1,378.0,12100,1672704000
ok,375.0,410.0,375.0,400.0,4586,1672790400
ok,395.0,425.0,388.0,425.0,5825,1672876800
ok,416.5,435.0,403.2,412.0,4695,1673136000
ok,410.0,419.8,398.0,416.0,7575,1673222400
