s,o,h,l,c,v,t
ok,265.0,291.5,265.0,291.5,200,1678147200
ok,297.3,320.6,297.3,320.6,480,1678320000
ok,327.0,352.6,327.0,352.6,700,1678579200
ok,359.6,387.8,359.6,387.8,5031,1678665600
ok,395.0,426.5,395.0,426.5,3160,1678752000
ok,435.0,469.1,435.0,469.1,7236,1678838400
ok,478.4,516.0,478.4,516.0,19555,1678924800
ok,526.3,567.6,510.0,567.6,50123,1679184000
ok,565.0,610.9,534.4,590.0,20723,1679270400
ok,590.0,590.0,564.0,569.7,13780,1679443200
ok,560.0,560.0,526.6,537.0,24690,1679529600
ok,526.3,537.0,515.0,530.0,8215,1679788800
ok,535.0,537.1,515.0,535.0,10120,1679875200
ok,545.0,557.9,525.0,544.0,8314,1679961600
ok,533.3,566.0,531.1,550.0,10120,1680048000
ok,539.0,560.0,539.0,544.5,5787,1680134400
ok,544.5,544.0,520.0,520.0,6780,1680393600
ok,525.0,526.0,511.3,521.0,9223,1680480000
ok,511.0,542.1,510.6,526.0,2125,1680566400
ok,516.1,535.6,516.1,535.6,2730,1680652800
ok,526.0,546.0,526.0,534.1,8778,1680739200
ok,523.5,535.6,515.0,515.0,7856,1680998400
ok,525.0,544.0,516.1,537.0,5200,1681084800
ok,530.0,541.0,530.0,540.0,3295,1681171200
ok,550.0,560.0,541.0,559.9,13709,1681257600
ok,565.0,565.0,545.2,558.4,3715,1681344000
ok,552.0,559.0,541.0,557.0,7580,1681603200
ok,565.0,565.0,535.0,550.0,4250,1681689600
ok,539.0,552.0,529.0,550.0,2120,1681776000
ok,540.0,560.0,536.1,554.0,3770,1681862400
ok,550.0,565.0,538.1,549.8,2641,1681948800
ok,540.0,550.9,533.0,550.0,4803,1682208000
ok,540.0,543.0,531.0,536.0,900,1682294400
ok,527.2,546.7,527.2,540.0,1440,1682380800
ok,530.1,547.0,530.0,530.0,1725,1682467200
ok,520.1,560.0,520.1,530.1,8902,1682553600
ok,520.8,532.0,520.8,527.9,1190,1682812800
ok,527.9,529.0,515.2,529.0,2428,1682985600
ok,519.0,527.0,518.7,527.0,790,1683072000
ok,518.2,525.0,517.3,525.0,750,1683158400
ok,521.0,521.0,510.2,519.0,4218,1683417600
ok,509.0,519.9,509.0,519.9,1180,1683504000
ok,512.0,519.9,510.2,518.0,400,1683590400
ok,521.9,525.4,512.0,520.0,530,1683676800
ok,510.0,527.0,506.0,527.0,1070,1683763200
ok,520.0,520.0,508.0,518.0,2085,1684022400
ok,520.0,527.0,507.0,514.9,440,1684108800
ok,506.0,515.0,506.0,510.0,795,1684195200
ok,520.2,530.6,515.0,525.0,1410,1684281600
ok,535.0,535.0,512.0,526.4,1150,1684368000
ok,518.1,540.0,518.1,537.7,4630,1684627200
ok,527.0,540.0,519.1,539.9,4000,1684713600
ok,540.0,559.0,540.0,555.0,9151,1684800000
ok,544.0,571.9,544.0,571.9,7120,1684886400
ok,561.0,574.0,555.2,574.0,8965,1685232000
ok,580.0,580.0,547.0,550.0,3407,1685404800
ok,539.1,561.0,528.4,547.0,3230,1685491200
ok,547.0,568.9,538.0,550.0,1280,1685577600
ok,560.0,595.0,552.0,586.5,11135,1685836800
ok,590.0,608.0,574.8,608.0,15545,1685923200
ok,608.0,641.9,600.0,641.9,6906,1686009600
ok,640.0,660.0,627.2,652.8,5340,1686096000
ok,665.8,670.0,634.0,670.0,12898,1686182400
ok,683.0,683.0,660.0,675.0,14243,1686441600
ok,680.0,708.9,665.0,708.9,8466,1686528000
ok,715.0,765.0,679.0,765.0,7068,1686614400
ok,780.0,780.0,692.0,732.0,9982,1686700800
ok,735.0,770.0,688.0,770.0,5419,1686787200
ok,754.6,754.6,707.2,727.0,5955,1687046400
ok,712.5,739.0,693.2,739.0,6295,1687132800
ok,750.0,750.0,688.0,744.0,9583,1687219200
ok,758.0,773.1,700.0,745.0,17811,1687305600
ok,730.1,790.0,707.0,790.0,3501,1687392000
ok,774.2,789.0,714.5,736.2,9965,1687651200
ok,730.0,805.0,715.4,754.0,6438,1687737600
ok,765.0,769.0,720.0,753.7,3968,1687824000
ok,738.7,814.8,718.9,814.8,6965,1687910400
ok,798.6,798.6,766.9,779.0,4589,1688256000
ok,794.0,794.0,744.8,774.9,6858,1688342400
ok,770.0,789.9,740.0,759.9,3246,1688428800
ok,750.0,750.0,727.0,749.7,3245,1688515200
ok,734.8,764.6,720.2,764.6,9279,1688601600
ok,750.0,765.0,736.2,765.0,5070,1688860800
ok,749.7,764.5,732.3,749.7,1040,1688947200
ok,734.8,734.8,730.0,730.2,680,1689033600
ok,744.8,803.0,742.8,803.0,12247,1689120000
ok,787.0,802.5,784.0,799.0,5845,1689206400
ok,783.1,810.0,749.0,810.0,6348,1689465600
ok,793.8,810.0,778.0,810.0,4029,1689552000
ok,815.0,891.0,770.0,882.0,7630,1689638400
ok,864.4,864.4,794.0,850.0,13746,1689724800
ok,850.0,865.0,790.0,826.0,2952,1689811200
ok,809.5,816.0,788.1,800.0,6755,1690070400
ok,784.0,805.0,782.2,798.9,1168,1690156800
ok,810.0,813.8,769.0,772.1,2152,1690243200
ok,760.0,775.0,759.5,766.2,2045,1690329600
ok,761.0,768.0,741.0,742.0,1198,1690416000
ok,728.2,742.0,728.2,742.0,646,1690675200
ok,730.0,742.0,730.0,730.0,1500,1690761600
ok,719.0,728.0,719.0,726.3,830,1690848000
ok,713.5,722.0,702.0,714.9,760,1690934400
ok,705.0,738.0,704.0,715.0,665,1691020800
ok,701.3,710.2,691.0,699.8,1032,1691280000
ok,686.0,693.0,677.0,687.1,1910,1691366400
ok,687.0,687.1,670.0,670.5,1290,1691452800
ok,662.0,712.0,662.0,690.0,1154,1691539200
ok,676.2,745.0,670.0,700.0,790,1691625600
ok,714.0,768.0,686.0,725.0,1673,1691884800
ok,725.0,725.0,680.0,698.0,620,1691971200
ok,711.9,725.0,676.1,682.0,466,1692057600
ok,670.4,682.0,668.0,668.0,700,1692144000
ok,675.0,675.3,662.2,662.2,320,1692230400
ok,650.0,665.0,650.0,655.0,1280,1692489600
ok,643.1,646.0,620.0,632.0,735,1692576000
ok,622.3,644.0,622.1,639.9,550,1692662400
ok,650.0,703.8,628.1,645.2,2185,1692748800
ok,658.1,658.1,645.0,645.0,620,1692835200
ok,632.5,640.0,626.0,626.8,2625,1693094400
ok,615.0,628.3,615.0,625.0,555,1693180800
ok,615.0,660.0,615.0,624.3,1051,1693267200
ok,624.0,664.0,615.1,641.1,1828,1693353600
ok,629.1,641.5,628.5,634.4,2760,1693699200
ok,645.0,648.7,625.0,633.1,1050,1693785600
ok,630.0,650.7,625.2,628.2,1799,1693872000
ok,639.0,691.0,630.0,691.0,8335,1694044800
ok,690.0,760.1,686.0,760.0,3187,1694304000
ok,760.0,822.6,703.1,740.6,6832,1694390400
ok,755.4,814.6,725.8,814.6,11954,1694476800
ok,830.8,896.0,768.0,896.0,4997,1694563200
ok,878.1,985.6,806.5,985.6,14857,1694908800
ok,965.9,965.9,887.1,887.1,4213,1694995200
ok,869.4,975.8,802.1,975.8,10055,1695081600
ok,956.3,1073.3,878.3,1050.0,17875,1695254400
ok,1029.0,1029.0,945.0,945.0,1456,1695513600
ok,926.1,926.1,850.5,850.5,3087,1695600000
ok,833.5,935.5,785.2,935.5,19277,1695686400
ok,916.8,916.8,842.0,842.0,5125,1695772800
ok,825.2,825.2,789.1,796.0,4015,1696118400
