s,o,h,l,c,v,t
ok,120.0,132.0,120.0,132.0,769150,1603929600
ok,138.0,145.0,138.0,145.0,1605340,1604188800
ok,152.01,159.01,152.01,159.01,283550,1604275200
ok,166.0,174.0,158.0,174.0,346608,1604361600
ok,175.01,182.01,158.01,165.01,211485,1604448000
ok,170.0,170.0,149.0,152.0,279319,1604534400
ok,159.0,162.0,148.0,161.0,261927,1604793600
ok,169.0,170.0,160.0,162.0,237260,1604880000
ok,160.0,164.0,158.0,159.0,148395,1604966400
ok,152.0,161.0,152.0,157.0,57656,1605052800
ok,160.0,161.0,154.0,158.0,104720,1605139200
ok,161.0,161.0,150.0,153.0,29940,1605657600
ok,156.0,165.0,150.0,160.0,143829,1605744000
ok,168.0,168.0,155.0,155.0,55770,1606003200
ok,158.0,160.0,152.0,156.0,50638,1606089600
ok,149.0,160.0,149.0,155.0,54759,1606176000
ok,155.0,170.0,154.0,170.0,328688,1606262400
ok,171.0,182.0,163.0,165.0,176095,1606348800
ok,167.0,170.0,160.0,164.0,72630,1606608000
ok,164.0,171.0,159.0,169.0,85580,1606694400
ok,167.0,171.0,160.0,163.0,69010,1606780800
ok,161.0,170.0,158.0,161.0,52005,1606867200
ok,164.0,165.0,159.0,159.0,71987,1606953600
ok,156.0,171.0,152.0,152.0,49295,1607212800
ok,155.0,158.0,152.0,157.0,31125,1607299200
ok,160.0,163.0,156.0,159.0,47902,1607385600
ok,166.0,168.0,159.0,162.0,104746,1607472000
ok,160.0,165.0,157.0,162.0,36137,1607558400
ok,165.0,165.0,156.0,160.0,62850,1607817600
ok,162.0,166.0,157.0,157.0,34291,1607904000
ok,160.0,160.0,155.0,158.0,36110,1607990400
ok,155.0,159.0,153.0,155.0,12840,1608076800
ok,153.0,155.0,148.0,153.0,69225,1608163200
ok,150.0,155.0,140.0,142.0,20990,1608422400
ok,140.0,148.0,129.0,139.0,23675,1608508800
ok,145.0,152.0,143.0,147.0,22635,1608595200
ok,147.0,149.0,140.0,140.0,20196,1608681600
ok,142.0,147.0,141.0,141.0,10750,1608768000
ok,141.0,145.0,141.0,142.0,10252,1609027200
ok,143.0,146.0,141.0,141.0,5155,1609113600
ok,141.0,147.0,141.0,143.0,23640,1609200000
ok,145.0,150.0,141.0,146.0,34885,1609286400
ok,148.0,154.0,146.0,152.0,62785,1609372800
ok,152.0,155.0,147.0,147.0,28170,1609632000
ok,149.0,153.0,147.0,147.0,36896,1609718400
ok,146.0,161.0,146.0,156.0,53023,1609804800
ok,163.0,163.0,152.0,154.0,13107,1609891200
ok,154.0,155.0,149.0,152.0,23570,1609977600
ok,155.0,156.0,147.0,149.0,18678,1610236800
ok,150.0,154.0,147.0,147.0,16040,1610323200
ok,145.0,154.0,145.0,150.0,25095,1610409600
ok,143.0,156.0,143.0,150.0,26253,1610496000
ok,150.0,150.0,147.0,147.0,20853,1610841600
ok,147.0,150.0,147.0,147.0,18435,1610928000
ok,149.0,150.0,145.0,145.0,26348,1611014400
ok,144.0,150.0,144.0,150.0,29909,1611100800
ok,150.0,159.0,146.0,158.0,118302,1611187200
ok,162.0,173.0,160.0,173.0,327084,1611446400
ok,181.0,190.0,170.0,182.0,317708,1611532800
ok,184.0,184.0,173.0,173.0,106317,1611619200
ok,170.0,179.0,168.0,173.0,38962,1611705600
ok,176.0,176.0,165.0,166.0,62448,1611792000
ok,167.0,167.0,160.0,163.0,66239,1612051200
ok,165.0,169.0,163.0,165.0,49517,1612137600
ok,168.0,170.0,162.0,167.0,44598,1612224000
ok,170.0,173.0,161.0,165.0,96047,1612310400
ok,168.0,171.0,164.0,170.0,81866,1612396800
ok,173.0,173.0,164.0,166.0,124521,1612656000
ok,167.0,169.0,163.0,164.0,63775,1612742400
ok,172.0,172.0,159.0,165.0,36711,1612828800
ok,161.0,167.0,156.0,163.0,56308,1612915200
ok,161.0,165.0,160.0,162.0,47230,1613001600
ok,165.0,165.0,158.0,160.0,36982,1613260800
ok,167.0,167.0,160.0,162.0,55874,1613347200
ok,170.0,172.0,160.0,164.0,75644,1613433600
ok,164.0,173.0,163.0,171.0,142722,1613520000
ok,175.0,177.0,168.0,170.0,104136,1613606400
ok,175.0,187.0,170.0,187.0,357331,1613865600
ok,196.0,205.0,196.0,205.0,139609,1613952000
ok,215.0,223.0,185.0,198.0,343660,1614038400
ok,207.0,207.0,187.0,190.0,154510,1614124800
ok,199.0,199.0,184.0,186.0,50754,1614211200
ok,186.0,186.0,178.0,180.0,92316,1614470400
ok,178.0,189.0,173.0,182.0,57873,1614556800
ok,181.0,185.0,175.0,179.0,46619,1614643200
ok,178.0,179.0,170.0,173.0,42817,1614729600
ok,176.0,186.0,174.0,182.0,58025,1614816000
ok,184.0,190.0,179.0,182.0,51492,1615161600
ok,183.0,185.0,179.0,184.0,60640,1615248000
ok,185.0,191.0,182.0,185.0,91273,1615334400
ok,188.0,188.0,180.0,183.0,48257,1615680000
ok,183.0,187.0,179.0,183.0,47781,1615766400
ok,192.0,192.0,178.0,179.0,35212,1615852800
ok,181.0,186.0,180.0,185.0,28475,1615939200
ok,194.0,203.0,191.0,198.0,257400,1616025600
ok,205.0,207.0,193.0,195.0,96307,1616284800
ok,198.0,198.0,192.0,193.0,88803,1616371200
ok,195.0,204.0,193.0,201.0,183460,1616457600
ok,205.0,219.0,200.0,213.0,233794,1616544000
ok,215.0,223.0,206.0,209.0,106707,1616630400
ok,205.0,211.0,202.0,203.0,90418,1616976000
ok,206.0,216.0,203.0,211.0,121032,1617062400
ok,213.0,216.0,208.0,209.0,54658,1617148800
ok,219.0,219.0,206.0,209.0,103160,1617235200
ok,213.0,213.0,207.0,208.0,85961,1617494400
ok,200.0,215.0,200.0,214.0,130198,1617580800
ok,214.0,235.0,211.0,235.0,271366,1617667200
ok,246.0,258.0,237.0,247.0,330254,1617753600
ok,255.0,256.0,240.0,243.0,152262,1617840000
ok,246.0,246.0,231.0,236.0,119807,1618185600
ok,236.0,240.0,230.0,235.0,84437,1618272000
ok,246.0,246.0,231.0,234.0,66407,1618444800
ok,238.0,242.0,230.0,233.0,65061,1618704000
ok,228.0,238.0,228.0,230.0,71167,1618790400
ok,233.0,236.0,229.0,231.0,57378,1618876800
ok,240.0,240.0,231.0,234.0,67197,1618963200
ok,231.0,235.0,230.0,234.0,49394,1619049600
ok,240.0,242.0,223.0,223.0,96943,1619308800
ok,219.0,227.0,214.0,215.0,90353,1619395200
ok,218.0,229.0,216.0,227.0,54163,1619481600
ok,230.0,233.0,223.0,227.0,35285,1619568000
ok,227.0,235.0,227.0,232.0,37218,1619654400
ok,236.0,236.0,229.0,233.0,52995,1619913600
ok,235.0,237.0,229.0,230.0,59952,1620000000
ok,233.0,252.0,226.0,242.0,172918,1620086400
ok,245.0,254.0,242.0,249.0,141718,1620172800
ok,248.0,256.0,237.0,239.0,125204,1620259200
ok,228.0,244.0,228.0,234.0,45538,1620518400
ok,232.0,242.0,232.0,238.0,46415,1620604800
ok,228.0,245.0,228.0,240.0,37878,1620691200
ok,244.0,250.0,237.0,245.0,171245,1620777600
ok,257.0,257.0,246.0,251.0,187048,1620864000
ok,251.0,256.0,244.0,245.0,117201,1621123200
ok,257.0,265.0,243.0,260.0,187710,1621209600
ok,267.0,286.0,260.0,286.0,342025,1621296000
ok,290.0,299.0,272.0,272.0,189290,1621382400
ok,280.0,280.0,263.0,266.0,130286,1621468800
ok,261.0,283.0,253.0,276.0,142748,1621728000
ok,280.0,286.0,272.0,276.0,175306,1621814400
ok,281.0,303.0,276.0,293.0,411162,1621900800
ok,290.0,322.0,288.0,322.0,327619,1622073600
ok,335.0,352.0,310.0,324.0,404927,1622332800
ok,340.0,340.0,299.0,302.0,276653,1622419200
ok,317.0,317.0,291.0,299.0,106165,1622505600
ok,285.0,317.0,285.0,314.0,182958,1622592000
ok,317.0,326.0,298.0,303.0,128354,1622678400
ok,295.0,308.0,291.0,294.0,111004,1622937600
ok,280.0,316.0,280.0,308.0,111949,1623024000
ok,293.0,335.0,293.0,331.0,312237,1623110400
ok,340.0,340.0,315.0,321.0,140375,1623196800
ok,305.0,353.0,305.0,353.0,464287,1623283200
ok,365.0,388.0,350.0,388.0,369437,1623542400
ok,407.0,407.0,371.0,379.0,270323,1623628800
ok,385.0,390.0,356.0,363.0,214076,1623715200
ok,361.0,370.0,328.0,343.0,174902,1623801600
ok,326.0,362.0,326.0,344.0,110454,1623888000
ok,327.0,360.0,321.0,335.0,146080,1624147200
ok,336.0,353.0,314.0,316.0,106452,1624233600
ok,331.0,347.0,303.0,347.0,99812,1624320000
ok,330.0,365.0,330.0,337.0,113540,1624406400
ok,331.0,350.0,327.0,335.0,73190,1624492800
