s,o,h,l,c,v,t
ok,295.0,324.5,295.0,324.5,206247,1681084800
ok,330.9,342.0,304.0,313.0,158845,1681171200
ok,306.8,334.0,306.8,331.5,82281,1681257600
ok,338.1,338.1,318.5,321.0,49161,1681344000
ok,319.0,320.0,308.0,309.0,62246,1681603200
ok,304.0,315.0,304.0,314.6,41883,1681689600
ok,308.4,320.0,303.0,320.0,38845,1681776000
ok,315.0,323.3,311.0,322.0,51534,1681862400
ok,316.1,323.9,313.0,313.0,38607,1681948800
ok,306.8,315.0,306.8,309.1,51344,1682208000
ok,309.0,310.0,304.6,310.0,43827,1682294400
ok,303.9,316.0,303.9,314.0,49440,1682380800
ok,310.0,313.0,305.3,309.1,37495,1682467200
ok,304.5,308.0,303.3,304.1,19920,1682553600
ok,299.0,304.0,290.0,290.5,47675,1682812800
ok,290.0,295.8,278.0,280.2,27150,1682985600
ok,275.3,280.0,275.1,280.0,22249,1683072000
ok,276.0,291.0,275.0,285.0,18340,1683158400
ok,285.0,290.7,275.0,275.2,22604,1683417600
ok,273.0,274.0,265.0,265.4,30467,1683504000
ok,264.9,276.0,261.4,274.0,30361,1683590400
ok,274.0,275.0,266.4,270.0,10705,1683676800
ok,265.0,271.5,264.2,270.0,9995,1683763200
ok,270.0,272.0,262.1,262.3,11859,1684022400
ok,260.0,267.7,256.1,259.0,9090,1684108800
ok,255.0,267.0,255.0,264.0,11341,1684195200
ok,263.9,271.9,261.0,270.0,21643,1684281600
ok,266.0,278.0,266.0,277.1,27118,1684368000
ok,275.1,287.0,269.7,270.0,26895,1684627200
ok,267.3,277.7,265.0,268.0,13041,1684713600
ok,270.0,280.0,269.0,279.0,42247,1684800000
ok,279.0,284.4,271.0,272.1,25789,1684886400
ok,271.5,286.9,270.1,272.7,60485,1685232000
ok,272.8,278.1,264.2,267.6,31611,1685404800
ok,262.3,273.0,258.0,258.0,39699,1685491200
ok,256.0,266.0,255.0,264.9,24346,1685577600
ok,265.0,279.8,264.9,275.0,29107,1685836800
