s,o,h,l,c,v,t
ok,177.1,179.6,177.1,179.6,20,1635638400
ok,179.6,184.75,179.6,184.75,22,1635724800
ok,187.4,192.9,187.4,192.9,38,1635811200
ok,194.35,200.1,194.35,200.1,40,1635897600
ok,200.1,215.1,200.1,215.1,130,1636329600
ok,218.4,231.6,218.4,231.6,170,1636416000
ok,235.2,249.75,235.2,249.75,309,1636588800
ok,253.7,269.7,253.7,269.7,530,1636848000
ok,274.05,291.65,274.05,291.65,3302,1636934400
ok,296.45,315.8,296.45,315.8,2260,1637020800
ok,321.1,342.35,321.1,342.35,1840,1637107200
ok,348.15,371.55,348.15,371.55,40896,1637193600
ok,377.5,377.95,351.0,358.0,25206,1637452800
ok,358.0,358.0,345.0,350.0,14200,1637539200
ok,344.0,347.5,342.5,344.0,6265,1637625600
ok,345.0,349.85,327.2,337.5,8705,1637712000
ok,335.5,343.5,334.6,335.0,7276,1637798400
ok,329.3,345.8,313.0,324.05,9850,1638057600
ok,320.0,332.5,319.0,323.15,5680,1638144000
ok,323.0,345.45,319.0,342.5,5912,1638230400
ok,342.5,347.5,328.0,335.0,3338,1638316800
ok,329.5,335.0,322.0,332.5,8735,1638403200
ok,335.0,335.0,314.6,324.95,5217,1638662400
ok,319.5,330.0,303.5,319.95,6515,1638748800
ok,315.0,325.0,307.5,312.45,6517,1638835200
ok,307.55,309.0,299.5,304.5,4730,1638921600
ok,300.0,313.5,300.0,303.5,3765,1639008000
ok,298.5,303.5,280.65,294.95,5500,1639267200
ok,290.1,294.9,272.5,272.5,3131,1639353600
ok,272.5,294.75,268.5,294.75,2824,1639440000
ok,299.6,305.0,275.75,290.25,6477,1639526400
ok,290.0,295.0,276.95,277.05,3080,1639612800
ok,276.95,276.95,260.0,265.0,3160,1639958400
ok,265.0,269.3,257.55,258.0,7301,1640044800
ok,262.0,276.0,262.0,271.5,6721,1640131200
ok,270.0,279.5,262.7,265.0,4101,1640217600
ok,265.0,272.5,262.55,267.2,2611,1640476800
ok,263.0,267.0,257.0,257.5,3090,1640563200
ok,253.5,265.5,252.0,259.5,3243,1640649600
ok,255.35,261.0,252.5,257.5,2891,1640736000
ok,254.0,264.45,254.0,264.0,2170,1641081600
ok,260.0,265.0,257.75,263.65,2585,1641168000
ok,262.5,265.0,254.05,263.0,1800,1641254400
ok,265.5,280.0,262.5,274.5,11440,1641340800
ok,274.5,296.95,266.0,296.95,15247,1641427200
ok,297.0,315.0,293.55,311.0,15407,1641686400
ok,306.0,325.4,300.5,308.5,7729,1641772800
ok,308.5,312.5,302.5,309.5,6316,1641859200
ok,307.5,309.0,297.5,298.0,15279,1641945600
ok,302.5,307.5,293.05,306.5,3810,1642032000
ok,306.5,321.5,301.4,318.5,24382,1642291200
ok,323.85,323.85,309.7,323.5,16720,1642377600
ok,320.0,336.15,315.65,334.5,16461,1642464000
ok,329.0,342.5,321.0,339.0,11092,1642550400
ok,339.0,367.9,328.5,367.9,39442,1642636800
ok,367.9,376.0,357.5,367.5,24095,1642896000
ok,367.5,372.5,336.65,349.5,25768,1642982400
ok,343.55,355.45,335.0,344.95,11375,1643068800
ok,342.5,350.0,325.0,341.0,10531,1643155200
ok,337.5,349.0,333.25,349.0,6338,1643241600
ok,354.95,358.5,347.6,354.55,15837,1643500800
ok,350.05,363.5,344.0,353.5,11061,1643587200
ok,352.5,360.0,348.0,355.5,10548,1643673600
ok,356.5,381.5,356.5,367.5,26223,1643846400
ok,365.0,367.5,352.5,353.5,13698,1644105600
ok,347.45,368.8,347.45,356.0,7990,1644192000
ok,362.1,368.0,344.5,346.05,10431,1644278400
ok,346.05,351.6,338.1,347.0,3959,1644364800
ok,342.0,345.8,335.0,342.3,7840,1644451200
ok,336.5,336.5,323.0,323.5,8366,1644710400
ok,318.05,330.0,318.05,326.0,2717,1644796800
ok,320.55,350.0,320.55,350.0,5415,1644883200
ok,350.0,350.0,335.0,343.5,7512,1644969600
ok,349.0,371.3,338.15,362.5,32814,1645056000
ok,368.75,393.75,345.0,389.5,49835,1645315200
ok,387.5,414.0,385.0,405.0,27533,1645401600
ok,405.0,440.15,398.0,429.0,24134,1645488000
ok,436.55,462.5,421.45,462.5,39640,1645574400
ok,454.5,462.0,431.5,460.5,26523,1645660800
ok,452.5,456.0,442.5,444.0,26449,1645920000
ok,450.0,450.0,404.6,404.6,25503,1646006400
ok,397.55,400.0,370.65,385.0,17737,1646179200
ok,385.0,396.5,379.5,387.0,9810,1646524800
ok,383.0,391.7,378.5,387.5,11784,1646611200
ok,381.0,382.5,370.0,377.5,5760,1646784000
ok,371.5,384.5,364.0,382.5,22639,1646870400
ok,389.15,395.0,375.5,381.5,22443,1647129600
ok,382.5,389.1,381.0,385.0,5475,1647216000
ok,381.5,387.0,375.0,382.25,12222,1647302400
ok,376.0,384.0,372.55,376.5,7436,1647388800
ok,383.0,383.0,368.5,373.5,5075,1647734400
ok,373.5,383.5,367.5,378.0,5260,1647820800
ok,375.0,382.5,371.0,371.0,4745,1647907200
ok,367.5,374.5,366.0,367.5,3484,1647993600
ok,364.0,367.5,357.5,362.0,11904,1648080000
ok,356.05,362.0,344.05,349.5,5763,1648339200
ok,344.0,352.5,344.0,348.5,6347,1648425600
ok,343.0,355.0,340.05,345.95,4222,1648512000
ok,341.0,365.0,341.0,365.0,9281,1648598400
ok,358.8,364.5,350.0,355.0,8470,1648684800
ok,348.9,355.0,347.0,351.5,4357,1648944000
ok,345.5,352.45,340.0,349.5,2295,1649030400
ok,344.0,349.5,335.0,337.5,6453,1649116800
ok,332.5,339.5,322.55,333.5,4751,1649203200
ok,328.0,347.0,328.0,334.95,7998,1649289600
ok,331.0,345.95,320.0,326.0,6384,1649635200
ok,325.0,325.0,310.25,312.5,4800,1649721600
ok,317.5,322.0,308.5,315.0,4768,1649808000
