s,o,h,l,c,v,t
ok,255.0,280.5,255.0,280.5,3951,1691884800
ok,286.1,308.5,286.1,308.5,8672,1691971200
ok,314.6,339.3,277.7,287.1,56896,1692057600
ok,281.4,303.0,264.9,294.0,16159,1692144000
ok,288.2,291.3,271.5,287.0,10938,1692230400
ok,282.0,285.9,267.1,272.6,11601,1692489600
ok,269.0,272.0,261.0,261.0,6816,1692576000
ok,260.0,264.9,253.0,257.0,5900,1692662400
ok,257.0,269.2,253.0,266.0,14937,1692748800
ok,261.0,263.0,254.3,257.0,6972,1692835200
ok,251.9,253.0,245.1,247.0,6217,1693094400
ok,243.0,256.0,240.0,241.0,4331,1693180800
ok,240.0,255.0,230.6,237.0,8770,1693267200
ok,232.3,235.7,227.7,231.0,10631,1693353600
ok,231.1,254.1,231.1,254.1,17722,1693699200
ok,250.0,279.5,245.0,279.5,25428,1693785600
ok,274.0,307.4,274.0,295.0,30903,1693872000
ok,289.1,317.0,284.0,317.0,26341,1694044800
ok,310.7,343.7,294.0,343.7,32028,1694304000
ok,336.9,378.0,310.9,378.0,36763,1694390400
ok,370.5,370.5,340.2,340.2,13382,1694476800
ok,333.4,333.4,308.0,313.0,31300,1694563200
ok,307.0,344.3,307.0,337.7,60120,1694908800
ok,331.0,371.4,331.0,371.4,31462,1694995200
ok,364.0,408.5,364.0,408.5,30301,1695081600
ok,400.4,449.3,395.0,449.3,63479,1695254400
ok,440.4,493.0,404.4,493.0,67281,1695513600
ok,483.2,483.2,443.7,443.7,16499,1695600000
ok,434.9,434.9,399.4,419.0,43195,1695686400
ok,410.7,414.2,395.0,402.1,23671,1695772800
ok,394.1,399.0,367.6,370.0,23847,1696118400
ok,362.7,399.0,350.0,394.9,17718,1696204800
ok,387.1,402.0,381.0,395.0,11415,1696291200
ok,398.0,410.0,372.0,388.1,13416,1696377600
ok,395.0,395.0,377.1,380.0,4117,1696464000
ok,380.0,387.0,357.0,359.0,14992,1696723200
ok,352.0,392.6,352.0,375.0,13904,1696809600
ok,368.1,377.4,357.0,358.0,8607,1696896000
ok,351.0,372.0,351.0,354.3,6217,1696982400
ok,352.0,366.0,341.0,350.0,7649,1697068800
ok,343.0,349.0,330.0,342.7,9757,1697414400
ok,349.5,356.0,327.0,330.0,6540,1697500800
ok,330.0,340.6,330.0,336.0,2270,1697587200
ok,330.0,346.0,330.0,334.9,3786,1697673600
ok,328.3,328.3,315.4,322.3,4285,1698537600
ok,315.9,330.0,315.0,329.9,2580,1698624000
ok,324.0,326.0,317.0,323.0,2022,1698710400
ok,317.0,329.0,317.0,319.0,3166,1698796800
ok,325.0,325.0,310.0,316.0,4243,1698883200
ok,309.7,317.0,300.3,317.0,2639,1699142400
ok,311.3,323.1,311.3,316.3,2230,1699228800
ok,316.0,328.0,310.3,320.0,2633,1699315200
ok,320.0,326.0,311.1,320.0,1530,1699401600
ok,315.0,319.0,307.8,308.7,2970,1699488000
ok,314.0,327.8,310.1,319.9,6150,1700438400
ok,314.0,329.9,314.0,319.9,7990,1700524800
ok,326.0,351.8,312.0,351.0,15796,1700611200
ok,344.0,385.0,341.0,381.1,19895,1700697600
ok,386.1,396.0,374.5,390.0,18096,1700956800
ok,390.0,390.0,374.6,375.1,12119,1701043200
ok,379.0,380.0,368.1,375.0,6089,1701129600
ok,375.0,388.0,363.7,365.0,5080,1701216000
ok,365.0,371.9,350.0,353.0,7241,1701302400
ok,353.0,388.3,350.5,387.0,18571,1701561600
ok,379.3,407.0,372.0,390.0,18648,1701648000
ok,389.0,395.0,369.8,375.0,10765,1701734400
ok,382.5,385.9,368.2,373.1,2885,1701820800
ok,380.0,388.1,372.9,376.0,8886,1701907200
ok,380.0,403.2,380.0,403.2,50,1702166400
ok,411.0,419.2,397.0,406.0,24434,1702252800
ok,410.0,421.4,392.0,407.1,18153,1702339200
ok,410.0,423.0,402.0,407.0,15610,1702425600
ok,400.0,445.2,399.1,426.0,18495,1702512000
ok,417.5,468.6,417.5,468.6,39207,1702771200
ok,477.9,507.1,468.8,474.0,44644,1702857600
ok,466.1,482.3,461.1,479.0,21991,1702944000
ok,488.0,526.9,463.6,526.9,22481,1703030400
ok,537.4,537.4,490.1,504.0,25724,1703116800
ok,494.2,511.7,474.0,474.0,29088,1703376000
ok,478.0,521.4,460.6,488.0,33184,1703635200
ok,479.1,497.7,479.1,485.0,15546,1703721600
ok,475.4,496.6,460.0,473.0,22757,1704067200
ok,464.0,484.0,458.0,462.1,9746,1704153600
ok,455.0,490.0,438.0,490.0,14571,1704240000
ok,482.0,499.0,482.0,489.0,21076,1704326400
ok,490.0,520.0,479.3,508.0,34807,1704585600
ok,518.0,558.8,500.0,535.0,34197,1704672000
ok,545.7,565.0,527.1,539.0,19111,1704758400
ok,530.0,560.6,517.0,524.0,30522,1704844800
ok,523.0,575.0,513.7,575.0,28970,1704931200
ok,563.5,632.5,534.1,610.0,27433,1705190400
ok,597.8,655.0,574.2,600.0,28751,1705363200
ok,588.0,642.6,559.0,640.0,33084,1705449600
ok,627.2,627.2,576.1,594.0,31804,1705536000
ok,582.2,636.6,563.0,566.6,10856,1705795200
ok,555.3,615.0,535.1,546.0,21734,1705881600
ok,535.1,600.0,535.1,560.0,25219,1705968000
ok,548.8,566.1,539.0,541.4,13897,1706054400
ok,541.0,559.0,532.2,556.9,10941,1706140800
ok,545.8,569.9,538.0,558.5,7157,1706400000
ok,547.4,586.0,547.4,555.0,18855,1706486400
ok,543.9,574.5,543.9,568.0,18822,1706572800
ok,557.0,574.5,550.0,554.0,15734,1706659200
ok,547.0,547.0,520.0,520.0,20978,1706745600
ok,520.0,531.0,520.0,529.9,11729,1707004800
ok,540.0,540.0,518.0,535.0,3070,1707091200
ok,525.0,542.9,515.0,542.8,3500,1707177600
ok,532.0,579.0,532.0,558.0,14159,1707264000
ok,547.0,571.3,547.0,560.0,8500,1707350400
ok,548.8,596.0,548.8,565.0,10813,1707609600
