s,o,h,l,c,v,t
ok,268.0,294.8,268.0,294.8,19904,1701907200
ok,294.8,324.2,294.8,324.2,2670,1702166400
ok,330.6,343.9,294.0,308.9,59194,1702252800
ok,303.1,339.7,303.0,339.7,38412,1702339200
ok,339.0,369.2,337.2,359.0,22084,1702425600
ok,351.9,360.0,332.2,356.0,34457,1702512000
ok,348.9,357.0,340.0,349.0,29427,1702771200
ok,355.0,368.0,335.0,338.0,37148,1702857600
ok,333.1,344.0,332.0,337.0,20458,1702944000
ok,337.0,349.8,332.0,342.7,25207,1703030400
ok,342.2,351.9,334.0,349.0,28146,1703116800
ok,355.9,373.0,336.2,373.0,76297,1703376000
ok,380.4,410.3,380.4,410.0,56574,1703635200
ok,418.0,434.0,395.0,399.0,39496,1703721600
ok,406.0,409.0,376.0,376.0,55904,1704067200
ok,383.0,383.0,361.8,375.0,28737,1704153600
ok,370.0,396.9,370.0,391.0,24240,1704240000
ok,396.8,406.0,382.5,385.0,37543,1704326400
ok,377.3,392.7,371.0,381.0,20472,1704585600
ok,378.0,419.1,378.0,419.1,59806,1704672000
ok,427.4,461.0,427.0,461.0,81869,1704758400
ok,470.2,490.0,462.7,474.0,65683,1704844800
ok,474.0,521.4,460.0,521.4,65095,1704931200
ok,531.8,573.5,530.0,573.5,24670,1705190400
ok,584.9,630.8,565.0,610.0,76520,1705363200
ok,622.0,623.0,562.0,579.0,63889,1705449600
ok,567.5,589.0,560.0,576.1,37208,1705536000
ok,565.0,621.0,565.0,580.0,24577,1705795200
ok,568.6,580.0,546.0,548.0,20803,1705881600
ok,550.0,559.0,520.0,527.4,17540,1705968000
ok,537.9,548.6,511.0,523.1,17935,1706054400
ok,517.0,544.1,517.0,537.0,15807,1706140800
ok,526.3,540.0,522.0,540.0,19972,1706400000
ok,530.0,593.0,530.0,565.0,44215,1706486400
ok,570.0,587.5,560.0,582.0,36448,1706572800
ok,572.1,590.0,559.0,570.0,25736,1706659200
ok,559.0,562.0,545.0,545.1,16874,1706745600
ok,535.0,542.0,527.1,535.0,7215,1707004800
ok,545.7,545.7,530.0,531.5,8095,1707091200
ok,542.0,581.0,525.0,558.0,21102,1707177600
ok,552.0,560.0,546.9,546.9,16327,1707264000
ok,550.0,600.7,550.0,600.7,96650,1707350400
ok,600.0,660.0,600.0,641.0,90065,1707609600
ok,641.0,641.0,615.0,630.0,60405,1707696000
ok,618.0,626.0,596.0,610.0,43343,1707782400
ok,597.8,608.0,586.0,590.0,29362,1707868800
ok,579.0,606.0,579.0,597.0,22153,1707955200
ok,585.1,596.8,566.0,576.0,19578,1708214400
ok,565.1,611.7,565.1,595.6,20910,1708387200
ok,603.0,603.0,568.4,570.4,11216,1708473600
ok,581.5,604.0,559.0,560.0,17893,1708560000
ok,558.0,568.0,541.5,541.5,23748,1708819200
ok,530.7,563.3,530.7,548.7,6994,1708905600
ok,559.6,570.0,537.0,543.0,11830,1708992000
ok,532.2,564.0,525.0,535.0,13270,1709078400
ok,545.0,545.0,506.0,506.1,17553,1709164800
ok,496.0,515.0,496.0,512.0,10295,1709424000
ok,522.2,563.2,522.0,563.0,6060,1709510400
ok,574.2,574.2,529.2,539.8,29740,1709596800
ok,529.3,547.9,519.1,539.9,14717,1709683200
ok,539.9,560.1,522.5,531.9,15157,1709769600
ok,531.0,541.6,530.5,531.1,14027,1710028800
