s,o,h,l,c,v,t
ok,130.2,143.2,130.2,143.2,194,1660176000
ok,146.0,154.8,146.0,154.8,40,1660435200
ok,154.8,170.2,154.8,170.2,91,1660521600
ok,167.0,187.2,167.0,187.2,140,1660608000
ok,190.9,205.9,190.9,205.9,120,1660694400
ok,210.0,226.4,210.0,226.4,200,1660780800
ok,230.9,249.0,230.9,249.0,390,1661040000
ok,253.9,273.9,253.9,273.9,5420,1661126400
ok,279.3,301.2,279.3,301.2,1900,1661212800
ok,307.2,331.3,307.2,331.3,2390,1661299200
ok,337.0,364.4,337.0,364.4,4540,1661385600
ok,371.6,400.8,365.7,384.0,72219,1661472000
ok,384.0,384.0,357.0,357.0,39110,1661644800
ok,350.0,355.0,345.0,355.0,16130,1661731200
ok,347.9,385.0,341.0,385.0,12412,1661817600
ok,377.3,391.6,362.5,365.0,13900,1661904000
ok,357.7,394.5,343.6,389.0,28648,1661990400
ok,381.3,401.0,373.0,400.0,31551,1662076800
ok,392.1,423.0,392.0,423.0,48783,1662249600
ok,414.6,425.0,406.8,421.0,20241,1662336000
ok,412.6,437.0,404.4,423.0,21936,1662422400
ok,414.6,457.7,400.0,450.0,30391,1662508800
ok,441.0,441.0,408.0,425.0,27852,1662595200
ok,423.0,423.0,402.0,410.0,9624,1662854400
ok,401.8,425.0,388.5,393.0,14535,1662940800
ok,385.2,408.0,377.5,392.0,6276,1663027200
ok,384.2,406.0,384.0,403.0,13691,1663113600
ok,395.0,410.0,375.0,400.0,27717,1663200000
ok,392.0,431.0,364.0,423.0,6232,1663286400
ok,414.6,414.6,387.2,399.8,5859,1663459200
ok,391.9,399.0,377.0,387.7,5351,1663632000
ok,380.0,395.0,374.0,383.0,3751,1663718400
ok,390.0,394.0,363.1,394.0,6252,1663804800
ok,386.2,390.0,362.8,380.0,2690,1664064000
ok,372.4,402.9,360.3,402.9,4879,1664236800
ok,394.9,394.9,372.0,394.0,3080,1664323200
ok,386.2,411.0,371.0,392.8,4780,1664409600
ok,385.0,390.0,370.2,390.0,1611,1665273600
ok,397.8,397.8,371.1,389.9,5300,1665360000
ok,382.2,383.0,368.2,383.0,1991,1665446400
ok,375.4,387.0,368.0,374.2,1671,1665532800
ok,367.0,396.0,362.0,371.0,3570,1665619200
ok,363.9,369.0,349.9,363.0,4345,1665878400
ok,355.8,361.9,347.0,351.0,3815,1665964800
ok,344.0,379.0,321.0,378.0,11420,1666137600
ok,370.5,393.0,340.2,357.0,13067,1666224000
ok,349.9,375.0,330.0,370.0,3370,1666483200
ok,363.0,365.0,334.0,339.8,3930,1667174400
ok,340.0,346.0,331.1,344.9,7754,1667260800
ok,338.1,362.1,338.1,362.1,15301,1667347200
ok,355.0,357.0,344.0,357.0,3700,1667433600
ok,356.0,376.0,343.1,376.0,8784,1667692800
ok,368.5,380.0,354.1,375.0,8479,1667779200
ok,367.5,382.2,353.0,364.0,3875,1667865600
ok,371.0,400.4,352.1,391.0,5692,1667952000
ok,383.2,383.2,351.9,364.0,7077,1668038400
ok,359.0,359.0,343.0,353.0,2998,1668297600
ok,346.0,366.0,340.0,364.8,13052,1668384000
ok,363.0,390.0,358.0,368.0,14601,1668470400
ok,365.0,374.5,358.0,367.0,9741,1668556800
ok,361.2,379.4,361.2,374.9,22858,1668643200
ok,367.5,377.0,357.9,358.6,8232,1669075200
ok,353.2,363.3,353.2,361.9,4908,1669161600
ok,361.0,368.0,352.2,355.0,3257,1669248000
ok,350.0,369.0,350.0,355.0,8440,1669507200
ok,362.0,369.0,351.5,359.0,5770,1669593600
ok,365.9,365.9,350.3,353.3,2710,1669680000
ok,347.1,359.9,347.1,357.0,7625,1669766400
ok,350.1,378.7,350.1,359.0,3729,1669852800
ok,359.0,370.0,352.1,361.0,8366,1670112000
ok,353.8,375.5,350.0,358.9,5956,1670198400
ok,352.1,358.9,348.5,358.9,4235,1670284800
ok,352.2,369.0,347.0,367.9,9933,1670371200
ok,360.6,365.0,340.0,357.0,26006,1670716800
ok,364.0,364.1,345.0,349.1,7591,1670803200
ok,343.2,354.0,341.0,347.5,2125,1670889600
ok,354.0,354.0,341.2,341.2,4517,1670976000
ok,348.0,348.0,339.4,339.4,1739,1671062400
ok,345.0,345.0,333.0,333.3,4470,1671321600
ok,339.9,346.6,325.0,336.6,6440,1671408000
ok,334.0,340.4,329.9,337.0,3000,1671494400
ok,330.4,339.0,330.4,339.0,2677,1671580800
ok,334.0,341.4,334.0,339.9,8448,1671667200
ok,341.1,352.0,337.2,347.0,8715,1672012800
ok,353.9,359.9,348.0,353.0,12545,1672099200
ok,354.0,364.0,348.0,356.0,18079,1672185600
ok,351.0,374.0,351.0,374.0,15361,1672272000
ok,367.0,388.8,362.0,374.0,15265,1672531200
ok,366.6,385.5,360.0,380.0,17235,1672617600
ok,380.0,381.0,370.0,380.0,14525,1672704000
ok,381.0,402.0,373.2,402.0,26705,1672790400
ok,405.0,415.0,392.0,415.0,21040,1672876800
ok,415.0,422.0,401.3,418.9,20930,1673136000
ok,419.0,434.0,412.0,425.0,40442,1673222400
ok,432.0,441.0,393.0,400.0,27245,1673308800
ok,395.0,419.1,386.3,389.0,21065,1673481600
ok,389.0,426.0,384.0,420.0,19817,1673913600
ok,422.0,462.0,422.0,448.8,69071,1674000000
ok,448.0,465.0,440.0,460.0,30245,1674086400
ok,460.0,478.0,440.0,445.0,26791,1674432000
ok,445.0,462.0,432.5,461.9,14969,1674518400
ok,454.1,477.0,454.1,472.0,40692,1674604800
ok,472.0,481.0,463.0,470.0,11894,1674691200
ok,460.6,480.0,453.0,470.0,15290,1674950400
ok,461.0,470.0,450.0,453.0,18571,1675036800
ok,445.0,475.0,442.0,462.0,20054,1675123200
ok,455.0,462.0,450.0,456.2,9111,1675209600
