s,o,h,l,c,v,t
ok,293.0,293.0,263.7,264.0,118856,1695600000
ok,258.8,276.5,258.0,275.0,63032,1695686400
ok,275.0,301.5,274.0,293.0,37432,1695772800
ok,290.0,290.0,263.8,266.0,68013,1696118400
ok,260.7,280.0,252.0,275.0,42692,1696204800
ok,270.0,270.8,250.3,262.0,29670,1696291200
ok,267.2,268.0,257.1,261.1,27206,1696377600
ok,265.0,270.0,255.0,258.0,21735,1696464000
ok,262.1,271.9,252.1,263.0,37222,1696723200
ok,260.0,285.6,258.1,273.0,62477,1696809600
ok,273.0,290.0,271.0,289.0,57377,1696896000
ok,290.0,300.0,282.3,293.1,57844,1696982400
ok,288.0,298.9,279.0,290.0,53633,1697068800
ok,284.2,284.2,268.7,269.3,23129,1697414400
ok,267.0,279.9,264.0,266.6,33009,1697500800
ok,266.0,279.9,263.3,274.9,24107,1697587200
ok,272.0,277.4,263.8,271.0,13606,1697673600
ok,267.0,284.2,262.0,265.0,22960,1698537600
ok,270.0,291.5,261.2,271.0,11504,1698624000
ok,270.0,276.4,261.0,268.0,7290,1698710400
ok,268.7,289.8,256.1,262.7,11781,1698796800
ok,257.6,260.2,252.5,257.0,17844,1698883200
ok,252.4,254.0,247.4,249.5,17341,1699142400
ok,245.3,258.0,245.3,254.0,9902,1699228800
ok,257.0,259.0,242.0,249.8,30672,1699315200
ok,244.9,250.0,241.1,247.0,23653,1699401600
ok,242.1,246.0,238.2,240.0,17589,1699488000
ok,236.8,244.8,231.0,236.9,13931,1700438400
ok,232.2,232.2,221.1,225.0,16216,1700524800
ok,220.5,229.5,217.1,223.0,12540,1700611200
ok,227.0,236.5,219.0,236.5,11185,1700697600
ok,236.5,243.0,227.4,241.0,22389,1700956800
ok,245.0,245.0,234.0,236.0,9625,1701043200
ok,236.0,240.9,228.6,240.9,24417,1701129600
ok,237.0,239.0,228.0,232.0,11680,1701216000
ok,227.4,233.5,222.0,224.0,17577,1701302400
ok,228.0,230.5,219.7,223.0,11340,1701561600
ok,220.8,229.0,220.8,224.1,11429,1701648000
ok,222.0,231.9,222.0,226.0,14913,1701734400
ok,222.1,226.0,222.1,224.0,5630,1701820800
ok,226.5,232.8,223.0,227.0,22987,1701907200
ok,231.5,247.0,231.5,247.0,1275,1702166400
ok,250.0,250.0,232.4,244.9,34656,1702252800
ok,248.0,251.0,233.8,247.0,41271,1702339200
ok,247.0,267.3,247.0,249.0,49380,1702425600
ok,245.0,264.0,245.0,260.0,28595,1702512000
ok,255.0,278.9,250.0,278.9,53010,1702771200
ok,281.0,282.6,264.0,269.8,60852,1702857600
