s,o,h,l,c,v,t
ok,285.05,307.48,285.05,307.48,50,1496102400
ok,307.48,337.38,313.08,337.38,178,1496188800
ok,343.93,371.03,343.93,371.03,4061,1496275200
ok,377.57,405.61,358.88,395.33,49071,1496534400
ok,387.85,393.46,380.37,392.52,21293,1496620800
ok,397.2,397.2,384.11,389.72,25537,1496707200
ok,392.52,392.52,381.31,381.31,13821,1496793600
ok,373.83,385.05,372.9,377.57,26653,1496880000
ok,373.83,374.77,365.42,366.36,5763,1497139200
ok,364.49,365.42,359.81,360.75,7224,1497225600
ok,366.36,369.16,355.14,365.42,5391,1497312000
ok,369.16,364.49,359.81,362.62,7302,1497398400
ok,358.88,370.09,357.01,357.01,8263,1497484800
ok,357.01,359.81,350.47,353.27,4470,1497744000
ok,355.14,355.14,338.32,340.19,4189,1497830400
ok,332.71,349.53,332.71,349.53,2483,1497916800
ok,349.53,349.53,339.25,344.86,1679,1498003200
ok,342.06,347.66,341.12,342.99,1763,1498089600
ok,343.93,350.47,336.45,344.86,2346,1498348800
ok,340.19,342.99,336.45,336.45,3500,1498521600
ok,341.12,341.12,334.58,335.51,2711,1498608000
ok,329.91,329.91,322.43,323.36,2447,1498953600
ok,328.97,329.91,322.43,322.43,4070,1499040000
ok,325.23,327.1,318.69,319.63,1804,1499126400
ok,318.69,321.5,314.02,317.76,3798,1499212800
ok,318.69,328.97,318.69,319.63,2097,1499299200
ok,319.63,321.5,314.02,314.95,3039,1499558400
ok,309.35,315.89,309.35,309.35,5720,1499644800
ok,310.28,321.5,308.41,316.82,5026,1499731200
ok,317.76,330.84,312.15,328.97,4177,1499817600
ok,323.36,324.3,318.69,318.69,3008,1499904000
ok,318.69,318.69,313.08,314.02,1372,1500163200
ok,311.21,322.43,311.21,317.76,1888,1500249600
ok,319.63,325.23,314.95,322.43,1647,1500336000
ok,317.76,339.25,317.76,323.36,2661,1500422400
ok,321.5,321.5,311.21,317.76,5354,1500508800
ok,312.15,317.76,312.15,314.02,2588,1500768000
ok,317.76,317.76,312.15,314.95,1995,1500854400
ok,317.76,317.76,313.08,314.95,1489,1500940800
ok,317.76,322.43,317.76,322.43,6312,1501027200
ok,316.82,327.1,308.41,321.5,2004,1501113600
ok,317.76,321.5,313.08,314.95,2321,1501372800
ok,313.08,317.76,310.28,313.08,5884,1501459200
ok,317.76,336.45,316.82,336.45,5146,1501545600
ok,329.91,329.91,313.08,318.69,3739,1501632000
ok,318.69,326.17,314.95,326.17,1889,1501718400
ok,322.43,323.36,316.82,318.69,1633,1501977600
ok,314.95,318.69,311.21,312.15,7671,1502064000
ok,312.15,312.15,307.48,311.21,5343,1502236800
ok,306.54,311.21,306.54,309.35,2688,1502323200
ok,308.41,309.35,300.93,303.74,3814,1502582400
ok,298.13,302.8,286.92,291.59,4539,1502755200
ok,289.72,300.93,283.18,288.79,3854,1502841600
ok,283.18,286.92,280.37,286.92,1299,1502928000
ok,282.24,282.24,276.64,280.37,1556,1503187200
ok,275.7,285.05,271.03,275.7,842,1503273600
ok,275.7,276.64,263.55,271.96,4023,1503360000
ok,267.29,276.64,263.55,269.16,1338,1503446400
ok,269.16,274.77,265.42,271.03,1141,1503532800
ok,271.03,280.37,257.01,280.37,6252,1503792000
ok,274.77,289.72,267.29,283.18,2635,1503878400
