s,o,h,l,c,v,t
ok,269.78,296.21,269.78,296.21,18030,1608422400
ok,309.88,309.88,267.04,267.04,11030,1608508800
ok,255.2,255.2,240.61,240.61,1350,1608595200
ok,236.06,236.06,216.92,216.92,6220,1608681600
ok,212.36,219.65,195.95,203.24,13540,1608768000
ok,199.6,204.16,195.95,196.86,9408,1609027200
ok,200.51,200.51,189.57,193.22,7002,1609113600
ok,189.57,193.22,185.93,185.93,5620,1609200000
ok,185.93,193.22,182.28,193.22,4831,1609286400
ok,195.95,202.33,185.93,199.6,5800,1609372800
ok,205.07,218.74,187.75,204.16,5328,1609632000
ok,200.51,205.98,193.22,202.33,3855,1609718400
ok,198.69,218.74,192.31,211.45,4390,1609804800
ok,211.45,222.38,200.51,209.62,3710,1609891200
ok,205.98,209.62,202.33,209.62,10950,1609977600
ok,219.65,219.65,198.69,204.16,3264,1610236800
ok,204.16,209.62,198.69,199.6,2250,1610323200
ok,195.95,206.89,195.95,205.98,5165,1610409600
ok,206.89,216.92,198.69,205.07,11441,1610496000
ok,215.09,215.09,201.42,202.33,1770,1610841600
ok,203.24,204.16,200.51,201.42,1390,1610928000
ok,199.6,202.33,196.86,196.86,5464,1611014400
ok,198.69,209.62,196.86,202.33,4284,1611100800
ok,212.36,222.38,200.51,222.38,2660,1611187200
ok,233.32,233.32,202.33,216.0,10419,1611446400
ok,226.03,226.03,207.8,218.74,5656,1611532800
ok,218.74,225.12,205.07,213.27,4067,1611619200
ok,209.62,216.92,205.98,213.27,4791,1611705600
ok,211.45,226.03,204.16,226.03,2905,1611792000
ok,222.38,226.03,204.16,208.71,5320,1612051200
ok,205.98,220.56,205.98,215.09,6595,1612137600
ok,211.45,219.65,207.8,216.92,12830,1612224000
ok,214.18,234.23,214.18,226.03,18452,1612310400
ok,222.38,226.03,218.74,222.38,12669,1612396800
ok,211.45,229.68,211.45,226.94,13527,1612656000
ok,216.0,226.94,216.0,220.56,5560,1612742400
ok,217.83,226.94,216.0,216.92,3170,1612828800
ok,214.18,220.56,214.18,220.56,4360,1612915200
ok,224.21,226.03,211.45,220.56,5256,1613001600
ok,216.92,218.74,209.62,212.36,1884,1613260800
ok,214.18,226.03,208.71,221.47,4219,1613347200
ok,217.83,218.74,214.18,214.18,2740,1613433600
ok,204.16,215.09,204.16,213.27,6910,1613520000
ok,209.62,222.38,209.62,218.74,2670,1613606400
ok,218.74,222.38,215.09,216.0,10959,1613865600
ok,205.98,232.41,205.98,227.85,23943,1613952000
ok,236.06,236.06,216.0,228.76,6655,1614038400
ok,224.21,226.94,217.83,218.74,4170,1614124800
ok,215.09,223.3,211.45,218.74,7849,1614211200
ok,215.09,215.09,205.98,210.54,6785,1614470400
ok,206.89,216.92,203.24,211.45,3675,1614556800
ok,215.09,215.09,205.07,205.07,4820,1614643200
ok,204.16,207.8,200.51,202.33,5385,1614729600
ok,201.42,213.27,201.42,210.54,6992,1614816000
ok,209.62,214.18,202.33,211.45,4565,1615161600
ok,221.47,221.47,205.98,205.98,5331,1615248000
ok,205.98,211.45,203.24,210.54,1911,1615334400
ok,218.74,219.65,208.71,215.09,7749,1615680000
ok,215.09,218.74,208.71,210.54,3540,1615766400
ok,200.51,223.3,200.51,216.0,7101,1615852800
ok,226.03,236.97,209.62,236.97,23083,1615939200
ok,248.82,260.66,235.14,260.66,67697,1616025600
ok,273.42,286.18,254.28,286.18,30005,1616284800
ok,299.85,299.85,263.4,284.36,19755,1616371200
ok,298.03,303.5,264.31,287.09,34234,1616457600
ok,281.63,294.39,270.69,288.92,10707,1616544000
ok,288.92,298.03,267.95,291.65,17925,1616630400
ok,286.18,308.97,275.25,308.06,11472,1616976000
ok,302.59,302.59,280.71,291.65,13003,1617062400
ok,291.65,296.21,277.98,282.54,15937,1617148800
ok,284.36,293.47,273.42,275.25,11953,1617235200
ok,271.6,287.09,269.78,277.98,11570,1617494400
ok,287.09,287.09,261.57,273.42,6710,1617580800
ok,268.87,300.77,267.95,300.77,8063,1617667200
ok,300.77,300.77,278.89,282.54,17796,1617753600
ok,277.98,284.36,273.42,279.8,6922,1617840000
ok,274.33,274.33,267.95,273.42,14735,1618185600
ok,267.95,273.42,267.04,270.69,8654,1618272000
ok,267.95,279.8,267.95,271.6,8954,1618444800
ok,267.04,272.51,266.13,267.04,5683,1618704000
ok,262.49,278.89,262.49,265.22,3670,1618790400
ok,262.49,272.51,261.57,269.78,8540,1618876800
ok,267.04,273.42,265.22,269.78,15715,1618963200
ok,274.33,274.33,264.31,270.69,2956,1619049600
ok,269.78,269.78,257.02,259.75,3418,1619308800
ok,255.2,255.2,238.79,242.44,7529,1619395200
ok,246.08,259.75,237.88,259.75,5559,1619481600
ok,259.75,262.49,254.28,257.02,4870,1619568000
ok,252.46,282.54,248.82,261.57,3922,1619654400
ok,259.75,272.51,255.2,262.49,8451,1619913600
ok,258.84,266.13,258.84,259.75,5515,1620000000
ok,255.2,273.42,255.2,267.04,17538,1620086400
ok,279.8,279.8,260.66,273.42,21454,1620172800
ok,273.42,274.33,265.22,274.33,13396,1620259200
ok,274.33,274.33,260.66,264.31,5551,1620518400
ok,268.87,273.42,259.75,268.87,2889,1620604800
ok,273.42,273.42,263.4,268.87,3417,1620691200
ok,265.22,285.27,265.22,277.98,17023,1620777600
ok,291.65,296.21,278.89,289.83,52225,1620864000
ok,295.3,296.21,284.36,284.36,16600,1621123200
ok,280.71,296.21,280.71,296.21,24517,1621209600
ok,308.97,325.37,294.39,325.37,61668,1621296000
ok,337.22,356.36,314.44,350.89,45545,1621382400
ok,346.34,385.53,339.96,385.53,53137,1621468800
ok,385.53,423.81,365.48,423.81,38368,1621728000
ok,428.36,465.73,428.36,465.73,55392,1621814400
ok,488.52,505.83,448.41,473.93,34000,1621900800
ok,464.82,507.66,445.68,493.07,28882,1622073600
ok,517.68,517.68,462.09,473.93,44141,1622332800
ok,464.82,505.83,446.59,449.33,34749,1622419200
ok,455.71,477.58,446.59,457.53,21854,1622505600
ok,457.53,477.58,446.59,483.05,22553,1622592000
ok,483.05,493.07,461.17,493.07,31370,1622678400
ok,493.07,521.33,454.79,521.33,17255,1622937600
ok,501.28,527.71,473.02,527.71,73885,1623024000
ok,510.39,553.23,510.39,525.88,49472,1623110400
ok,525.88,538.64,473.93,473.93,41531,1623196800
ok,475.76,514.95,475.76,514.95,30948,1623283200
ok,506.74,524.97,494.9,500.36,30550,1623542400
ok,477.58,524.06,477.58,482.14,24439,1623628800
ok,475.76,493.98,460.26,463.91,18821,1623715200
ok,454.79,463.91,432.92,437.48,15613,1623801600
ok,437.48,454.79,428.36,449.33,7795,1623888000
ok,443.86,449.33,429.27,438.39,8322,1624147200
ok,431.1,442.03,401.93,408.31,8378,1624233600
ok,408.31,436.57,401.93,436.57,6271,1624320000
ok,442.03,442.03,410.13,418.34,4325,1624406400
ok,426.54,426.54,395.55,414.69,8489,1624492800
ok,414.69,448.41,401.93,444.77,17843,1624752000
ok,452.97,477.58,430.19,434.74,4880,1624838400
ok,426.54,429.27,418.34,419.25,4230,1624924800
ok,411.05,443.86,402.84,442.03,7884,1625011200
ok,433.83,471.2,432.92,460.26,26329,1625097600
ok,451.15,487.6,438.39,466.64,12155,1625356800
ok,457.53,469.38,441.12,449.33,4930,1625443200
ok,455.71,466.64,414.69,439.3,4160,1625529600
ok,446.59,454.79,401.93,416.51,14560,1625616000
ok,419.25,432.01,410.13,414.69,2970,1625702400
ok,422.89,432.01,406.49,418.34,10895,1625961600
ok,414.69,444.77,414.69,417.43,15095,1626048000
ok,417.43,428.36,411.96,423.81,930,1626134400
ok,424.72,431.1,415.6,431.1,2236,1626220800
ok,437.48,444.77,419.25,432.92,13375,1626307200
ok,435.65,457.53,435.65,439.3,12493,1626566400
ok,446.59,455.52,434.74,450.24,12694,1626652800
ok,450.24,464.82,437.48,457.53,16382,1626739200
ok,466.64,474.85,448.41,459.35,17484,1626912000
ok,450.33,477.58,450.33,464.0,18665,1627171200
ok,473.2,489.43,466.64,488.52,25556,1627257600
ok,488.52,537.37,488.52,536.82,67967,1627344000
ok,547.48,580.84,524.24,531.35,27827,1627430400
ok,537.73,576.01,519.5,571.45,82147,1627516800
ok,582.85,619.76,582.85,610.65,38186,1627776000
ok,610.65,610.65,574.19,579.66,42146,1627862400
ok,590.59,628.42,572.37,609.73,27109,1627948800
ok,621.86,669.89,610.65,624.77,33419,1628035200
ok,637.08,637.08,595.15,596.97,40610,1628121600
ok,585.13,627.05,585.13,612.47,31971,1628380800
ok,624.32,656.22,619.76,637.99,43300,1628467200
ok,650.75,663.51,607.91,613.38,38085,1628553600
