s,o,h,l,c,v,t
ok,143.34,143.34,143.34,143.34,50,1560297600
ok,136.64,136.64,136.64,136.64,50,1560729600
ok,129.95,129.95,129.95,129.95,40,1560816000
ok,124.22,124.22,122.31,122.31,100,1562025600
ok,116.57,116.57,116.57,116.57,50,1562112000
ok,110.83,110.83,108.92,108.92,150,1562198400
ok,104.15,104.15,98.41,98.41,130,1563667200
ok,96.51,96.51,94.59,94.59,20,1563840000
ok,90.77,90.77,89.82,89.82,100,1563926400
ok,86.0,86.0,81.22,81.22,3500,1564012800
ok,80.11,80.11,75.66,77.88,3041,1564531200
ok,77.89,80.11,77.89,80.11,600,1564617600
ok,81.22,81.22,79.0,79.0,1120,1564876800
ok,78.99,78.99,75.66,75.66,350,1564963200
ok,75.66,76.77,75.66,75.66,520,1565049600
ok,75.66,76.77,75.66,75.66,200,1565136000
ok,75.66,75.66,75.66,75.66,600,1565222400
ok,74.54,75.66,72.32,74.54,590,1565481600
ok,73.43,73.43,72.31,72.31,860,1565568000
ok,72.32,76.77,72.32,74.54,750,1565654400
ok,74.54,75.66,73.43,73.43,610,1565740800
ok,74.54,74.54,73.43,73.43,570,1565827200
ok,72.32,72.32,71.2,72.32,450,1566086400
ok,73.43,73.43,72.32,72.32,250,1566172800
ok,72.31,72.31,71.2,71.2,500,1566259200
ok,70.09,70.09,68.98,68.98,200,1566345600
ok,67.87,68.98,67.87,68.98,550,1566432000
ok,70.09,70.09,68.98,68.98,150,1566691200
ok,67.86,67.86,64.53,66.75,490,1566777600
ok,67.87,67.87,64.53,64.53,760,1566864000
ok,65.64,65.64,65.64,65.64,300,1566950400
ok,65.64,67.86,65.64,67.86,1440,1567036800
ok,67.86,67.86,66.75,66.75,190,1567296000
ok,66.75,67.86,66.75,66.75,250,1567382400
ok,65.64,68.97,65.64,68.97,400,1567468800
ok,67.86,68.97,66.75,68.97,400,1567555200
ok,67.86,67.86,66.75,66.75,700,1567641600
ok,65.63,65.63,63.41,63.41,400,1567900800
ok,64.52,64.52,60.07,61.18,560,1567987200
ok,62.3,62.3,61.18,61.18,1080,1568073600
ok,61.18,61.18,61.18,61.18,50,1568160000
ok,61.18,62.29,60.07,60.07,920,1568246400
ok,60.07,60.07,58.96,60.07,350,1568505600
ok,58.95,58.95,55.62,56.73,800,1568592000
ok,57.84,57.84,57.84,57.84,50,1568678400
ok,58.95,58.95,58.95,58.95,100,1568764800
ok,58.95,60.07,57.84,60.07,280,1568851200
ok,58.96,58.96,57.84,58.96,150,1569110400
ok,57.85,57.85,56.73,56.73,300,1569196800
ok,56.73,56.73,55.62,56.73,250,1569283200
ok,55.64,56.73,54.55,55.64,300,1569456000
ok,54.55,55.64,54.55,55.64,200,1569715200
ok,56.73,58.92,56.73,58.92,250,1569801600
ok,60.01,60.01,60.01,60.01,50,1569888000
ok,58.92,61.1,58.92,61.1,100,1569974400
ok,62.19,62.19,61.1,61.1,750,1570665600
ok,62.19,63.28,62.19,62.19,190,1571184000
ok,63.28,63.28,63.28,63.28,50,1571270400
ok,64.37,64.37,63.28,63.28,190,1571529600
ok,62.19,62.19,62.19,62.19,100,1571616000
ok,62.19,62.19,58.92,61.1,600,1571875200
ok,61.1,61.1,58.92,58.92,600,1572480000
ok,58.92,60.01,58.92,60.01,190,1572739200
ok,61.1,62.19,60.01,60.01,1250,1572825600
ok,58.92,58.92,58.92,58.92,50,1572912000
ok,57.83,57.83,56.74,56.74,100,1572998400
ok,56.74,56.74,54.56,56.74,1340,1573084800
ok,57.83,58.92,57.83,58.92,150,1573344000
ok,60.02,60.02,57.83,57.83,390,1573430400
ok,56.74,60.02,55.65,55.65,250,1573516800
ok,54.56,57.84,54.56,56.74,540,1573603200
ok,56.74,56.74,55.65,56.74,280,1573689600
ok,57.84,60.02,57.84,58.93,620,1573948800
ok,57.84,60.02,57.84,58.93,360,1574035200
ok,57.84,61.11,56.74,61.11,1350,1574121600
ok,62.2,62.2,61.11,61.11,150,1574294400
ok,60.01,60.01,60.01,60.01,172,1574553600
ok,58.92,58.92,57.83,57.83,600,1574640000
ok,56.74,56.74,54.56,54.56,250,1574726400
ok,55.65,56.74,55.65,56.74,300,1574812800
ok,58.94,58.94,58.94,58.94,150,1574899200
ok,57.83,57.83,57.83,57.83,150,1574899200
ok,58.94,58.94,56.72,58.94,570,1575244800
ok,58.94,58.94,58.94,58.94,50,1575331200
ok,57.83,57.83,56.71,57.83,250,1575417600
ok,57.83,57.83,56.72,56.72,670,1575504000
ok,56.71,60.05,56.71,60.05,1520,1575763200
