s,o,h,l,c,v,t
ok,276.37,276.37,248.73,248.73,230,1553385600
ok,236.76,236.76,223.86,223.86,210,1553472000
ok,212.81,212.81,201.75,201.75,320,1553558400
ok,174.11,174.11,164.9,164.9,190,1553731200
ok,157.53,157.53,149.24,149.24,220,1553990400
ok,141.87,141.87,134.5,134.5,90,1554076800
ok,128.05,128.05,121.6,121.6,160,1554163200
ok,116.08,116.08,109.63,109.63,450,1554249600
ok,105.02,105.02,99.49,99.49,1250,1554336000
ok,94.89,94.89,90.28,90.28,23430,1554595200
ok,85.67,88.44,84.75,86.6,17210,1554768000
ok,85.67,86.6,84.75,86.6,11020,1554854400
ok,87.52,88.44,84.75,86.6,9145,1554940800
ok,85.67,86.6,82.91,85.67,7510,1555286400
ok,84.75,85.67,81.99,82.91,12540,1555372800
ok,86.6,86.6,82.91,83.83,5200,1555545600
ok,82.91,84.75,82.91,83.83,10085,1555804800
ok,83.83,84.75,82.91,83.83,12050,1555891200
ok,82.91,84.75,82.91,83.83,7340,1555977600
ok,82.91,83.83,81.07,82.91,8950,1556064000
ok,81.99,86.6,81.07,86.6,12520,1556150400
ok,84.75,91.2,81.99,88.44,15999,1556409600
ok,84.75,92.12,83.83,92.12,7090,1556496000
ok,87.52,91.2,82.91,90.28,8370,1556582400
ok,89.36,93.97,83.83,93.97,33909,1556755200
ok,89.36,90.28,86.6,88.44,9080,1557014400
ok,84.75,89.36,84.75,85.67,6441,1557100800
ok,84.75,91.2,84.75,87.52,8170,1557187200
ok,88.44,89.36,85.67,86.6,7055,1557273600
ok,85.67,87.52,84.75,86.6,3590,1557360000
ok,85.67,86.6,83.83,83.83,6670,1557619200
ok,82.91,89.36,82.91,87.52,11075,1557705600
ok,87.52,87.52,85.67,87.52,3995,1557792000
ok,87.52,88.44,84.75,86.6,5330,1557878400
ok,85.67,87.52,84.75,85.67,5720,1557964800
ok,86.6,87.52,84.75,85.67,7340,1558224000
ok,84.75,87.52,84.75,84.75,7530,1558310400
ok,83.83,89.36,83.83,87.52,14515,1558396800
ok,88.44,93.97,88.44,92.12,51310,1558483200
ok,90.28,93.97,86.6,88.44,20010,1558569600
ok,88.44,88.44,86.6,88.44,6955,1558828800
ok,88.44,88.44,86.6,86.6,3692,1558915200
ok,87.52,89.36,85.67,89.36,27835,1559001600
ok,88.44,92.12,86.6,88.44,4730,1559088000
ok,92.12,92.12,86.6,87.52,6166,1559174400
ok,88.44,92.12,85.67,92.12,38605,1559433600
ok,92.12,93.04,88.44,89.36,17130,1559520000
ok,90.28,90.28,85.67,87.52,4686,1559606400
ok,86.6,90.28,85.67,90.28,3015,1559779200
ok,89.36,89.36,84.75,84.75,16384,1560124800
ok,85.67,87.52,83.83,84.75,17080,1560211200
ok,83.83,85.67,83.83,84.75,4300,1560297600
