s,o,h,l,c,v,t
ok,162.0,162.0,162.0,162.0,51875,1547337600
ok,167.5,179.0,167.5,179.0,3685,1547510400
ok,179.0,191.5,179.0,191.5,3690,1547596800
ok,191.5,205.5,191.5,205.5,57490,1547683200
ok,213.0,221.0,190.0,196.0,729258,1547942400
ok,196.0,196.0,181.5,181.5,403770,1548028800
ok,181.5,183.0,168.5,180.0,217131,1548115200
ok,180.0,193.0,177.5,189.0,138867,1548201600
ok,189.0,192.5,185.0,187.0,122167,1548288000
ok,187.0,189.5,180.5,183.5,121117,1548547200
ok,183.5,185.0,183.0,183.5,64493,1548633600
ok,183.5,183.5,179.0,180.0,95372,1548720000
ok,180.0,180.0,178.0,178.0,53226,1548806400
ok,178.0,180.0,176.5,179.0,57691,1548892800
ok,179.0,179.0,175.5,176.5,99156,1549152000
ok,175.5,176.5,172.5,173.0,95240,1549238400
ok,173.0,174.0,170.0,171.5,104687,1549324800
ok,170.5,171.5,168.5,169.0,67848,1549411200
ok,168.0,169.0,166.5,169.0,59830,1549497600
ok,168.5,169.0,164.5,165.5,59960,1549756800
ok,165.5,168.5,163.5,166.0,61013,1549843200
ok,166.0,166.0,165.0,165.5,38083,1549929600
ok,165.0,166.0,164.5,165.0,41724,1550016000
ok,163.5,165.0,162.0,164.0,69628,1550102400
ok,162.5,165.5,162.5,163.0,45386,1550361600
ok,161.5,163.0,160.0,160.5,51862,1550448000
ok,161.5,166.0,159.5,166.0,57539,1550534400
ok,165.5,166.5,161.5,162.0,41490,1550620800
ok,161.0,164.0,161.0,162.5,32296,1550707200
ok,162.0,163.0,160.0,161.0,46222,1550966400
ok,160.0,163.0,160.0,162.0,35508,1551052800
ok,162.5,162.5,160.5,161.5,34122,1551139200
ok,162.0,164.0,161.5,162.0,26480,1551225600
ok,162.0,162.5,161.0,161.0,40964,1551571200
ok,161.0,162.5,160.5,162.0,34553,1551744000
ok,161.5,163.0,161.0,163.0,25338,1551830400
ok,164.0,165.5,162.5,165.0,47328,1551916800
ok,165.0,167.0,163.0,165.0,41255,1552089600
ok,165.0,167.0,163.0,165.0,41255,1552176000
ok,166.0,169.0,164.0,167.5,73683,1552262400
ok,167.5,173.0,167.0,172.5,94823,1552348800
ok,172.0,174.0,168.5,169.5,70458,1552435200
ok,170.0,170.5,167.5,170.0,57279,1552521600
ok,170.0,173.0,170.0,172.5,59409,1552780800
ok,172.5,174.0,171.0,171.0,36699,1552867200
ok,171.0,172.5,170.5,171.0,19638,1552953600
ok,171.0,172.5,169.0,170.0,38970,1553126400
ok,170.0,171.0,167.5,169.5,41392,1553385600
ok,169.0,170.5,168.0,170.0,35260,1553472000
ok,168.5,170.5,168.5,170.5,31029,1553558400
ok,170.5,170.5,168.0,170.0,27337,1553644800
ok,169.5,170.5,169.0,170.0,24176,1553731200
ok,170.0,170.5,168.5,169.5,38545,1553990400
ok,169.5,169.5,168.0,169.0,35591,1554076800
