s,o,h,l,c,v,t
ok,324.6,357.0,324.6,357.0,3870,1660694400
ok,364.1,392.7,364.1,392.7,84038,1660780800
ok,400.5,431.9,390.1,393.0,41125,1661040000
ok,393.0,399.9,376.1,388.6,41656,1661126400
ok,396.3,399.8,375.4,388.5,22730,1661212800
ok,381.1,414.0,381.0,404.0,36702,1661299200
ok,398.0,412.0,392.0,392.0,20925,1661385600
ok,387.0,389.3,378.4,389.3,18080,1661472000
ok,381.6,383.0,366.0,366.0,19565,1661644800
ok,359.0,365.1,350.0,364.0,13689,1661731200
ok,365.0,370.0,348.0,360.0,11010,1661817600
ok,354.1,356.0,337.0,341.2,11524,1661904000
ok,341.2,365.0,330.3,353.0,10075,1661990400
ok,347.0,350.0,341.1,349.0,2950,1662076800
ok,343.0,356.6,343.0,356.6,7960,1662249600
ok,351.5,379.6,351.5,367.0,20600,1662336000
ok,359.8,364.0,350.7,351.1,8932,1662422400
ok,345.1,351.1,338.7,342.0,9665,1662508800
ok,337.1,351.0,337.1,351.0,11722,1662595200
ok,357.0,357.0,338.0,340.0,5910,1662854400
ok,346.0,352.0,332.0,334.0,8172,1662940800
ok,330.5,344.0,330.5,332.6,5865,1663027200
ok,330.1,345.0,330.1,345.0,14960,1663113600
ok,345.0,345.0,320.4,321.0,17340,1663200000
ok,315.0,318.0,303.0,304.0,9714,1663286400
ok,303.9,307.0,290.0,298.8,9924,1663459200
ok,295.0,295.0,277.5,279.2,10805,1663632000
ok,278.0,289.0,273.8,289.0,7601,1663718400
ok,285.0,292.8,268.4,280.0,7763,1663804800
ok,274.5,275.0,265.0,270.0,3945,1664064000
ok,264.9,278.0,261.2,274.4,2299,1664236800
ok,269.0,280.5,263.7,279.0,1644,1664323200
ok,282.0,285.0,271.0,285.0,1590,1664409600
ok,280.0,285.6,275.0,283.0,2832,1665273600
ok,288.0,288.0,266.3,270.0,1512,1665360000
ok,265.1,269.9,261.1,267.0,970,1665446400
ok,265.0,281.2,259.0,268.0,3199,1665532800
ok,265.0,270.0,260.7,267.0,4101,1665619200
ok,268.0,272.0,259.0,264.0,2171,1665878400
ok,260.0,269.2,254.8,265.0,4809,1665964800
ok,262.0,270.3,251.3,270.3,6295,1666137600
ok,275.0,275.0,250.1,258.0,1650,1666224000
ok,253.0,263.0,250.0,261.0,4325,1666483200
ok,255.9,261.0,246.4,261.0,1530,1667174400
ok,256.0,274.0,251.0,271.9,8855,1667260800
ok,270.0,275.4,261.5,273.5,11905,1667347200
ok,268.1,277.0,262.8,270.0,3853,1667433600
ok,267.1,280.0,267.1,277.0,6435,1667692800
ok,271.5,282.0,265.1,268.0,8230,1667779200
ok,265.2,271.0,265.0,270.0,4120,1667865600
ok,270.0,270.0,256.0,260.0,5175,1667952000
ok,256.1,260.0,247.3,251.8,7130,1668038400
ok,247.0,255.0,243.0,244.9,2961,1668297600
ok,246.5,254.9,240.2,250.0,2645,1668384000
ok,245.0,250.0,237.0,241.7,7570,1668470400
ok,238.0,252.5,238.0,245.0,4900,1668556800
ok,247.0,259.0,247.0,255.0,11083,1668643200
ok,251.2,260.0,239.2,249.0,10313,1669075200
ok,244.1,252.0,242.1,248.0,3030,1669161600
ok,243.1,256.0,243.1,250.0,4847,1669248000
ok,245.1,259.8,245.1,259.8,4599,1669507200
ok,260.0,266.0,252.3,259.9,7015,1669593600
ok,254.8,261.0,250.1,258.0,2489,1669680000
ok,252.9,260.0,252.0,259.7,10133,1669766400
ok,259.9,259.9,250.4,258.9,3440,1669852800
ok,258.0,261.0,254.0,258.9,6748,1670112000
ok,254.0,257.0,250.0,253.0,5399,1670198400
ok,250.0,252.0,245.4,246.4,3700,1670284800
ok,242.1,249.9,242.1,249.0,5675,1670371200
ok,249.0,249.0,240.1,242.7,4683,1670716800
ok,241.0,251.8,241.0,250.0,5809,1670803200
ok,245.1,254.5,245.1,254.5,2290,1670889600
ok,250.1,253.0,245.3,249.0,3630,1670976000
ok,247.0,253.5,247.0,249.0,9004,1671062400
ok,247.0,251.0,245.0,249.0,4760,1671321600
ok,253.0,253.0,245.0,250.0,5490,1671408000
ok,245.0,255.0,245.0,253.9,6921,1671494400
ok,249.1,253.8,249.0,249.0,2831,1671580800
ok,246.0,255.0,246.0,251.0,4746,1671667200
ok,251.0,260.0,250.0,258.0,10094,1672012800
ok,260.0,276.3,258.0,273.0,27701,1672099200
ok,278.0,278.4,264.7,269.1,13134,1672185600
ok,265.0,288.0,265.0,288.0,13556,1672272000
ok,288.0,295.0,277.0,284.0,21148,1672531200
ok,289.0,296.5,276.0,296.5,14051,1672617600
ok,291.0,306.0,288.0,291.2,10580,1672704000
ok,286.0,307.9,286.0,302.1,10022,1672790400
ok,305.0,332.3,300.0,323.1,15886,1672876800
ok,320.0,355.4,308.3,348.3,35529,1673136000
ok,350.0,371.0,334.1,356.1,18673,1673222400
ok,360.0,374.0,335.0,341.0,42678,1673308800
ok,338.0,371.0,320.5,330.0,27311,1673481600
ok,330.0,358.0,319.0,352.0,24819,1673913600
ok,359.0,372.1,350.6,363.0,52934,1674000000
ok,356.0,390.0,349.1,383.0,40985,1674086400
ok,380.0,384.0,362.2,369.7,40295,1674432000
ok,362.5,375.0,358.0,375.0,20223,1674518400
ok,368.0,400.0,368.0,390.0,37243,1674604800
ok,390.0,397.0,378.1,391.0,24247,1674691200
ok,383.2,392.8,376.1,382.0,20627,1674950400
ok,375.0,396.7,365.0,369.5,29351,1675036800
ok,363.0,377.9,357.0,373.5,16469,1675123200
ok,367.0,380.0,367.0,374.0,13703,1675209600
ok,368.0,377.5,355.1,369.4,15283,1675296000
ok,363.0,370.0,357.0,360.0,11710,1675555200
ok,358.0,365.0,354.4,357.1,9481,1675641600
ok,350.2,389.0,350.2,381.0,17258,1675728000
ok,385.6,396.0,371.0,372.5,18284,1675814400
ok,365.3,377.4,365.2,372.1,7429,1675900800
ok,364.7,367.2,357.6,364.0,11443,1676160000
ok,370.0,370.0,358.0,361.0,8595,1676332800
ok,358.0,364.0,353.0,360.0,13895,1676419200
ok,352.9,360.0,346.3,353.0,8716,1676505600
ok,346.0,360.0,330.3,348.0,11170,1676851200
ok,348.0,365.0,342.2,360.0,5863,1677024000
ok,352.8,356.0,343.0,352.0,4930,1677110400
ok,345.0,359.0,332.1,357.0,4765,1677369600
ok,350.1,357.0,344.1,348.0,11199,1677456000
ok,348.0,366.0,343.4,358.9,8080,1677542400
