s,o,h,l,c,v,t
ok,253.6,278.9,253.6,278.9,4197,1691884800
ok,284.4,306.7,284.4,306.7,4320,1691971200
ok,312.8,337.3,288.1,312.0,60856,1692057600
ok,315.0,318.0,288.0,308.0,21018,1692144000
ok,302.0,331.0,298.2,327.0,11300,1692230400
ok,325.0,330.0,297.5,297.5,11545,1692489600
ok,291.6,300.5,291.5,295.0,5930,1692576000
ok,290.0,311.9,290.0,306.0,5120,1692662400
ok,312.1,312.1,301.2,307.5,6450,1692748800
ok,301.5,309.0,293.5,299.0,7345,1692835200
ok,293.1,293.1,281.1,281.7,3930,1693094400
ok,280.0,285.2,269.1,276.5,5020,1693180800
ok,277.0,287.0,271.0,273.0,3630,1693267200
ok,268.0,281.0,268.0,277.1,2490,1693353600
ok,272.6,277.4,262.1,269.0,4350,1693699200
ok,264.1,295.0,264.0,294.0,8672,1693785600
ok,290.0,294.0,281.5,292.3,4994,1693872000
ok,286.5,313.0,275.6,297.0,4230,1694044800
ok,291.1,306.9,285.4,289.0,3660,1694304000
ok,283.3,306.5,283.3,296.0,6670,1694390400
ok,290.1,316.0,287.4,316.0,7254,1694476800
ok,316.0,321.9,302.0,316.2,4555,1694563200
ok,309.9,320.0,292.4,314.0,7578,1694908800
ok,307.8,315.0,298.0,314.0,4883,1694995200
ok,307.8,345.4,304.6,330.0,9589,1695081600
ok,335.1,348.0,330.0,334.0,9341,1695254400
ok,327.7,349.8,322.1,349.8,9301,1695513600
ok,348.0,374.3,342.0,367.0,6800,1695600000
ok,374.0,375.3,354.9,373.0,13860,1695686400
ok,365.6,365.6,346.2,353.9,10380,1695772800
ok,346.9,346.9,321.5,329.0,13660,1696118400
ok,323.4,344.7,314.3,344.7,10815,1696204800
ok,337.9,358.0,331.3,353.0,10872,1696291200
ok,348.0,362.0,340.0,350.0,16381,1696377600
ok,350.0,362.0,348.0,357.0,8255,1696464000
ok,349.9,350.0,333.3,347.3,7860,1696723200
ok,340.7,361.2,335.0,340.0,8770,1696809600
ok,346.8,346.8,333.2,340.0,3170,1696896000
ok,335.0,346.0,323.2,346.0,3755,1696982400
ok,339.1,339.1,322.0,322.1,10955,1697068800
ok,316.0,322.0,305.1,313.0,2872,1697414400
ok,313.0,344.0,310.0,318.0,3751,1697500800
ok,324.3,326.1,313.0,326.1,5881,1697587200
ok,319.6,325.9,308.0,325.3,840,1697673600
ok,319.0,319.0,303.3,313.0,1610,1698537600
ok,306.8,312.6,304.1,312.6,1870,1698624000
ok,308.0,315.2,308.0,314.0,1980,1698710400
ok,307.8,315.0,294.0,312.9,12083,1698796800
ok,306.7,309.8,297.8,303.0,4353,1698883200
ok,297.0,308.9,285.6,305.0,1000,1699142400
ok,298.9,309.9,298.9,309.9,2795,1699228800
ok,304.0,312.0,298.2,309.9,1350,1699315200
ok,310.0,312.1,300.0,311.9,2753,1699401600
ok,317.9,317.9,295.0,306.0,959,1699488000
ok,300.5,312.0,296.2,306.0,2820,1700438400
ok,300.0,300.9,288.0,300.4,2270,1700524800
ok,300.0,306.0,295.0,306.0,2190,1700611200
ok,299.9,311.9,295.2,308.0,2747,1700697600
ok,303.1,320.3,303.1,316.0,7963,1700956800
ok,316.0,347.6,313.0,347.6,25421,1701043200
ok,347.6,364.0,347.0,357.0,6500,1701129600
ok,357.0,350.0,337.6,341.0,4060,1701216000
ok,334.2,340.0,328.0,332.0,6262,1701302400
ok,325.5,338.3,319.0,337.0,4466,1701561600
ok,343.1,355.0,322.2,331.0,2130,1701648000
ok,326.0,339.6,325.4,331.0,5480,1701734400
ok,327.1,357.5,327.1,333.0,1450,1701820800
ok,339.6,344.0,326.3,342.0,8135,1701907200
ok,348.8,361.0,348.8,361.0,630,1702166400
ok,361.0,361.0,339.1,342.0,11542,1702252800
ok,335.2,360.0,330.3,357.0,16814,1702339200
ok,350.0,378.0,350.0,374.0,29245,1702425600
ok,380.0,402.0,370.0,402.0,22366,1702512000
ok,394.0,415.0,381.5,408.0,12681,1702771200
ok,416.0,416.0,380.0,386.0,18532,1702857600
ok,378.4,396.7,378.4,395.0,13556,1702944000
ok,388.1,400.0,375.3,383.8,27988,1703030400
ok,383.0,391.0,378.6,386.0,11874,1703116800
ok,383.1,416.1,378.3,390.0,21749,1703376000
ok,393.0,402.8,381.5,391.0,24031,1703635200
ok,383.4,403.0,378.3,386.0,12205,1703721600
ok,382.0,393.7,377.8,377.8,11810,1704067200
ok,379.0,379.0,358.2,360.0,7581,1704153600
ok,355.0,389.0,355.0,376.0,7657,1704240000
ok,383.3,394.8,370.0,391.9,20745,1704326400
ok,399.7,407.5,381.6,383.0,15433,1704585600
ok,390.6,407.9,383.2,404.0,16485,1704672000
ok,409.9,444.4,406.0,444.4,53595,1704758400
ok,453.2,480.0,453.2,460.1,22766,1704844800
ok,460.1,488.0,459.5,476.1,21225,1704931200
ok,470.0,522.0,470.0,522.0,29407,1705190400
ok,527.0,550.8,527.0,550.8,44401,1705363200
ok,559.9,559.9,496.0,510.0,41376,1705449600
ok,500.1,544.0,491.0,515.0,14925,1705536000
ok,505.1,546.5,495.0,501.9,19095,1705795200
ok,511.9,552.0,490.0,552.0,15954,1705881600
ok,541.0,541.0,500.0,525.3,16347,1705968000
ok,525.0,534.9,490.0,524.0,18719,1706054400
ok,513.6,533.9,499.0,516.9,11296,1706140800
ok,527.0,537.0,498.0,509.9,19613,1706400000
ok,520.0,560.8,520.0,552.9,88451,1706486400
ok,560.8,597.0,542.0,563.0,20174,1706572800
ok,565.0,565.0,520.0,534.0,17198,1706659200
ok,540.0,540.0,507.0,519.0,12755,1706745600
ok,512.0,520.0,500.0,505.5,12415,1707004800
ok,511.0,515.2,502.0,511.0,6330,1707091200
ok,506.1,519.0,505.0,514.9,3792,1707177600
ok,521.0,550.0,505.0,530.0,9510,1707264000
ok,519.4,525.0,509.1,519.0,5500,1707350400
ok,519.0,529.3,505.0,511.0,10760,1707609600
ok,512.0,521.5,512.0,515.0,6800,1707696000
ok,506.3,547.5,506.3,515.0,8201,1707782400
ok,508.0,531.5,508.0,517.0,11534,1707868800
ok,512.0,524.0,509.0,509.0,7246,1707955200
ok,509.0,519.0,495.1,495.1,3706,1708214400
ok,490.1,499.0,482.6,486.0,5407,1708387200
ok,495.7,510.0,477.2,487.0,5265,1708473600
