s,o,h,l,c,v,t
ok,365.3,401.8,365.3,401.8,7730,1703116800
ok,409.8,441.9,409.8,441.9,9105,1703376000
ok,450.7,486.0,450.7,486.0,18977,1703635200
ok,495.7,534.6,495.7,534.6,46854,1703721600
ok,545.2,588.0,523.9,549.0,150275,1704067200
ok,555.0,570.0,530.2,540.4,107187,1704153600
ok,545.0,545.0,530.0,542.0,60268,1704240000
ok,550.0,595.0,542.0,585.0,68836,1704326400
ok,596.7,607.0,555.5,559.0,76780,1704585600
ok,559.0,595.4,548.0,586.0,52235,1704672000
ok,586.0,597.0,562.0,567.0,43715,1704758400
ok,568.0,573.1,555.0,559.0,27275,1704844800
ok,550.0,568.0,548.0,560.0,27247,1704931200
ok,570.0,608.0,570.0,582.0,90565,1705190400
ok,593.0,600.0,565.1,577.0,62737,1705363200
ok,588.5,588.5,545.0,551.0,58811,1705449600
ok,540.0,570.0,530.0,542.0,62515,1705536000
ok,543.0,564.0,537.0,541.0,40419,1705795200
ok,540.0,550.0,528.0,530.1,35703,1705881600
ok,521.0,540.7,516.4,522.0,32181,1705968000
ok,521.0,530.0,509.0,509.4,28559,1706054400
ok,509.4,515.0,496.1,505.0,28866,1706140800
ok,505.0,527.0,503.1,525.0,31024,1706400000
ok,515.0,537.0,515.0,530.2,30539,1706486400
ok,531.2,539.6,525.0,527.0,38007,1706572800
ok,527.0,532.0,504.7,509.0,37216,1706659200
ok,509.0,513.0,502.1,505.0,26731,1706745600
ok,500.0,510.0,491.1,501.2,17918,1707004800
ok,500.0,515.1,500.0,513.0,17400,1707091200
ok,513.0,525.0,505.0,524.0,24505,1707177600
ok,520.0,530.0,517.0,520.2,15357,1707264000
ok,518.0,537.3,518.0,535.5,38153,1707350400
ok,535.5,543.5,521.5,525.1,42449,1707609600
ok,525.0,576.0,525.0,566.0,107368,1707696000
ok,564.0,570.1,542.0,544.0,52993,1707782400
ok,540.0,555.0,535.1,549.9,24291,1707868800
ok,549.9,562.0,536.2,537.0,31373,1707955200
ok,526.7,540.0,516.1,518.5,32291,1708214400
ok,515.0,544.6,515.0,540.0,31973,1708387200
ok,529.2,559.9,525.2,533.1,18825,1708473600
ok,543.0,543.0,514.0,519.0,39171,1708560000
ok,516.0,540.0,515.9,521.0,32893,1708819200
ok,515.1,535.0,515.1,524.9,16816,1708905600
ok,522.0,532.0,515.0,519.0,11125,1708992000
