s,o,h,l,c,v,t
ok,337.63,370.91,337.63,370.91,261,1623196800
ok,388.77,407.43,388.77,407.43,590,1623283200
ok,427.73,448.02,427.73,448.02,1281,1623542400
ok,469.93,492.65,469.93,492.65,1780,1623628800
ok,517.0,541.35,517.0,541.35,3300,1623715200
ok,568.14,594.92,568.14,594.92,28761,1623801600
ok,624.14,654.17,551.9,555.96,139756,1623888000
ok,568.14,568.14,502.39,515.38,66666,1624147200
ok,505.64,515.38,481.29,496.71,30308,1624233600
ok,487.79,523.5,478.86,517.82,24901,1624320000
ok,515.38,515.38,486.16,495.09,21451,1624406400
ok,485.35,491.03,477.23,477.23,20819,1624492800
ok,477.23,495.09,465.06,465.87,15787,1624752000
ok,462.62,486.97,456.94,480.48,18982,1624838400
ok,486.97,491.03,468.31,474.8,14902,1624924800
ok,470.74,478.86,454.51,469.12,9389,1625011200
ok,460.19,478.86,460.19,469.93,14450,1625097600
ok,478.86,507.26,471.55,504.02,41720,1625356800
ok,507.26,542.98,503.21,530.8,51282,1625443200
ok,538.11,538.11,511.32,521.87,26520,1625529600
ok,515.38,523.5,507.26,515.38,21037,1625616000
ok,505.64,516.19,500.77,505.64,18339,1625702400
ok,495.09,522.68,495.09,515.38,30632,1625961600
ok,515.38,523.5,499.96,503.21,20503,1626048000
ok,497.52,503.21,493.47,495.09,15988,1626134400
ok,495.09,509.7,490.22,503.21,10935,1626220800
ok,503.21,511.32,495.9,502.39,12077,1626307200
ok,503.21,508.08,498.34,503.29,12597,1626566400
ok,507.26,522.68,503.21,521.06,28160,1626652800
ok,512.46,568.14,511.32,560.02,85932,1626739200
ok,568.14,616.02,560.02,616.02,105781,1626912000
ok,616.83,657.41,615.21,654.17,106809,1627171200
ok,667.23,681.76,630.63,678.52,87376,1627257600
ok,678.52,689.88,653.36,671.21,54095,1627344000
ok,662.28,673.65,637.12,663.1,48150,1627430400
ok,663.1,663.91,638.75,649.3,51189,1627516800
ok,649.3,714.23,649.3,711.79,78768,1627776000
ok,722.34,726.0,685.01,685.82,78313,1627862400
ok,685.82,740.85,677.7,740.85,65324,1627948800
ok,755.62,811.62,741.01,791.33,91969,1628035200
ok,791.33,805.13,760.49,763.74,59129,1628121600
ok,750.75,775.1,736.95,762.93,58440,1628380800
ok,751.56,787.27,751.56,770.23,46679,1628467200
ok,770.23,787.27,754.89,758.87,29357,1628553600
ok,762.93,834.75,756.43,818.93,67588,1628640000
ok,818.93,880.61,804.32,852.2,62758,1628726400
ok,852.2,860.97,803.51,835.97,88109,1628985600
ok,819.74,851.39,803.51,842.46,59174,1629072000
ok,842.46,926.71,830.61,926.71,70567,1629158400
ok,945.22,1019.32,945.22,1004.79,88969,1629244800
ok,1004.79,1076.21,971.51,1067.28,104850,1629331200
ok,1071.34,1148.45,1055.92,1107.05,96331,1629763200
ok,1107.05,1107.05,1034.82,1095.69,71923,1629849600
ok,1073.78,1139.52,1055.11,1079.46,48706,1629936000
ok,1057.87,1079.46,1022.64,1022.64,54903,1630195200
ok,1043.1,1043.1,991.07,993.43,47528,1630368000
ok,973.95,1012.09,965.83,978.82,41831,1630454400
ok,965.83,982.06,935.8,957.71,38383,1630540800
ok,941.48,941.48,861.94,861.94,52972,1630800000
ok,852.2,948.14,825.42,941.48,50341,1630886400
ok,959.34,960.15,883.69,900.09,75336,1630972800
ok,882.23,892.78,868.52,876.55,10209,1631059200
ok,884.59,910.64,860.32,891.16,21737,1631145600
ok,908.21,937.42,892.78,924.44,43308,1631404800
ok,924.44,939.05,900.5,909.02,36653,1631491200
ok,899.76,926.87,898.47,916.32,32044,1631577600
ok,903.34,908.21,887.1,892.78,13973,1631664000
ok,874.93,892.78,828.67,840.03,29509,1631750400
ok,823.8,826.23,756.03,779.16,48667,1632096000
ok,763.57,795.39,734.68,771.04,22974,1632182400
ok,785.24,840.03,785.24,831.1,19431,1632268800
ok,847.33,847.66,795.39,823.8,23233,1632355200
ok,807.32,840.27,775.1,779.16,15730,1632614400
ok,779.16,795.39,734.6,748.32,18953,1632700800
ok,733.38,742.63,686.55,706.11,28135,1632787200
ok,692.07,744.58,692.07,735.74,22115,1632873600
ok,746.69,746.69,699.94,701.32,13440,1632960000
ok,705.3,705.3,637.12,672.83,17166,1633219200
ok,659.44,672.02,629.01,649.3,11095,1633305600
ok,636.31,673.65,636.31,673.65,12010,1633392000
ok,685.74,741.01,672.92,736.95,10083,1633478400
ok,751.64,751.64,698.0,698.0,11906,1633824000
ok,698.0,711.96,669.75,674.46,8577,1633910400
ok,667.97,687.85,649.54,665.53,8851,1634428800
ok,652.54,652.54,616.1,632.25,25182,1634515200
ok,616.83,616.83,574.63,597.27,16941,1634601600
ok,609.2,656.93,601.82,656.93,84960,1634688000
ok,669.59,669.99,621.78,641.18,10993,1634774400
ok,628.36,697.02,628.36,677.7,25013,1635033600
ok,689.88,715.85,681.76,715.77,43356,1635120000
ok,730.05,743.45,714.23,730.46,43299,1635206400
ok,730.46,746.69,705.46,738.58,34115,1635292800
ok,734.52,770.23,719.91,770.23,27491,1635379200
ok,754.89,794.58,746.69,790.52,20249,1635638400
ok,803.51,803.51,754.81,754.81,32439,1635724800
