s,o,h,l,c,v,t
ok,33.26,33.04,33.04,33.04,50,1325376000
ok,33.04,33.73,33.26,33.49,107,1325980800
ok,33.49,33.73,33.73,33.73,12,1326067200
ok,33.73,34.1,33.86,34.1,40,1326153600
ok,34.1,34.84,34.33,34.6,127,1327276800
ok,34.6,34.87,34.87,34.87,15,1327536000
ok,34.87,34.87,34.87,34.87,62,1327795200
ok,34.87,35.14,34.87,35.14,25,1327968000
ok,35.14,35.14,35.14,35.14,50,1328054400
ok,35.14,34.87,34.87,34.87,52,1329004800
ok,34.87,35.68,35.14,35.68,104,1329264000
ok,35.68,36.03,35.95,36.03,43,1329782400
ok,36.03,36.28,36.28,36.28,20,1329955200
ok,36.28,36.87,36.57,36.87,46,1330214400
ok,36.87,37.49,37.16,37.49,70,1330387200
ok,37.49,37.51,37.51,37.51,10,1330819200
ok,37.51,37.63,37.63,37.63,62,1330992000
ok,37.63,37.63,37.63,37.63,126,1331424000
ok,37.63,37.81,37.81,37.81,15,1331769600
ok,37.81,37.81,37.51,37.68,2063,1332201600
ok,37.68,37.63,37.51,37.63,110,1332288000
ok,37.63,37.76,37.51,37.51,71,1332633600
ok,37.51,37.19,36.57,36.77,449,1332979200
ok,36.77,36.47,36.47,36.47,40,1333238400
ok,36.47,36.18,36.18,36.18,52,1333324800
ok,36.18,35.88,35.88,35.88,156,1333584000
ok,35.88,35.61,35.61,35.61,40,1333929600
ok,35.61,35.78,35.78,35.78,45,1334188800
ok,35.78,35.56,35.53,35.53,198,1335916800
ok,35.53,35.58,35.56,35.58,144,1336435200
ok,35.58,35.86,35.86,35.86,40,1336521600
ok,35.86,36.15,36.15,36.15,38,1336608000
ok,36.15,36.45,36.15,36.45,360,1337558400
ok,36.45,36.45,36.45,36.45,160,1337644800
ok,36.45,36.74,36.74,36.74,40,1337817600
ok,36.74,36.52,36.52,36.52,40,1338336000
ok,36.52,36.4,36.28,36.35,220,1338768000
ok,36.35,36.65,36.28,36.52,412,1338854400
ok,36.52,36.23,36.23,36.23,72,1338940800
ok,36.23,36.28,36.28,36.28,48,1339372800
ok,36.28,36.52,36.28,36.52,29,1339459200
ok,36.52,36.77,36.52,36.77,133,1339545600
ok,36.77,37.71,37.07,37.71,71,1339891200
ok,37.71,38.03,38.03,38.03,16,1339977600
ok,38.03,38.03,38.03,38.03,30,1340064000
ok,38.03,39.63,38.35,39.63,538,1340150400
ok,46.16,39.63,39.63,39.63,100,1341360000
ok,39.63,40.17,39.47,40.17,251,1341446400
ok,40.17,40.53,40.53,40.53,10,1341705600
ok,40.53,40.17,39.47,39.47,122,1341792000
ok,39.47,39.83,39.83,39.83,25,1341964800
ok,39.83,40.2,39.83,39.83,28,1342051200
ok,39.83,39.97,39.97,39.97,34,1342569600
ok,39.97,40.33,40.33,40.33,10,1343174400
ok,40.33,40.7,40.7,40.7,31,1343606400
ok,40.7,41.07,41.07,41.07,34,1345680000
ok,41.07,41.47,41.47,41.47,10,1346025600
ok,41.47,41.87,41.87,41.87,40,1347148800
ok,41.87,43.53,42.27,43.53,160,1347235200
ok,43.53,44.4,43.97,44.4,160,1347321600
ok,44.4,45.8,44.86,45.8,35,1347408000
ok,45.8,46.26,46.26,46.26,40,1347494400
ok,46.26,46.76,46.26,46.76,186,1348012800
ok,46.76,47.26,47.26,47.26,40,1348099200
ok,47.26,49.33,47.76,49.33,225,1348358400
ok,49.33,50.86,49.46,50.3,184,1348444800
ok,50.3,51.4,50.86,50.96,340,1348531200
ok,50.96,50.46,50.36,50.46,255,1348617600
ok,50.46,50.46,49.96,49.96,80,1348963200
ok,49.96,49.4,49.4,49.4,40,1349136000
ok,49.4,48.83,48.3,48.3,184,1349222400
ok,48.3,47.76,47.76,47.76,225,1349308800
ok,47.76,48.86,48.3,48.86,121,1349568000
ok,48.86,49.96,48.96,49.96,180,1349654400
ok,49.96,50.3,49.73,49.73,49,1349740800
ok,49.73,50.3,49.8,50.3,115,1349827200
ok,50.3,50.3,50.3,50.3,40,1350518400
