s,o,h,l,c,v,t
ok,287.1,287.1,287.1,287.1,20,1646524800
ok,287.1,298.6,287.1,298.6,34,1646611200
ok,298.6,310.5,298.6,310.5,27,1646784000
ok,316.7,341.5,316.7,341.5,70,1646870400
ok,348.3,375.6,348.3,375.6,51,1647129600
ok,383.1,390.7,383.1,390.7,20,1647216000
ok,398.5,429.7,398.5,429.7,230,1647302400
ok,438.2,472.6,438.2,472.6,270,1647388800
ok,482.0,519.8,482.0,519.8,950,1647734400
ok,530.1,571.7,530.1,571.7,1089,1647820800
ok,583.1,628.8,583.1,628.8,1300,1647907200
ok,641.3,691.6,641.3,691.6,1470,1647993600
ok,705.4,760.7,705.4,760.7,4370,1648080000
ok,775.9,836.7,775.9,836.7,8392,1648339200
ok,853.4,920.3,853.4,920.3,8072,1648425600
ok,938.7,1012.3,938.7,1012.3,3922,1648512000
ok,1032.5,1113.5,1032.5,1113.5,12986,1648598400
ok,1135.7,1224.8,1056.5,1224.8,79378,1648684800
ok,1249.2,1347.2,1224.8,1347.2,7631,1648944000
ok,1373.0,1481.9,1220.0,1470.0,47292,1649030400
ok,1440.6,1440.6,1323.0,1323.0,2885,1649116800
ok,1296.6,1296.6,1190.7,1190.7,3980,1649203200
ok,1166.9,1166.9,1071.7,1112.0,41032,1649289600
ok,1112.0,1150.0,1001.0,1001.0,30266,1649635200
ok,1001.0,1060.8,926.0,935.0,19079,1649721600
ok,916.3,1006.0,902.0,976.0,15093,1649808000
ok,976.0,990.0,902.0,902.0,9317,1650153600
ok,885.0,901.0,832.0,838.0,14645,1650240000
ok,825.0,914.0,823.0,860.0,5294,1650326400
ok,860.0,877.0,836.0,840.0,3114,1650412800
ok,830.0,866.8,810.0,841.0,7026,1650499200
ok,857.8,886.0,840.7,885.0,7160,1650758400
ok,870.0,885.0,830.0,854.0,6708,1650844800
ok,837.0,850.0,810.1,826.9,3979,1650931200
ok,811.0,842.5,801.5,838.0,4639,1651017600
ok,821.3,835.0,807.0,830.0,3905,1651104000
ok,819.0,820.0,783.0,798.0,4744,1651449600
ok,782.1,790.0,766.6,775.0,2154,1651622400
ok,760.0,760.0,712.0,729.0,3435,1651708800
ok,735.0,737.0,684.1,730.0,3595,1651968000
ok,716.0,749.0,716.0,742.0,2610,1652054400
ok,731.0,756.0,721.0,750.0,3655,1652140800
ok,740.0,822.0,734.0,818.0,6472,1652227200
ok,802.0,824.0,786.0,815.9,4857,1652313600
ok,800.0,800.0,737.9,737.9,2326,1652745600
ok,738.0,790.0,710.0,779.0,2135,1652832000
ok,789.0,789.0,742.0,762.0,2195,1652918400
ok,777.2,777.2,744.0,759.0,1911,1653004800
ok,772.9,772.9,729.2,739.1,1497,1653264000
ok,739.0,784.1,727.1,755.0,1800,1653350400
ok,770.0,770.1,740.2,750.0,6730,1653436800
ok,746.0,765.0,737.8,749.9,1970,1653523200
ok,762.0,762.0,723.4,738.0,2400,1653609600
ok,725.1,730.0,707.6,707.6,1552,1653868800
ok,721.7,725.0,694.1,715.0,1522,1653955200
ok,712.0,740.0,700.0,715.0,1360,1654041600
ok,701.4,743.0,701.4,724.0,1650,1654128000
ok,735.0,735.0,706.0,723.0,1545,1654214400
ok,737.0,751.0,711.0,729.0,3787,1654473600
ok,730.0,734.0,715.1,734.0,1421,1654560000
ok,725.0,760.0,721.0,760.0,1699,1654646400
ok,745.0,759.5,727.0,727.0,1701,1654732800
ok,713.1,729.0,701.0,719.0,1405,1654819200
ok,710.0,724.2,704.0,712.9,895,1655078400
