s,o,h,l,c,v,t
ok,235.7,259.26,235.7,259.26,102451,1696982400
ok,264.38,285.12,264.38,285.12,73838,1697068800
ok,290.83,296.61,256.61,256.61,166825,1697414400
ok,251.49,251.49,232.23,234.71,159547,1697500800
ok,231.4,257.85,230.99,254.21,64039,1697587200
ok,254.21,267.77,247.93,259.5,63518,1697673600
ok,259.5,259.5,247.19,251.4,81227,1698537600
ok,247.93,256.12,247.93,254.05,35172,1698624000
ok,252.89,264.38,250.66,262.81,34119,1698710400
ok,259.59,267.77,259.5,266.12,61663,1698796800
ok,263.64,285.95,263.64,276.86,78748,1698883200
ok,271.32,279.75,271.32,274.88,45205,1699142400
ok,272.73,302.31,272.73,302.31,106551,1699228800
ok,299.17,326.45,296.69,311.57,82826,1699315200
ok,309.92,316.12,303.72,303.72,46820,1699401600
ok,297.69,305.7,294.21,295.04,100779,1699488000
ok,296.69,323.72,293.39,316.53,88977,1700438400
ok,314.05,327.85,309.92,325.62,69975,1700524800
ok,322.31,355.37,320.66,345.12,96963,1700611200
ok,338.84,362.48,338.84,345.45,95479,1700697600
ok,345.45,357.85,338.84,339.67,114835,1700956800
ok,335.62,352.07,332.23,348.6,64142,1701043200
ok,351.24,370.25,342.23,361.16,54000,1701129600
ok,361.16,366.94,352.89,352.98,48173,1701216000
ok,348.84,355.29,347.11,348.76,57966,1701302400
ok,346.28,366.94,344.21,365.29,73125,1701561600
ok,368.6,371.07,359.5,363.64,53383,1701648000
ok,357.85,366.94,352.89,353.72,52670,1701734400
ok,346.69,364.21,346.69,362.81,51902,1701820800
ok,362.81,390.08,360.33,380.99,117241,1701907200
ok,388.6,410.74,388.6,409.09,16392,1702166400
ok,416.53,450.0,395.45,449.59,166879,1702252800
ok,450.41,494.55,450.41,491.74,99755,1702339200
ok,501.57,540.5,491.74,522.31,133136,1702425600
ok,512.4,531.07,502.48,512.48,146364,1702512000
ok,522.31,563.72,502.48,563.72,140464,1702771200
ok,574.96,620.08,566.12,620.08,99907,1702857600
ok,632.23,682.07,628.1,682.07,178125,1702944000
ok,695.7,750.25,695.04,750.25,81220,1703030400
ok,765.21,809.92,727.27,762.81,162920,1703116800
ok,747.6,764.46,686.53,687.69,344954,1703376000
ok,674.38,706.69,644.63,658.26,201420,1703635200
ok,659.09,724.0,655.45,724.0,120987,1703721600
ok,738.45,796.36,727.27,796.36,199351,1704067200
ok,812.27,870.91,812.27,840.91,165023,1704153600
ok,840.91,892.73,806.36,886.36,149646,1704240000
ok,886.36,949.09,886.36,900.0,113755,1704326400
ok,882.0,895.45,847.27,868.18,207302,1704585600
ok,866.36,949.91,854.55,940.82,163864,1704672000
ok,959.09,1016.36,940.0,945.45,86634,1704758400
ok,936.36,987.18,899.09,909.09,136866,1704844800
ok,909.09,945.45,906.36,909.09,127676,1704931200
ok,927.27,982.73,913.64,960.91,113981,1705190400
ok,963.64,1020.91,963.64,988.18,145097,1705363200
