s,o,h,l,c,v,t
ok,175.57,187.99,175.57,187.99,29034,1468281600
ok,187.99,202.02,190.8,202.02,36508,1468368000
ok,198.01,217.65,198.01,217.65,383111,1468454400
ok,217.65,234.89,214.05,234.89,279518,1468713600
ok,234.89,244.91,220.86,226.47,165946,1468800000
ok,230.08,230.08,212.84,215.25,139774,1468886400
ok,217.25,217.25,204.43,204.43,107322,1468972800
ok,204.43,216.45,205.23,208.43,49398,1469059200
ok,208.43,217.25,206.43,216.45,45118,1469404800
ok,216.45,224.07,213.24,216.45,53932,1469491200
ok,216.45,218.45,211.64,214.45,42012,1469577600
ok,214.45,214.45,210.44,210.84,20633,1469664000
ok,210.84,212.44,208.43,209.24,30489,1469923200
ok,209.24,211.24,207.23,207.63,38734,1470009600
ok,207.63,210.84,204.43,206.43,42066,1470096000
ok,206.43,208.43,204.43,205.63,40746,1470182400
ok,205.63,211.24,200.02,200.82,51130,1470268800
ok,200.82,208.43,200.42,200.42,45554,1470528000
ok,200.42,199.21,192.0,192.0,29440,1470614400
ok,194.81,203.22,194.81,202.42,16573,1470700800
ok,204.43,205.23,198.41,199.62,44128,1470787200
ok,200.42,201.22,197.61,200.42,34904,1470873600
ok,198.41,200.42,187.59,189.19,49307,1471132800
ok,190.8,190.8,179.57,181.98,36829,1471219200
ok,179.57,186.39,178.77,184.38,36420,1471305600
ok,184.38,187.19,182.38,186.39,33053,1471392000
ok,186.39,186.79,181.98,182.78,14759,1471737600
ok,180.38,180.78,174.76,175.97,30973,1471824000
ok,174.36,176.37,171.96,174.36,29800,1471910400
ok,174.36,179.97,174.36,178.37,20017,1471996800
ok,178.77,182.78,176.37,176.77,16833,1472342400
ok,177.57,177.97,172.76,174.76,25024,1472428800
ok,174.76,179.57,174.76,176.77,28564,1472515200
ok,177.17,177.57,172.36,174.36,18569,1472601600
ok,175.57,175.57,172.36,174.36,19977,1472688000
ok,174.36,174.36,171.16,172.36,18682,1472947200
ok,172.36,173.96,169.15,173.96,20849,1473033600
ok,171.56,174.76,170.76,172.36,23174,1473120000
ok,169.95,174.36,169.95,172.76,13664,1473206400
ok,172.36,175.97,171.16,173.96,22517,1473292800
ok,171.96,176.37,170.35,170.76,28696,1473552000
ok,170.35,171.96,168.75,169.55,31672,1473638400
ok,169.15,169.95,165.54,166.35,33290,1473811200
ok,168.35,170.35,165.54,166.35,28671,1474156800
ok,167.55,166.75,163.54,163.94,22726,1474329600
ok,165.14,165.54,162.34,164.74,29742,1474416000
ok,165.14,167.15,162.74,164.34,22034,1474502400
ok,165.14,167.15,162.74,164.34,22034,1474761600
ok,163.94,164.34,162.34,163.54,20918,1474848000
ok,163.54,165.54,162.34,164.34,45477,1474934400
ok,162.34,164.74,162.34,164.74,19123,1475020800
ok,164.74,165.14,163.14,163.14,24587,1475107200
ok,164.34,168.35,162.34,167.55,10053,1475366400
ok,165.54,168.75,164.74,166.35,7688,1475452800
ok,166.75,167.95,163.14,164.34,12183,1475539200
ok,164.34,165.95,163.94,164.34,11360,1475625600
ok,165.95,166.35,163.54,164.34,16601,1475712000
ok,162.74,165.54,162.34,163.94,16068,1476576000
ok,163.54,164.34,161.14,163.94,8452,1476662400
ok,163.94,164.34,160.73,164.34,12086,1476748800
ok,165.14,165.54,161.94,163.14,20664,1476835200
ok,164.34,163.94,162.74,163.54,16334,1476921600
ok,164.34,164.34,161.94,164.34,17264,1477180800
ok,162.34,163.94,161.54,162.74,6900,1477267200
ok,163.94,163.94,157.93,161.54,10061,1477353600
ok,160.33,160.73,156.73,157.53,14748,1477440000
ok,157.53,159.13,156.33,158.73,13510,1477526400
ok,158.33,158.73,156.33,157.93,3562,1478131200
ok,158.33,158.33,155.52,156.33,9702,1478476800
ok,156.33,158.33,155.52,157.93,15000,1478563200
ok,157.93,159.93,152.72,154.32,22637,1478649600
ok,154.32,161.14,154.32,157.13,24708,1478736000
ok,156.33,156.73,152.32,155.12,23973,1478995200
ok,154.72,157.93,151.52,155.92,21791,1479081600
ok,155.52,156.73,153.12,156.73,43991,1479168000
ok,157.13,160.33,155.12,157.53,20539,1479254400
ok,155.52,156.33,153.52,155.52,18364,1479340800
