s,o,h,l,c,v,t
ok,314.81,346.3,314.81,346.3,59931,1613260800
ok,362.96,380.56,362.96,380.56,47850,1613347200
ok,399.07,418.52,399.07,418.52,47799,1613433600
ok,438.89,460.19,438.89,460.19,1397130,1613520000
ok,482.41,505.56,482.41,505.56,932534,1613606400
ok,530.56,555.56,530.56,555.56,898056,1613865600
ok,583.33,611.11,583.33,611.11,487154,1613952000
ok,641.67,672.22,550.0,550.0,1081400,1614038400
ok,523.15,594.44,314.81,520.37,992207,1614124800
ok,509.26,550.93,487.04,502.78,1649930,1614211200
ok,502.78,509.26,469.44,470.37,1229080,1614470400
ok,470.37,495.37,446.3,489.81,863802,1614556800
ok,500.0,500.93,470.37,476.85,494666,1614643200
ok,476.85,481.48,465.74,470.37,428048,1614729600
ok,470.37,516.67,470.37,511.11,989491,1614816000
ok,518.52,527.78,499.07,501.85,779371,1615161600
ok,501.85,506.48,488.89,492.59,476968,1615248000
ok,490.74,500.0,483.33,491.67,389669,1615334400
ok,500.0,500.93,482.41,484.26,521372,1615680000
ok,507.41,515.74,488.89,497.22,807526,1615766400
ok,509.26,509.26,490.74,493.52,317765,1615852800
ok,492.59,500.0,487.96,490.74,378017,1615939200
ok,490.74,495.37,486.11,486.11,408478,1616025600
ok,486.11,494.44,486.11,488.89,401215,1616284800
ok,490.74,497.22,483.33,485.19,375082,1616371200
ok,485.19,509.26,481.48,500.0,973981,1616457600
ok,504.63,544.44,504.63,537.96,1140970,1616544000
ok,555.56,584.26,541.67,562.96,1462360,1616630400
ok,569.44,575.93,558.33,561.11,724630,1616976000
ok,561.11,565.74,547.22,548.15,802167,1617062400
ok,548.15,559.26,546.3,549.07,508187,1617148800
ok,569.44,569.44,544.44,550.93,96316,1617235200
ok,550.93,555.56,534.26,537.96,801852,1617494400
ok,537.96,544.44,531.48,534.26,500352,1617580800
ok,559.26,561.11,529.63,560.19,672591,1617667200
ok,561.11,566.67,547.22,548.15,461662,1617753600
ok,575.0,575.0,544.44,545.37,420301,1617840000
ok,542.59,546.3,537.04,540.74,376104,1618185600
ok,542.59,545.37,537.04,539.81,361253,1618272000
ok,541.67,559.26,537.04,550.93,835570,1618444800
ok,576.85,576.85,537.96,541.67,476981,1618704000
ok,544.44,544.44,536.11,537.96,410725,1618790400
ok,537.04,540.74,532.41,534.26,343512,1618876800
ok,537.96,537.96,518.52,528.7,444290,1618963200
ok,529.63,529.63,519.44,520.37,457462,1619049600
ok,523.15,527.78,497.22,500.93,723657,1619308800
ok,500.0,500.93,481.48,487.04,476237,1619395200
ok,481.48,507.41,478.7,505.56,391695,1619481600
ok,506.48,513.89,492.59,504.63,209761,1619568000
ok,504.63,508.33,494.44,501.85,210781,1619654400
ok,501.85,504.63,495.37,501.85,448160,1619913600
ok,504.63,512.96,501.85,503.7,368189,1620000000
ok,518.52,518.52,500.93,503.7,302660,1620086400
ok,503.7,503.7,499.07,500.0,230204,1620172800
ok,500.0,500.0,491.67,492.59,282014,1620259200
ok,490.74,495.37,481.48,488.89,297827,1620518400
ok,488.89,500.0,486.11,494.44,182691,1620604800
ok,500.0,502.78,490.74,497.22,216667,1620691200
ok,473.15,504.63,473.15,494.44,167760,1620777600
ok,494.44,497.22,486.11,491.67,256911,1620864000
ok,495.37,508.33,487.04,506.48,546356,1621123200
ok,513.89,518.52,504.63,505.56,331567,1621209600
ok,505.56,512.04,501.85,503.7,314084,1621296000
ok,503.7,511.11,497.22,498.15,323110,1621382400
ok,518.52,518.52,490.74,497.22,371438,1621468800
ok,497.22,502.78,489.81,498.15,362473,1621728000
ok,499.07,504.63,495.37,496.3,344835,1621814400
ok,513.89,513.89,492.59,494.44,261918,1621900800
ok,494.44,496.3,489.81,490.74,391248,1622073600
ok,490.74,504.63,488.89,490.74,522428,1622332800
ok,490.74,495.37,487.04,487.04,332230,1622419200
ok,487.04,492.59,483.33,486.11,285458,1622505600
ok,486.11,488.89,476.85,485.19,312966,1622592000
ok,486.11,500.0,486.11,493.52,618859,1622678400
ok,501.85,537.96,501.85,535.19,1478880,1622937600
ok,546.3,554.63,524.07,529.63,805770,1623024000
ok,535.19,535.19,518.52,519.44,588485,1623110400
ok,519.44,525.93,506.48,508.33,466594,1623196800
ok,518.52,518.52,491.67,500.93,444293,1623283200
ok,500.93,507.41,494.44,497.22,419915,1623542400
ok,500.0,523.15,499.07,509.26,577558,1623628800
ok,521.3,521.3,499.07,499.07,320786,1623715200
ok,486.11,496.3,484.26,494.44,483442,1623801600
ok,494.44,495.37,486.11,489.81,464954,1623888000
ok,481.48,497.22,481.48,484.26,388678,1624147200
ok,484.26,487.04,471.3,472.22,420675,1624233600
ok,476.85,485.19,467.59,485.19,402416,1624320000
ok,489.81,493.52,473.15,474.07,201087,1624406400
ok,474.07,479.63,470.37,472.22,252503,1624492800
ok,472.22,480.56,468.52,473.15,306783,1624752000
ok,476.85,479.63,467.59,471.3,185355,1624838400
ok,471.3,476.85,464.81,465.74,247114,1624924800
ok,465.74,467.59,458.33,462.96,240095,1625011200
ok,467.59,470.37,462.96,463.89,209366,1625097600
ok,463.89,467.59,459.26,460.19,184761,1625356800
ok,460.19,462.04,451.85,452.78,271311,1625443200
ok,452.78,458.33,445.37,448.15,255098,1625529600
ok,448.15,450.0,442.59,443.52,227513,1625616000
ok,444.44,470.37,437.96,453.7,290179,1625702400
ok,458.33,474.07,458.33,473.15,373329,1625961600
ok,496.3,496.3,453.7,458.33,364593,1626048000
ok,466.67,466.67,451.85,457.41,253886,1626134400
ok,457.41,467.59,452.78,454.63,154072,1626220800
ok,458.33,460.19,453.7,455.56,164324,1626307200
ok,455.56,466.67,455.56,462.04,207820,1626566400
ok,464.81,470.37,458.7,461.11,212059,1626652800
ok,461.11,462.96,454.63,455.56,159685,1626739200
ok,455.56,460.19,453.7,456.11,209467,1626912000
ok,455.56,461.11,453.8,455.56,300559,1627171200
ok,458.33,459.26,451.02,451.85,294200,1627257600
ok,450.0,458.52,446.3,456.02,293096,1627344000
ok,455.56,458.33,450.09,453.7,216256,1627430400
ok,453.7,456.48,450.56,450.93,206567,1627516800
ok,459.91,459.91,448.24,448.8,220642,1627776000
ok,449.07,449.26,445.46,445.83,232036,1627862400
ok,454.63,454.63,444.44,447.69,233403,1627948800
ok,438.8,477.78,438.8,462.5,552344,1628035200
ok,462.96,467.59,452.78,455.56,226837,1628121600
ok,451.85,451.85,444.44,446.3,392438,1628380800
ok,446.3,446.3,441.67,442.59,311376,1628467200
ok,442.59,451.39,439.81,445.37,344596,1628553600
ok,453.7,453.7,440.74,442.59,267068,1628640000
ok,450.93,450.93,432.04,440.28,296207,1628726400
ok,441.67,446.3,432.41,433.33,365348,1628985600
ok,435.19,435.19,426.02,427.69,329789,1629072000
ok,426.85,431.48,421.3,422.22,374615,1629158400
ok,422.22,457.41,416.2,444.44,693344,1629244800
ok,453.33,455.56,430.56,434.26,297630,1629331200
ok,434.26,434.26,423.15,424.35,212566,1629763200
ok,422.22,422.22,416.85,417.78,203612,1629849600
ok,418.52,425.93,413.89,415.19,268366,1629936000
ok,407.41,419.44,406.48,406.57,308431,1630195200
ok,406.48,411.11,395.37,396.3,284420,1630368000
ok,396.3,409.81,395.37,399.07,189142,1630454400
ok,402.78,407.04,386.11,387.5,262291,1630540800
ok,395.19,395.19,370.37,372.22,344529,1630800000
ok,370.37,392.59,370.37,392.13,245189,1630886400
ok,398.15,398.15,378.8,381.67,162279,1630972800
ok,381.48,381.48,374.07,374.07,133879,1631059200
ok,374.07,383.33,371.39,374.17,132126,1631145600
ok,379.63,381.48,373.15,373.8,187082,1631404800
ok,373.15,379.63,370.37,371.76,215429,1631491200
ok,371.3,374.07,369.44,370.09,218439,1631577600
ok,369.44,372.22,364.81,365.28,179287,1631664000
ok,365.74,365.74,356.2,359.72,230337,1631750400
ok,359.26,361.02,337.59,337.96,291101,1632096000
ok,337.96,367.59,325.65,353.7,541390,1632182400
ok,360.19,370.37,356.48,360.19,250875,1632268800
ok,354.35,368.52,349.07,350.93,192952,1632355200
ok,357.87,357.87,337.04,337.59,161812,1632614400
ok,337.59,342.69,323.15,324.07,206877,1632700800
ok,324.07,330.56,313.15,314.63,198611,1632787200
ok,312.96,325.93,306.76,324.91,170926,1632873600
ok,325.93,327.78,317.78,318.8,100402,1632960000
ok,324.07,324.07,309.26,310.19,102615,1633219200
