s,o,h,l,c,v,t
ok,310.43,325.42,310.43,325.42,28550,1598486400
ok,374.81,392.44,374.81,392.44,75618,1598832000
ok,411.85,431.25,411.85,431.25,26975,1599004800
ok,452.41,473.58,452.41,473.58,44505,1599091200
ok,496.51,520.32,426.84,426.84,49953,1599350400
ok,405.67,405.67,384.51,384.51,7815,1599436800
ok,365.99,365.99,346.58,346.58,10210,1599523200
ok,329.83,329.83,312.19,312.19,14498,1599609600
ok,297.2,343.06,281.32,343.06,82495,1599696000
ok,359.81,376.57,359.81,376.57,71164,1599955200
ok,395.09,402.14,352.76,366.87,111279,1600041600
ok,384.51,384.51,352.76,359.81,35699,1600128000
ok,359.81,363.34,352.76,358.05,28882,1600214400
ok,353.64,357.17,350.99,353.64,32639,1600300800
ok,348.35,349.23,339.53,341.29,37140,1600560000
ok,326.3,335.12,326.3,327.18,45446,1600646400
ok,322.77,323.66,315.72,321.01,42439,1600732800
ok,315.72,340.41,313.07,330.71,26060,1600819200
ok,330.71,335.12,325.42,330.71,19135,1600905600
ok,327.18,329.83,321.01,324.54,16779,1601164800
ok,309.55,325.42,309.55,321.89,17357,1601251200
ok,318.36,322.77,315.72,316.6,31940,1601337600
ok,313.07,317.48,313.07,314.84,24501,1601424000
ok,310.43,332.47,310.43,316.6,30235,1601510400
ok,316.6,324.54,313.95,319.25,23885,1601769600
ok,314.84,320.13,314.84,315.72,15312,1601856000
ok,321.89,321.89,313.07,314.84,14188,1601942400
ok,310.43,327.18,310.43,327.18,25735,1602028800
ok,321.01,327.18,316.6,317.48,15029,1602115200
ok,321.89,326.3,309.55,314.84,9160,1602374400
ok,312.19,314.84,311.31,312.19,12798,1602460800
ok,308.66,315.72,308.66,312.19,10920,1602547200
ok,310.43,311.31,304.25,308.66,17455,1602633600
ok,308.66,313.07,306.02,308.66,10859,1602720000
ok,303.37,308.66,301.61,305.14,7510,1602979200
ok,301.61,318.36,301.61,306.02,7050,1603065600
ok,302.49,317.48,302.49,311.31,5910,1603152000
ok,317.48,321.01,308.66,311.31,14264,1603238400
ok,305.14,317.48,305.14,310.43,7400,1603324800
ok,304.25,311.31,304.25,309.55,8865,1603843200
ok,299.84,311.31,299.84,308.66,16375,1603929600
ok,308.66,312.19,300.73,306.9,11915,1604188800
ok,301.61,308.66,301.61,306.02,11672,1604275200
ok,300.73,308.66,300.73,304.25,9276,1604361600
ok,308.66,308.66,302.49,306.02,10345,1604448000
ok,313.07,313.07,301.61,301.61,12990,1604534400
ok,299.84,304.25,299.84,301.61,20365,1604793600
ok,304.25,322.77,301.61,311.31,31120,1604880000
ok,313.07,317.48,308.66,311.31,13169,1604966400
