s,o,h,l,c,v,t
ok,64.71,64.49,64.49,64.49,50,1325376000
ok,64.49,65.22,64.71,65.07,1320,1325462400
ok,65.07,65.51,65.22,65.29,2370,1325548800
ok,65.29,65.51,64.86,64.86,390,1325635200
ok,64.86,64.71,64.64,64.71,160,1325980800
ok,64.71,64.93,64.71,64.93,200,1326067200
ok,64.93,64.78,64.78,64.78,80,1326153600
ok,64.78,64.93,64.86,64.93,630,1326240000
ok,64.93,65.0,65.0,65.0,70,1326326400
ok,65.0,65.37,65.07,65.22,880,1326672000
ok,65.22,65.37,65.15,65.15,410,1326758400
ok,65.15,65.07,65.07,65.07,180,1326844800
ok,65.07,65.29,64.27,64.27,4030,1327190400
ok,64.27,64.27,63.91,64.27,560,1327276800
ok,64.27,64.12,63.39,63.54,2630,1327449600
ok,63.54,63.69,63.25,63.32,1470,1327536000
ok,63.32,63.83,63.25,63.76,3020,1327795200
ok,63.76,63.54,63.03,63.25,1180,1327968000
ok,63.25,63.25,63.1,63.25,50,1328054400
ok,63.25,63.39,63.25,63.39,250,1328140800
ok,63.39,64.42,63.39,64.12,890,1331596800
ok,64.12,64.42,64.27,64.42,140,1331683200
ok,64.42,64.34,63.98,63.98,470,1331769600
ok,63.98,63.83,63.83,63.83,110,1332028800
ok,63.83,63.91,63.76,63.76,350,1332115200
ok,63.76,63.91,63.83,63.83,870,1332201600
ok,63.83,63.69,63.61,63.61,400,1332288000
ok,63.61,63.61,63.25,63.61,1390,1332633600
ok,63.61,63.47,63.47,63.47,30,1332720000
ok,63.47,63.61,63.39,63.39,1200,1332806400
ok,63.39,63.39,63.32,63.32,260,1332892800
ok,63.32,63.83,63.47,63.83,950,1332979200
ok,63.83,63.83,63.25,63.39,1100,1333238400
ok,63.39,63.83,63.25,63.69,770,1333324800
ok,63.69,63.76,63.32,63.76,110,1333411200
ok,63.76,63.76,63.61,63.76,220,1333497600
ok,63.76,63.98,63.39,63.83,1090,1333584000
ok,63.83,63.83,63.39,63.83,690,1333843200
ok,63.83,64.12,63.47,64.12,560,1333929600
