s,o,h,l,c,v,t
ok,381.0,381.0,342.9,342.9,318724,1696118400
ok,337.5,342.75,331.58,338.18,287052,1696204800
ok,334.5,337.5,333.75,334.5,125451,1696291200
ok,327.83,340.65,327.83,335.78,154840,1696377600
ok,335.78,335.78,330.83,331.5,99886,1696464000
ok,331.5,333.0,323.25,324.23,104649,1696723200
ok,322.5,324.75,318.08,318.45,69000,1696809600
ok,315.0,322.43,313.5,313.65,61914,1696896000
ok,310.2,318.75,310.2,312.98,60228,1696982400
ok,311.33,315.0,306.0,307.5,79060,1697068800
ok,303.83,306.0,292.95,294.83,92874,1697414400
ok,296.25,305.25,295.65,299.25,41125,1697500800
ok,299.25,307.13,297.0,305.25,45507,1697587200
ok,301.5,306.98,300.08,303.0,34627,1697673600
ok,297.15,300.0,292.5,295.5,58403,1698537600
ok,292.5,295.35,291.38,293.25,35285,1698624000
ok,293.25,295.5,291.83,293.25,31696,1698710400
ok,289.5,296.25,289.5,291.75,38011,1698796800
ok,285.98,291.75,285.98,286.5,37752,1698883200
ok,285.98,285.98,281.4,283.5,36349,1699142400
ok,281.25,290.25,281.25,287.78,37391,1699228800
ok,287.63,302.4,286.5,302.25,56868,1699315200
ok,300.0,310.35,297.75,309.75,53030,1699401600
ok,304.65,308.33,298.88,304.2,41773,1699488000
ok,303.75,311.63,300.9,304.8,56840,1700438400
ok,301.5,304.5,295.5,297.0,46023,1700524800
ok,291.83,306.75,291.83,304.65,45978,1700611200
ok,300.15,325.5,300.15,322.5,125720,1700697600
ok,322.5,341.25,318.75,339.75,141953,1700956800
ok,333.75,346.5,333.75,337.5,143945,1701043200
ok,332.25,342.0,332.25,336.15,99371,1701129600
ok,336.15,339.75,326.25,330.0,95304,1701216000
ok,323.4,332.63,323.4,330.0,66153,1701302400
ok,326.25,333.75,325.5,330.0,63343,1701561600
ok,330.0,341.25,328.58,337.35,116797,1701648000
ok,344.03,354.75,341.25,345.75,176066,1701734400
ok,345.75,361.5,343.73,361.5,122992,1701820800
ok,354.75,360.0,348.75,351.0,202661,1701907200
ok,357.75,374.85,357.75,371.25,30869,1702166400
ok,375.0,377.85,360.15,370.73,296185,1702252800
ok,370.5,399.0,369.0,392.33,213327,1702339200
ok,393.75,400.13,382.5,388.5,140605,1702425600
ok,381.0,390.0,375.0,382.58,148129,1702512000
ok,382.58,389.4,367.5,389.4,143085,1702771200
ok,389.4,397.5,386.33,388.5,113685,1702857600
ok,386.4,422.25,386.4,418.5,193036,1702944000
ok,412.5,425.25,410.25,410.63,153173,1703030400
ok,412.5,412.5,398.25,398.25,138296,1703116800
ok,398.25,424.58,391.5,405.0,214746,1703376000
ok,405.0,416.25,404.25,405.15,146104,1703635200
ok,399.83,412.5,399.83,408.0,120526,1703721600
ok,406.5,413.1,396.0,396.75,118403,1704067200
ok,388.88,388.88,366.0,368.25,293516,1704153600
ok,368.25,376.5,357.75,374.55,129318,1704240000
ok,375.0,377.25,361.88,361.88,144263,1704326400
ok,361.88,367.58,357.08,358.5,109394,1704585600
ok,354.0,375.0,354.0,371.25,82470,1704672000
ok,378.68,387.0,373.5,375.0,151508,1704758400
ok,382.5,384.15,371.25,372.75,81612,1704844800
ok,377.25,379.43,365.25,371.55,93969,1704931200
ok,378.79,378.79,368.63,372.49,64542,1705190400
ok,370.13,385.88,370.13,381.31,66912,1705363200
ok,381.31,394.54,376.58,376.58,119396,1705449600
ok,374.06,376.43,366.35,370.13,69298,1705536000
ok,367.05,374.06,362.33,363.83,58884,1705795200
ok,358.39,378.0,358.39,367.76,73672,1705881600
ok,367.76,372.49,360.68,364.22,46451,1705968000
ok,365.79,370.91,359.18,359.89,33324,1706054400
ok,359.1,363.04,355.32,356.74,36291,1706140800
ok,358.31,365.4,356.82,360.68,36947,1706400000
ok,358.31,363.83,357.13,357.13,58692,1706486400
ok,358.31,363.83,357.53,359.1,68660,1706572800
ok,366.19,366.19,355.16,356.58,56929,1706659200
ok,352.8,359.81,352.8,354.06,48423,1706745600
ok,353.59,358.31,351.3,357.92,36067,1707004800
ok,354.38,359.1,352.8,353.67,27117,1707091200
ok,352.01,356.42,352.01,353.27,32614,1707177600
ok,353.27,370.13,353.27,368.55,70947,1707264000
ok,375.87,375.87,366.98,367.68,45387,1707350400
ok,366.98,374.06,362.25,363.9,43661,1707609600
ok,363.04,370.13,363.04,365.4,32154,1707696000
ok,358.39,363.04,355.16,358.31,44197,1707782400
ok,355.16,361.46,355.16,356.03,25123,1707868800
ok,348.94,362.25,348.94,352.09,42602,1707955200
ok,346.5,354.38,346.42,347.29,38182,1708214400
ok,347.29,349.57,343.35,345.32,35686,1708387200
ok,343.35,350.44,341.07,341.93,30636,1708473600
ok,341.78,346.5,337.05,337.21,32837,1708560000
ok,337.05,343.35,336.26,336.74,38625,1708819200
ok,333.9,342.33,333.9,340.2,27782,1708905600
ok,337.84,344.14,337.84,341.85,22878,1708992000
ok,340.99,354.38,339.41,341.78,17855,1709078400
ok,338.63,342.64,335.48,336.26,19812,1709164800
ok,329.57,338.63,329.57,331.54,32952,1709424000
ok,338.15,357.53,338.15,350.44,3985,1709510400
ok,354.38,354.38,340.52,341.78,59212,1709596800
ok,341.78,350.83,337.05,344.14,46061,1709683200
ok,344.14,354.22,344.14,352.72,42963,1709769600
ok,352.8,363.12,350.52,361.46,56684,1710028800
ok,364.61,385.48,363.04,382.73,133782,1710201600
ok,382.73,389.03,375.09,378.79,91736,1710288000
ok,378.79,379.58,366.19,366.98,74640,1710374400
ok,364.69,375.09,364.69,367.92,56844,1710633600
ok,362.64,370.13,362.25,369.34,46064,1710720000
ok,365.4,376.43,365.4,366.42,51559,1710806400
ok,365.4,370.91,359.89,366.19,53814,1710892800
