s,o,h,l,c,v,t
ok,302.5,332.7,302.5,332.7,210,1744243200
ok,335.2,365.9,335.2,365.9,180,1744502400
ok,372.8,402.4,372.8,402.4,250,1744675200
ok,410.0,442.6,410.0,442.6,240,1744761600
ok,451.0,486.8,451.0,486.8,180,1744848000
ok,496.5,535.4,496.5,535.4,440,1745107200
ok,537.7,588.9,537.7,588.9,310,1745193600
ok,579.7,647.7,579.7,647.7,440,1745280000
ok,660.6,712.4,660.6,712.4,580,1745366400
ok,704.3,783.6,704.3,783.6,440,1745452800
ok,783.6,861.9,783.6,861.9,580,1745712000
ok,873.7,948.0,873.7,948.0,480,1745798400
ok,963.7,1042.8,963.7,1042.8,740,1745884800
ok,1061.3,1147.0,1061.3,1147.0,810,1745971200
ok,1169.9,1261.7,1169.9,1261.7,1110,1746316800
ok,1239.3,1387.8,1239.3,1387.8,870,1746403200
ok,1415.5,1526.5,1415.5,1526.5,950,1746489600
ok,1526.0,1679.1,1526.0,1679.1,1330,1746576000
ok,1678.9,1847.0,1678.9,1847.0,1790,1746662400
ok,1820.4,2031.7,1820.4,2031.7,3320,1746921600
ok,2072.3,2234.8,2072.3,2234.8,19150,1747094400
ok,2279.4,2458.2,2015.2,2066.15,246209,1747180800
ok,2025.0,2228.0,1953.2,2151.2,88593,1747267200
ok,2108.2,2108.2,1999.0,2003.72,78228,1747526400
ok,2001.0,2050.0,1903.1,1915.75,69459,1747612800
ok,1878.0,1928.7,1830.1,1913.5,56183,1747699200
ok,1950.0,2000.0,1830.0,1839.02,41132,1747785600
ok,1820.0,1935.9,1792.0,1881.76,75386,1747872000
ok,1875.0,1902.0,1828.0,1870.84,28325,1748131200
ok,1908.0,1908.0,1829.1,1833.34,52290,1748217600
ok,1800.0,1830.0,1798.0,1802.05,36957,1748304000
ok,1785.1,1802.0,1700.0,1710.15,47473,1748390400
ok,1705.0,1749.0,1657.0,1690.88,71911,1748822400
ok,1690.0,1764.6,1680.0,1725.62,37905,1748908800
ok,1750.0,1764.0,1716.0,1750.3,29753,1748995200
ok,1750.3,1760.0,1676.0,1694.13,40175,1749081600
ok,1685.0,1693.0,1563.1,1579.0,55475,1749340800
ok,1579.1,1641.1,1521.0,1614.25,36658,1749427200
ok,1640.0,1662.0,1600.0,1625.46,22910,1749513600
ok,1657.0,1657.0,1585.1,1587.7,16983,1749600000
ok,1560.0,1587.0,1531.0,1535.22,29931,1749686400
ok,1535.0,1570.0,1511.0,1521.77,17077,1749945600
ok,1500.0,1541.0,1488.0,1493.14,24121,1750032000
ok,1500.0,1500.0,1435.0,1445.27,24372,1750118400
ok,1445.0,1473.0,1417.0,1439.7,23828,1750204800
ok,1439.7,1452.0,1388.8,1401.48,26002,1750291200
ok,1373.5,1400.0,1330.0,1336.95,26507,1750550400
ok,1332.0,1367.7,1311.1,1324.75,16170,1750636800
ok,1324.0,1395.0,1320.0,1368.89,25663,1750723200
ok,1345.0,1484.0,1345.0,1453.69,33763,1750809600
ok,1482.7,1482.7,1391.6,1397.79,23027,1750896000
ok,1375.0,1396.0,1351.0,1369.68,16424,1751155200
ok,1391.0,1392.9,1352.0,1359.86,11719,1751241600
ok,1344.0,1396.0,1344.0,1354.8,19145,1751328000
ok,1355.0,1381.0,1355.0,1366.25,12158,1751414400
ok,1362.0,1393.5,1349.0,1351.66,21303,1751500800
ok,1345.0,1375.0,1344.0,1353.38,23272,1751760000
ok,1369.0,1450.0,1353.1,1402.02,43660,1751846400
ok,1387.0,1430.0,1387.0,1412.3,11625,1751932800
ok,1385.1,1440.0,1385.1,1398.9,17381,1752019200
ok,1426.8,1426.8,1375.0,1376.89,22397,1752105600
ok,1404.4,1430.0,1365.0,1365.88,12068,1752364800
ok,1356.0,1383.0,1350.0,1351.29,10654,1752451200
ok,1360.0,1364.0,1341.1,1360.17,14569,1752537600
ok,1367.0,1390.0,1355.4,1364.36,17440,1752624000
ok,1364.0,1420.0,1364.0,1399.53,18342,1752710400
ok,1420.0,1505.0,1400.0,1473.71,58359,1752969600
ok,1475.0,1485.0,1440.0,1480.65,27858,1753056000
ok,1471.0,1501.0,1471.0,1496.37,19699,1753142400
ok,1487.0,1499.0,1440.0,1453.43,26998,1753228800
ok,1469.0,1481.0,1433.0,1440.16,23055,1753315200
ok,1445.0,1468.0,1405.1,1415.1,25899,1753574400
ok,1402.0,1418.0,1390.0,1409.92,18705,1753660800
ok,1405.0,1443.0,1405.0,1431.08,18436,1753747200
