s,o,h,l,c,v,t
ok,301.0,331.1,301.0,331.1,490,1739059200
ok,331.9,364.2,331.9,364.2,510,1739145600
ok,364.2,400.6,364.2,400.6,370,1739232000
ok,400.6,440.6,400.6,440.6,570,1739318400
ok,449.4,484.6,449.4,484.6,530,1739404800
ok,494.0,533.0,494.0,533.0,1700,1739664000
ok,533.0,586.3,533.0,586.3,1310,1739750400
ok,598.0,644.93,598.0,644.9,2240,1739836800
ok,657.0,709.3,657.0,709.3,6010,1740009600
ok,723.4,780.2,723.4,780.2,8930,1740268800
ok,795.8,858.2,795.8,858.2,8010,1740355200
ok,875.3,944.0,875.3,944.0,9770,1740441600
ok,962.8,1038.4,962.8,1038.4,32050,1740614400
ok,1059.1,1142.2,1059.1,1142.2,29640,1740873600
ok,1165.0,1256.4,1165.0,1256.4,12620,1740960000
ok,1281.5,1382.0,1281.5,1382.0,8440,1741046400
ok,1409.6,1520.2,1409.6,1520.2,73730,1741132800
ok,1550.6,1672.2,1550.6,1672.2,143850,1741219200
ok,1705.6,1839.4,1519.0,1839.4,253093,1741478400
ok,1874.8,2001.2,1770.0,2000.0,156648,1741564800
ok,2000.0,2000.0,1884.6,1998.1,187395,1741651200
ok,1958.2,1968.0,1880.7,1961.0,188461,1741737600
ok,1922.0,1960.5,1901.0,1944.1,134733,1742083200
ok,1922.0,1993.0,1922.0,1980.0,67016,1742169600
ok,1953.0,1990.0,1952.1,1962.0,40656,1742256000
ok,1955.0,1980.0,1935.3,1942.0,46156,1742342400
ok,1940.0,2080.0,1922.1,2035.52,63141,1742428800
ok,2000.0,2084.0,2000.0,2068.85,41850,1742688000
ok,2070.0,2269.9,2030.1,2265.63,57992,1742774400
ok,2265.0,2410.0,2231.1,2284.09,42770,1742860800
ok,2280.0,2312.0,2151.0,2286.16,101487,1742947200
ok,2260.0,2359.0,2255.0,2297.21,42297,1743033600
ok,2300.0,2380.0,2255.0,2345.3,77081,1743292800
ok,2345.0,2579.8,2345.0,2579.8,78789,1743465600
ok,2631.0,2778.0,2550.0,2582.26,55122,1743552000
ok,2585.0,2620.0,2401.0,2424.15,73056,1743638400
ok,2405.0,2500.0,2352.1,2492.49,74334,1743984000
ok,2460.0,2568.0,2440.0,2564.68,60390,1744070400
ok,2564.0,2608.0,2540.0,2564.51,34316,1744156800
ok,2530.0,2600.0,2515.0,2599.24,80826,1744243200
ok,2591.0,2620.0,2401.0,2476.75,50627,1744502400
ok,2450.0,2550.0,2400.0,2523.1,70928,1744675200
