s,o,h,l,c,v,t
ok,307.02,334.3,307.02,334.3,1694,1687392000
ok,340.96,367.72,340.96,367.72,5728,1687651200
ok,368.42,404.47,368.42,404.47,4364,1687737600
ok,412.54,444.91,412.54,444.91,24091,1687824000
ok,453.51,489.39,453.51,489.39,1523712,1687910400
ok,499.12,503.51,480.7,481.58,762109,1688256000
ok,480.7,481.58,464.91,466.67,443519,1688342400
ok,475.96,475.96,456.49,464.04,214583,1688428800
ok,469.3,469.3,442.98,446.32,270713,1688515200
ok,451.75,454.39,430.7,435.96,308562,1688601600
ok,438.6,449.82,431.58,436.84,371250,1688860800
ok,438.6,447.37,428.16,429.65,504920,1688947200
ok,434.21,440.35,428.07,429.82,258735,1689033600
ok,429.82,441.23,425.61,435.26,186206,1689120000
ok,438.6,450.88,436.84,444.74,318517,1689206400
ok,444.74,451.67,442.11,444.74,308820,1689465600
ok,453.6,453.6,440.35,452.63,212261,1689552000
ok,452.81,460.53,450.0,450.53,301695,1689638400
ok,452.63,452.63,446.14,447.37,164408,1689724800
ok,438.42,451.75,438.42,442.89,173777,1689811200
ok,444.74,452.63,442.11,448.07,206880,1690070400
ok,445.61,450.0,438.68,438.95,193182,1690156800
ok,438.95,442.11,430.18,431.4,123003,1690243200
ok,436.84,437.72,425.44,427.28,142367,1690329600
ok,429.82,431.58,419.3,419.3,173200,1690416000
ok,419.3,425.44,410.53,412.28,115672,1690675200
ok,415.7,421.93,411.05,415.79,96879,1690761600
ok,411.23,421.05,405.35,408.77,110535,1690848000
ok,408.77,411.23,402.37,410.0,88138,1690934400
ok,414.91,416.58,407.02,410.53,72155,1691020800
ok,402.37,414.56,395.61,401.75,99712,1691280000
ok,401.75,409.65,394.74,398.25,68555,1691366400
ok,394.91,401.75,387.72,390.35,61829,1691452800
ok,394.74,407.89,384.65,406.93,119634,1691539200
ok,408.77,410.53,400.88,400.88,79935,1691625600
ok,400.88,408.77,398.42,405.26,88083,1691884800
ok,408.77,411.32,397.37,397.54,58115,1691971200
ok,394.74,403.51,394.74,395.18,107956,1692057600
ok,394.74,394.74,386.93,387.89,41181,1692144000
ok,387.72,394.91,387.72,390.35,64326,1692230400
ok,385.96,399.04,385.96,388.6,63429,1692489600
ok,389.47,392.11,384.21,387.63,47478,1692576000
ok,387.72,390.35,383.33,390.26,42882,1692662400
ok,386.84,402.63,386.84,397.37,84462,1692748800
ok,397.37,400.0,386.49,387.72,74208,1692835200
ok,387.72,388.51,381.67,384.12,64554,1693094400
ok,381.58,389.39,381.58,383.33,36845,1693180800
ok,390.35,390.35,378.25,379.21,35054,1693267200
ok,379.3,383.33,376.32,377.19,39652,1693353600
ok,375.96,377.19,366.75,368.42,51126,1693699200
ok,368.42,372.81,361.4,366.67,42146,1693785600
ok,368.16,373.6,362.28,364.91,35954,1693872000
ok,361.05,368.42,359.65,361.4,45182,1694044800
ok,368.6,368.6,358.77,360.35,27188,1694304000
