s,o,h,l,c,v,t
ok,423.6,465.92,423.6,465.92,54780,1691280000
ok,475.2,512.48,475.2,492.8,701803,1691366400
ok,492.8,495.2,468.0,471.2,299597,1691452800
ok,478.4,480.56,456.96,477.84,266818,1691539200
ok,483.2,487.2,466.4,472.0,141998,1691625600
ok,472.0,476.0,464.0,464.64,182198,1691884800
ok,455.36,477.44,455.36,471.92,191385,1691971200
ok,480.0,480.0,464.24,464.8,98939,1692057600
ok,464.0,468.0,460.16,461.52,103174,1692144000
ok,460.0,472.0,456.8,466.48,133203,1692230400
ok,466.4,468.0,462.4,464.0,114230,1692489600
ok,464.0,466.32,457.68,461.6,101241,1692576000
ok,453.6,463.2,453.6,460.8,61149,1692662400
ok,460.0,468.0,459.2,463.28,94254,1692748800
ok,464.0,472.0,456.0,456.16,85739,1692835200
ok,456.0,456.0,444.0,446.4,97116,1693094400
ok,440.88,451.2,440.88,443.6,69132,1693180800
ok,443.2,446.4,440.0,440.72,58882,1693267200
ok,438.4,443.2,438.4,439.36,60855,1693353600
ok,440.0,442.4,432.8,433.04,69096,1693699200
ok,432.0,447.2,432.0,447.2,96212,1693785600
ok,447.2,448.0,441.6,445.12,50793,1693872000
ok,440.88,440.88,435.44,436.4,57647,1694044800
ok,432.08,439.92,428.48,431.04,72788,1694304000
ok,422.56,441.6,422.56,440.0,63895,1694390400
ok,431.68,452.8,431.68,432.96,60371,1694476800
ok,432.0,444.24,432.0,443.2,70531,1694563200
ok,442.4,444.0,428.24,428.8,86027,1694908800
ok,428.0,432.0,424.0,432.0,45272,1694995200
ok,424.8,432.0,424.8,429.6,42969,1695081600
ok,432.0,443.2,430.48,434.56,107149,1695254400
ok,436.0,436.0,424.88,425.2,54688,1695513600
ok,424.8,431.92,424.08,424.24,45640,1695600000
ok,428.0,432.64,426.48,430.4,51509,1695686400
ok,427.2,436.0,424.48,426.0,46183,1695772800
ok,424.0,424.8,413.04,416.08,68794,1696118400
ok,412.0,417.6,408.8,411.2,50083,1696204800
ok,410.4,411.2,404.0,404.8,35796,1696291200
ok,406.4,414.4,405.6,408.0,44037,1696377600
ok,405.6,408.4,401.6,402.64,36244,1696464000
ok,400.0,403.6,387.28,388.8,85829,1696723200
ok,384.0,395.2,381.84,384.8,42793,1696809600
ok,384.8,392.0,380.8,381.6,31208,1696896000
ok,380.0,386.4,378.0,384.16,36280,1696982400
ok,380.4,386.4,378.48,384.72,50497,1697068800
ok,378.56,384.0,368.48,373.68,61593,1697414400
ok,373.68,387.6,370.64,387.6,42542,1697500800
ok,380.08,395.2,380.08,391.6,49828,1697587200
ok,391.28,398.08,385.04,388.16,47462,1697673600
ok,388.0,388.0,375.2,376.16,24923,1698537600
ok,376.0,376.8,369.2,374.4,15882,1698624000
ok,372.0,375.2,368.88,369.68,18484,1698710400
ok,368.48,372.8,367.28,368.0,17431,1698796800
ok,361.76,379.44,360.0,361.6,27479,1698883200
ok,356.8,362.4,355.2,361.6,31593,1699142400
ok,356.88,368.8,356.88,365.44,24440,1699228800
ok,360.8,374.56,360.8,372.08,30656,1699315200
ok,372.0,379.2,366.4,375.6,33311,1699401600
ok,370.4,383.04,370.4,372.08,24362,1699488000
ok,372.0,383.2,368.08,371.2,24427,1700438400
ok,376.0,378.4,365.36,366.96,27383,1700524800
ok,364.0,374.4,360.24,374.16,20892,1700611200
ok,371.2,393.6,368.16,389.6,55355,1700697600
ok,392.0,420.0,385.68,417.6,117199,1700956800
ok,412.0,425.6,406.56,414.4,66185,1701043200
ok,408.0,419.28,407.2,414.4,58658,1701129600
ok,414.4,416.0,400.0,402.96,51413,1701216000
ok,394.96,407.2,394.96,397.68,53957,1701302400
ok,397.6,400.0,392.8,399.2,25353,1701561600
ok,400.0,412.0,400.0,405.6,45529,1701648000
ok,413.68,416.0,402.4,407.92,61770,1701734400
ok,407.2,418.4,402.4,414.4,103901,1701820800
ok,406.16,420.0,405.36,413.76,76850,1701907200
ok,422.0,439.2,422.0,436.8,19162,1702166400
ok,444.8,444.8,420.0,428.8,183632,1702252800
ok,424.8,449.6,424.8,440.0,148771,1702339200
