s,o,h,l,c,v,t
ok,70.03,71.05,70.54,71.05,30,1325462400
ok,71.05,70.48,69.97,69.97,60,1325635200
ok,69.97,70.48,70.48,70.48,10,1326067200
ok,70.48,72.07,70.99,72.07,80,1326758400
ok,72.07,72.64,71.96,72.64,150,1327190400
ok,72.64,72.18,72.13,72.13,20,1327276800
ok,72.13,72.64,72.64,72.64,10,1327536000
ok,72.64,72.64,72.18,72.18,110,1327968000
ok,72.18,72.24,72.24,72.24,10,1328140800
ok,72.24,72.47,72.24,72.24,30,1328400000
ok,72.24,72.47,72.24,72.24,90,1328486400
ok,72.24,72.47,71.9,72.47,290,1328572800
ok,72.47,72.47,72.24,72.24,280,1328659200
ok,72.24,72.24,72.24,72.24,10,1329004800
ok,72.24,71.9,71.9,71.9,50,1329177600
ok,71.9,71.39,71.39,71.39,150,1329264000
ok,71.39,71.96,71.96,71.96,60,1329350400
ok,71.96,72.01,71.96,72.01,60,1329955200
ok,72.01,73.89,72.18,73.43,2070,1330473600
ok,73.43,74.45,74.0,74.45,60,1330992000
ok,74.45,74.97,73.94,74.97,560,1331510400
ok,74.97,75.31,75.02,75.31,310,1331596800
ok,75.31,75.31,75.31,75.31,440,1332028800
ok,75.31,75.08,74.17,75.08,4960,1332115200
ok,75.08,74.85,74.74,74.85,20,1332201600
ok,74.85,75.31,75.02,75.31,30,1332288000
ok,75.31,75.08,75.08,75.08,10,1332892800
ok,75.08,75.08,75.08,75.08,20,1332979200
ok,75.08,75.08,75.08,75.08,20,1333324800
ok,75.08,76.5,75.7,76.5,180,1333497600
ok,76.5,77.01,77.01,77.01,50,1333584000
ok,77.01,76.73,76.73,76.73,20,1334016000
ok,76.73,77.86,77.41,77.86,560,1334188800
ok,77.86,77.18,77.18,77.18,20,1334620800
ok,77.18,77.86,77.86,77.86,50,1334793600
ok,77.86,79.9,77.86,79.9,460,1335398400
ok,79.9,82.86,80.64,82.86,830,1335657600
ok,82.86,84.44,83.54,84.44,1540,1335744000
ok,84.44,85.24,85.24,85.24,3120,1335916800
ok,85.24,86.09,86.09,86.09,1030,1336003200
ok,86.09,86.94,86.94,86.94,100,1336348800
ok,86.94,87.79,87.79,87.79,1000,1336435200
ok,87.79,88.64,87.79,88.64,590,1336521600
ok,88.64,90.18,88.36,89.27,3900,1336608000
ok,89.27,91.31,89.5,91.31,230,1337126400
ok,91.31,94.21,92.05,94.21,1340,1337212800
ok,94.21,93.75,92.79,93.75,980,1337472000
ok,93.75,94.72,93.75,94.72,200,1337558400
ok,94.72,93.7,92.73,92.73,120,1337644800
ok,92.73,91.77,91.77,91.77,10,1337731200
ok,91.77,90.97,90.35,90.35,280,1337817600
ok,90.35,90.35,89.44,90.35,40,1338076800
ok,90.35,89.44,86.77,86.77,140,1338249600
ok,86.77,86.37,85.81,85.81,1120,1338336000
ok,85.81,86.94,86.09,86.94,1050,1338422400
ok,86.94,87.79,87.79,87.79,10,1338681600
ok,87.79,88.08,87.17,87.23,560,1338768000
ok,87.23,86.37,85.64,85.64,140,1338854400
ok,85.64,85.24,84.84,84.84,50,1338940800
ok,84.84,84.1,84.1,84.1,30,1339027200
ok,84.1,84.16,84.16,84.16,20,1339286400
ok,84.16,85.13,84.79,85.13,480,1339372800
ok,85.13,86.77,85.92,86.66,120,1339459200
ok,86.66,86.37,86.37,86.37,30,1339545600
ok,86.37,85.52,84.84,84.84,40,1339632000
ok,84.84,84.84,84.84,84.84,20,1340064000
