s,o,h,l,c,v,t
ok,6105.59,6214.0,6083.01,6102.94,29232500.0,1514764800
ok,6199.45,6243.03,6120.55,6125.34,17945200.0,1531785600
ok,6125.34,6152.67,6044.83,6057.69,22292000.0,1531872000
ok,6057.69,6080.65,6007.91,6014.14,10738100.0,1531958400
ok,6014.14,6014.14,5928.55,5943.86,11557500.0,1532217600
ok,5943.86,6004.85,5932.42,5998.72,9386720.0,1532304000
ok,5998.72,6113.7,5998.72,6019.33,12392500.0,1532390400
ok,5998.72,6027.27,5977.18,5991.26,8889700.0,1532476800
ok,5991.26,5991.26,5931.97,5942.18,16015900.0,1532563200
ok,5942.18,6003.94,5942.18,5994.85,13861800.0,1532822400
ok,5994.85,5995.22,5957.79,5974.34,9139680.0,1532908800
ok,5974.34,5988.08,5925.94,5946.73,11022800.0,1532995200
ok,5946.73,5978.35,5938.69,5975.57,18292400.0,1533081600
ok,5975.57,5979.98,5944.31,5949.51,21869700.0,1533168000
ok,5949.51,5980.02,5938.07,5953.15,6305470.0,1533427200
ok,5953.15,5999.06,5920.53,5936.42,11295500.0,1533513600
ok,5936.42,5952.45,5892.71,5896.59,13504300.0,1533600000
ok,5896.59,5911.67,5867.24,5874.23,10895400.0,1533686400
ok,5874.23,5880.49,5761.36,5771.4,32264700.0,1533772800
ok,5771.4,5806.14,5559.18,5578.03,56106200.0,1534032000
ok,5578.03,5699.83,5495.62,5688.88,19875400.0,1534118400
ok,5688.88,5714.6,5644.97,5701.89,17908600.0,1534204800
ok,5701.89,5834.25,5686.8,5831.71,21230900.0,1534291200
ok,5831.71,5882.06,5779.91,5801.84,23963400.0,1534377600
ok,5801.84,5823.85,5716.26,5736.98,15601600.0,1534636800
ok,5736.98,5725.54,5646.71,5661.78,17331900.0,1534723200
ok,5736.98,5681.04,5633.97,5661.27,8623810.0,1534809600
ok,5661.27,5661.27,5593.19,5604.67,10402800.0,1534896000
ok,5604.67,5604.83,5566.03,5566.03,20766500.0,1534982400
ok,5566.03,5586.68,5533.98,5564.15,9449080.0,1535241600
ok,5564.15,5579.95,5522.23,5533.12,23195700.0,1535414400
ok,5533.12,5542.27,5493.61,5494.94,19386700.0,1535500800
ok,5494.94,5527.7,5476.63,5521.15,21388400.0,1535587200
ok,5521.15,5539.19,5494.8,5520.07,36113800.0,1535846400
ok,5520.07,5682.87,5508.33,5592.55,123288000.0,1535932800
ok,5592.55,5629.26,5553.21,5592.01,38702500.0,1536019200
ok,5592.01,5734.22,5598.88,5687.2,42622700.0,1536105600
ok,5592.01,5725.61,5607.65,5648.38,36593600.0,1536192000
ok,5648.38,5648.38,5566.39,5580.96,16396400.0,1536451200
ok,5580.96,5598.59,5558.0,5560.78,11813700.0,1536537600
ok,5560.78,5611.85,5560.78,5579.41,17048800.0,1536624000
ok,5579.41,5613.7,5561.63,5583.39,8160810.0,1536710400
ok,5583.39,5619.35,5568.77,5572.21,22476800.0,1536796800
ok,5572.21,5694.84,5572.21,5620.71,25784900.0,1537056000
ok,5572.21,5807.0,5612.69,5740.44,30367900.0,1537142400
ok,5740.44,5802.22,5713.99,5760.05,42091500.0,1537228800
ok,5760.05,5765.13,5680.24,5680.24,16899700.0,1537401600
ok,5760.05,5680.24,5630.58,5656.77,19198600.0,1537660800
ok,5656.77,5706.77,5662.85,5694.13,25449200.0,1537833600
ok,5694.13,5748.59,5697.85,5724.61,40761000.0,1537920000
ok,5724.61,5740.63,5684.38,5695.54,26429300.0,1538006400
ok,5695.54,5734.39,5668.15,5676.53,19893300.0,1538265600
ok,5676.53,5691.95,5597.97,5597.97,21224800.0,1538352000
ok,5597.97,5644.78,5594.83,5612.59,25625400.0,1538438400
ok,5612.59,5612.59,5568.45,5575.14,26595400.0,1538524800
ok,5575.14,5600.6,5545.74,5575.69,27647500.0,1538611200
ok,5575.69,5587.14,5514.91,5521.4,28480400.0,1538870400
ok,5521.4,5556.82,5492.87,5516.69,20615000.0,1538956800
ok,5516.69,5547.72,5498.06,5498.06,18413800.0,1539043200
ok,5498.06,5501.82,5475.17,5496.88,9722790.0,1539129600
ok,5496.88,5522.77,5460.57,5504.65,18015300.0,1539216000
ok,5504.65,5567.83,5508.98,5562.14,5752780.0,1539475200
ok,5562.14,5583.1,5532.46,5564.78,6743700.0,1539561600
ok,5564.78,5599.48,5564.78,5599.48,1591960.0,1540080000
ok,5599.48,5602.25,5559.87,5580.72,7393980.0,1540166400
ok,5580.72,5581.19,5544.22,5549.09,10411300.0,1540252800
ok,5549.09,5590.91,5544.69,5575.46,11630900.0,1540339200
ok,5575.46,5575.7,5553.17,5563.07,10893600.0,1540425600
ok,5563.07,5563.07,5503.78,5521.47,13668500.0,1540684800
ok,5521.47,5525.71,5493.27,5509.5,17183100.0,1540771200
ok,5509.5,5551.24,5503.28,5533.17,31016100.0,1540857600
ok,5533.17,5548.29,5495.05,5532.93,14786200.0,1540944000
ok,5532.93,5555.44,5507.33,5546.25,28494600.0,1541030400
ok,5546.25,5539.3,5447.28,5458.73,55830800.0,1541289600
ok,5458.73,5528.07,5439.28,5508.35,13672500.0,1541376000
ok,5468.33,5468.33,5468.33,5468.33,717531.0,1541462400
ok,5483.5,5489.08,5423.32,5439.22,2513590.0,1541894400
ok,5436.43,5436.43,5345.22,5348.69,7552020.0,1541980800
ok,5350.98,5435.92,5334.16,5432.82,11711900.0,1542067200
ok,5433.52,5433.93,5376.96,5432.82,8055210.0,1542153600
ok,5427.13,5463.58,5415.35,5421.83,8727530.0,1542240000
ok,5422.42,5422.42,5371.32,5372.84,12050100.0,1542499200
ok,5361.39,5386.12,5340.07,5342.38,10363200.0,1542585600
ok,5342.97,5354.1,5303.84,5318.52,7804790.0,1542672000
ok,5311.65,5350.78,5296.94,5350.69,15150400.0,1542758400
ok,5343.83,5355.27,5316.24,5315.27,8012190.0,1542844800
ok,5314.04,5315.15,5270.87,5272.95,11067700.0,1543104000
ok,5273.32,5273.32,5203.61,5204.92,24981400.0,1543190400
ok,5205.08,5243.93,5191.96,5202.57,17839100.0,1543276800
ok,5202.58,5210.64,5179.82,5189.12,19844500.0,1543363200
ok,5188.93,5189.29,5128.71,5141.36,33202800.0,1543449600
ok,5112.75,5119.04,5014.84,5029.96,49605700.0,1543708800
ok,5013.94,5102.86,4997.51,5043.54,25356700.0,1543795200
ok,5036.64,5080.26,5033.71,5063.54,22795800.0,1543881600
ok,5062.62,5062.62,4967.53,4967.53,29128400.0,1543968000
ok,4928.62,5015.82,4923.9,5011.6,17595200.0,1544054400
ok,5025.34,5025.34,4992.23,5018.24,16414000.0,1544313600
ok,5004.51,5119.66,5004.51,5116.94,25123300.0,1544400000
ok,5084.89,5124.98,5084.89,5091.21,23554800.0,1544486400
ok,5086.63,5114.85,5077.13,5114.85,17917700.0,1544572800
ok,5107.42,5161.17,5091.3,5145.13,14835600.0,1544659200
ok,5141.2,5287.22,5141.2,5278.5,20695400.0,1544918400
ok,5281.28,5484.34,5281.28,5474.46,25810800.0,1545004800
ok,5476.31,5540.74,5391.4,5424.52,38687400.0,1545091200
ok,5417.98,5445.92,5325.13,5387.97,49107000.0,1545177600
ok,5401.06,5434.85,5379.79,5407.48,26530700.0,1545264000
ok,5450.97,5676.21,5450.97,5654.81,60441500.0,1545523200
ok,5667.19,5818.65,5586.59,5723.09,112870000.0,1545609600
ok,5716.6,5716.6,5648.16,5693.73,28020700.0,1545696000
ok,5705.17,6142.68,5705.17,6137.23,109709000.0,1545782400
ok,6153.78,6456.18,6153.78,6307.64,287345984.0,1545868800
ok,6288.35,6393.17,6242.02,6255.32,86814400.0,1546128000
ok,6258.08,6263.59,6076.07,6076.07,80225000.0,1546214400
ok,6105.59,6214.0,6083.01,6102.94,29232500.0,1546300800
ok,6102.94,6110.8,6034.55,6034.55,30455900.0,1546387200
ok,6042.92,6133.27,6006.29,6102.6,34126800.0,1546473600
ok,6050.5,6111.77,6000.46,6008.49,25095800.0,1546732800
ok,6056.56,6101.18,6030.2,6101.18,29533500.0,1546819200
ok,6110.48,6128.25,6080.52,6089.26,22839700.0,1546905600
ok,6110.48,6089.26,6125.1,6098.99,22604200.0,1546992000
ok,6098.99,6115.27,6077.08,6104.95,23268000.0,1547078400
ok,6111.5,6117.97,6058.88,6093.77,28524200.0,1547337600
ok,6093.77,6098.8,6062.12,6096.96,13474600.0,1547424000
ok,6102.47,6298.65,6080.02,6294.04,50079600.0,1547510400
ok,6294.04,6345.89,6199.06,6221.0,41878100.0,1547596800
ok,6226.89,6226.89,6160.35,6175.74,17279200.0,1547683200
ok,6164.29,6169.07,6138.4,6138.4,8432100.0,1547942400
ok,6113.74,6113.74,6068.71,6080.02,25475500.0,1548028800
ok,6077.83,6141.64,6070.32,6141.64,11884500.0,1548115200
ok,6147.91,6152.82,6068.32,6114.32,16025700.0,1548201600
ok,6117.8,6136.11,6104.1,6104.1,13507000.0,1548288000
ok,6099.53,6099.53,6021.45,6028.1,32752500.0,1548547200
ok,6033.24,6082.98,6001.2,6054.03,11666100.0,1548633600
ok,6077.65,6091.05,6019.5,6037.28,11813100.0,1548720000
ok,6032.04,6050.67,5997.26,6031.88,13875500.0,1548806400
ok,6033.19,6039.76,6009.98,6020.77,14932500.0,1548892800
ok,6050.52,6055.1,5974.36,5983.24,16793900.0,1549152000
ok,5997.14,5997.73,5905.74,5918.26,25205800.0,1549238400
ok,5887.52,5932.38,5887.52,5923.0,13364200.0,1549324800
ok,5920.71,5922.49,5873.95,5876.05,14428500.0,1549411200
ok,5866.51,5872.4,5826.59,5832.48,14771800.0,1549497600
ok,5802.86,5814.31,5654.26,5672.22,19209900.0,1549756800
ok,5682.78,5787.84,5671.33,5696.64,24277300.0,1549843200
ok,5673.75,5761.45,5673.75,5707.03,12906500.0,1549929600
ok,5715.4,5737.11,5611.29,5611.29,21278800.0,1550016000
ok,5633.52,5635.81,5550.5,5581.94,21280600.0,1550102400
ok,5604.83,5622.68,5526.98,5528.19,15325000.0,1550361600
ok,5524.17,5544.77,5485.44,5509.11,14671300.0,1550448000
ok,5512.38,5760.83,5512.38,5760.83,18752500.0,1550534400
ok,5796.67,5804.86,5582.28,5593.01,16776100.0,1550620800
ok,5589.6,5597.72,5550.27,5594.78,9913880.0,1550707200
ok,5598.06,5636.98,5520.27,5533.79,19337700.0,1550966400
ok,5512.24,5594.89,5512.24,5593.81,20327800.0,1551052800
ok,5635.25,5637.54,5530.1,5562.56,14631100.0,1551139200
ok,5583.41,5634.25,5563.62,5583.09,15297600.0,1551225600
ok,5696.19,5741.98,5630.16,5636.16,45349100.0,1551571200
ok,5661.67,5683.35,5629.64,5648.3,49615700.0,1551744000
ok,5641.94,5748.74,5636.28,5744.44,26929500.0,1551830400
ok,5789.77,5916.22,5773.14,5903.76,41857700.0,1551916800
ok,5917.43,5940.91,5820.39,5938.64,19049100.0,1552176000
ok,5948.59,5981.36,5918.13,5950.65,50202500.0,1552262400
ok,6004.79,6039.08,5969.46,6027.81,49642000.0,1552348800
ok,5987.63,6041.84,5954.31,5954.31,49516500.0,1552435200
ok,5945.47,5981.17,5881.3,5959.67,40213300.0,1552521600
ok,6019.52,6066.34,5986.79,6005.52,41149400.0,1552780800
