s,o,h,l,c,v,t
ok,28.48,27.96,26.49,26.49,3045,1325635200
ok,26.49,27.01,27.01,27.01,375,1325721600
ok,27.01,29.19,27.53,29.19,250,1326326400
ok,29.19,29.76,29.76,29.76,200,1326672000
ok,29.76,29.76,29.19,29.76,80,1326758400
ok,29.76,29.67,29.67,29.67,45,1327190400
ok,29.67,29.76,29.48,29.48,525,1327276800
ok,29.48,29.48,29.48,29.48,376,1327536000
ok,29.48,29.52,29.43,29.52,150,1327795200
ok,29.52,30.0,29.43,30.0,250,1327968000
ok,30.0,30.14,29.95,29.95,560,1328054400
ok,29.95,29.95,29.95,29.95,50,1328140800
ok,29.95,30.14,30.0,30.14,45,1328400000
ok,30.14,30.71,30.71,30.71,200,1328486400
ok,30.71,30.38,30.14,30.38,1015,1328572800
ok,30.38,30.38,30.38,30.38,15,1328659200
ok,30.38,30.38,30.14,30.38,45,1329177600
ok,30.38,30.85,30.62,30.62,43,1329264000
ok,30.62,30.43,30.38,30.43,138,1329955200
ok,30.43,30.47,30.47,30.47,172,1330214400
ok,30.47,31.04,31.04,31.04,53,1330473600
ok,31.04,30.85,30.85,30.85,30,1330560000
ok,30.85,30.85,30.85,30.85,108,1330819200
ok,30.85,31.33,30.71,30.85,135,1330905600
ok,30.85,31.33,30.85,31.33,43,1330992000
ok,31.33,31.33,31.33,31.33,500,1331424000
ok,31.33,31.28,30.71,31.28,28,1331510400
ok,31.28,31.28,31.28,31.28,20,1331596800
ok,31.28,31.09,31.09,31.09,1250,1331683200
ok,31.09,30.62,30.62,30.62,4395,1332115200
ok,30.62,30.38,30.38,30.38,27,1332201600
ok,30.38,30.38,29.9,29.9,160,1332633600
ok,29.9,30.38,29.9,29.9,36107,1332892800
ok,29.9,30.38,30.38,30.38,1000,1333238400
ok,30.38,30.38,30.38,30.38,175,1333411200
ok,30.38,30.38,29.9,29.9,25,1333497600
ok,29.9,30.47,30.47,30.47,20,1334188800
ok,30.47,31.04,31.04,31.04,10,1334448000
ok,31.04,32.89,31.66,32.89,40,1334534400
ok,32.89,33.51,33.51,33.51,13,1334620800
ok,33.51,36.83,34.13,36.83,95,1334707200
ok,36.83,39.73,37.55,39.35,894,1334793600
ok,39.35,38.92,38.92,38.92,10,1335052800
ok,38.92,40.16,38.69,39.4,1776,1335225600
ok,39.4,39.64,39.4,39.64,1500,1335312000
ok,39.64,40.16,38.64,38.92,6259,1335398400
ok,38.92,40.87,38.92,40.87,3980,1335657600
ok,40.87,40.87,40.87,40.87,23,1336003200
ok,40.87,40.87,40.87,40.87,305,1336435200
ok,40.87,42.48,41.68,42.48,60,1336521600
ok,42.48,44.05,43.24,44.05,80,1337126400
ok,44.05,43.2,43.2,43.2,10,1337644800
ok,43.2,44.86,42.34,44.86,262,1337817600
ok,44.86,45.71,44.86,44.86,20,1338076800
ok,44.86,44.0,44.0,44.0,15,1339286400
ok,44.0,43.15,43.15,43.15,30,1339372800
ok,43.15,44.0,44.0,44.0,10,1339459200
ok,44.0,43.15,41.11,42.67,155,1340064000
ok,42.67,42.67,42.67,42.67,60,1341187200
ok,42.67,41.87,38.45,38.45,260,1341792000
ok,38.45,37.69,35.89,36.41,672,1341878400
ok,36.41,37.26,36.74,37.02,1195,1341964800
ok,37.02,37.26,36.36,37.26,185,1342051200
ok,37.26,37.26,37.26,37.26,500,1342310400
ok,37.26,38.16,37.26,37.74,1821,1342483200
ok,37.74,38.12,37.74,38.12,2060,1342569600
ok,38.12,38.69,37.97,38.69,1404,1342656000
ok,38.69,40.16,38.16,40.16,2531,1342915200
ok,40.16,40.35,39.4,40.35,406,1343001600
ok,40.35,40.11,39.54,40.11,1376,1343088000
ok,40.11,39.87,39.87,39.87,823,1343174400
ok,39.87,39.92,39.92,39.92,30,1343260800
ok,39.92,41.3,40.25,40.82,2877,1343606400
ok,40.82,40.82,40.82,40.82,24,1343692800
ok,40.82,41.06,41.06,41.06,60,1343779200
ok,41.06,41.06,40.3,40.3,582,1344124800
ok,40.3,41.06,41.01,41.01,299,1344211200
ok,41.01,41.06,41.06,41.06,515,1344297600
ok,41.06,41.82,41.06,41.34,699,1344729600
ok,41.34,41.72,41.06,41.72,988,1344816000
ok,41.72,41.77,41.11,41.53,1472,1344902400
ok,41.53,41.68,41.3,41.3,814,1344988800
ok,41.3,42.01,41.3,42.01,712,1345075200
ok,42.01,42.01,41.53,41.58,928,1345334400
ok,41.58,41.53,41.3,41.3,2577,1345507200
ok,41.3,41.3,41.06,41.3,72,1345593600
ok,41.3,42.25,42.01,42.25,132,1345680000
ok,42.25,42.25,41.53,41.53,3835,1346025600
ok,41.53,41.77,41.49,41.77,1115,1346112000
ok,41.77,43.39,42.58,43.39,536,1346803200
ok,43.39,47.56,44.24,47.56,4495,1346889600
ok,47.56,52.31,48.51,52.31,4094,1347148800
ok,52.31,57.53,53.35,57.53,2980,1347235200
ok,57.53,61.71,54.82,61.0,10220,1347321600
ok,61.0,59.81,56.96,58.05,9373,1347408000
ok,58.05,59.57,56.96,58.81,2843,1347494400
ok,58.81,60.24,56.96,60.24,1438,1347753600
ok,60.24,59.05,56.96,56.96,2643,1347840000
ok,56.96,58.1,55.87,56.96,2316,1347926400
ok,56.96,56.96,56.39,56.39,190,1348012800
ok,56.39,56.96,54.16,54.16,261,1348099200
ok,54.16,55.06,53.07,53.07,1675,1348358400
