s,o,h,l,c,v,t
ok,37.89,39.37,38.23,39.37,130,1326326400
ok,39.37,39.77,39.77,39.77,20,1326672000
ok,39.77,39.37,39.37,39.37,50,1328140800
ok,39.37,38.97,37.27,37.27,444,1328486400
ok,37.27,36.92,36.58,36.92,412,1328572800
ok,36.92,36.92,36.64,36.64,198,1329004800
ok,36.64,36.64,36.64,36.64,66,1329177600
ok,36.64,36.92,36.92,36.92,571,1329264000
ok,36.92,36.92,36.75,36.92,298,1329350400
ok,36.92,36.92,36.92,36.92,269,1329782400
ok,36.92,37.78,37.27,37.78,1261,1330214400
ok,37.78,37.49,37.49,37.49,100,1330300800
ok,37.49,37.49,37.15,37.15,139,1330387200
ok,37.15,37.49,37.49,37.49,80,1330473600
ok,37.49,37.78,37.78,37.78,50,1330560000
ok,37.78,37.44,37.15,37.15,676,1330905600
ok,37.15,37.15,36.92,36.92,1274,1330992000
ok,36.92,36.92,36.92,36.92,620,1331424000
ok,36.92,36.92,36.92,36.92,200,1331510400
ok,36.92,36.92,36.92,36.92,1393,1331596800
ok,36.92,37.04,36.24,36.24,665,1332028800
ok,36.24,36.58,36.36,36.36,590,1332115200
ok,36.36,36.01,36.01,36.01,176,1332633600
ok,36.01,36.7,36.36,36.7,196,1332806400
ok,36.7,36.92,36.92,36.92,1083,1332892800
ok,36.92,36.92,36.92,36.92,185,1333411200
ok,36.92,37.15,36.92,36.92,982,1333497600
ok,36.92,36.58,36.58,36.58,54,1333843200
ok,36.58,36.92,36.92,36.92,50,1334102400
ok,36.92,37.21,37.21,37.21,50,1334188800
ok,37.21,38.23,37.55,38.23,1545,1334707200
ok,38.23,39.03,38.12,38.12,294,1334793600
ok,38.12,38.52,38.52,38.52,117,1335052800
ok,38.52,39.82,38.91,39.82,1707,1335225600
ok,39.82,40.22,40.22,40.22,20,1335398400
ok,40.22,40.62,40.62,40.62,22,1335657600
ok,40.62,41.47,41.02,41.47,233,1335744000
ok,41.47,43.07,42.61,43.07,22,1336003200
ok,43.07,43.07,43.07,43.07,50000,1336348800
ok,43.07,44.49,43.52,44.49,300,1336867200
ok,44.49,45.51,45.0,45.51,200,1337040000
ok,45.51,46.54,46.02,46.54,119,1337126400
ok,46.54,48.18,47.05,48.18,433,1337212800
ok,48.18,49.89,48.7,48.7,625,1337472000
ok,48.7,49.21,49.21,49.21,58,1337558400
ok,49.21,49.61,49.61,49.61,152,1339027200
ok,49.61,50.0,50.0,50.0,36,1339372800
ok,50.0,49.38,49.38,49.38,100,1341964800
ok,49.38,48.81,48.24,48.24,76,1342051200
ok,48.24,48.81,48.81,48.81,79,1342396800
ok,48.81,48.24,47.67,47.67,518,1342569600
ok,47.67,48.58,48.24,48.58,200,1342656000
ok,48.58,48.01,45.57,45.57,3982,1342915200
ok,45.57,45.8,43.75,45.8,16450,1343001600
ok,45.8,45.28,45.28,45.28,50,1343088000
ok,45.28,44.89,44.89,44.89,50,1343260800
ok,44.89,44.89,44.37,44.89,792,1343520000
ok,44.89,45.4,44.94,45.4,515,1343606400
ok,53.57,45.88,45.88,45.88,132,1343692800
ok,45.88,46.77,46.25,46.77,634,1343779200
ok,46.77,47.29,47.06,47.06,179,1344124800
