s,o,h,l,c,v,t
ok,503.37,503.37,456.23,495.79,81779,1702944000
ok,495.79,545.29,488.22,516.75,58536,1703030400
ok,517.68,519.36,492.42,506.57,23695,1703116800
ok,513.47,521.89,482.32,496.63,66610,1703376000
ok,496.63,519.36,495.2,505.89,48433,1703635200
ok,496.63,525.0,496.63,525.0,47088,1703721600
ok,515.15,525.25,501.77,503.37,38801,1704067200
ok,503.37,503.37,484.01,484.76,11352,1704153600
ok,494.11,494.11,469.11,485.69,14011,1704240000
ok,490.24,502.53,475.59,487.37,18865,1704326400
ok,477.69,487.37,468.6,468.86,13668,1704585600
ok,468.86,495.62,468.01,486.78,13638,1704672000
ok,488.22,501.68,475.59,478.96,16183,1704758400
ok,469.7,505.05,469.7,475.59,8167,1704844800
ok,467.17,486.03,466.08,478.11,17710,1704931200
ok,475.59,484.01,471.38,474.75,10130,1705190400
ok,484.01,484.18,475.59,480.64,20930,1705363200
ok,487.79,488.22,472.39,478.96,20555,1705449600
ok,469.7,488.47,469.7,478.11,22940,1705536000
ok,471.38,480.64,469.36,469.36,22047,1705795200
ok,460.44,478.7,460.44,460.86,11332,1705881600
ok,456.23,470.03,450.34,454.55,11015,1705968000
ok,446.21,472.22,445.29,445.29,13505,1706054400
ok,453.7,454.12,441.92,446.13,12910,1706140800
ok,446.13,454.12,442.76,449.49,5933,1706400000
ok,442.93,458.75,442.93,457.91,10469,1706486400
ok,455.39,472.9,455.39,466.33,15896,1706572800
ok,462.96,466.33,446.97,452.86,11111,1706659200
ok,444.53,450.34,441.92,441.92,14113,1706745600
ok,441.92,441.92,434.43,434.43,10730,1707004800
ok,429.38,450.34,429.29,441.08,8817,1707091200
ok,446.13,449.83,433.5,441.92,9077,1707177600
ok,448.65,450.67,441.92,446.04,11985,1707264000
ok,438.8,450.34,438.8,442.76,9429,1707350400
ok,441.92,449.49,436.03,442.76,9878,1707609600
ok,442.76,446.13,440.24,444.53,8757,1707696000
ok,437.71,445.29,436.03,441.92,11201,1707782400
ok,433.08,444.44,433.08,440.24,5802,1707868800
ok,435.35,440.24,430.13,436.03,6932,1707955200
ok,428.37,446.13,428.37,432.66,9705,1708214400
ok,429.29,433.5,429.29,432.66,6900,1708387200
ok,433.5,441.08,427.61,432.66,8831,1708473600
ok,426.35,437.71,425.08,429.29,6806,1708560000
ok,427.61,437.54,420.03,422.14,12596,1708819200
ok,430.56,430.56,414.98,420.88,5715,1708905600
ok,412.63,429.29,412.63,414.14,5407,1708992000
ok,421.72,423.4,415.15,416.67,4967,1709078400
ok,418.52,418.52,411.62,414.98,6715,1709164800
ok,414.98,417.51,404.46,413.72,5753,1709424000
ok,420.88,446.63,420.88,446.63,240,1709510400
ok,454.71,454.71,419.19,426.77,11605,1709596800
ok,435.27,435.27,412.46,420.03,13104,1709683200
ok,420.03,429.29,415.82,425.93,5241,1709769600
ok,430.98,433.5,423.4,431.82,10951,1710028800
ok,437.71,467.17,437.71,462.96,37203,1710201600
ok,467.17,476.43,458.75,462.96,21282,1710288000
ok,462.96,465.49,445.37,446.97,21099,1710374400
ok,446.97,450.34,438.13,445.29,14765,1710633600
ok,444.44,446.13,437.71,442.85,6473,1710720000
ok,442.76,462.96,438.22,457.91,36876,1710806400
ok,462.96,462.96,448.65,448.65,7493,1710892800
ok,441.16,453.62,441.16,447.81,5452,1710979200
ok,443.6,445.29,438.64,442.76,7041,1711324800
ok,441.92,451.18,436.03,440.24,8240,1711411200
ok,431.73,440.24,431.73,435.94,9426,1711497600
ok,429.38,444.44,429.29,435.94,6909,1711584000
ok,429.29,436.03,427.61,428.45,8992,1711843200
ok,424.24,435.19,424.24,432.66,6350,1711929600
ok,425.42,434.26,420.96,430.98,8781,1712016000
ok,430.98,436.87,429.29,433.5,5702,1712102400
ok,429.29,433.5,427.69,430.13,7877,1712188800
ok,427.61,452.86,424.24,441.92,13476,1712448000
ok,441.92,448.65,434.34,434.34,22833,1712620800
ok,434.34,438.55,430.98,431.31,11433,1712707200
ok,427.69,431.82,425.08,427.61,7178,1713052800
ok,421.04,429.29,421.04,427.61,5349,1713139200
ok,425.51,427.61,420.88,425.51,5211,1713225600
ok,421.72,423.4,420.03,420.29,8680,1713398400
ok,412.46,428.45,412.46,428.45,5184,1713657600
ok,436.78,436.78,416.67,421.72,7244,1713744000
ok,413.3,422.56,413.3,418.35,3807,1713916800
ok,413.3,418.35,413.3,416.67,4899,1714003200
ok,423.4,431.82,416.67,422.39,7952,1714262400
ok,430.13,430.13,416.75,420.03,4086,1714348800
ok,411.7,429.29,411.7,429.29,9593,1714435200
ok,437.71,437.71,425.08,428.45,11478,1714608000
ok,430.98,433.5,420.88,420.88,9354,1714867200
ok,429.29,429.29,419.19,420.45,6190,1714953600
ok,419.11,420.88,416.67,416.67,5606,1715040000
ok,412.04,418.35,398.15,416.25,23423,1715126400
ok,424.16,429.29,414.14,420.88,7474,1715212800
ok,420.88,426.77,420.88,426.77,12436,1715472000
ok,420.88,434.34,420.88,424.58,7616,1715558400
ok,429.29,432.66,424.07,427.61,6567,1715644800
ok,427.61,437.71,412.46,423.4,35141,1715731200
ok,414.98,424.24,414.98,415.4,9905,1715817600
ok,423.65,446.13,417.59,436.03,27627,1716076800
